"","atletas.nome","atletas.slug","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.clube.id.full.name","CA","FC","FD","FS","PE","RB","A","FF","FT","SG","G","I","GC","CV","DD","GS","DP","PP"
"419","Thiago Galhardo do Nascimento Rocha","thiago-galhardo","Thiago Galhardo","https://s.glbimg.com/es/sde/f/2018/04/09/75e3c902e55b9c23591335eee1054dc3_FORMATO.png",71844,37,"VAS","mei","Provável",0.6,6.72,-0.33,2.46,"Vasco",5,27,5,27,55,19,2,5,2,NA,3,1,NA,NA,NA,NA,NA,NA
"420","Felipe Alves Raymundo","felipe-alves","Felipe Alves","https://s.glbimg.com/es/sde/f/2018/03/01/a4001473c0c581b61769bb3db00efcaa_FORMATO.png",72372,37,"ATL","gol","Provável",5.7,2.39,0.54,2.7,"Atlético-PR",1,NA,NA,NA,5,NA,NA,NA,NA,1,NA,NA,NA,NA,7,8,1,NA
"421","Éverson Felipe Marques Pires","everson","Éverson","https://s.glbimg.com/es/sde/f/2018/08/14/7ab52b47d50462cc76be6f11092e2404_FORMATO.png",72294,37,"CEA","gol","Provável",-6.1,10.42,-1.89,5.47,"Ceará",4,1,NA,10,14,1,NA,2,NA,11,1,NA,NA,NA,64,35,NA,NA
"422","Luiz Otávio Anacleto Leandro","luiz-otavio","Luiz Otávio","https://s.glbimg.com/es/sde/f/2018/05/25/415ca8e21d5dcca6c767a0485b2765a3_FORMATO.png",72359,37,"CEA","zag","Dúvida",0,8.17,-1.77,3.87,"Ceará",8,21,1,8,24,53,1,8,NA,10,1,NA,NA,NA,NA,NA,NA,NA
"423","Hernane Vidal Souza","hernane","Hernane","https://s.glbimg.com/es/sde/f/2018/08/15/df43aeed005a5668d32e3104263e2119_FORMATO.png",72386,37,"SPO","ata","Dúvida",0.5,5.02,-1.16,3.88,"Sport",1,26,9,39,23,20,2,9,NA,NA,1,3,NA,NA,NA,NA,NA,NA
"424","Rodrigo Oliveira Lindoso","rodrigo-lindoso","Rodrigo Lindoso","https://s.glbimg.com/es/sde/f/2018/05/17/3988b3a7c7218ab5a3b8b242ad6f1b46_FORMATO.png",72362,37,"BOT","mei","Provável",4.7,10.46,0.91,4.31,"Botafogo",6,37,7,45,80,53,3,17,1,NA,7,3,NA,NA,NA,NA,NA,1
"425","Jailson Marcelino dos Santos","jailson","Jailson","https://s.glbimg.com/es/sde/f/2017/04/18/63a42550ea5f70d0bbc92287dd6ac259_FORMATO.png",72290,37,"PAL","gol","Nulo",0,11.78,0,4.33,"Palmeiras",2,NA,NA,NA,11,NA,NA,NA,NA,5,NA,NA,NA,1,24,11,NA,NA
"426","Matheus Simonete Bressanelli","bressan","Bressan","https://s.glbimg.com/es/sde/f/2018/05/18/89ef7379a0826a62657cb5948a315081_FORMATO.png",72491,37,"GRE","zag","Nulo",0,9.43,0,4.6,"Grêmio",3,24,2,12,27,30,NA,2,NA,12,1,NA,NA,NA,NA,NA,NA,NA
"427","Renê dos Santos Júnior","rene-junior","Renê Júnior","https://s.glbimg.com/es/sde/f/2018/03/20/8b306efa7463aa34e658516c465f664e_FORMATO.png",73281,37,"COR","mei","Contundido",0,5.85,0,2.6,"Corinthians",NA,12,NA,5,4,9,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"428","Rafael Copetti Fernandes","rafael-copetti","Rafael Copetti ","https://s.glbimg.com/es/sde/f/2018/08/29/f7b5b8074902a5f4e21da95e0e0725ab_FORMATO.png",73074,37,"CHA","gol","Nulo",0,3,0,0,"Chapecoense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"429","Luiz Carlos Cirne Lima de Lorenzi","lisca","Lisca","https://s.glbimg.com/es/sde/f/2018/06/05/28dffdf0f5fa7f305e52bcd7ee449f9a_FORMATO.png",72588,37,"CEA","tec","Provável",2.01,8.25,-0.58,4.03,"Ceará",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"430","Samuel Xavier Brito","samuel-xavier","Samuel Xavier","https://s.glbimg.com/es/sde/f/2018/05/17/fd0c8a84c1faea5160f04ad242f45e3e_FORMATO.png",73384,37,"CEA","lat","Provável",0.9,5.36,-0.82,3.96,"Ceará",8,38,NA,42,47,32,4,7,1,8,1,1,NA,1,NA,NA,NA,NA
"431","José Rogério de Oliveira","rogerio","Rogério","https://s.glbimg.com/es/sde/f/2018/05/24/949f9e1967150f934c921bedf13a0bba_FORMATO.png",73540,37,"SPO","ata","Contundido",0,8.29,0,2.79,"Sport",NA,26,14,49,30,14,2,23,NA,NA,2,9,NA,1,NA,NA,NA,NA
"432","Luis Carlos Dallastella","luis-carlos","Luis Carlos","https://s.glbimg.com/es/sde/f/2018/03/21/327d9a5891939cc8940a99c68e11c26b_FORMATO.png",73413,37,"PAR","gol","Nulo",0,0.7,0,-4,"Paraná",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA
"433","Gabriel Santana Pinto","gabriel","Gabriel","https://s.glbimg.com/es/sde/f/2018/05/24/ba83d05d6577dcd62dcb5af3bb7ca5e1_FORMATO.png",73515,37,"SPO","mei","Provável",1.4,6.46,-0.62,2.9,"Sport",3,25,10,56,71,22,3,14,1,NA,5,3,NA,NA,NA,2,NA,1
"434","Rildo de Andrade Felicissimo","rildo","Rildo","https://s.glbimg.com/es/sde/f/2018/09/27/1efc38e38866055fe84ec680c96da256_FORMATO.png",73635,37,"VAS","ata","Nulo",0,2.56,0,0.44,"Vasco",1,1,NA,11,9,NA,NA,3,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"435","Jorge Daniel González Marquet","torito-gonzalez","Torito González","https://s.glbimg.com/es/sde/f/2018/03/21/4a53af8bd51b42f968f3b584e1581274_FORMATO.png",73703,37,"PAR","mei","Provável",0,4.69,0,2.8,"Paraná",5,25,2,33,14,29,1,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"436","Bruno Fabiano Alves","bruno-alves","Bruno Alves","https://s.glbimg.com/es/sde/f/2018/08/21/5ff03d7f1c17970fd5a348a979f50951_FORMATO.png",73620,37,"SAO","zag","Provável",6,11,-0.1,4.15,"São Paulo",9,44,5,19,25,40,NA,4,1,13,2,6,NA,NA,NA,NA,NA,NA
"437","Rodrigo Caio Roquette Russo","rodrigo-caio","Rodrigo Caio","https://s.glbimg.com/es/sde/f/2018/08/22/0f361078a3aa1c8a16c67a19bf698e52_FORMATO.png",73800,37,"SAO","zag","Nulo",0,10.16,0,3.27,"São Paulo",2,7,1,3,5,9,NA,3,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
"438","Marcos Vinícius de Jesus Araújo","marcos-vinicius","Marcos Vinícius","https://s.glbimg.com/es/sde/f/2018/05/17/d29916588c79c99dd0a20debd0ea12bd_FORMATO.png",73721,37,"BOT","mei","Nulo",0,3.02,-0.14,1.1,"Botafogo",1,2,NA,6,11,3,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"439","Thiago Rodrigues de Oliveira Nogueira","thiago-rodrigues","Thiago Rodrigues","https://s.glbimg.com/es/sde/f/2018/03/21/d825409cc03f8e81e67ec76372f1b206_FORMATO.png",73414,37,"PAR","gol","Nulo",0,7.8,0,5.37,"Paraná",NA,1,NA,2,7,NA,NA,NA,NA,4,NA,NA,NA,NA,21,12,1,NA
"440","Héctor Canteros","canteros","Canteros","https://s.glbimg.com/es/sde/f/2018/05/24/fa9bf16f27c3383ff060fdf3c9113559_FORMATO.png",73918,37,"CHA","mei","Provável",1.9,7.12,0.4,1.9,"Chapecoense",5,44,4,22,137,51,3,11,1,NA,2,2,NA,NA,NA,NA,NA,NA
"441","Maurício Plenckauskas Cordeiro","mauricio-cordeiro","Maurício Cordeiro","https://s.glbimg.com/es/sde/f/2018/08/30/ee11039794974b96f58faf2d395dea71_FORMATO.png",73883,37,"VIT","ata","Nulo",0,2.4,0,0.43,"Vitória",1,6,1,1,1,1,NA,1,NA,NA,1,NA,NA,1,NA,NA,NA,NA
"442","Geuvânio Santos Silva","geuvanio","Geuvânio","https://s.glbimg.com/es/sde/f/2018/05/04/9268b435089ca4758bd26ab119d49db1_FORMATO.png",73896,37,"FLA","ata","Nulo",0,4.35,0,1.15,"Flamengo",2,12,5,2,15,9,1,4,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"443","Rayan Poltronieri Pereira","rayan","Rayan","https://s.glbimg.com/es/sde/f/2018/03/21/eafcee785dc021fd8811059271578111_FORMATO.png",73923,37,"PAR","zag","Nulo",0,2.7,0,1.09,"Paraná",7,25,1,17,19,23,NA,6,NA,1,NA,2,NA,NA,NA,NA,NA,NA
"444","Walisson Moreira Farias Maia","walisson-maia","Walisson Maia","https://s.glbimg.com/es/sde/f/2018/03/21/24015c9080aa3347098cfb88e90348e8_FORMATO.png",73991,37,"VIT","zag","Contundido",0,5.06,0,3.25,"Vitória",1,2,NA,1,5,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"445","Luis Eduardo Barros Cavalcanti","dado-cavalcanti","Dado Cavalcanti","https://s.glbimg.com/es/sde/f/2018/10/19/67657a12a492438b83870a193414419d_FORMATO.png",73975,37,"PAR","tec","Provável",2.25,6.8,0,2,"Paraná",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"446","Luis Leandro Desábato","desabato","Desábato","https://s.glbimg.com/es/sde/f/2018/09/27/711f775d92f04e0e3e7030700985dae7_FORMATO.png",73936,37,"VAS","mei","Provável",-1.3,6.41,0.15,2,"Vasco",5,39,1,18,57,56,1,3,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"447","Rodinei Marcelo de Almeida","rodinei","Rodinei","https://s.glbimg.com/es/sde/f/2018/05/04/5049d8a52c5a5f82e57248ab2ff94218_FORMATO.png",73992,37,"FLA","lat","Nulo",0,13.73,0,5.13,"Flamengo",3,17,8,30,31,29,2,8,NA,14,1,1,NA,NA,NA,NA,NA,NA
"448","Bruno da Silva Peres","bruno-peres","Bruno Peres","https://s.glbimg.com/es/sde/f/2018/08/21/069947a89a5c7a8dcdc37798d30597f0_FORMATO.png",73962,37,"SAO","lat","Nulo",0,10.07,0,4.36,"São Paulo",5,27,NA,16,36,40,NA,4,NA,5,1,NA,NA,NA,NA,NA,NA,NA
"449","Guilherme Costa Machado Silveira","guilherme-costa","Guilherme Costa","https://s.glbimg.com/es/sde/f/2018/03/21/4f92ef0e30740bc3960607bec48d3c00_FORMATO.png",74081,37,"VIT","mei","Contundido",0,2.27,0,0.72,"Vitória",1,8,1,10,4,3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"450","Roberto Junior Fernández Torres","gatito-fernandez","Gatito Fernández","https://s.glbimg.com/es/sde/f/2018/05/17/841f78d103e083bd0e8af280fcb5ffe8_FORMATO.png",74061,37,"BOT","gol","Provável",0,13.1,0,7.23,"Botafogo",1,NA,NA,3,3,NA,NA,NA,NA,3,NA,NA,NA,NA,15,4,NA,NA
"451","René Ferreira dos Santos","rene","René","https://s.glbimg.com/es/sde/f/2018/07/23/d6322968c7c6cca6de55d8c4fbb4c086_FORMATO.png",73978,37,"PAR","zag","Nulo",0,4.27,0,1.77,"Paraná",4,16,1,13,36,34,NA,3,NA,1,NA,1,NA,1,NA,NA,NA,NA
"452","Claudio Winck Neto","claudio-winck","Claudio Winck","https://s.glbimg.com/es/sde/f/2018/04/12/c30228fd68db0c7f81326317ddc62ba6_FORMATO.png",74074,37,"SPO","lat","Suspenso",3.2,4.63,-0.01,3.11,"Sport",7,43,8,23,64,24,1,20,NA,5,3,4,NA,1,NA,NA,NA,NA
"453","Alison Lopes Ferreira","alison","Alison","https://s.glbimg.com/es/sde/f/2018/05/23/3ee08dfe1559a120f4dcd89514b80775_FORMATO.png",73974,37,"SAN","mei","Suspenso",4.4,8.04,-0.19,2.54,"Santos",12,44,1,27,43,71,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"454","José Élber Pimentel da Silva","elber","Élber","https://s.glbimg.com/es/sde/f/2018/03/21/1b00098477bad4e60d3bc520dc464ab7_FORMATO.png",74140,37,"BAH","mei","Contundido",0,6.3,0,3.74,"Bahia",8,20,15,55,59,33,4,4,NA,NA,4,4,NA,NA,NA,NA,NA,NA
"455","Alejandro Abraham Guerra Morales","guerra","Guerra","https://s.glbimg.com/es/sde/f/2017/02/19/fa873321a36da270244cf230ac534a50_FORMATO.png",74213,37,"PAL","mei","Nulo",0,6.94,0,2.4,"Palmeiras",NA,6,4,9,9,5,NA,2,NA,NA,1,3,NA,NA,NA,NA,NA,NA
"456","Yago Fernando da Silva","yago","Yago","https://s.glbimg.com/es/sde/f/2018/03/20/13d6ab565918a4bad475a1569e05162d_FORMATO.png",77500,37,"BOT","zag","Nulo",0,4.23,0,3.12,"Botafogo",NA,3,NA,1,3,5,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
"457","Gustavo Henrique Vernes","gustavo-henrique","Gustavo Henrique","https://s.glbimg.com/es/sde/f/2018/05/23/600ec8ed7ab3b2e4b459743279ec4d6a_FORMATO.png",78248,37,"SAN","zag","Provável",3,5.91,0.34,3.27,"Santos",7,35,8,15,30,22,NA,8,1,12,1,4,NA,NA,NA,NA,NA,NA
"458","Derlis Alberto González Galeano","derlis-gonzalez","Derlis González","https://s.glbimg.com/es/sde/f/2018/08/02/82821b03d402e292e2c9436d34a6f1b3_FORMATO.png",75372,37,"SAN","ata","Provável",7,8.78,0.6,2.97,"Santos",5,27,4,16,23,19,5,4,NA,NA,1,5,NA,NA,NA,NA,NA,NA
"459","César Bernardo Dutra","cesar","César","https://s.glbimg.com/es/sde/f/2018/05/04/f71b2fc3dc540b79567e4897bc155101_FORMATO.png",78086,37,"FLA","gol","Provável",13.7,6.74,1.03,6.11,"Flamengo",1,NA,NA,5,10,NA,NA,NA,NA,8,NA,NA,NA,NA,19,11,1,NA
"460","Francisco Rithely da Silva Sousa","rithely","Rithely","https://s.glbimg.com/es/sde/f/2018/09/04/b0fdf1d79ae70c573a8741d9b5226056_FORMATO.png",68834,37,"INT","mei","Nulo",0,8,0,0,"Internacional",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"461","Wanderson Santos Pereira","wanderson","Wanderson","https://s.glbimg.com/es/sde/f/2018/05/08/ebbd8503f27be0857e0c6fbad5884636_FORMATO.png",86143,37,"ATL","zag","Provável",1.4,3.77,0.26,1.43,"Atlético-PR",2,22,1,3,28,13,NA,2,NA,4,NA,1,NA,NA,NA,NA,NA,NA
"462","William de Oliveira Pottker","william-pottker","William Pottker","https://s.glbimg.com/es/sde/f/2018/04/08/06ddb3ee2ae6d52b98811b532e854970_FORMATO.png",77809,37,"INT","ata","Nulo",1.2,5.04,-0.14,3.01,"Internacional",4,31,17,41,57,26,NA,17,1,NA,5,7,NA,1,NA,NA,NA,NA
"463","Douglas Ricardo Grolli","douglas-grolli","Douglas Grolli","https://s.glbimg.com/es/sde/f/2018/03/21/ea4ba4bd9ed18698a6dad571dfdddbf9_FORMATO.png",78407,37,"BAH","zag","Provável",0,3.03,0,2.26,"Bahia",4,11,3,7,11,7,NA,2,NA,3,1,1,NA,NA,NA,NA,NA,NA
"464","Gustavo Leonardo Cuellar Gallego","cuellar","Cuéllar","https://s.glbimg.com/es/sde/f/2018/05/04/f29c0031ffc2adccbe51088049c2dea0_FORMATO.png",71709,37,"FLA","mei","Provável",11.5,11.19,2.03,3.7,"Flamengo",6,56,3,12,45,99,2,5,NA,NA,NA,NA,NA,3,NA,NA,NA,NA
"465","Charles Luis Reiter","charles","Charles","https://s.glbimg.com/es/sde/f/2018/03/21/c6be1b00e5922e5a5cb8a8f78031dc24_FORMATO.png",84187,37,"PAR","zag","Provável",0.7,4.33,-0.52,2.58,"Paraná",1,8,1,9,6,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"466","Edigar Junio Teixeira Lima ","edigar-junio","Edigar Junio","https://s.glbimg.com/es/sde/f/2018/03/21/9c46c9f1269d97acf20157efb70009cc_FORMATO.png",74271,37,"BAH","ata","Provável",1.8,8.14,-1.43,3.51,"Bahia",NA,35,10,36,22,10,1,15,1,NA,6,3,NA,NA,NA,NA,NA,NA
"467","Victor Vinícius Coelho dos Santos","vitinho","Vitinho","https://s.glbimg.com/es/sde/f/2018/07/27/9ec5f19c97f40e2971bc97aaad240504_FORMATO.png",78435,37,"FLA","ata","Provável",1.9,15.49,-0.39,6.31,"Flamengo",2,41,17,27,75,45,5,30,2,NA,3,2,NA,NA,NA,NA,NA,NA
"468","Jean Mota Oliveira de Sousa","jean-mota","Jean Mota","https://s.glbimg.com/es/sde/f/2018/05/23/e95e3279b90476741de13a56e388d9e2_FORMATO.png",78548,37,"SAN","mei","Provável",0,8.27,0,2.9,"Santos",4,27,17,21,46,23,NA,14,1,NA,1,NA,NA,NA,NA,NA,NA,NA
"469","Fernando Uribe Hincapié","uribe","Uribe","https://s.glbimg.com/es/sde/f/2018/06/26/45c70625ffaffe103edf398479ba754f_FORMATO.png",78415,37,"FLA","ata","Provável",-1.9,7.53,-2.26,4.32,"Flamengo",1,12,5,9,23,9,2,15,2,NA,6,6,NA,NA,NA,NA,NA,NA
"470","Renê Rodrigues Martins","rene","Renê","https://s.glbimg.com/es/sde/f/2018/05/04/d9cbd0281e5c54c7aeba457eb5b5c0b3_FORMATO.png",78445,37,"FLA","lat","Provável",5,14.78,-0.51,6.9,"Flamengo",7,35,8,36,129,90,5,6,NA,18,2,1,NA,NA,NA,NA,NA,NA
"471","Alex Broch Amado","alex-amado","Alex Amado","https://s.glbimg.com/es/sde/f/2018/05/25/055b1d0fb6c075db8e35833a078cc79a_FORMATO.png",78475,37,"CEA","ata","Contundido",0,4,0,0,"Ceará",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"472","Willian Souza Arão da Silva","willian-arao","Willian Arão","https://s.glbimg.com/es/sde/f/2018/05/04/7eaa4c1c2e6b64b02a95ce12d0d027c4_FORMATO.png",78478,37,"FLA","mei","Provável",5.8,5.43,0.9,3.07,"Flamengo",4,32,2,12,38,42,2,8,NA,NA,2,1,NA,NA,NA,NA,NA,NA
"473","Douglas Alan Schuck Friedrich","douglas-friedrich","Douglas Friedrich","https://s.glbimg.com/es/sde/f/2018/05/16/a263b1371bc6737cc4e274a26a816460_FORMATO.png",78584,37,"BAH","gol","Provável",-2,3.28,-0.99,2.26,"Bahia",2,2,NA,4,17,1,NA,NA,NA,8,NA,NA,1,1,26,26,1,NA
"474","Gabriel Girotto Franco","gabriel","Gabriel","https://s.glbimg.com/es/sde/f/2018/03/20/f7f3ef2aa7e013b4bf918f93353c9027_FORMATO.png",78605,37,"COR","mei","Provável",0,11.37,0,4.05,"Corinthians",6,45,2,29,45,77,NA,6,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"475","Bryan Silva Garcia","bryan","Bryan","https://s.glbimg.com/es/sde/f/2018/03/21/a8f3ed5f7b584d647a494bae8c83e9f0_FORMATO.png",78632,37,"VIT","lat","Nulo",0,4.9,0,0.91,"Vitória",1,10,NA,11,25,2,1,3,NA,2,NA,NA,NA,1,NA,NA,NA,NA
"476","Ricardo Dias Acosta","ricardinho","Ricardinho","https://s.glbimg.com/es/sde/f/2018/05/25/d1aa684a9cd6db81f6b731e89f9ae993_FORMATO.png",78577,37,"CEA","mei","Provável",4.7,5.15,0.58,2.16,"Ceará",2,20,7,10,41,23,2,13,NA,NA,1,5,NA,NA,NA,NA,NA,NA
"477","Arnaldo Manoel de Almeida","arnaldo","Arnaldo","https://s.glbimg.com/es/sde/f/2018/10/19/8a44176e1762a76e629f97a6512af491_FORMATO.png",78497,37,"CEA","lat","Nulo",0,4.33,0,2.44,"Ceará",2,6,NA,13,16,8,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA
"478","Eduardo Schroeder Brock","eduardo-brock","Eduardo Brock","https://s.glbimg.com/es/sde/f/2018/07/09/c423c8ca4d7c6cdc1082532652fa4d73_FORMATO.png",78654,37,"CEA","zag","Provável",4.9,5.56,-0.32,4.36,"Ceará",1,7,1,3,7,6,NA,1,NA,6,NA,NA,NA,NA,NA,NA,NA,NA
"479","Reinaldo Manoel da Silva","reinaldo","Reinaldo","https://s.glbimg.com/es/sde/f/2018/08/22/8ff8975422f0d4acefd5a6051912fad9_FORMATO.png",78850,37,"SAO","lat","Suspenso",2.2,11.54,0.03,4.82,"São Paulo",6,52,13,33,106,52,2,30,NA,11,2,2,NA,NA,NA,NA,NA,NA
"480","Ramiro Moschen Benetti","ramiro","Ramiro","https://s.glbimg.com/es/sde/f/2018/05/21/b542f6b29859cc988c01d38d2b6e75b2_FORMATO.png",78715,37,"GRE","mei","Provável",0.8,3.88,0.2,0.86,"Grêmio",10,30,7,25,60,28,NA,11,NA,NA,NA,3,NA,NA,NA,NA,NA,NA
"481","Richard de Oliveira da Costa","richard","Richard","https://s.glbimg.com/es/sde/f/2018/03/21/dafe5b45d701a96a952c6fb9a210aff9_FORMATO.png",78851,37,"PAR","gol","Provável",-0.5,3.72,-1.25,1.69,"Paraná",3,1,NA,8,5,NA,NA,NA,NA,1,NA,NA,NA,NA,36,36,NA,NA
"482","João Gabriel da Silva Teles","joao-gabriel","João Gabriel","https://s.glbimg.com/es/sde/f/2018/07/18/cdb3198a3be8439cedd0ff7411245c64_FORMATO.png",78894,37,"VIT","gol","Provável",19.7,5.5,2.15,8.85,"Vitória",NA,NA,NA,NA,2,NA,NA,NA,NA,2,NA,NA,NA,NA,12,5,NA,NA
"483","Rodrigo Dourado Cunha","rodrigo-dourado","Rodrigo Dourado","https://s.glbimg.com/es/sde/f/2018/04/08/d62e4f24b1b01196c8a645026d8091b2_FORMATO.png",78865,37,"INT","mei","Provável",1,10.16,-0.17,3.11,"Internacional",11,75,4,32,53,96,1,2,NA,NA,1,3,NA,NA,NA,NA,NA,NA
"484","Thiago dos Santos","thiago-santos","Thiago Santos","https://s.glbimg.com/es/sde/f/2017/04/18/2d51cc56ccd1291d116060e00ca663b6_FORMATO.png",78855,37,"PAL","mei","Nulo",0,8.67,0,4.3,"Palmeiras",5,61,2,26,32,76,1,5,1,NA,1,1,NA,NA,NA,NA,NA,NA
"485","Luiz Felipe do Nascimento dos Santos","luiz-felipe","Luiz Felipe","https://s.glbimg.com/es/sde/f/2018/05/23/eb04770f3da8a1f12c1c106ae49306e1_FORMATO.png",79035,37,"SAN","zag","Provável",4.9,3.81,1.41,2,"Santos",5,15,NA,11,18,12,NA,3,NA,4,NA,2,NA,NA,NA,NA,NA,NA
"486","Moisés Ribeiro Santos","moises-ribeiro","Moisés Ribeiro","https://s.glbimg.com/es/sde/f/2017/04/25/c7b046cc3c9a420d4047bb8d6d4b6570_FORMATO.png",78991,37,"CHA","mei","Suspenso",0,4,0,0,"Chapecoense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"487","Leandro Marcos Pereira","leandro-pereira","Leandro Pereira","https://s.glbimg.com/es/sde/f/2018/04/20/66bf3e845077a9349722635410bed305_FORMATO.png",78968,37,"CHA","ata","Provável",5.7,8.32,-2.29,4.04,"Chapecoense",4,53,25,41,22,18,NA,30,4,NA,9,20,NA,1,NA,NA,NA,NA
"488","Guilherme Bitencourt da Silva","guilherme-biteco","Guilherme Biteco","https://s.glbimg.com/es/sde/f/2018/03/21/99b739570272c9b1d4c9ce878c22407c_FORMATO.png",79064,37,"PAR","mei","Nulo",0,3.99,0,1.12,"Paraná",3,3,1,1,4,2,NA,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"489","Tiago Pagnussat","tiago","Tiago ","https://s.glbimg.com/es/sde/f/2018/03/21/d0b3cd897f4a410323886fb6d92bd822_FORMATO.png",79042,37,"BAH","zag","Suspenso",-3,7.53,-1.77,3.9,"Bahia",4,30,5,18,43,34,NA,10,NA,6,2,2,NA,1,NA,NA,NA,NA
"490","Marcos Antônio Almeida Silva","marcao-silva","Marcão Silva","https://s.glbimg.com/es/sde/f/2018/09/03/366221777b27d47b3dd23d5c81443e9c_FORMATO.png",78856,37,"SPO","mei","Dúvida",-1.1,3.71,-0.57,1.83,"Sport",2,26,NA,13,30,29,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"491","Fabiano da Silva Souza","fabiano","Fabiano","https://s.glbimg.com/es/sde/f/2018/09/04/dd622172f30483dda8563ef9249cdae1_FORMATO.png",79244,37,"VIT","lat","Dúvida",8,7.18,1.01,3.74,"Vitória",2,23,NA,6,35,21,1,2,1,3,1,NA,NA,NA,NA,NA,NA,NA
"492","Víctor Leandro Cuesta","victor-cuesta","Víctor Cuesta","https://s.glbimg.com/es/sde/f/2018/04/08/b6cd86f9590fd3e82cb545ac74dc8c41_FORMATO.png",79113,37,"INT","zag","Provável",5.6,17.63,-0.02,6.13,"Internacional",11,48,3,40,66,94,2,4,NA,15,2,3,NA,1,NA,NA,NA,NA
"493","Luiz Ricardo Alves","sassa","Sassá","https://s.glbimg.com/es/sde/f/2018/05/07/89b8e9b3d830ff681500c63572397636_FORMATO.png",79578,37,"CRU","ata","Dúvida",2,2.36,0.12,1.12,"Cruzeiro",4,29,2,20,6,5,NA,11,NA,NA,2,7,NA,NA,NA,NA,NA,NA
"494","Romário Marques Rodrigues","romario-rodrigues","Romário Rodrigues","https://s.glbimg.com/es/sde/f/2018/05/25/9437477289ccd352c97a67ca86f16f82_FORMATO.png",79336,37,"CEA","ata","Contundido",0,2,0,0,"Ceará",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"495","Ricardo César Dantas da Silva","ricardo-silva","Ricardo Silva","https://s.glbimg.com/es/sde/f/2018/04/20/295c4ab26ba72d42690b414ec721c2ea_FORMATO.png",79334,37,"AME","zag","Nulo",0,3.14,0,4.7,"América-MG",NA,1,1,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"496","Nery Rubén Bareiro Zorrilla","nery-bareiro","Nery Bareiro","https://s.glbimg.com/es/sde/f/2018/05/24/0c06a4174eedc3d6995146e7fc6bd3b2_FORMATO.png",79276,37,"CHA","zag","Nulo",0,4.32,0,1.1,"Chapecoense",NA,6,NA,4,1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"497","Fabiano Leissmann","fabiano","Fabiano","https://s.glbimg.com/es/sde/f/2018/03/21/80a060ad2737a4abce46a048d853c93e_FORMATO.png",79887,37,"INT","lat","Provável",8.7,9.13,1.81,2.76,"Internacional",7,26,1,5,57,34,1,4,NA,11,NA,NA,1,NA,NA,NA,NA,NA
"498","Antônio Carlos Cunha Capocasali Júnior","antonio-carlos","Antônio Carlos ","https://s.glbimg.com/es/sde/f/2017/04/18/5b3fcb4c6c1625d8e38d933619f9e42a_FORMATO.png",79702,37,"PAL","zag","Nulo",0,7.28,0,2.74,"Palmeiras",5,18,3,11,33,17,1,4,2,6,1,1,NA,NA,NA,NA,NA,NA
"499","Lucas Silva Borges","lucas-silva","Lucas Silva","https://s.glbimg.com/es/sde/f/2018/05/07/ca0ef33e042d0136838dfb74844f22a7_FORMATO.png",79701,37,"CRU","mei","Provável",0,4.95,0,2.21,"Cruzeiro",4,35,3,23,47,41,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
