"","atletas.nome","atletas.slug","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","atletas.clube.id.full.name","DS","FC","FS","FT","PI","A","CA","FD","FF","G","DD","DP","GS","I","SG","PP","CV","GC"
"356","Michel Daryl Araújo Villar","michel-araujo","Michel Araújo ","https://s.glbimg.com/es/sde/f/2020/08/11/5acb05c96172c81382ad77978909d458_FORMATO.png",107173,5,266,"mei","Provável",5.9,6.43,0.82,3.74,5,"Fluminense",12,10,20,NA,26,NA,1,3,4,NA,NA,NA,NA,1,NA,NA,NA,NA
"357","Nicolas Vichiatto da Silva","nicolas","Nicolas","https://s.glbimg.com/es/sde/f/2020/02/27/7f5642f8b7524479c49deb8ff60b5bdb_FORMATO.png",95127,5,373,"lat","Provável",-0.7,5.9,-0.48,2.9,4,"Atlético-GO",9,4,4,NA,64,NA,NA,2,2,NA,NA,NA,NA,NA,1,NA,NA,NA
"358","Henrique Vermudt","henrique-vermudt","Henrique Vermudt","https://s.glbimg.com/es/sde/f/2020/03/03/935e5497d5d03ac1eefea34e909731cf_FORMATO.png",104504,5,294,"mei","Nulo",0,2,0,0,0,"Coritiba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"359","Osvaldo Lourenço Filho","osvaldo","Osvaldo","https://s.glbimg.com/es/sde/f/2019/03/22/cf67516d72742aa5e48694567a33d6b6_FORMATO.png",42222,5,356,"ata","Provável",-0.3,5.01,-1.42,2.28,5,"Fortaleza",8,3,3,NA,35,1,1,1,4,NA,NA,NA,NA,1,NA,NA,NA,NA
"360","Miguel Silveira dos Santos","miguel","Miguel","https://s.glbimg.com/es/sde/f/2020/08/11/d3bc0d5856387f3aab09b5c23bc2f805_FORMATO.png",105612,5,266,"mei","Nulo",0,2.39,0,0.3,1,"Fluminense",NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"361","Nathanael Ananias da Silva","nathan-silva","Nathan Silva","https://s.glbimg.com/es/sde/f/2020/03/03/b83d40e4104fc0cb62636da75ac2daaa_FORMATO.png",95794,5,294,"mei","Nulo",0,2.39,0,-0.13,3,"Coritiba",7,10,4,NA,12,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"362","Luis Eduardo Marques Dos Santos","dudu","Dudu","https://s.glbimg.com/es/sde/f/2020/02/27/94657541c8cae30d9fa105e9c6215055_FORMATO.png",97133,5,373,"lat","Provável",1,2.13,0.53,-0.67,3,"Atlético-GO",3,6,1,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA
"363","Edson Fernandes Botelho Júnior","edson-junior","Edson Júnior","https://s.glbimg.com/es/sde/f/2020/02/27/9d57e7ce2dd807fc1e2cd5ab58914a0d_FORMATO.png",93956,5,373,"ata","Nulo",0,1,0,0,0,"Atlético-GO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"364","Marcelo Boeck","marcelo-boeck","Marcelo Boeck","https://s.glbimg.com/es/sde/f/2019/03/22/4b4e1c64603c84d346f4ba4ad46fb562_FORMATO.png",37788,5,356,"gol","Nulo",0,4,0,0,0,"Fortaleza",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"365","Bruno Conceição Praxedes","praxedes","Praxedes","https://s.glbimg.com/es/sde/f/2020/07/20/521eb9012cf96bba8e8c3b08e79b3138_FORMATO.png",107744,5,285,"mei","Nulo",0,0.75,0,-0.6,2,"Internacional",2,3,1,NA,18,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"366","Roger de Carvalho","roger-carvalho","Roger Carvalho","https://s.glbimg.com/es/sde/f/2019/08/16/d8515ccddc1f7af2e574aa804762157c_FORMATO.png",51415,5,356,"zag","Contundido",0,4,0,0,0,"Fortaleza",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"367","Henry Vaca Urquiza","vaca","Vaca","https://s.glbimg.com/es/sde/f/2020/03/03/49c4df4b898d3ab3f8b1ae29282b06a4_FORMATO.png",98992,5,373,"mei","Nulo",0,3,0,0,0,"Atlético-GO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"368","Carlos Eduardo Soares Mota","carlos-eduardo","Carlos Eduardo","https://s.glbimg.com/es/sde/f/2020/02/27/3e68131e760ca1e4bc68e176dfd5b5ec_FORMATO.png",90416,5,292,"gol","Nulo",0,2,0,0,0,"Sport",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"369","Luan Sales do Nascimento","luan-sales","Luan Sales","https://s.glbimg.com/es/sde/f/2020/02/27/25e5ba5111423391cf04d80af4d3d556_FORMATO.png",105521,5,373,"lat","Nulo",0,1,0,0,0,"Atlético-GO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"370","Michel Custódio Gonçalves de Sousa","michel","Michel","https://s.glbimg.com/es/sde/f/2020/02/27/48b92b6d8bc99b6f238976e69f565bac_FORMATO.png",105809,5,373,"zag","Nulo",0,1,0,0,0,"Atlético-GO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"371","Lucas Pereira Ribeiro de Souza","lucas-pereira","Lucas Pereira","https://s.glbimg.com/es/sde/f/2020/02/27/7accab459be3ca0353d8cfe1819fcd5c_FORMATO.png",100100,5,373,"gol","Nulo",0,2,0,0,0,"Atlético-GO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"372","Rafael Luiz Santos da Costa","rafael-luiz","Rafael Luiz","https://s.glbimg.com/es/sde/f/2020/07/19/a88b7f46bea579ce4e3acb60e6279a37_FORMATO.png",107543,5,292,"lat","Nulo",0,1.43,0,0.4,2,"Sport",4,5,4,NA,2,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"373","Francisco Alves da Silva Melo","chico","Chico","https://s.glbimg.com/es/sde/f/2020/02/27/091e13c92c44ecc1214f5f2ecd1f2b5d_FORMATO.png",99253,5,292,"zag","Provável",0.6,1.67,-0.33,0.6,1,"Sport",3,1,1,NA,4,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"374","Maxwell Lima Santos Silva","maxwell","Maxwell","https://s.glbimg.com/es/sde/f/2020/02/27/6dd964a64713673b192cdf5819becdb7_FORMATO.png",107092,5,292,"ata","Nulo",0,2.54,0,1.5,1,"Sport",1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"375","Luan Peres Petroni","luan-peres","Luan Peres ","https://s.glbimg.com/es/sde/f/2019/09/16/6a774b65d32e1e3586030adb069316e3_FORMATO.png",84847,5,277,"zag","Provável",-0.4,5.65,-1.05,2.84,5,"Santos",4,NA,4,NA,18,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"376","Neilton Meira Mestzk","neilton","Neilton","https://s.glbimg.com/es/sde/f/2020/07/30/cc647d1f9a8818aedd430516d1d61f68_FORMATO.png",83772,5,294,"ata","Provável",4.8,6.48,0.69,2.77,3,"Coritiba",7,4,3,NA,14,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"377","João Victor da Silva Marcelino","joao-victor","João Victor","https://s.glbimg.com/es/sde/f/2020/07/11/4c4dadeaea30878f0a87ab9fd6ae8d27_FORMATO.png",104250,5,373,"zag","Nulo",0,2,0,0,0,"Atlético-GO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"378","Wanderley de Jesus Sousa","derley","Derley","https://s.glbimg.com/es/sde/f/2019/03/22/38fbbc852eaf7ac63811890c98f9ee2a_FORMATO.png",60791,5,356,"mei","Dúvida",0,4.2,0,1.8,1,"Fortaleza",1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"379","Matheus Henrique Frizzo","matheus-frizzo","Matheus Frizzo","https://s.glbimg.com/es/sde/f/2020/07/11/2dc14015d68ca277c5634cdf32a64b92_FORMATO.png",106628,5,373,"mei","Nulo",1.4,1.89,-0.11,1.4,1,"Atlético-GO",1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"380","Paulo Marcos de Jesus Ribeiro","paulao","Paulão","https://s.glbimg.com/es/sde/f/2019/11/14/7b85c924694c25ac9829f4379ef2b451_FORMATO.png",63172,5,356,"zag","Provável",0.3,1.19,-0.03,0.42,5,"Fortaleza",4,5,1,NA,7,NA,2,NA,1,NA,NA,NA,NA,2,1,NA,NA,NA
"381","Luciano Batista da Silva Junior","luciano-juba","Luciano Juba","https://s.glbimg.com/es/sde/f/2020/02/27/31b914c6b9a40f145d57b7006f20116e_FORMATO.png",107093,5,292,"lat","Nulo",0,0.75,0,-1,2,"Sport",2,4,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"382","Carlos Emiliano Pereira","carlinhos","Carlinhos","https://s.glbimg.com/es/sde/f/2019/03/22/7da6584b8edbee8649acb25931c97e1e_FORMATO.png",63194,5,356,"lat","Dúvida",0,6.78,0,4.2,2,"Fortaleza",4,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"383","Iván Darío Angulo Cortés","ivan-angulo","Iván Angulo","https://s.glbimg.com/es/sde/f/2019/07/02/731398bec297fdd7b71603f1da8e4c61_FORMATO.jpeg",105841,5,275,"ata","Nulo",0,4,0,0,0,"Palmeiras",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"384","Victor Luis Chuab Zamblauskas","victor-luis","Victor Luis","https://s.glbimg.com/es/sde/f/2020/07/21/63b1b5162d56c5b17d785e530bc0fd50_FORMATO.png",86410,5,263,"lat","Contundido",0,9.5,0,6.2,2,"Botafogo",7,NA,2,NA,18,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"385","Ricardo Santos Silva","ricardo","Ricardo","https://s.glbimg.com/es/sde/f/2020/02/27/fbb1ac4e273c8b199f61a3feff3d1d9b_FORMATO.png",105519,5,373,"mei","Nulo",0,2,0,0,0,"Atlético-GO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"386","Leonardo Natel Vieira","leo-natel","Léo Natel","https://s.glbimg.com/es/sde/f/2020/07/21/75fe8f637b732326ab10856c62020124_FORMATO.png",98952,5,264,"ata","Provável",3.6,4.46,-0.61,4.37,3,"Corinthians",6,6,3,NA,14,NA,1,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA
"387","Odair Marciano de Oliveira Filho","odair","Odair","",108745,5,373,"zag","Nulo",0,2,0,0,0,"Atlético-GO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"388","Jackson de Souza","jackson","Jackson","https://s.glbimg.com/es/sde/f/2020/03/06/d22e844f59f83a532bc261ec38a55da4_FORMATO.png",70934,5,356,"zag","Provável",-0.9,2.43,-0.63,0.62,4,"Fortaleza",7,4,4,NA,13,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"389","Rafael Forster","rafael-forster","Rafael Forster","https://s.glbimg.com/es/sde/f/2020/07/25/45f0a542e4a96e80e8787fdca06ccec8_FORMATO.png",82764,5,263,"zag","Provável",-0.2,2.65,-0.46,0.63,3,"Botafogo",2,NA,1,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"390","Matheus Nascimento de Paula","matheus-nascimento","Matheus Nascimento","https://s.glbimg.com/es/sde/f/2020/07/24/8a1ac8ba35bfc1ebaa7416cd41c56766_FORMATO.png",109114,5,263,"ata","Nulo",0,1,0,0,0,"Botafogo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"391","Jaime Alberto Alvarado Hoyos","alvarado","Alvarado","https://s.glbimg.com/es/sde/f/2020/07/25/4a02063b707aa80eda6644030e78eaf9_FORMATO.png",107991,5,293,"mei","Nulo",0,5,0,0,0,"Athlético-PR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"392","Francisco Vítor Silva Costa","victor-jacare","Victor Jacaré","https://s.glbimg.com/es/sde/f/2020/08/25/682aea868615c09c3571352b835cc394_FORMATO.png",101201,5,354,"ata","Nulo",0,7.41,0,2.6,4,"Ceará",NA,5,7,NA,13,NA,NA,NA,4,1,NA,NA,NA,1,NA,NA,NA,NA
"393","Miguel Ferreira Damasceno","miguel-figueira","Miguel Figueira","https://s.glbimg.com/es/sde/f/2020/08/26/3fa464ee6de9c64f2d753dc0dc419801_FORMATO.jpeg",102565,5,290,"mei","Nulo",1.2,1.72,0.02,0.85,2,"Goiás",2,1,1,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"394","Paulo Henrique Pereira da Silva","paulinho-boia","Paulinho Bóia","https://s.glbimg.com/es/sde/f/2020/07/21/b835e53eaf060e493f1fdd092c0174c6_FORMATO.png",100333,5,276,"ata","Nulo",0,4.4,0,3.55,2,"São Paulo",2,3,6,1,14,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"395","David de Duarte Macedo","david-duarte","David Duarte","https://s.glbimg.com/es/sde/f/2020/08/26/4978572126e19c8d360d62716fe78b26_FORMATO.jpeg",91772,5,290,"zag","Nulo",0,3,0,0,0,"Goiás",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"396","Lucas Felipe Calegari","calegari","Calegari","https://s.glbimg.com/es/sde/f/2020/08/11/62173af2578274ecacd1dfb222a0b1ed_FORMATO.png",104276,5,266,"lat","Provável",10.3,4.3,2.3,10.3,1,"Fluminense",5,2,4,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"397","Matheus Isaías dos Santos","matheus-jussa","Matheus Jussa","https://s.glbimg.com/es/sde/f/2020/07/20/b6025d70931dcc81ed6357f0201f65e9_FORMATO.png",91689,5,285,"zag","Nulo",0,2.97,0,2.4,1,"Internacional",2,3,NA,NA,11,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"398","Michel Ferreira dos Santos","michel","Michel","https://s.glbimg.com/es/sde/f/2020/03/05/03b35e3e31d6bfe5f6b114278bb82794_FORMATO.png",71920,5,356,"mei","Nulo",0,5,0,0,0,"Fortaleza",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"399","Brenno Oliveira Fraga Costa","brenno","Brenno","https://s.glbimg.com/es/sde/f/2020/07/19/1748daa635dc775b9136f10307a95ab1_FORMATO.png",100830,5,284,"gol","Nulo",0,1,0,0,0,"Grêmio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"400","Kevin Peterson dos Santos Silva","kevin","Kevin ","https://s.glbimg.com/es/sde/f/2020/07/22/3146ee098c41caa4d1ed2022bd3dc17e_FORMATO.png",91888,5,263,"lat","Provável",0.5,2.17,-0.31,0.55,2,"Botafogo",2,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"401","César Coelho Campos Júnior","cesinha","Cesinha","https://s.glbimg.com/es/sde/f/2020/07/20/9084acbdc2fa8f6a0f4cb02c41701033_FORMATO.png",107746,5,285,"mei","Nulo",0,1,0,0,0,"Internacional",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"402","Kaio Nunes Ferreira","kaio","Kaio","https://s.glbimg.com/es/sde/f/2020/08/26/defba11bfc1c0574154c40932f23aefd_FORMATO.jpeg",102563,5,290,"mei","Nulo",0,3,0,0,0,"Goiás",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"403","Guilherme Alecsander Guedes","guilherme-guedes","Guilherme Guedes","https://s.glbimg.com/es/sde/f/2020/07/19/3e492b4747eacc5d7e87267e97310fad_FORMATO.png",100741,5,284,"lat","Nulo",0,3,0,0,0,"Grêmio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"404","Jefferson Junio Antônio da Silva","jefferson","Jefferson","https://s.glbimg.com/es/sde/f/2020/08/26/1b4ff7917a54d469be132fbe58592256_FORMATO.jpeg",95220,5,290,"lat","Nulo",4.2,5.99,0,5.85,2,"Goiás",3,1,1,NA,18,NA,1,NA,NA,1,NA,NA,NA,1,1,NA,NA,NA
"405","Leonardo Borges da Silva","leonardo-borges","Leonardo Borges","https://s.glbimg.com/es/sde/f/2020/07/26/c3a222558472978d707d1cf23e5f8139_FORMATO.png",105839,5,285,"lat","Nulo",0,1,0,0,0,"Internacional",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"406","Thalles Gabriel Morais dos Reis","thalles","Thalles","https://s.glbimg.com/es/sde/f/2020/08/26/29ed45b9104e691d2e12cd4ecb6bbd0b_FORMATO.jpeg",95222,5,290,"mei","Nulo",0,3.27,0,0.7,1,"Goiás",1,NA,1,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"407","Ángelo Giovanni Araos Llanos","araos","Araos","https://s.glbimg.com/es/sde/f/2020/07/21/e063b0d6307468bf5a905f24f53404ff_FORMATO.png",102352,5,264,"mei","Provável",4,9.1,-0.32,6.75,4,"Corinthians",7,3,7,NA,28,2,1,2,3,1,NA,NA,NA,NA,NA,NA,NA,NA
"408","Phelipe Megiolaro Alves","phelipe","Phelipe","https://s.glbimg.com/es/sde/f/2020/07/19/e52503594503e3d1c2afbe4716ffa36c_FORMATO.png",103524,5,284,"gol","Nulo",0,1,0,0,0,"Grêmio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"409","Tiago Barbosa Figueiredo","tiago-barbosa","Tiago Barbosa","https://s.glbimg.com/es/sde/f/2020/07/20/48e64443c43ff43fa1a705b9c5ee4534_FORMATO.png",107742,5,285,"zag","Nulo",0,2,0,0,0,"Internacional",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"410","Kevin Martín Quevedo Mathey","quevedo","Quevedo","https://s.glbimg.com/es/sde/f/2020/08/26/54867caab3aa189c69f2374c4489689d_FORMATO.jpeg",102197,5,290,"ata","Nulo",0,1,0,0,0,"Goiás",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"411","Ignacio Andrés Jara Vargas","ignacio-jara","Ignacio Jara ","https://s.glbimg.com/es/sde/f/2020/08/26/37e5e42d57b218a1b99233cecb344897_FORMATO.jpeg",107318,5,290,"mei","Nulo",0,1.48,0,0,1,"Goiás",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"412","Daniel Sartori Bessa","daniel-bessa","Daniel Bessa","https://s.glbimg.com/es/sde/f/2020/08/26/f8c7d3a76680619bf773e434179d4df4_FORMATO.jpeg",103591,5,290,"mei","Nulo",12.1,8.82,2.15,6.42,4,"Goiás",11,6,2,1,15,NA,2,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA
"413","Brenner Souza da Silva","brenner","Brenner","https://s.glbimg.com/es/sde/f/2020/07/23/08b2259246ad0fdc037dd11a4549d219_FORMATO.png",99789,5,276,"ata","Nulo",0,3,0,0,0,"São Paulo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"414","Gustavo Coutinho Silva Lopes","gustavo-coutinho","Gustavo Coutinho","https://s.glbimg.com/es/sde/f/2019/03/22/219513fd22c061ae4c06d8ae536f7b6f_FORMATO.png",104362,5,356,"ata","Nulo",0,1,0,0,0,"Fortaleza",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"415","Heron Crespo da Silva","heron","Heron","https://s.glbimg.com/es/sde/f/2020/08/26/4c288b07196f199d01bf56867451c668_FORMATO.jpeg",105339,5,290,"zag","Nulo",0,0.75,0,0,3,"Goiás",4,5,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"416","Madson de Souza Silva","madson","Madson","https://s.glbimg.com/es/sde/f/2020/07/26/9c86e8b3081d6953961c842f08d4961a_FORMATO.png",99048,5,356,"ata","Nulo",0,2,0,0,0,"Fortaleza",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"417","Matheus Henrique Teixeira","matheus-teixeira","Matheus Teixeira","https://s.glbimg.com/es/sde/f/2020/02/28/0be52fce88dbd641cee3e966d4765bbb_FORMATO.png",102907,5,265,"gol","Nulo",0,1,0,0,0,"Bahia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"418","Marthã Fernando Gonçalves Pimenta","martha","Marthã","https://s.glbimg.com/es/sde/f/2020/01/16/9b5adea073467ee84f68436f0d462a6f_FORMATO.png",107400,5,354,"mei","Nulo",0,1,0,0,0,"Ceará",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"419","Carlos Eduardo da Silva Rodrigues Lima","carlos-eduardo","Carlos Eduardo","https://s.glbimg.com/es/sde/f/2020/07/20/e4dbbf8866206bb1c0611baf30621efc_FORMATO.png",107756,5,285,"zag","Nulo",0,1,0,0,0,"Internacional",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"420","Jaques Bonfim Nazaré Neto","jaques","Jaques","https://s.glbimg.com/es/sde/f/2019/03/29/0aa6fcfbdf775616d09fa583d45fecee_FORMATO.png",104128,5,265,"zag","Nulo",0,1,0,0,0,"Bahia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"421","Breno Washington Rodrigues da Silva","breno","Breno","https://s.glbimg.com/es/sde/f/2020/08/26/d2737704a379be01e8864b8345b30982_FORMATO.jpeg",106083,5,290,"mei","Nulo",0,4.43,0,3.8,3,"Goiás",10,1,2,NA,7,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"422","Mateus Eduardo Claus","mateus-claus","Mateus Claus","https://s.glbimg.com/es/sde/f/2020/07/20/20b5a80823c74d5c1a1dfcae3aca571b_FORMATO.png",90590,5,265,"gol","Nulo",0,1,0,0,0,"Bahia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"423","Thiago Eduardo de Andrade","thiago-andrade","Thiago Andrade","https://s.glbimg.com/es/sde/f/2020/07/21/163c66fbf49410b2857a538d17b1b433_FORMATO.png",109404,5,265,"ata","Nulo",0,1,0,0,0,"Bahia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"424","Matheus Bahia Santos","matheus-bahia","Matheus Bahia","https://s.glbimg.com/es/sde/f/2020/02/28/1a8f6f07fe040d69022f28f7575ba0a3_FORMATO.png",97899,5,265,"lat","Nulo",0,1,0,0,0,"Bahia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"425","Caíque de Jesus da Silva","caique","Caíque","https://s.glbimg.com/es/sde/f/2019/03/29/3a73b6353572e78678dbadc5d6e657c2_FORMATO.png",104591,5,265,"ata","Nulo",0,1,0,0,0,"Bahia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"426","Ramon Rodrigo de Carvalho","ramon","Ramon","https://s.glbimg.com/es/sde/f/2020/03/01/96275404d7db5a1ad2bda2053ea034fd_FORMATO.png",103515,5,265,"mei","Nulo",0,1,0,0,0,"Bahia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"427","Santiago Tréllez Vivero","trellez","Tréllez","https://s.glbimg.com/es/sde/f/2020/03/09/a26febfd7e5fd4366d0dbe0997ee0521_FORMATO.png",87679,5,276,"ata","Nulo",0,4,0,0,0,"São Paulo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"428","Shaylon Kallyson Cardoso","shaylon","Shaylon","https://s.glbimg.com/es/sde/f/2020/03/09/8defb65f5b887931107b7d0de0fccf4b_FORMATO.png",97520,5,276,"mei","Nulo",0,3,0,0,0,"São Paulo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"429","Maicon Thiago Pereira de Souza","maicon","Maicon","https://s.glbimg.com/es/sde/f/2018/05/21/34502d57cb34fa46bd51d3bd901d38bb_FORMATO.png",38196,5,284,"mei","Nulo",0,3.72,0,-0.23,3,"Grêmio",2,3,1,NA,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"430","João Vitor Xavier de Almeida","xavier","Xavier","https://s.glbimg.com/es/sde/f/2020/07/13/6fdc286e70d5425d0b7fbbe41bd2a39c_FORMATO.png",102067,5,264,"mei","Nulo",0,1,0,0,0,"Corinthians",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"431","Lucas Estella Perri","lucas-perri","Lucas Perri","https://s.glbimg.com/es/sde/f/2018/05/26/5818d20df4c7c3248d9dc04c6864aa03_FORMATO.png",91260,5,276,"gol","Nulo",0,2,0,0,0,"São Paulo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"432","Wagner Leonardo Calvelo de Souza","wagner-leonardo","Wagner Leonardo","https://s.glbimg.com/es/sde/f/2020/03/09/c4031b4b1478bd08a90c3e406077a0e6_FORMATO.png",104994,5,277,"zag","Nulo",0,2,0,0,0,"Santos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"433","Diego Henrique Costa Barbosa","diego","Diego","https://s.glbimg.com/es/sde/f/2019/06/25/7738366152614f061570dd722e1de7c6_FORMATO.png",101728,5,276,"zag","Provável",1.3,1.86,-0.14,1.3,1,"São Paulo",NA,3,NA,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"434","Dênis de Oliveira Aguiar Júnior","junior","Júnior","https://s.glbimg.com/es/sde/f/2019/04/01/f8a36e8e52088ffa0e8b4469629c46fe_FORMATO.png",103662,5,276,"gol","Nulo",0,1,0,0,0,"São Paulo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
