"","atletas.nome","atletas.slug","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","atletas.clube.id.full.name","CA","DS","FC","FD","FF","FS","G","I","PI","CV","SG","A","DD","DP","GS","FT","GC","PP"
"368","Felipe de Oliveira Silva","felipe-baxola","Felipe Baxola","https://s.glbimg.com/es/sde/f/2020/03/02/a6b441d755d11d4c4cee6850b8edddf7_FORMATO.png",71113,14,354,"mei","Nulo",0,4.74,0,1.22,5,"354",NA,2,1,NA,1,1,NA,1,12,NA,NA,1,NA,NA,NA,NA,NA,NA
"369","Damián Marcelo Musto","musto","Musto","https://s.glbimg.com/es/sde/f/2020/02/27/aa72a4508aad03611c623879b48a94c6_FORMATO.png",94838,14,285,"mei","Nulo",0,5.45,0,2.19,9,"285",1,21,14,NA,2,11,1,NA,24,1,NA,NA,NA,NA,NA,NA,NA,NA
"370","Daniel Sartori Bessa","daniel-bessa","Daniel Bessa","https://s.glbimg.com/es/sde/f/2020/08/26/f8c7d3a76680619bf773e434179d4df4_FORMATO.jpeg",103591,14,290,"mei","Provável",0,6.38,0,2.44,10,"290",3,15,16,3,4,7,2,NA,60,NA,NA,NA,NA,NA,NA,1,NA,NA
"371","Renzo Saravia","saravia","Saravia","https://s.glbimg.com/es/sde/f/2020/03/02/2adf4c12427d0fca9fe94f89118bd866_FORMATO.png",96725,14,285,"lat","Contundido",0,18.78,0,7.96,8,"285",1,37,12,1,2,15,NA,NA,56,NA,5,1,NA,NA,NA,NA,NA,NA
"372","Bergson Gustavo Silveira da Silva","bergson","Bergson","https://s.glbimg.com/es/sde/f/2020/03/02/2da2700754fb23a9fcc3cbbe28cf447b_FORMATO.png",68696,14,354,"ata","Nulo",2.4,2.1,0.18,0.84,5,"354",NA,2,3,1,1,4,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"373","Maicon Thiago Pereira de Souza","maicon","Maicon","https://s.glbimg.com/es/sde/f/2018/05/21/34502d57cb34fa46bd51d3bd901d38bb_FORMATO.png",38196,14,284,"mei","Nulo",0.4,3.08,-0.07,-0.12,5,"284",NA,3,4,NA,NA,1,NA,NA,21,NA,NA,NA,NA,NA,NA,NA,NA,NA
"374","Gustavo Nonato Santana","nonato","Nonato","https://s.glbimg.com/es/sde/f/2020/02/27/4fc30df934657cce0aecf53ef7dc9a8b_FORMATO.png",100987,14,285,"mei","Provável",0,4.55,0,3.03,3,"285",2,13,6,1,NA,6,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA
"375","Max Walef Araújo da Silva","max-walef","Max Walef","https://s.glbimg.com/es/sde/f/2019/03/22/a9f9fc2677cbf0f365db6054f150935d_FORMATO.png",84338,14,356,"gol","Nulo",0,2,0,0,0,"356",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"376","Wescley Gomes dos Santos","wescley","Wescley","https://s.glbimg.com/es/sde/f/2020/08/31/f76d432cdaf8192dfc153e892b58c96c_FORMATO.png",70925,14,354,"mei","Nulo",0,2.56,0.21,1.05,6,"354",NA,2,8,NA,1,1,1,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
"377","Tiago Pereira da Silva","tiago-orobo","Tiago Orobó","https://s.glbimg.com/es/sde/f/2020/07/16/4eb953e4438fcf9e228753c1ca7b4e48_FORMATO.png",87477,14,356,"ata","Nulo",0,1.7,0,0.4,5,"356",NA,2,4,1,2,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA
"378","Carlos Andrés Sánchez Arcosa","carlos-sanchez","Carlos Sánchez","https://s.glbimg.com/es/sde/f/2020/03/09/dcd863bb1e191c65dfdeac7713a01704_FORMATO.png",81677,14,277,"mei","Contundido",0,5.65,0,1.66,12,"Santos",1,15,11,6,7,18,NA,1,98,NA,NA,1,NA,NA,NA,NA,NA,1
"379","Bruno Ferreira Melo","bruno-melo","Bruno Melo","https://s.glbimg.com/es/sde/f/2020/03/06/88d17bd8903f1e821665cdd49c0bf7d9_FORMATO.png",84339,14,356,"lat","Dúvida",7.9,5.32,1.4,2.79,9,"356",2,8,11,2,1,4,2,2,36,NA,2,NA,NA,NA,NA,NA,NA,NA
"380","Luiz Otávio Anacleto Leandro","luiz-otavio","Luiz Otávio","https://s.glbimg.com/es/sde/f/2020/08/31/03f318322bad08093324500b97948211_FORMATO.png",72359,14,354,"zag","Provável",5.5,5.42,0.56,2.55,11,"354",5,17,15,NA,1,1,1,NA,38,NA,4,NA,NA,NA,NA,1,NA,NA
"381","Janderson Santos de Souza","janderson","Janderson","https://s.glbimg.com/es/sde/f/2020/08/25/c027250715c7203ea603c6335609af2d_FORMATO.png",97245,14,373,"ata","Provável",2,4.95,-0.02,2.85,10,"373",NA,14,8,4,4,13,NA,NA,60,NA,NA,2,NA,NA,NA,NA,NA,NA
"382","Daniel de Sousa Brito","daniel","Daniel","https://s.glbimg.com/es/sde/f/2020/02/27/222ec98ac489a4b1ce5063bdde3d208e_FORMATO.png",96468,14,285,"gol","Contundido",0,2,0,0,0,"285",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"383","Heitor Rodrigues da Fonseca","heitor","Heitor","https://s.glbimg.com/es/sde/f/2020/02/27/46ea70366228afe849358bbedd6c18e1_FORMATO.png",104649,14,285,"lat","Provável",13.1,5.9,2.1,5.67,3,"285",1,12,7,NA,1,4,NA,NA,23,NA,1,1,NA,NA,NA,NA,NA,NA
"384","Júlio César Jacobi","julio-cesar","Júlio César","https://s.glbimg.com/es/sde/f/2019/08/16/e0a4857e8a29ebeabcb5c38571b22ce2_FORMATO.png",49673,14,284,"gol","Nulo",0,4,0,0,0,"284",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"385","Diogo José Gonçalves da Silva","diogo-silva","Diogo Silva","https://s.glbimg.com/es/sde/f/2020/08/31/33ea3d05a9df2f933210bccd17b4083b_FORMATO.png",71882,14,354,"gol","Nulo",0,4,0,0,0,"354",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"386","Paulo Victor Mileo Vidotti","paulo-victor","Paulo Victor","https://s.glbimg.com/es/sde/f/2018/05/21/6022690f57c54343611ba7c2008603ce_FORMATO.png",68873,14,284,"gol","Nulo",0,5.36,0,3.67,3,"284",NA,NA,NA,NA,NA,NA,NA,NA,20,NA,1,NA,4,NA,4,NA,NA,NA
"387","Luciano da Rocha Neves","luciano","Luciano","https://s.glbimg.com/es/sde/f/2020/08/18/3ca611370a41964d7e12a7d04a9474aa_FORMATO.png",80287,14,276,"ata","Provável",0,7.99,0,4.98,10,"276",3,16,17,2,4,17,4,2,47,NA,NA,1,NA,NA,NA,1,NA,NA
"388","Gabriel Dias de Oliveira","gabriel-dias","Gabriel Dias","https://s.glbimg.com/es/sde/f/2019/03/22/4d0e23087bc533d8757c980cbd598eee_FORMATO.png",88368,14,356,"lat","Provável",-3.3,6.27,-1.58,2.94,12,"356",1,12,9,1,1,8,1,1,37,1,4,1,NA,NA,NA,NA,NA,NA
"389","Marlon Adriano Prezotti","marlon","Marlon","https://s.glbimg.com/es/sde/f/2019/03/22/165ca899b89d297dde03eeab3ad9dee7_FORMATO.png",88427,14,356,"mei","Nulo",0,2.76,-0.51,0.9,9,"356",NA,10,10,1,2,3,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
"390","Robert Abel Arboleda Escobar","arboleda","Arboleda","https://s.glbimg.com/es/sde/f/2019/04/01/8b22d106ccba1278e3e4a6b89e76eab0_FORMATO.png",91573,14,276,"zag","Nulo",0,10.07,0,2.47,4,"276",1,1,2,2,NA,1,NA,NA,10,NA,2,NA,NA,NA,NA,NA,NA,NA
"391","David Correa da Fonseca","david","David","https://s.glbimg.com/es/sde/f/2020/03/06/c5ae2181227b8ce1cfaa3ff33c7d8ac0_FORMATO.png",90309,14,356,"ata","Suspenso",7.3,4.39,1.08,1.19,14,"356",3,13,30,2,11,16,1,6,46,NA,NA,1,NA,NA,NA,NA,NA,NA
"392","Martín Nicolás Sarrafiore","sarrafiore","Sarrafiore","https://s.glbimg.com/es/sde/f/2020/09/17/8f1169f09495acbeed3fec9bcfc07aa0_FORMATO.png",101315,14,294,"mei","Nulo",0,2.63,0,0.85,4,"Coritiba",1,2,4,1,5,4,NA,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA
"393","Igor Vinícius de Souza","igor-vinicius","Igor Vinícius","https://s.glbimg.com/es/sde/f/2019/04/01/882d97a0ed3a028f3c489768c79b7268_FORMATO.png",95466,14,276,"lat","Dúvida",3.7,5.68,0.66,2.07,10,"276",3,16,21,4,5,7,NA,NA,61,NA,2,1,NA,NA,NA,NA,NA,NA
"394","Alisson Euler de Freitas Castro","alisson","Alisson","https://s.glbimg.com/es/sde/f/2018/05/18/eeeced6e37969b2b8161eb83c56d069e_FORMATO.png",81845,14,284,"mei","Provável",0,11.59,0,5.72,11,"284",1,16,9,12,12,29,1,3,96,NA,NA,3,NA,NA,NA,1,NA,NA
"395","José Rogério de Oliveira Melo","rogerio","Rogério","https://s.glbimg.com/es/sde/f/2020/08/31/ef8bbe5f855514c0e2f7ff55805eed3e_FORMATO.png",73540,14,292,"ata","Nulo",0.4,4.11,-0.25,1.77,4,"292",1,3,2,NA,NA,6,NA,NA,9,NA,NA,1,NA,NA,NA,NA,NA,NA
"396","Bruno Méndez Cittadini","bruno-mendez","Bruno Méndez","https://s.glbimg.com/es/sde/f/2020/07/21/6397a94e3bfbcdb900a347337e82571e_FORMATO.png",103700,14,264,"zag","Provável",0,1.7,0,-1.75,2,"264",1,1,2,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA
"397","Samuel Xavier Brito","samuel-xavier","Samuel Xavier","https://s.glbimg.com/es/sde/f/2020/03/02/c130a3239b5a95d8a3a8b13ede4b4ad1_FORMATO.png",73384,14,354,"lat","Nulo",0,6.79,0,3.09,11,"354",2,22,19,1,2,19,NA,NA,118,1,4,2,NA,NA,NA,NA,NA,NA
"398","Luiz Antonio Ferreira Rodrigues","felipe","Felipe","https://s.glbimg.com/es/sde/f/2019/03/22/4ef6aa2bd0c3f910bdb023b63225bec1_FORMATO.png",91733,14,356,"mei","Suspenso",-6.2,3.72,-1.16,1.75,13,"356",4,29,20,1,3,22,1,NA,58,1,NA,NA,NA,NA,NA,NA,NA,NA
"399","Éderson José dos Santos Lourenço da Silva","ederson","Éderson","https://s.glbimg.com/es/sde/f/2020/07/21/f49e1a31b6d8b3c32d6aee8a8632243b_FORMATO.png",103099,14,264,"mei","Nulo",0,5.21,0,1.92,8,"264",NA,17,9,1,1,6,NA,NA,21,NA,NA,NA,NA,NA,NA,NA,NA,NA
"400","Leonardo Gomes da Conceição Silva","leonardo","Leonardo","https://s.glbimg.com/es/sde/f/2018/05/21/15d96549307788253f2aba10bff0c973_FORMATO.png",86973,14,284,"lat","Nulo",0,6,0,0,0,"284",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"401","Mauro Boselli","boselli","Boselli","https://s.glbimg.com/es/sde/f/2020/07/21/bfd90faeec9d1f1103e6bcc353b87e20_FORMATO.png",69161,14,264,"ata","Nulo",0.6,5.7,-0.14,0.24,5,"264",NA,NA,NA,NA,2,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"402","Rodrigo Nestor Bertalia","rodrigo-nestor","Rodrigo Nestor","https://s.glbimg.com/es/sde/f/2019/12/07/0b3e5d02f629008714cf1410e53eb9b6_FORMATO.png",106822,14,276,"mei","Nulo",0,2,0,0,0,"276",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"403","Fábio Pizarro Sanches","fabio-sanches","Fábio Sanches","https://s.glbimg.com/es/sde/f/2020/08/26/5756a4bae1a6bb1e484099d7ea94222d_FORMATO.jpeg",71604,14,290,"zag","Provável",1.7,5.74,-0.71,2.27,10,"290",1,18,7,1,3,8,NA,NA,24,NA,2,NA,NA,NA,NA,NA,1,NA
"404","Juan Francisco Torres Belén","juanfran","Juanfran","https://s.glbimg.com/es/sde/f/2019/08/09/3bd5a8ba6743da05e2eefc2c5140722d_FORMATO.png",72620,14,276,"lat","Contundido",5.7,6.82,0.98,2.58,6,"276",1,8,6,1,2,5,NA,NA,28,NA,2,NA,NA,NA,NA,NA,NA,NA
"405","Diogo Barbosa Mendanha","diogo-barbosa","Diogo Barbosa","https://s.glbimg.com/es/sde/f/2020/09/11/8c1bbc63952b2e050b6b5662f996e79d_FORMATO.png",70916,14,284,"lat","Dúvida",9.9,9.42,1.83,3.81,9,"284",NA,25,9,1,4,11,NA,NA,61,NA,1,1,NA,NA,NA,NA,NA,NA
"406","Hudson Rodrigues dos Santos","hudson","Hudson","https://s.glbimg.com/es/sde/f/2020/08/11/2f197bbdfc2d69b1a353a2c023b5fc6b_FORMATO.png",50324,14,266,"mei","Provável",13.8,7.58,2.86,2.76,7,"266",NA,22,14,NA,NA,4,NA,NA,27,1,NA,2,NA,NA,NA,NA,NA,NA
"407","Juan Sebastián Quintero Fletcher","quintero","Quintero","https://s.glbimg.com/es/sde/f/2019/03/22/df21f8c767acbe98de2f1a88be61c8e8_FORMATO.png",96382,14,356,"zag","Nulo",0,1.67,0,1.38,9,"356",3,5,6,NA,2,3,NA,NA,17,1,4,NA,NA,NA,NA,NA,NA,NA
"408","Frederico Chaves Guedes","fred","Fred","https://s.glbimg.com/es/sde/f/2020/08/11/1546fc5edcfb41d2e8f79f6eca1f6899_FORMATO.png",38162,14,266,"ata","Provável",7.7,4.34,1.1,2,8,"266",2,1,8,2,1,12,2,1,17,NA,NA,NA,NA,NA,NA,NA,NA,NA
"409","Pablo Felipe Teixeira","pablo","Pablo","https://s.glbimg.com/es/sde/f/2019/04/01/2183894813bb5543356e56f459ac6b03_FORMATO.png",69138,14,276,"ata","Nulo",-1,7.55,-0.5,2.41,9,"276",1,4,21,4,16,10,1,7,19,NA,NA,1,NA,NA,NA,NA,NA,NA
"410","Jailson Marcelino dos Santos","jailson","Jailson","https://s.glbimg.com/es/sde/f/2020/03/09/511303024e5679ad2b3ae40dd0b19d1d_FORMATO.png",72290,14,275,"gol","Provável",-2.3,1.97,-1.09,-2.7,2,"275",1,NA,NA,NA,NA,NA,NA,NA,14,NA,NA,NA,1,NA,3,NA,NA,NA
"411","João Gabriel Martins Peglow","peglow","Peglow","https://s.glbimg.com/es/sde/f/2020/02/27/5c7fe67d54b296320092b526cff1e6bb_FORMATO.png",106821,14,285,"mei","Nulo",0,1.74,0,0.82,5,"285",NA,2,5,NA,1,1,NA,1,12,NA,NA,1,NA,NA,NA,NA,NA,NA
"412","Vanderlei Luxemburgo da Silva","vanderlei-luxemburgo","Vanderlei Luxemburgo","https://s.glbimg.com/es/sde/f/2020/07/16/6f52df78da4ceb768cd3573de68fcd6f_FORMATO.png",41327,14,275,"tec","Provável",1.35,10.54,-0.78,3.45,12,"275",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"413","Victor Andrade Santos","victor-andrade","Victor Andrade","https://s.glbimg.com/es/sde/f/2020/08/26/440d20f8bef7ed2efd9ebbb9c1b88e74_FORMATO.jpeg",80536,14,290,"ata","Provável",-0.1,5.76,-1.3,3.55,8,"290",4,9,17,1,9,28,2,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA
"414","Mariano Vázquez","mariano-vazquez","Mariano Vázquez","https://s.glbimg.com/es/sde/f/2019/07/03/8893116eb5db26f6e34e68d817fe606d_FORMATO.png",98760,14,356,"mei","Nulo",0,1.19,0,-0.66,5,"356",1,NA,4,NA,NA,2,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"415","João Lucas Souza Cardoso","johnny","Johnny ","https://s.glbimg.com/es/sde/f/2020/02/27/fd6f78bc8647dd5e9fc9090d28654546_FORMATO.png",106002,14,285,"mei","Nulo",0,2.48,0,2.35,4,"285",NA,8,1,1,1,3,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA
"416","Gilberto dos Santos Souza Júnior","gilberto","Gilberto","https://s.glbimg.com/es/sde/f/2020/08/26/fdc588ab84ce9888cdb98fde023d0be2_FORMATO.jpeg",73789,14,290,"mei","Nulo",0,2.72,0,0.27,3,"290",NA,4,5,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA
"417","Matheus Alvarenga de Oliveira","davo","Davó","https://s.glbimg.com/es/sde/f/2020/07/21/31711f2df06b5fbccca62e7cc6cf4a73_FORMATO.png",105533,14,264,"ata","Nulo",0,2,0,0,0,"264",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"418","Thaciano Mickael da Silva","thaciano","Thaciano","https://s.glbimg.com/es/sde/f/2018/05/21/8805a9e1e4f2ee609adb3d2576d5ff0a_FORMATO.png",87470,14,284,"mei","Nulo",0.6,4.8,-0.38,1.67,6,"284",1,3,5,1,3,2,1,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA
"419","Anderson Hernanes de Carvalho Andrade Lima","hernanes","Hernanes","https://s.glbimg.com/es/sde/f/2019/04/01/9de4879116fa3172f964c37907406613_FORMATO.png",38648,14,276,"mei","Contundido",0,8.29,0,2.75,6,"276",1,6,10,3,3,12,1,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA
"420","Rodrigo Júnior Paula Silva","digao","Digão","https://s.glbimg.com/es/sde/f/2020/08/11/81d3b25879cf4905a5152581b71402f8_FORMATO.png",68886,14,266,"zag","Provável",9.8,6.67,1.74,4.47,6,"266",1,8,7,1,2,4,2,NA,15,NA,1,NA,NA,NA,NA,NA,NA,NA
"421","Thalles Gabriel Morais dos Reis","thalles","Thalles","https://s.glbimg.com/es/sde/f/2020/08/26/29ed45b9104e691d2e12cd4ecb6bbd0b_FORMATO.jpeg",95222,14,290,"mei","Nulo",0,3.27,0,0.7,1,"290",NA,1,NA,NA,NA,1,NA,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"422","Luiz Henrique Araújo Silva","luiz-henrique","Luiz Henrique","https://s.glbimg.com/es/sde/f/2020/03/06/809a25003f6761d3bf3ea7e524986c59_FORMATO.png",101595,14,356,"mei","Nulo",0,1.66,0,0.5,1,"356",NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"423","Paulo Henrique Chagas de Lima","ganso","Ganso","https://s.glbimg.com/es/sde/f/2020/08/11/6065b1defc59b5a923da5fc98d24534c_FORMATO.png",62977,14,266,"mei","Nulo",0,5.4,0,1.84,9,"266",2,8,6,NA,3,5,1,NA,23,NA,NA,1,NA,NA,NA,NA,NA,NA
"424","Muriel Gustavo Becker","muriel","Muriel","https://s.glbimg.com/es/sde/f/2020/08/11/37c640ec0cd77c476e2aeef745c5420f_FORMATO.png",69041,14,266,"gol","Provável",3.6,5.19,0.26,2.36,11,"266",NA,NA,NA,NA,NA,2,NA,NA,90,NA,2,NA,12,NA,12,NA,NA,NA
"425","Lucas Rafael Araújo Lima","lucas-lima","Lucas Lima","https://s.glbimg.com/es/sde/f/2019/01/14/3629dc12c2a7c9f0e4c6c53a4a2cbb61_FORMATO.jpeg",80583,14,275,"mei","Nulo",-1,4.35,-0.66,0.93,10,"275",3,15,10,3,2,17,NA,1,80,NA,NA,NA,NA,NA,NA,NA,NA,NA
"426","Matheus Ferraz Pereira","matheus-ferraz","Matheus Ferraz","https://s.glbimg.com/es/sde/f/2020/08/11/16fac49e8d3bba144b424d3a32ca55ad_FORMATO.png",38632,14,266,"zag","Nulo",0,5.46,0,5.15,2,"266",NA,NA,2,1,NA,1,NA,NA,4,NA,1,1,NA,NA,NA,NA,NA,NA
"427","Luan Garcia Teixeira","luan","Luan","https://s.glbimg.com/es/sde/f/2020/03/09/f29c869ccdfaa407340b9047dbf761fa_FORMATO.jpeg",80692,14,275,"zag","Provável",0.8,5.13,-0.1,1.9,10,"275",3,20,9,NA,2,4,NA,1,36,NA,2,NA,NA,NA,NA,NA,NA,NA
"428","Sandro Raniere Guimarães Cordeiro","sandro","Sandro","https://s.glbimg.com/es/sde/f/2020/08/26/fe2e657982abf2a67f086ac44918fdad_FORMATO.jpeg",62111,14,290,"mei","Contundido",0,2.58,0,0.06,7,"290",3,12,14,NA,1,6,NA,1,19,NA,NA,NA,NA,NA,NA,NA,NA,NA
"429","Vitor Hugo Franchescoli de Souza","vitor-hugo","Vitor Hugo","https://s.glbimg.com/es/sde/f/2019/08/01/10d95e2af722b1c1c76a7fe3c403de16_FORMATO.png",72605,14,275,"zag","Nulo",0,4.15,0,0.48,4,"275",1,4,1,NA,1,1,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA
"430","Guilherme Vicentini Castellani","guilherme","Guilherme","https://s.glbimg.com/es/sde/f/2020/07/21/bb5062302e06646e9b5f34217a68a349_FORMATO.png",108539,14,264,"gol","Nulo",0,1,0,0,0,"264",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"431","Daniel Alves da Silva","daniel-alves","Daniel Alves","https://s.glbimg.com/es/sde/f/2020/03/09/9996d55cd79f9deac2e370cbb20e3d36_FORMATO.png",38939,14,276,"mei","Provável",0.3,11.94,-0.3,3.56,7,"276",1,17,14,3,8,17,1,2,86,NA,NA,NA,NA,NA,NA,NA,NA,NA
"432","Ricardo Dias Acosta","ricardinho","Ricardinho","https://s.glbimg.com/es/sde/f/2020/08/31/b0d32bee7d7194947d1c22e221afed3f_FORMATO.png",78577,14,354,"mei","Provável",2.4,2.85,0.47,0.39,8,"354",1,8,4,1,NA,NA,NA,1,46,NA,NA,NA,NA,NA,NA,1,NA,NA
"433","Mayke Rocha de Oliveira","mayke","Mayke","https://s.glbimg.com/es/sde/f/2019/01/14/44f0336a3733e2e3fb4fccc9cf275f3a_FORMATO.jpeg",81150,14,275,"lat","Dúvida",2.5,5.83,0.28,2.09,7,"275",1,17,7,NA,1,4,NA,NA,47,NA,1,NA,NA,NA,NA,NA,NA,NA
"434","Eduardo Schroeder Brock","eduardo-brock","Eduardo Brock","https://s.glbimg.com/es/sde/f/2020/08/31/edc31727f12d73f44cc5aa5c7e609151_FORMATO.png",78654,14,354,"zag","Provável",6.2,4.09,-0.17,7.65,2,"354",NA,3,NA,NA,1,NA,1,NA,15,NA,1,NA,NA,NA,NA,NA,NA,NA
"435","Daniel Alberto Villalva Barrios","keko","Keko ","https://s.glbimg.com/es/sde/f/2020/08/26/b53fdb79b554fd3023712890b2802adc_FORMATO.jpeg",81683,14,290,"ata","Contundido",0,3.2,0,1.81,7,"290",1,7,6,NA,NA,6,NA,3,38,NA,NA,2,NA,NA,NA,1,NA,NA
"436","Ronielson da Silva Barbosa","rony","Rony","https://s.glbimg.com/es/sde/f/2020/02/28/084ca5caaf485fd3cbf303cda6bbd8bf_FORMATO.png",91607,14,275,"ata","Provável",-0.8,8.82,-0.49,0.89,10,"275",1,10,22,4,4,19,NA,4,36,NA,NA,NA,NA,NA,NA,NA,NA,NA
"437","Matheus Alves da Silva Cardoso","matheus-alves","Matheus Alves","https://s.glbimg.com/es/sde/f/2020/08/26/9f0365f3162049e805c9b1b5188c50bf_FORMATO.jpeg",91712,14,290,"gol","Nulo",0,1,0,0,0,"290",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"438","Wellington Alves da Silva","wellington-silva","Wellington Silva","https://s.glbimg.com/es/sde/f/2020/08/11/9e1c282e16e37d5fdb5fa7b81b2871cc_FORMATO.png",68895,14,266,"ata","Contundido",0,4.52,0,2.14,10,"266",3,7,6,1,3,19,1,1,22,NA,NA,1,NA,NA,NA,NA,NA,NA
"439","Egídio de Araújo Pereira Júnior","egidio","Egídio","https://s.glbimg.com/es/sde/f/2020/08/11/672d352606042414d4d148952612fe89_FORMATO.png",42145,14,266,"lat","Nulo",0,10.22,0,4.71,10,"266",NA,43,13,4,1,6,NA,NA,129,NA,1,2,NA,NA,NA,NA,NA,NA
"440","Marcos Luis Rocha Aquino","marcos-rocha","Marcos Rocha","https://s.glbimg.com/es/sde/f/2020/03/09/ebc79a97a8840c38c63b16446a1c84b5_FORMATO.png",63013,14,275,"lat","Provável",-1.5,6.96,-0.56,1.78,8,"275",1,20,13,NA,1,9,NA,NA,76,NA,1,NA,NA,NA,NA,NA,NA,NA
"441","Marcelo Rangel da Rosa","marcelo-rangel","Marcelo Rangel","https://s.glbimg.com/es/sde/f/2020/08/26/a5be04058297823632c7065f9ceea2ae_FORMATO.jpeg",82730,14,290,"gol","Nulo",0,0.77,0,-3.45,2,"290",1,NA,NA,NA,NA,NA,NA,NA,29,NA,NA,NA,1,NA,3,NA,NA,NA
"442","Jefferson Junio Antônio da Silva","jefferson","Jefferson","https://s.glbimg.com/es/sde/f/2020/08/26/1b4ff7917a54d469be132fbe58592256_FORMATO.jpeg",95220,14,290,"lat","Provável",2.2,5.08,0.93,1.6,8,"290",1,11,6,NA,2,6,1,1,53,1,2,NA,NA,NA,NA,NA,1,NA
"443","Gustavo Henrique Furtado Scarpa","gustavo-scarpa","Gustavo Scarpa","https://s.glbimg.com/es/sde/f/2019/10/03/47c21ed885c76c65fecede59c0ecf1e0_FORMATO.png",87999,14,275,"mei","Nulo",-0.7,5.43,-0.35,0.77,6,"275",1,1,5,3,2,NA,NA,NA,21,NA,NA,1,NA,NA,NA,NA,NA,NA
"444","Raphael Cavalcante Veiga","raphael-veiga","Raphael Veiga","https://s.glbimg.com/es/sde/f/2020/10/05/eba17da38b8f96bc0a8b648fa5aa7acc_FORMATO.png",94509,14,275,"mei","Provável",2.6,8.53,-1.27,5.68,6,"275",NA,5,7,1,6,12,3,NA,34,NA,NA,NA,NA,NA,NA,NA,NA,NA
"445","Patrick de Paula Carreiro","patrick-de-paula","Patrick de Paula","https://s.glbimg.com/es/sde/f/2020/03/09/a9c14c249329965a83e2f3b2bda2642b_FORMATO.png",107172,14,275,"mei","Provável",2.1,5.47,-0.64,3.92,10,"275",NA,24,14,4,5,15,1,NA,51,NA,NA,NA,NA,NA,NA,1,NA,NA
"446","Ramires Santos do Nascimento","ramires","Ramires","https://s.glbimg.com/es/sde/f/2019/07/15/f7e7e1bc3ae4b0d7928b527e2e567bc1_FORMATO.png",50293,14,275,"mei","Nulo",0.4,4.75,-0.09,0.7,11,"275",2,18,7,1,1,6,NA,NA,27,NA,NA,NA,NA,NA,NA,NA,1,NA
"447","David de Duarte Macedo","david-duarte","David Duarte","https://s.glbimg.com/es/sde/f/2020/08/26/4978572126e19c8d360d62716fe78b26_FORMATO.jpeg",91772,14,290,"zag","Nulo",0,2.63,0,3.84,5,"290",NA,8,3,2,3,3,1,NA,16,1,1,NA,NA,NA,NA,NA,NA,NA
"448","Tiago Pagnussat","tiago","Tiago ","https://s.glbimg.com/es/sde/f/2020/03/02/65eb6383d1eef941a4b0e88084a8b4f4_FORMATO.png",79042,14,354,"zag","Nulo",0,5.97,0,2.91,8,"354",2,17,8,NA,1,8,NA,2,45,NA,3,NA,NA,NA,NA,NA,NA,NA
