"ID","rodata","data","hora","mandante","visitante","formacao_mandante","formacao_visitante","tecnico_mandante","tecnico_visitante","vencedor","arena","mandante_Placar","visitante_Placar","mandante_Estado","visitante_Estado"
"3552","9","10/7/2011","16:00","Bahia","Botafogo-RJ","","","","","-","Pituaçu","1","1","BA","RJ"
"3553","9","10/7/2011","16:00","Atletico-GO","Corinthians","","","","","Corinthians"," Serra Dourada","0","1","GO","SP"
"3554","9","10/7/2011","18:30","Figueirense","Ceara","","","","","-"," Orlando Scarpelli","1","1","SC","CE"
"3555","9","10/7/2011","18:30","Palmeiras","Santos","","","","","Palmeiras"," Pacaembu","3","0","SP","SP"
"3556","9","10/7/2011","18:30","Atletico-MG","America-MG","","","","","Atletico-MG","Arena do Jacaré","2","0","MG","MG"
"3557","12","14/7/2011","21:00","Corinthians","Internacional","","","","","Corinthians"," Pacaembu","1","0","SP","RS"
"3567","10","16/7/2011","18:30","Vasco","Athletico-PR","","","","","Vasco"," São Januário","2","1","RJ","PR"
"3568","10","16/7/2011","18:30","Coritiba","Fluminense","","","","","Coritiba"," Couto Pereira","3","1","PR","RJ"
"3569","10","16/7/2011","18:30","Atletico-GO","Avai","","","","","Avai"," Serra Dourada","0","1","GO","SC"
"3570","10","16/7/2011","21:00","Santos","Atletico-MG","","","","","Santos"," Vila Belmiro","2","1","SP","MG"
"3571","10","17/7/2011","16:00","Ceara","America-MG","","","","","Ceara"," Presidente Vargas","4","0","CE","MG"
"3572","10","17/7/2011","18:30","Internacional","Sao Paulo","","","","","Sao Paulo"," Beira Rio","0","3","RS","SP"
"3573","10","17/7/2011","18:30","Cruzeiro","Bahia","","","","","Cruzeiro","Arena do Jacaré","2","1","MG","BA"
"3574","10","20/7/2011","21:50","Palmeiras","Flamengo","","","","","-"," Pacaembu","0","0","SP","RJ"
"3575","10","20/7/2011","21:50","Figueirense","Gremio","","","","","-"," Orlando Scarpelli","0","0","SC","RS"
"3576","10","20/7/2011","21:50","Botafogo-RJ","Corinthians","","","","","Corinthians"," São Januário","0","2","RJ","SP"
"3577","11","21/7/2011","21:00","Avai","Internacional","","","","","Internacional","  Ressacada","1","3","SC","RS"
"3578","11","23/7/2011","18:30","Sao Paulo","Atletico-GO","","","","","-"," Morumbi","2","2","SP","GO"
"3579","11","23/7/2011","18:30","Athletico-PR","Botafogo-RJ","","","","","Athletico-PR"," Arena da Baixada","2","1","PR","RJ"
"3580","11","23/7/2011","18:30","America-MG","Figueirense","","","","","-","Arena do Jacaré","0","0","MG","SC"
"3581","11","23/7/2011","21:00","Flamengo","Ceara","","","","","-","Cláudio Moacyr","1","1","RJ","CE"
"3582","11","24/7/2011","16:00","Corinthians","Cruzeiro","","","","","Cruzeiro"," Pacaembu","0","1","SP","MG"
"3583","11","24/7/2011","16:00","Bahia","Coritiba","","","","","-","Pituaçu","0","0","BA","PR"
"3584","11","24/7/2011","16:00","Fluminense","Palmeiras","","","","","Fluminense","  Raulino de Oliveira","1","0","RJ","SP"
"3585","11","24/7/2011","16:00","Atletico-MG","Vasco","","","","","Vasco","  Ipatingão","1","2","MG","RJ"
"3558","12","27/7/2011","19:30","Atletico-GO","Cruzeiro","","","","","Atletico-GO"," Serra Dourada","2","0","GO","MG"
"3559","12","27/7/2011","19:30","Botafogo-RJ","Avai","","","","","Botafogo-RJ","Engenhão","2","1","RJ","SC"
"3560","12","27/7/2011","19:30","Atletico-MG","Fluminense","","","","","Atletico-MG","Arena do Jacaré","1","0","MG","RJ"
"3561","12","27/7/2011","19:30","Gremio","America-MG","","","","","-"," Olímpico","1","1","RS","MG"
"3562","12","27/7/2011","21:50","Santos","Flamengo","","","","","Flamengo"," Vila Belmiro","4","5","SP","RJ"
"3563","12","27/7/2011","21:50","Figueirense","Palmeiras","","","","","Palmeiras"," Orlando Scarpelli","0","1","SC","SP"
"3564","12","27/7/2011","21:30","Coritiba","Sao Paulo","","","","","Sao Paulo"," Couto Pereira","3","4","PR","SP"
"3565","12","28/7/2011","19:30","Vasco","Bahia","","","","","-"," São Januário","1","1","RJ","BA"
"3566","12","28/7/2011","21:00","Ceara","Athletico-PR","","","","","Ceara"," Presidente Vargas","2","1","CE","PR"
"3587","13","30/7/2011","18:30","Flamengo","Gremio","","","","","Flamengo","Engenhão","2","0","RJ","RS"
"3588","13","30/7/2011","18:30","Cruzeiro","Botafogo-RJ","","","","","Botafogo-RJ","Arena do Jacaré","0","1","MG","RJ"
"3589","13","30/7/2011","21:00","Palmeiras","Atletico-MG","","","","","Palmeiras","Canindé","3","2","SP","MG"
"3590","13","31/7/2011","16:00","Sao Paulo","Vasco","","","","","Vasco"," Morumbi","0","2","SP","RJ"
"3591","13","31/7/2011","16:00","Fluminense","Ceara","","","","","Fluminense","Engenhão","4","0","RJ","CE"
"3592","13","31/7/2011","16:00","Internacional","Atletico-GO","","","","","-"," Beira Rio","0","0","RS","GO"
"3593","13","31/7/2011","16:00","Avai","Corinthians","","","","","Avai","  Ressacada","3","2","SC","SP"
"3594","13","31/7/2011","18:30","Athletico-PR","Santos","","","","","Athletico-PR"," Arena da Baixada","3","2","PR","SP"
"3595","13","31/7/2011","18:30","America-MG","Coritiba","","","","","Coritiba","Arena do Jacaré","1","3","MG","PR"
"3596","13","31/7/2011","18:30","Bahia","Figueirense","","","","","Bahia","Pituaçu","3","1","BA","SC"
"3597","14","3/8/2011","19:30","Corinthians","America-MG","","","","","Corinthians"," Pacaembu","2","1","SP","MG"
"3598","14","3/8/2011","19:30","Gremio","Atletico-MG","","","","","-"," Olímpico","2","2","RS","MG"
"3599","14","3/8/2011","19:30","Figueirense","Botafogo-RJ","","","","","Figueirense"," Orlando Scarpelli","2","0","SC","RJ"
"3600","14","3/8/2011","19:30","Ceara","Avai","","","","","Avai"," Presidente Vargas","0","3","CE","SC"
"3601","14","3/8/2011","21:50","Cruzeiro","Flamengo","","","","","Flamengo","Arena do Jacaré","0","1","MG","RJ"
"3602","14","3/8/2011","21:50","Coritiba","Palmeiras","","","","","-"," Couto Pereira","1","1","PR","SP"
"3603","14","3/8/2011","21:50","Vasco","Santos","","","","","Vasco"," São Januário","2","0","RJ","SP"
"3604","14","4/8/2011","21:00","Sao Paulo","Bahia","","","","","Sao Paulo"," Morumbi","3","0","SP","BA"
"3605","14","4/8/2011","21:00","Fluminense","Internacional","","","","","Fluminense","Engenhão","2","0","RJ","RS"
"3606","14","4/8/2011","21:00","Atletico-GO","Athletico-PR","","","","","Athletico-PR"," Serra Dourada","0","3","GO","PR"
"3607","15","6/8/2011","18:30","Flamengo","Coritiba","","","","","Flamengo","Engenhão","1","0","RJ","PR"
"3608","15","6/8/2011","18:30","Palmeiras","Gremio","","","","","-","Canindé","0","0","SP","RS"
"3609","15","6/8/2011","21:00","Atletico-MG","Figueirense","","","","","Figueirense","  Ipatingão","1","2","MG","SC"
"3610","15","7/8/2011","16:00","Internacional","Cruzeiro","","","","","Internacional"," Beira Rio","3","2","RS","MG"
"3611","15","7/8/2011","16:00","Santos","Ceara","","","","","Santos"," Pacaembu","1","0","SP","CE"
"3612","15","7/8/2011","16:00","Athletico-PR","Corinthians","","","","","-"," Arena da Baixada","1","1","PR","SP"
"3613","15","7/8/2011","16:00","America-MG","Fluminense","","","","","America-MG","Arena do Jacaré","3","0","MG","RJ"
"3614","15","7/8/2011","18:30","Bahia","Atletico-GO","","","","","Bahia","Pituaçu","2","1","BA","GO"
"3615","15","7/8/2011","18:30","Avai","Sao Paulo","","","","","Sao Paulo","  Ressacada","1","2","SC","SP"
"3616","15","7/8/2011","18:30","Botafogo-RJ","Vasco","","","","","Botafogo-RJ","Engenhão","4","0","RJ","RJ"
"3516","5","10/8/2011","21:50","Santos","Corinthians","","","","","-"," Vila Belmiro","0","0","SP","SP"
"3617","16","13/8/2011","18:30","Sao Paulo","Athletico-PR","","","","","-"," Morumbi","2","2","SP","PR"
"3618","16","13/8/2011","18:30","Atletico-GO","Santos","","","","","Atletico-GO"," Serra Dourada","2","0","GO","SP"
"3619","16","13/8/2011","18:30","Cruzeiro","Avai","","","","","Cruzeiro","Parque do Sabiá","5","0","MG","SC"
"3620","16","13/8/2011","21:00","Botafogo-RJ","America-MG","","","","","Botafogo-RJ","Engenhão","4","2","RJ","MG"
"3621","16","14/8/2011","16:00","Corinthians","Ceara","","","","","-"," Pacaembu","2","2","SP","CE"
"3622","16","14/8/2011","16:00","Vasco","Palmeiras","","","","","Vasco"," São Januário","1","0","RJ","SP"
"3623","16","14/8/2011","16:00","Coritiba","Atletico-MG","","","","","Coritiba"," Couto Pereira","3","0","PR","MG"
"3624","16","14/8/2011","18:30","Figueirense","Flamengo","","","","","-"," Orlando Scarpelli","2","2","SC","RJ"
"3625","16","14/8/2011","18:30","Gremio","Fluminense","","","","","Gremio"," Olímpico","2","1","RS","RJ"
"3626","16","14/8/2011","18:30","Bahia","Internacional","","","","","-","Pituaçu","1","1","BA","RS"
"3627","17","17/8/2011","19:30","Athletico-PR","Cruzeiro","","","","","Athletico-PR"," Arena da Baixada","2","1","PR","MG"
"3628","17","17/8/2011","19:30","Avai","Vasco","","","","","Vasco","  Ressacada","0","2","SC","RJ"
"3629","17","17/8/2011","19:30","Fluminense","Figueirense","","","","","Fluminense","Engenhão","3","0","RJ","SC"
"3630","17","17/8/2011","19:30","Ceara","Gremio","","","","","Ceara"," Presidente Vargas","3","0","CE","RS"
"3631","17","17/8/2011","21:50","Internacional","Botafogo-RJ","","","","","Internacional"," Beira Rio","1","0","RS","RJ"
"3632","17","17/8/2011","21:50","Santos","Coritiba","","","","","Coritiba"," Vila Belmiro","2","3","SP","PR"
"3633","17","17/8/2011","21:50","Atletico-MG","Corinthians","","","","","Corinthians","  Ipatingão","2","3","MG","SP"
"3634","17","18/8/2011","21:00","Flamengo","Atletico-GO","","","","","Atletico-GO","Engenhão","1","4","RJ","GO"
"3635","17","18/8/2011","21:00","Palmeiras","Bahia","","","","","-","Canindé","1","1","SP","BA"
"3636","17","18/8/2011","21:00","America-MG","Sao Paulo","","","","","-","Arena do Jacaré","1","1","MG","SP"
"3637","18","20/8/2011","18:00","Cruzeiro","Ceara","","","","","Cruzeiro","Parque do Sabiá","1","0","MG","CE"
"3638","18","20/8/2011","18:00","Botafogo-RJ","Atletico-MG","","","","","Botafogo-RJ","Engenhão","3","1","RJ","MG"
"3639","18","20/8/2011","18:00","Corinthians","Figueirense","","","","","Figueirense"," Pacaembu","0","2","SP","SC"
"3640","18","21/8/2011","16:00","Sao Paulo","Palmeiras","","","","","-"," Morumbi","1","1","SP","SP"
"3641","18","21/8/2011","16:00","Internacional","Flamengo","","","","","-"," Beira Rio","2","2","RS","RJ"
"3642","18","21/8/2011","16:00","Avai","Coritiba","","","","","-","  Ressacada","0","0","SC","PR"
"3643","18","21/8/2011","16:00","Atletico-GO","Gremio","","","","","Atletico-GO"," Serra Dourada","1","0","GO","RS"
"3644","18","21/8/2011","18:00","Athletico-PR","America-MG","","","","","-"," Arena da Baixada","2","2","PR","MG"
"3645","18","21/8/2011","18:00","Bahia","Santos","","","","","Santos","Pituaçu","1","2","BA","SP"
"3646","18","21/8/2011","18:00","Vasco","Fluminense","","","","","-","Engenhão","1","1","RJ","RJ"
"3546","8","24/8/2011","20:30","Santos","Fluminense","","","","","Santos"," Vila Belmiro","2","1","SP","RJ"
"3647","19","27/8/2011","18:00","Coritiba","Athletico-PR","","","","","-"," Couto Pereira","1","1","PR","PR"
"3648","19","27/8/2011","18:00","America-MG","Atletico-GO","","","","","Atletico-GO","Arena do Jacaré","1","2","MG","GO"
"3649","19","27/8/2011","18:00","Fluminense","Botafogo-RJ","","","","","Botafogo-RJ","Engenhão","1","2","RJ","RJ"
"3650","19","28/8/2011","16:00","Flamengo","Vasco","","","","","-","Engenhão","0","0","RJ","RJ"
"3651","19","28/8/2011","16:00","Palmeiras","Corinthians","","","","","Palmeiras","  Prudentão","2","1","SP","SP"
"3652","19","28/8/2011","16:00","Santos","Sao Paulo","","","","","-"," Vila Belmiro","1","1","SP","SP"
"3653","19","28/8/2011","16:00","Gremio","Internacional","","","","","Gremio"," Olímpico","2","1","RS","RS"
"3654","19","28/8/2011","16:00","Ceara","Bahia","","","","","Ceara"," Presidente Vargas","3","0","CE","BA"
"3655","19","28/8/2011","18:00","Figueirense","Avai","","","","","Avai"," Orlando Scarpelli","2","3","SC","SC"
"3656","19","28/8/2011","18:00","Atletico-MG","Cruzeiro","","","","","Cruzeiro","Arena do Jacaré","1","2","MG","MG"
"3657","20","31/8/2011","18:00","Corinthians","Gremio","","","","","Corinthians"," Pacaembu","3","2","SP","RS"
"3658","20","31/8/2011","18:00","Vasco","Ceara","","","","","Vasco"," São Januário","3","1","RJ","CE"
"3659","20","31/8/2011","20:30","Atletico-GO","Coritiba","","","","","Atletico-GO"," Serra Dourada","3","1","GO","PR"
"3660","20","31/8/2011","20:30","Athletico-PR","Atletico-MG","","","","","Atletico-MG"," Arena da Baixada","0","1","PR","MG"
"3661","20","31/8/2011","20:30","Cruzeiro","Figueirense","","","","","Figueirense","  Ipatingão","2","4","MG","SC"
"3662","20","31/8/2011","21:50","Sao Paulo","Fluminense","","","","","Fluminense"," Morumbi","1","2","SP","RJ"
"3663","20","31/8/2011","21:50","Botafogo-RJ","Palmeiras","","","","","Botafogo-RJ","Engenhão","3","1","RJ","SP"
"3664","20","31/8/2011","21:50","Internacional","Santos","","","","","-"," Beira Rio","3","3","RS","SP"
"3665","20","31/8/2011","21:50","Avai","Flamengo","","","","","Avai","  Ressacada","3","2","SC","RJ"
"3666","20","1/9/2011","20:30","Bahia","America-MG","","","","","-","Pituaçu","0","0","BA","MG"
"3667","21","3/9/2011","18:00","Figueirense","Sao Paulo","","","","","Sao Paulo"," Orlando Scarpelli","1","2","SC","SP"
"3668","21","3/9/2011","18:00","Atletico-MG","Avai","","","","","Atletico-MG","Arena do Jacaré","2","0","MG","SC"
"3669","21","3/9/2011","18:00","Fluminense","Atletico-GO","","","","","Fluminense","Engenhão","3","2","RJ","GO"
"3670","21","4/9/2011","16:00","Flamengo","Bahia","","","","","Bahia","Engenhão","1","3","RJ","BA"
"3671","21","4/9/2011","16:00","Palmeiras","Cruzeiro","","","","","-"," Pacaembu","1","1","SP","MG"
"3672","21","4/9/2011","16:00","Coritiba","Corinthians","","","","","Coritiba"," Couto Pereira","1","0","PR","SP"
"3673","21","4/9/2011","18:00","Gremio","Athletico-PR","","","","","Gremio"," Olímpico","4","0","RS","PR"
"3674","21","4/9/2011","16:00","America-MG","Vasco","","","","","America-MG","Arena do Jacaré","4","1","MG","RJ"
"3675","21","4/9/2011","18:00","Ceara","Internacional","","","","","-"," Presidente Vargas","1","1","CE","RS"
"3677","22","7/9/2011","16:00","Botafogo-RJ","Ceara","","","","","Botafogo-RJ","Engenhão","4","0","RJ","CE"
"3678","22","7/9/2011","16:00","Internacional","America-MG","","","","","Internacional"," Beira Rio","4","2","RS","MG"
"3679","22","7/9/2011","16:00","Avai","Santos","","","","","Santos","  Ressacada","1","2","SC","SP"
"3680","22","7/9/2011","16:00","Sao Paulo","Atletico-MG","","","","","Sao Paulo"," Morumbi","2","1","SP","MG"
"3681","22","7/9/2011","21:50","Atletico-GO","Figueirense","","","","","-"," Serra Dourada","1","1","GO","SC"
"3682","22","7/9/2011","21:50","Athletico-PR","Palmeiras","","","","","-"," Arena da Baixada","2","2","PR","SP"
"3683","22","7/9/2011","21:50","Cruzeiro","Fluminense","","","","","Fluminense","Parque do Sabiá","1","2","MG","RJ"
"3684","22","8/9/2011","20:30","Bahia","Gremio","","","","","Gremio","Pituaçu","1","2","BA","RS"
"3685","22","8/9/2011","20:30","Vasco","Coritiba","","","","","Vasco"," São Januário","2","0","RJ","PR"
"3686","22","8/9/2011","21:50","Corinthians","Flamengo","","","","","Corinthians"," Pacaembu","2","1","SP","RJ"
"3687","23","10/9/2011","18:00","Santos","Cruzeiro","","","","","Santos"," Vila Belmiro","1","0","SP","MG"
"3688","23","10/9/2011","18:00","America-MG","Avai","","","","","-","Arena do Jacaré","2","2","MG","SC"
"3689","23","11/9/2011","16:00","Palmeiras","Internacional","","","","","Internacional"," Pacaembu","0","3","SP","RS"
"3690","23","11/9/2011","16:00","Figueirense","Vasco","","","","","-"," Orlando Scarpelli","1","1","SC","RJ"
"3691","23","11/9/2011","16:00","Fluminense","Corinthians","","","","","Fluminense","Engenhão","1","0","RJ","SP"
"3692","23","11/9/2011","16:00","Ceara","Atletico-GO","","","","","-"," Presidente Vargas","1","1","CE","GO"
"3693","23","11/9/2011","16:00","Coritiba","Botafogo-RJ","","","","","Coritiba"," Couto Pereira","5","0","PR","RJ"
"3694","23","11/9/2011","18:00","Flamengo","Athletico-PR","","","","","Athletico-PR","Cláudio Moacyr","1","2","RJ","PR"
"3695","23","11/9/2011","18:00","Gremio","Sao Paulo","","","","","Gremio"," Olímpico","1","0","RS","SP"
"3696","23","11/9/2011","18:00","Atletico-MG","Bahia","","","","","Atletico-MG","Arena do Jacaré","2","0","MG","BA"
"3697","24","17/9/2011","18:00","Atletico-GO","Atletico-MG","","","","","Atletico-GO"," Serra Dourada","1","0","GO","MG"
"3698","24","17/9/2011","18:00","Vasco","Gremio","","","","","Vasco"," São Januário","4","0","RJ","RS"
"3699","24","17/9/2011","18:00","Sao Paulo","Ceara","","","","","Sao Paulo"," Morumbi","4","0","SP","CE"
"3700","24","18/9/2011","16:00","Botafogo-RJ","Flamengo","","","","","-","Engenhão","1","1","RJ","RJ"
"3701","24","18/9/2011","16:00","Corinthians","Santos","","","","","Santos"," Pacaembu","1","3","SP","SP"
"3702","24","18/9/2011","16:00","Avai","Palmeiras","","","","","-","  Ressacada","1","1","SC","SP"
"3703","24","18/9/2011","16:00","Bahia","Fluminense","","","","","Bahia","Pituaçu","3","0","BA","RJ"
"3704","24","18/9/2011","16:00","Athletico-PR","Figueirense","","","","","-"," Arena da Baixada","0","0","PR","SC"
"3705","24","18/9/2011","18:00","Internacional","Coritiba","","","","","-"," Beira Rio","1","1","RS","PR"
"3706","24","18/9/2011","18:00","Cruzeiro","America-MG","","","","","-","Arena do Jacaré","0","0","MG","MG"
"3707","25","21/9/2011","20:30","America-MG","Santos","","","","","Santos","Parque do Sabiá","1","2","MG","SP"
"3708","25","21/9/2011","20:30","Coritiba","Cruzeiro","","","","","Coritiba"," Couto Pereira","2","1","PR","MG"
"3709","25","21/9/2011","20:30","Bahia","Athletico-PR","","","","","Bahia","Pituaçu","1","0","BA","PR"
"3710","25","21/9/2011","20:30","Fluminense","Avai","","","","","Fluminense","Engenhão","3","1","RJ","SC"
"3711","25","21/9/2011","21:50","Sao Paulo","Corinthians","","","","","-"," Morumbi","0","0","SP","SP"
"3712","25","21/9/2011","21:50","Atletico-MG","Flamengo","","","","","-","Arena do Jacaré","1","1","MG","RJ"
"3713","25","21/9/2011","21:50","Figueirense","Internacional","","","","","-"," Orlando Scarpelli","1","1","SC","RS"
"3714","25","22/9/2011","20:30","Palmeiras","Ceara","","","","","Palmeiras","Canindé","1","0","SP","CE"
"3715","25","22/9/2011","20:30","Gremio","Botafogo-RJ","","","","","Botafogo-RJ"," Olímpico","0","1","RS","RJ"
"3716","25","22/9/2011","20:30","Vasco","Atletico-GO","","","","","-"," São Januário","1","1","RJ","GO"
"3717","26","24/9/2011","18:00","Athletico-PR","Fluminense","","","","","-"," Arena da Baixada","1","1","PR","RJ"
"3718","26","24/9/2011","18:00","Santos","Figueirense","","","","","Figueirense"," Vila Belmiro","2","3","SP","SC"
"3719","26","24/9/2011","18:00","Flamengo","America-MG","","","","","Flamengo","Engenhão","2","1","RJ","MG"
"3720","26","25/9/2011","16:00","Botafogo-RJ","Sao Paulo","","","","","-","Engenhão","2","2","RJ","SP"
"3721","26","25/9/2011","16:00","Internacional","Atletico-MG","","","","","Internacional"," Beira Rio","2","1","RS","MG"
"3722","26","25/9/2011","16:00","Corinthians","Bahia","","","","","Corinthians"," Pacaembu","1","0","SP","BA"
"3723","26","25/9/2011","16:00","Avai","Gremio","","","","","Gremio","  Ressacada","1","2","SC","RS"
"3724","26","25/9/2011","16:00","Cruzeiro","Vasco","","","","","Vasco","Arena do Jacaré","0","3","MG","RJ"
"3725","26","25/9/2011","18:00","Ceara","Coritiba","","","","","Ceara"," Presidente Vargas","3","2","CE","PR"
"3726","26","25/9/2011","18:00","Atletico-GO","Palmeiras","","","","","-"," Serra Dourada","1","1","GO","SP"
"3727","27","1/10/2011","18:00","Palmeiras","America-MG","","","","","-","Canindé","1","1","SP","MG"
"3728","27","1/10/2011","18:00","Bahia","Avai","","","","","Bahia","Pituaçu","3","2","BA","SC"
"3729","27","1/10/2011","18:00","Fluminense","Santos","","","","","Fluminense","Engenhão","3","2","RJ","SP"
"3730","27","2/10/2011","16:00","Sao Paulo","Flamengo","","","","","Flamengo"," Morumbi","1","2","SP","RJ"
"3731","27","2/10/2011","16:00","Vasco","Corinthians","","","","","-"," São Januário","2","2","RJ","SP"
"3732","27","2/10/2011","16:00","Atletico-MG","Ceara","","","","","-","Arena do Jacaré","1","1","MG","CE"
"3733","27","2/10/2011","16:00","Figueirense","Coritiba","","","","","-"," Orlando Scarpelli","0","0","SC","PR"
"3734","27","2/10/2011","16:00","Athletico-PR","Internacional","","","","","Athletico-PR"," Arena da Baixada","2","0","PR","RS"
"3735","27","2/10/2011","18:00","Gremio","Cruzeiro","","","","","Gremio"," Olímpico","2","0","RS","MG"
"3736","27","2/10/2011","18:00","Atletico-GO","Botafogo-RJ","","","","","Atletico-GO"," Serra Dourada","2","0","GO","RJ"
"3586","11","5/10/2011","20:30","Gremio","Santos","","","","","Gremio"," Olímpico","1","0","RS","SP"
"3737","28","5/10/2011","18:00","Cruzeiro","Sao Paulo","","","","","-","Arena do Jacaré","3","3","MG","SP"
"3738","28","8/10/2011","18:00","Coritiba","Gremio","","","","","Coritiba"," Couto Pereira","2","0","PR","RS"
"3739","28","8/10/2011","18:00","Botafogo-RJ","Bahia","","","","","-"," São Januário","2","2","RJ","BA"
"3740","28","8/10/2011","18:00","America-MG","Atletico-MG","","","","","-","Arena do Jacaré","0","0","MG","MG"
"3741","28","9/10/2011","16:00","Santos","Palmeiras","","","","","Santos"," Vila Belmiro","1","0","SP","SP"
"3742","28","9/10/2011","16:00","Internacional","Vasco","","","","","Internacional"," Beira Rio","3","0","RS","RJ"
"3743","28","9/10/2011","16:00","Flamengo","Fluminense","","","","","Flamengo","Engenhão","3","2","RJ","RJ"
"3744","28","9/10/2011","18:00","Corinthians","Atletico-GO","","","","","Corinthians"," Pacaembu","3","0","SP","GO"
"3745","28","9/10/2011","18:00","Ceara","Figueirense","","","","","-"," Presidente Vargas","1","1","CE","SC"
"3746","28","9/10/2011","18:00","Avai","Athletico-PR","","","","","Avai","  Ressacada","3","0","SC","PR"
"3747","29","12/10/2011","16:00","America-MG","Ceara","","","","","America-MG","Arena do Jacaré","4","1","MG","CE"
"3748","29","12/10/2011","16:00","Avai","Atletico-GO","","","","","-","  Ressacada","2","2","SC","GO"
"3749","29","12/10/2011","16:00","Gremio","Figueirense","","","","","Figueirense"," Olímpico","1","3","RS","SC"
"3750","29","12/10/2011","16:00","Sao Paulo","Internacional","","","","","-","Arena Barueri","0","0","SP","RS"
"3751","29","12/10/2011","21:50","Bahia","Cruzeiro","","","","","-","Pituaçu","0","0","BA","MG"
"3752","29","12/10/2011","21:50","Corinthians","Botafogo-RJ","","","","","Botafogo-RJ"," Pacaembu","0","2","SP","RJ"
"3753","29","12/10/2011","21:50","Flamengo","Palmeiras","","","","","-","Engenhão","1","1","RJ","SP"
"3754","29","13/10/2011","20:30","Atletico-MG","Santos","","","","","Atletico-MG","Arena do Jacaré","2","1","MG","SP"
"3755","29","13/10/2011","20:30","Fluminense","Coritiba","","","","","Fluminense","Engenhão","3","1","RJ","PR"
"3756","29","13/10/2011","20:30","Athletico-PR","Vasco","","","","","-"," Arena da Baixada","2","2","PR","RJ"
"3757","30","15/10/2011","18:00","Ceara","Flamengo","","","","","Flamengo"," Presidente Vargas","0","1","CE","RJ"
"3758","30","15/10/2011","18:00","Figueirense","America-MG","","","","","Figueirense"," Orlando Scarpelli","2","1","SC","MG"
"3759","30","16/10/2011","16:00","Botafogo-RJ","Athletico-PR","","","","","Botafogo-RJ","Engenhão","2","0","RJ","PR"
"3760","30","16/10/2011","16:00","Santos","Gremio","","","","","Gremio"," Vila Belmiro","0","1","SP","RS"
"3761","30","16/10/2011","16:00","Cruzeiro","Corinthians","","","","","Corinthians","Arena do Jacaré","0","1","MG","SP"
"3762","30","16/10/2011","16:00","Internacional","Avai","","","","","Internacional"," Beira Rio","4","2","RS","SC"
"3763","30","16/10/2011","16:00","Palmeiras","Fluminense","","","","","Fluminense","Canindé","1","2","SP","RJ"
"3764","30","16/10/2011","18:00","Atletico-GO","Sao Paulo","","","","","Atletico-GO"," Serra Dourada","3","0","GO","SP"
"3765","30","16/10/2011","18:00","Coritiba","Bahia","","","","","-"," Couto Pereira","0","0","PR","BA"
"3766","30","16/10/2011","18:00","Vasco","Atletico-MG","","","","","Vasco"," São Januário","2","0","RJ","MG"
"3676","21","19/10/2011","20:30","Santos","Botafogo-RJ","","","","","Santos"," Vila Belmiro","2","0","SP","RJ"
"3767","31","22/10/2011","18:00","Palmeiras","Figueirense","","","","","Figueirense","Canindé","1","2","SP","SC"
"3768","31","22/10/2011","18:00","Fluminense","Atletico-MG","","","","","Atletico-MG","Engenhão","0","2","RJ","MG"
"3769","31","22/10/2011","18:00","America-MG","Gremio","","","","","-","Arena do Jacaré","2","2","MG","RS"
"3770","31","22/10/2011","18:00","Avai","Botafogo-RJ","","","","","Avai","  Ressacada","3","2","SC","RJ"
"3771","31","23/10/2011","16:00","Internacional","Corinthians","","","","","-"," Beira Rio","1","1","RS","SP"
"3772","31","23/10/2011","16:00","Sao Paulo","Coritiba","","","","","-"," Morumbi","0","0","SP","PR"
"3773","31","23/10/2011","16:00","Bahia","Vasco","","","","","Vasco","Pituaçu","0","2","BA","RJ"
"3774","31","23/10/2011","16:00","Athletico-PR","Ceara","","","","","Athletico-PR"," Arena da Baixada","1","0","PR","CE"
"3775","31","23/10/2011","18:00","Cruzeiro","Atletico-GO","","","","","Cruzeiro","Arena do Jacaré","3","2","MG","GO"
"3776","31","23/10/2011","18:00","Flamengo","Santos","","","","","-","Engenhão","1","1","RJ","SP"
"3777","32","29/10/2011","18:00","Santos","Athletico-PR","","","","","Santos"," Pacaembu","4","1","SP","PR"
"3778","32","29/10/2011","18:00","Ceara","Fluminense","","","","","Fluminense"," Presidente Vargas","1","2","CE","RJ"
"3779","32","29/10/2011","18:00","Botafogo-RJ","Cruzeiro","","","","","Botafogo-RJ","Engenhão","1","0","RJ","MG"
"3780","32","30/10/2011","16:00","Vasco","Sao Paulo","","","","","-"," São Januário","0","0","RJ","SP"
"3781","32","30/10/2011","16:00","Gremio","Flamengo","","","","","Gremio"," Olímpico","4","2","RS","RJ"
"3782","32","30/10/2011","16:00","Corinthians","Avai","","","","","Corinthians"," Pacaembu","2","1","SP","SC"
"3783","32","30/10/2011","16:00","Figueirense","Bahia","","","","","Figueirense"," Orlando Scarpelli","2","1","SC","BA"
"3784","32","30/10/2011","18:00","Atletico-GO","Internacional","","","","","Internacional"," Serra Dourada","0","1","GO","RS"
"3785","32","30/10/2011","18:00","Coritiba","America-MG","","","","","Coritiba"," Couto Pereira","3","1","PR","MG"
"3786","32","30/10/2011","18:00","Atletico-MG","Palmeiras","","","","","Atletico-MG","Arena do Jacaré","2","1","MG","SP"
"3787","33","5/11/2011","19:00","Bahia","Sao Paulo","","","","","Bahia","Pituaçu","4","3","BA","SP"
"3788","33","5/11/2011","19:00","Botafogo-RJ","Figueirense","","","","","Figueirense","Engenhão","0","1","RJ","SC"
