"","atletas.nome","atletas.slug","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.clube.id.full.name","A","CA","FC","FD","FS","PE","RB","FF","SG","G","I","DD","GS","FT","DP","CV","PP","GC"
"393","Matheus Alves da Silva Cardoso","matheus-alves","Matheus Alves","https://s.glbimg.com/es/sde/f/2019/03/26/de03c48f1b1b556b4876bcb937977dfa_FORMATO.png",91712,7,290,"gol","Nulo",0,1,0,0,"Goiás",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"394","Leonardo Gomes da Conceição Silva","leonardo","Leonardo","https://s.glbimg.com/es/sde/f/2018/05/21/15d96549307788253f2aba10bff0c973_FORMATO.png",86973,7,284,"lat","Provável",-0.4,5.02,-1.3,2.4,"Grêmio",NA,2,6,3,1,11,6,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"395","Luiz Ricardo Alves","sassa","Sassá","https://s.glbimg.com/es/sde/f/2018/05/07/89b8e9b3d830ff681500c63572397636_FORMATO.png",79578,7,283,"ata","Nulo",0,5.56,-0.52,0.97,"Cruzeiro",NA,NA,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"396","Lucas Henrique Frigeri","lucas-frigeri","Lucas Frigeri","https://s.glbimg.com/es/sde/f/2019/03/26/65f2f48172da036fdca184334f150eab_FORMATO.png",84854,7,314,"gol","Nulo",0,5,0,0,"Avaí",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"397","José Brandão Gonçalves Júnior","junior-brandao","Júnior Brandão","https://s.glbimg.com/es/sde/f/2019/03/26/e954e98c706090570f4b49aed0d84a09_FORMATO.png",93909,7,290,"ata","Nulo",0,1.81,0,-0.48,"Goiás",NA,3,5,1,4,NA,1,3,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"398","Jefferson Junio Antonio da Silva","jefferson","Jefferson","https://s.glbimg.com/es/sde/f/2019/03/26/0bdca6f9c3095efaf10949cf6c22b654_FORMATO.png",95220,7,290,"lat","Provável",0,10.31,0,5.08,"Goiás",NA,NA,4,1,10,11,12,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"399","Giovanny Bariani Marques","giovanny","Giovanny ","https://s.glbimg.com/es/sde/f/2019/03/26/0622726518f8a75c36ac5bb8486510c4_FORMATO.png",92085,7,290,"ata","Nulo",0,2,0,0,"Goiás",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"400","Jadson Alves dos Santos","jadson","Jadson","https://s.glbimg.com/es/sde/f/2019/02/04/fafc80986c9ff78c6b10c98b72c33190_FORMATO.png",80129,7,283,"mei","Nulo",0,3.73,0,0.33,"Cruzeiro",NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"401","Lucas Daniel Romero","lucas-romero","Lucas Romero","https://s.glbimg.com/es/sde/f/2018/05/07/5afee43c79c6ee5a180385ef4550fd6c_FORMATO.png",84558,7,283,"mei","Provável",4.7,4.37,0.71,3.35,"Cruzeiro",NA,2,10,1,11,13,17,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"402","Nilson Evair Loyola Morales","loyola","Loyola","https://s.glbimg.com/es/sde/f/2019/03/26/c4579a65458bcbabe053f6cfda210e89_FORMATO.png",94680,7,290,"lat","Nulo",0,2,0,0,"Goiás",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"403","Thalles Gabriel Morais dos Reis","thalles","Thalles","https://s.glbimg.com/es/sde/f/2019/03/26/56b3e518112fea200bbd74d9de3a5289_FORMATO.png",95222,7,290,"mei","Nulo",0,2,0,0,"Goiás",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"404","David Correa da Fonseca","david","David","https://s.glbimg.com/es/sde/f/2018/05/18/9c8442508cec9bf9dc9f0af8f306e11b_FORMATO.png",90309,7,283,"ata","Nulo",-2,4.29,-0.66,0.82,"Cruzeiro",NA,NA,10,2,4,3,3,3,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"405","Kevin Peterson dos Santos Silva","kevin","Kevin ","https://s.glbimg.com/es/sde/f/2019/03/26/c942f5741d6801ac46caaa38525ff433_FORMATO.png",91888,7,290,"lat","Nulo",0,7.49,0,4.6,"Goiás",NA,NA,NA,NA,2,7,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"406","Alejandro Ariel Cabral","ariel-cabral","Ariel Cabral","https://s.glbimg.com/es/sde/f/2018/05/18/f33acc95e50fe26abc27ac1d525bb4a4_FORMATO.png",80363,7,283,"mei","Provável",-1.1,2.3,-0.93,-1,"Cruzeiro",NA,1,2,NA,1,6,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"407","Renan Guedes Borges","renan-guedes","Renan Guedes","https://s.glbimg.com/es/sde/f/2019/03/30/326a3140a44042ebe99aabbad8cfef22_FORMATO.png",104127,7,282,"lat","Nulo",0,1,0,0,"Atlético-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"408","Michael Richard Delgado de Oliveira","michael","Michael","https://s.glbimg.com/es/sde/f/2019/03/26/57b50e0fcaacd6b990cf2a0becd46e62_FORMATO.png",99392,7,290,"ata","Provável",0,5.51,0,3.35,"Goiás",NA,NA,5,7,5,14,4,3,NA,1,7,NA,NA,1,NA,NA,NA,NA
"409","Raniel Santana de Vasconcelos","raniel","Raniel","https://s.glbimg.com/es/sde/f/2018/05/07/074f3b8960ae6ea7711fa17be1c27cac_FORMATO.png",86797,7,283,"ata","Nulo",0,8,0,0,"Cruzeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"410","Luan Martins Pereira","luan-pereira","Luan Pereira","https://s.glbimg.com/es/sde/f/2019/03/26/4ea943857c8fd654cdc1fe1f3e802748_FORMATO.png",99900,7,314,"mei","Nulo",0,3.26,0,1.74,"Avaí",1,2,4,1,6,7,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"411","Wesley Soares Xavier","wesley","Wesley","https://s.glbimg.com/es/sde/f/2019/03/26/c2306740c31403d20520165b9297b553_FORMATO.png",99462,7,314,"mei","Nulo",0,2,0,0,"Avaí",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"412","Thaciano Mickael da Silva","thaciano","Thaciano","https://s.glbimg.com/es/sde/f/2018/05/21/8805a9e1e4f2ee609adb3d2576d5ff0a_FORMATO.png",87470,7,284,"mei","Nulo",0.4,3.36,-0.02,0.84,"Grêmio",NA,NA,2,NA,4,7,4,1,NA,NA,3,NA,NA,NA,NA,NA,NA,NA
"413","Luis Manuel Orejuela García","orejuela","Orejuela","https://s.glbimg.com/es/sde/f/2019/03/31/bab8422e33f99d2553b8c998855973de_FORMATO.png",95352,7,283,"lat","Contundido",0,5.55,0,3.4,"Cruzeiro",NA,NA,4,1,2,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"414","Fabrício Bruno Soares de Faria","fabricio-bruno","Fabrício Bruno","https://s.glbimg.com/es/sde/f/2019/02/04/d5a1e093c0e8dfd5ead943946e093661_FORMATO.png",90768,7,283,"zag","Nulo",0,5,0,0,"Cruzeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"415","Murilo Cerqueira Paim","murilo","Murilo","https://s.glbimg.com/es/sde/f/2018/05/07/e153f69f7bac5d6410218a2a59787c11_FORMATO.png",97653,7,283,"zag","Nulo",0,2.22,0,-1.8,"Cruzeiro",NA,NA,3,NA,1,1,3,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"416","Matheus Bungenstab Stockl","matheus-stockl","Matheus Stockl","https://s.glbimg.com/es/sde/f/2019/03/30/86011c733ddfa6a95f8ce320b63fab21_FORMATO.png",104088,7,282,"zag","Nulo",0,1,0,0,"Atlético-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"417","Marcio Antonio de Sousa Júnior","marcinho","Marcinho","https://s.glbimg.com/es/sde/f/2019/03/26/dd575011a1fbea9f0e7859b1bdf2c9c1_FORMATO.png",95332,7,290,"mei","Nulo",0,2.04,0,-0.7,"Goiás",NA,NA,1,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"418","Gustavo Alcindo (Alcino)","gustavo","Gustavo","https://s.glbimg.com/es/sde/f/2019/02/18/2d52dcaf120ebbe0826308ada2b51f8d_FORMATO.png",101316,7,314,"zag","Nulo",0,3,0,0,"Avaí",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"419","Jurani Francisco Ferreira","ratinho","Ratinho","https://s.glbimg.com/es/sde/f/2019/03/26/fdeafe06b7b61ec6f750abc3c2ed907a_FORMATO.png",101841,7,290,"mei","Nulo",0,2,0,0,"Goiás",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"420","Miguel Ferreira Damasceno","figueira","Figueira","https://s.glbimg.com/es/sde/f/2019/03/26/7e19f3b4700aea39ef02fe83399dfc6c_FORMATO.png",102565,7,290,"mei","Nulo",0,1,0,0,"Goiás",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"421","Iury de Oliveira Nascimento ","iury","Iury","https://s.glbimg.com/es/sde/f/2019/02/18/0758f27a5553304e808e5732adb6eadd_FORMATO.png",101846,7,314,"lat","Nulo",0,6.76,0,2.93,"Avaí",1,1,4,NA,2,14,4,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"422","Rafael Lucas Cardoso Santos","rafael-santos","Rafael Santos","https://s.glbimg.com/es/sde/f/2019/03/28/218f2be6e5fe193939a7c29948a70d4d_FORMATO.png",97907,7,283,"lat","Nulo",0,1,0,0,"Cruzeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"423","Vinícius Lopes da Silva","vinicius","Vinícius","https://s.glbimg.com/es/sde/f/2019/03/27/5ed5059957839ba01890f61649b417e8_FORMATO.png",104660,7,290,"ata","Nulo",0,1,0,0,"Goiás",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"424","Ricardo Thalheimer","ricardo","Ricardo","https://s.glbimg.com/es/sde/f/2019/03/26/d6db02ce94eb23f6a9e0090158f1d7e8_FORMATO.png",101491,7,314,"zag","Provável",1.5,3.99,-0.52,2.38,"Avaí",NA,NA,3,1,1,10,5,1,1,NA,2,NA,NA,NA,NA,NA,NA,NA
"425","Alan Carlos de Paula Dias Filho","alan","Alan","https://s.glbimg.com/es/sde/f/2019/03/26/4ebe446997649a79d3d0d6f81824f76d_FORMATO.png",105395,7,290,"zag","Nulo",0,1,0,0,"Goiás",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"426","Rafael Barbosa dos Santos","rafael-barbosa","Rafael Barbosa","https://s.glbimg.com/es/sde/f/2019/03/26/277c76b8820a7ddb5193448964e883e4_FORMATO.png",105396,7,290,"mei","Nulo",0,1,0,0,"Goiás",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"427","Leonardo da Silva Moura","leo-moura","Léo Moura","https://s.glbimg.com/es/sde/f/2018/05/21/7d6781295f86c2cbf0d78d936349c8c8_FORMATO.png",37701,7,284,"lat","Nulo",0,5.55,0,1.4,"Grêmio",NA,NA,NA,NA,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"428","Alex da Silva","alex-silva","Alex Silva","https://s.glbimg.com/es/sde/f/2019/02/18/2ffd333de72b16a616330241a2857925_FORMATO.png",84861,7,314,"lat","Contundido",0,4.35,0,1.7,"Avaí",NA,1,2,1,3,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"429","Jonny Ferney Mosquera Mena","mosquera","Mosquera","https://s.glbimg.com/es/sde/f/2019/03/31/8ef2e2aca1a983bd2f770590e4a0aa91_FORMATO.png",86116,7,314,"mei","Nulo",0,2.69,0,0.5,"Avaí",NA,NA,2,NA,2,7,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"430","Maicon Thiago Pereira de Souza","maicon","Maicon","https://s.glbimg.com/es/sde/f/2018/05/21/34502d57cb34fa46bd51d3bd901d38bb_FORMATO.png",38196,7,284,"mei","Provável",0,8.76,0,2.43,"Grêmio",1,2,3,1,1,10,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"431","Diego Tardelli Martins","diego-tardelli","Diego Tardelli","https://s.glbimg.com/es/sde/f/2019/04/02/74a6e14ea8d6948485a09a674bb1bf31_FORMATO.png",38231,7,284,"ata","Nulo",-0.8,8.53,-1.54,2.52,"Grêmio",NA,NA,1,4,5,9,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"432","Renato Portaluppi","renato-gaucho","Renato Gaúcho","https://s.glbimg.com/es/sde/f/2018/05/21/735c0f10e782fe88dc4dde7e95494223_FORMATO.png",41929,7,284,"tec","Provável",0.78,10.69,-1.24,3.81,"Grêmio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"433","Júlio César Jacobi","julio-cesar","Júlio César","https://s.glbimg.com/es/sde/f/2019/03/30/2278e80f7f1079a8d5156292e3fe8bef_FORMATO.png",49673,7,284,"gol","Nulo",0,6.05,0,5,"Grêmio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,NA,NA,NA,NA,NA
"434","João Paulo da Silva Alves","joao-paulo","João Paulo","https://s.glbimg.com/es/sde/f/2019/02/18/e6b56502fd1ec5cd75f853c47b7df942_FORMATO.png",86770,7,314,"mei","Provável",2.9,4.65,0.72,1.44,"Avaí",NA,1,12,3,14,23,8,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"435","Eduardo Kunde","kunde","Kunde","https://s.glbimg.com/es/sde/f/2019/03/25/c4c9c869583e3c80724d1cea7d6dbbc9_FORMATO.png",95476,7,314,"zag","Nulo",0,0.73,0,-1,"Avaí",NA,1,3,NA,NA,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"436","Getúlio Wandelly Silva Timoteo","getulio","Getúlio","https://s.glbimg.com/es/sde/f/2019/02/18/3eda93423ebb9e3f661c0360363ef5e5_FORMATO.png",90573,7,314,"ata","Nulo",0.8,6.1,-0.36,2.08,"Avaí",NA,NA,4,2,6,5,5,2,NA,NA,3,NA,NA,1,NA,NA,NA,NA
"437","Marcelo Oliveira Ferreira","marcelo-oliveira","Marcelo Oliveira","https://s.glbimg.com/es/sde/f/2018/05/21/cd9984e989967919e3ef170f9dab23b7_FORMATO.png",50328,7,284,"zag","Contundido",0,5,0,0,"Grêmio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"438","Leonardo Thomas Lopes","leo-lopes","Léo Lopes","https://s.glbimg.com/es/sde/f/2019/03/25/75373f3be71d114621aba37a7d05db97_FORMATO.png",96965,7,314,"gol","Nulo",0,1,0,0,"Avaí",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"439","Maurício Tomazi Pinheiro","mauricio","Maurício","https://s.glbimg.com/es/sde/f/2019/03/26/1f39cc62496e44034c3eeebbdf31abf6_FORMATO.png",96464,7,314,"zag","Nulo",0,3,0,0,"Avaí",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"440","André Felipe Ribeiro de Souza","andre","André","https://s.glbimg.com/es/sde/f/2018/05/18/0ca56cb5450f85a99dc8b875b05f9c86_FORMATO.png",68690,7,284,"ata","Nulo",-1,9.25,-0.55,3.11,"Grêmio",1,NA,8,3,10,10,4,4,NA,1,2,NA,NA,1,NA,NA,1,NA
"441","Márcio Rodrigues Velasco","marcinho","Marcinho","https://s.glbimg.com/es/sde/f/2019/03/26/f668b0e7484644c6732bfc57f72a5fdb_FORMATO.png",102380,7,314,"mei","Nulo",0,1,0,0,"Avaí",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"442","Acácio Nuno Boing","nuno","Nuno","https://s.glbimg.com/es/sde/f/2019/03/26/c1b1a18f433b957ac0690204c16bedca_FORMATO.png",104326,7,314,"zag","Nulo",0,2,0,0,"Avaí",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"443","Gabriel Alves da Cunha Borges","gabriel","Gabriel",NA,104404,7,282,"mei","Nulo",0,1,0,0,"Atlético-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"444","Paulo Victor Mileo Vidotti","paulo-victor","Paulo Victor","https://s.glbimg.com/es/sde/f/2018/05/21/6022690f57c54343611ba7c2008603ce_FORMATO.png",68873,7,284,"gol","Provável",3.7,5.46,-1.11,3.92,"Grêmio",NA,NA,NA,NA,NA,5,NA,NA,2,NA,NA,9,6,NA,NA,NA,NA,NA
"445","Gabriel Farias de Lima","gabriel-lima","Gabriel Lima","https://s.glbimg.com/es/sde/f/2019/02/18/a93bba8cbc0b3d63a2713d51b3e80af1_FORMATO.png",98400,7,314,"ata","Nulo",0,3,0,0,"Avaí",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"446","Lucas de Oliveira Teodoro Falcão","falcao","Falcão","https://s.glbimg.com/es/sde/f/2019/02/18/6a3faee3e0ccb1919d96bae0cb823728_FORMATO.png",104104,7,314,"mei","Nulo",0,2,0,0,"Avaí",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"447","Jordi Almeida","jordi","Jordi","https://s.glbimg.com/es/sde/f/2019/04/27/086fa2e4939cd7153795f155d02f6f52_FORMATO.png",86776,7,341,"gol","Provável",-2.8,6.99,-2.91,5.8,"CSA",NA,2,1,NA,2,3,NA,NA,3,NA,NA,16,9,NA,NA,NA,NA,NA
"448","Caio Fernando de Oliveira","caio-paulista","Caio Paulista","https://s.glbimg.com/es/sde/f/2019/02/18/9a6fef900167a97e0492da10177e45b8_FORMATO.png",102318,7,314,"ata","Provável",2.2,2.78,-0.31,3.2,"Avaí",NA,NA,6,3,4,7,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"449","Igor Alves dos Reis","igor-reis","Igor Reis",NA,104408,7,282,"mei","Nulo",0,1,0,0,"Atlético-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"450","Jonathan Doin","paulo-miranda","Paulo Miranda","https://s.glbimg.com/es/sde/f/2018/05/21/62fa3dde13de597371870ee9b721b5d7_FORMATO.png",68817,7,284,"zag","Contundido",0,5,0,0,"Grêmio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"451","Derlis Alberto González Galeano","derlis-gonzalez","Derlis González","https://s.glbimg.com/es/sde/f/2018/08/02/82821b03d402e292e2c9436d34a6f1b3_FORMATO.png",75372,7,277,"ata","Nulo",0,0.74,0,-3,"Santos",NA,3,6,1,5,4,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA
"452","Michel Ferreira dos Santos","michel","Michel","https://s.glbimg.com/es/sde/f/2018/05/21/85cd3dd4979fed2379f69e0aeeaee152_FORMATO.png",71920,7,284,"mei","Provável",4.8,4.84,0.8,1.47,"Grêmio",NA,1,11,2,NA,8,17,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"453","João Paulo Ferreira Lourenço","lourenco","Lourenço","https://s.glbimg.com/es/sde/f/2019/03/26/a10ea3714ffa4fb0caf1a1a80ffd5255_FORMATO.png",99032,7,314,"ata","Provável",3.3,4.07,0.15,4.48,"Avaí",1,1,4,3,10,15,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"454","Raphael Lopes Silva","raphael-lopes","Raphael Lopes",NA,105198,7,282,"ata","Nulo",0,1,0,0,"Atlético-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"455","Eduardo Luis Tapparo","dudu","Dudu","https://s.glbimg.com/es/sde/f/2019/02/18/802f542c5adf740551a1a6aec66a72ba_FORMATO.png",104327,7,314,"mei","Nulo",0,1,0,0,"Avaí",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"456","Eugênio Machado Souto","geninho","Geninho","https://s.glbimg.com/es/sde/f/2019/03/31/0f7029892255153d5c0261c6523eef36_FORMATO.png",36886,7,314,"tec","Provável",3.37,5.93,0.23,2.74,"Avaí",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"457","Hélio Júnior Rossi Francino","helio-junior","Hélio Júnior",NA,104622,7,282,"lat","Nulo",0,1,0,0,"Atlético-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"458","Jonathan Copete Valencia","copete","Copete","https://s.glbimg.com/es/sde/f/2019/03/28/8b877a8c4ad54095a090c72a16cdb129_FORMATO.png",77959,7,277,"ata","Nulo",0.3,4.56,-1.44,0.3,"Santos",NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"459","Rodrigo Jardim dos Santos Almeida","rodrigo","Rodrigo","https://s.glbimg.com/es/sde/f/2019/03/26/ba2af494a1681ac20387f7fc39e21721_FORMATO.png",104328,7,314,"gol","Nulo",0,1,0,0,"Avaí",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"460","Alisson Euler de Freitas Castro","alisson","Alisson","https://s.glbimg.com/es/sde/f/2018/05/18/eeeced6e37969b2b8161eb83c56d069e_FORMATO.png",81845,7,284,"mei","Dúvida",0,7.35,0,4.6,"Grêmio",2,1,5,3,6,9,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"461","Cláudio Vitor Morais de Lima Cruz","claudio-vitor","Cláudio Vitor","https://s.glbimg.com/es/sde/f/2019/02/18/798d0ead220702bf3c3f671330c609e5_FORMATO.png",98888,7,314,"gol","Nulo",0,1,0,0,"Avaí",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"462","João Vitor de Oliveira","joao-vitor","João Vitor","https://s.glbimg.com/es/sde/f/2019/03/26/bbbed8c4d42ead7dff816c8262ba62cf_FORMATO.png",104329,7,314,"gol","Nulo",0,1,0,0,"Avaí",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"463","Gustavo Henrique Vernes","gustavo-henrique","Gustavo Henrique","https://s.glbimg.com/es/sde/f/2019/03/28/1fb1aeab02e0006889fbd9ef7a4dd6e0_FORMATO.png",78248,7,277,"zag","Provável",0,6.26,0,3.25,"Santos",NA,3,6,2,3,8,8,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"464","Ebert William Amâncio","betao","Betão","https://s.glbimg.com/es/sde/f/2019/02/18/c0b805cc5c8e5f13e496652b72658a40_FORMATO.png",37646,7,314,"zag","Provável",7.4,4.11,1.79,2.2,"Avaí",NA,3,6,NA,8,11,11,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"465","Feliciano Brizuela","brizuela","Brizuela","https://s.glbimg.com/es/sde/f/2019/03/26/5b47fe819c97b3c422671ac692dc59d7_FORMATO.png",104819,7,314,"ata","Contundido",0,7.33,0,3.3,"Avaí",NA,NA,2,NA,2,2,2,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA
"466","Luís Fernando Santos da Conceição","luis-fernando","Luís Fernando","https://s.glbimg.com/es/sde/f/2019/03/29/b8658c291123b2f260eb6762a0311864_FORMATO.png",94971,7,265,"mei","Nulo",0,1,0,0,"Bahia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"467","Luan Guilherme de Jesus Vieira","luan","Luan","https://s.glbimg.com/es/sde/f/2018/05/21/c01a0fcc9657bf0df6cfde4356ece5bc_FORMATO.png",86759,7,284,"ata","Dúvida",0,10.15,0,3,"Grêmio",1,NA,2,4,5,11,1,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA
"468","Luiz Felipe do Nascimento dos Santos","luiz-felipe","Luiz Felipe","https://s.glbimg.com/es/sde/f/2019/03/28/8bb249c2111b49eff60737fd35c27a45_FORMATO.png",79035,7,277,"zag","Nulo",0,7,0,0,"Santos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"469","Jonathan Cícero Moreira","jonathan","Jonathan","https://s.glbimg.com/es/sde/f/2019/03/30/8b5651c87880d8422c6440c0edfc069a_FORMATO.png",37662,7,293,"lat","Provável",0,4.71,0,0.8,"Athlético-PR",NA,1,3,1,NA,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"470","Paulo André Cren Benini","paulo-andre","Paulo André","https://s.glbimg.com/es/sde/f/2019/03/30/d13b3f750784e34198600803f659c068_FORMATO.png",37604,7,293,"zag","Nulo",0,3.8,0,0.4,"Athlético-PR",NA,1,3,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"471","Marcos Roberto da Silva Barbosa","marquinhos-silva","Marquinhos Silva","https://s.glbimg.com/es/sde/f/2019/03/25/8dc24bebfd563fe4253dc5e8837b3121_FORMATO.png",38515,7,314,"zag","Nulo",0,6.52,0,2.5,"Avaí",NA,1,2,NA,4,14,8,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"472","Wellington Aparecido Martins","wellington","Wellington","https://s.glbimg.com/es/sde/f/2019/03/30/79dd4d1b071e14e833f4b54ceaba247a_FORMATO.png",62129,7,293,"mei","Provável",-0.4,0.75,0,-1.05,"Athlético-PR",NA,1,10,NA,2,16,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"473","Márcio Gonzaga de Azevedo","marcio-azevedo","Márcio Azevedo","https://s.glbimg.com/es/sde/f/2019/03/30/94c0ddfd7cbc5c7244c6b1a5aecc258b_FORMATO.png",42491,7,293,"lat","Provável",10.5,6.8,2.39,3.63,"Athlético-PR",2,1,7,NA,8,14,5,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"474","Douglas dos Santos","douglas","Douglas","https://s.glbimg.com/es/sde/f/2019/03/25/5842a2e0a1d8ab226f0555c0667dfc11_FORMATO.png",38738,7,314,"mei","Nulo",0,5.74,-0.3,0,"Avaí",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
