"","atletas.nome","atletas.slug","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.clube.id.full.name","CA","FC","FD","FF","FS","G","I","PE","PP","RB","A","SG","CV","DD","GS","DP","FT","GC"
"402","Leonardo Felipe Valencia Rossel","leonardo-valencia","Leonardo Valencia","https://s.glbimg.com/es/sde/f/2019/03/22/92598d9c96fb60c7bb5e624f97b32f21_FORMATO.png",91508,34,263,"mei","Nulo",0,4.08,0,1.47,"Botafogo",2,8,4,12,10,1,1,37,NA,10,1,NA,NA,NA,NA,NA,NA,NA
"403","Wesley Frazan Bernardo","frazan","Frazan","https://s.glbimg.com/es/sde/f/2019/09/16/c5d2c137a7f71266770588b3ad4680ba_FORMATO.png",97528,34,266,"zag","Nulo",0,1.78,0,1.88,"Fluminense",2,11,1,NA,2,1,NA,8,NA,5,NA,5,2,NA,NA,NA,NA,NA
"404","Ronielson da Silva Barbosa","rony","Rony","https://s.glbimg.com/es/sde/f/2019/03/30/e3a2125216bf497937a96f974e95aacd_FORMATO.png",91607,34,293,"ata","Provável",0,14.16,0,5.38,"Athlético-PR",5,55,22,36,53,6,13,51,NA,24,6,NA,NA,NA,NA,NA,1,NA
"405","Lucas Estella Perri","lucas-perri","Lucas Perri","https://s.glbimg.com/es/sde/f/2018/05/26/5818d20df4c7c3248d9dc04c6864aa03_FORMATO.png",91260,34,276,"gol","Nulo",0,2,0,0,"São Paulo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"406","Marcílio Florêncio Mota Filho","nino","Nino","https://s.glbimg.com/es/sde/f/2019/09/16/32a99ea5b65d641f4552626c5369e377_FORMATO.png",91708,34,266,"zag","Provável",4.7,5.32,0.06,3.3,"Fluminense",7,26,2,8,21,1,NA,30,NA,44,1,8,NA,NA,NA,NA,NA,NA
"407","Tomás Gustavo Andrade","tomas-andrade","Tomás Andrade","https://s.glbimg.com/es/sde/f/2019/03/30/a39638dfbd68303f98264fc322855b6c_FORMATO.png",97619,34,293,"mei","Nulo",0,3.82,0,0.69,"Athlético-PR",NA,10,3,5,4,NA,NA,19,NA,2,1,NA,NA,NA,NA,NA,NA,NA
"408","Fernando Rodrigues Caixeta Barbosa","fernando","Fernando","https://s.glbimg.com/es/sde/f/2018/05/07/f73daae77a916904f7cc997667e506ad_FORMATO.png",97543,34,282,"gol","Nulo",0,1,0,0,"Atlético-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"409","Hiago Corrêa Silveira Cena","hiago","Hiago","https://s.glbimg.com/es/sde/f/2018/05/24/290a6f9eadad6684596a861f850734aa_FORMATO.png",97535,34,315,"zag","Suspenso",-0.5,1.26,-0.06,0.38,"Chapecoense",NA,3,NA,NA,NA,NA,NA,NA,NA,2,NA,1,1,NA,NA,NA,NA,NA
"410","David de Duarte Macedo","david-duarte","David Duarte","https://s.glbimg.com/es/sde/f/2019/03/26/cfafe9f57bd3c0e32edd4416b3449331_FORMATO.png",91772,34,290,"zag","Contundido",0,8.03,0,2.92,"Goiás",NA,2,NA,3,3,NA,NA,10,NA,7,NA,2,NA,NA,NA,NA,NA,NA
"411","Caíque França Godoy","caique-franca","Caíque França","https://s.glbimg.com/es/sde/f/2019/05/23/2fe6e1e07de6a69ffa395b217210bff4_FORMATO.png",91808,34,264,"gol","Nulo",0,2.32,0,0,"Corinthians",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"412","Dawhan Fran Urano da Purificação Oliveira","dawhan","Dawhan","https://s.glbimg.com/es/sde/f/2019/03/23/6be5b8e0ec5727594d30e1a2b17e8f16_FORMATO.png",97780,34,341,"mei","Provável",3.4,6.03,0.44,1.12,"CSA",7,31,2,10,10,NA,1,32,NA,37,NA,NA,NA,NA,NA,NA,NA,NA
"413","Luiz Antonio Ferreira Rodrigues","felipe","Felipe","https://s.glbimg.com/es/sde/f/2019/03/22/4ef6aa2bd0c3f910bdb023b63225bec1_FORMATO.png",91733,34,356,"mei","Provável",2.9,6.66,0.14,2.59,"Fortaleza",11,51,5,5,31,NA,NA,80,NA,74,1,NA,NA,NA,NA,NA,NA,NA
"414","Matheus Alves da Silva Cardoso","matheus-alves","Matheus Alves","https://s.glbimg.com/es/sde/f/2019/03/26/de03c48f1b1b556b4876bcb937977dfa_FORMATO.png",91712,34,290,"gol","Nulo",0,1,0,0,"Goiás",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"415","Rafael Santos de Sousa","rafael","Rafael","https://s.glbimg.com/es/sde/f/2019/04/26/64d0a13b8e06be6354ab0abfb3a8b449_FORMATO.png",97902,34,262,"zag","Nulo",0,0.73,0,-1.2,"Flamengo",1,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"416","Carlos Augusto Zopalato Neves","carlos-augusto","Carlos Augusto","https://s.glbimg.com/es/sde/f/2019/05/23/7cf24d9f3acb482165da003096c26921_FORMATO.png",101803,34,264,"lat","Nulo",0,4.65,0,2.46,"Corinthians",1,8,NA,2,7,1,NA,15,NA,8,NA,2,NA,NA,NA,NA,NA,NA
"417","Ramón Martínez López","ramon-martinez","Ramón Martínez","https://s.glbimg.com/es/sde/f/2019/06/14/f452299e051661e5307fd72b085fcdcc_FORMATO.png",92155,34,282,"mei","Dúvida",0,4.14,0,1.71,"Atlético-MG",1,5,NA,1,4,NA,1,7,NA,12,NA,NA,NA,NA,NA,NA,NA,NA
"418","Rafael Lucas Cardoso Santos","rafael-santos","Rafael Santos","https://s.glbimg.com/es/sde/f/2019/03/28/218f2be6e5fe193939a7c29948a70d4d_FORMATO.png",97907,34,283,"lat","Nulo",0,0.9,0,1.65,"Cruzeiro",1,NA,1,NA,NA,NA,NA,3,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"419","Andre Luis da Costa Alfredo","andre-luis","André Luís","https://s.glbimg.com/es/sde/f/2019/06/14/e5185b4b8ca27b490315869d17077e90_FORMATO.png",92146,34,356,"ata","Provável",2,4.59,-0.26,2.09,"Fortaleza",4,16,8,6,51,2,4,27,NA,6,NA,NA,NA,NA,NA,NA,3,NA
"420","Giovanny Bariani Marques","giovanny","Giovanny ","https://s.glbimg.com/es/sde/f/2019/03/26/0622726518f8a75c36ac5bb8486510c4_FORMATO.png",92085,34,290,"ata","Nulo",0,1.24,0,-1.6,"Goiás",NA,2,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"421","Kevin Peterson dos Santos Silva","kevin","Kevin ","https://s.glbimg.com/es/sde/f/2019/03/26/c942f5741d6801ac46caaa38525ff433_FORMATO.png",91888,34,290,"lat","Nulo",0,5.05,0,0.68,"Goiás",2,1,NA,1,2,NA,NA,13,NA,5,NA,1,NA,NA,NA,NA,NA,NA
"422","Jefferson Gabriel Nascimento Brito","fessin","Fessin","https://s.glbimg.com/es/sde/f/2019/03/26/d280c476822d11a21bba9408da199dba_FORMATO.png",97994,34,264,"mei","Nulo",0,2,0,0,"Corinthians",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"423","Jhonata Varela da Silva","varela","Varela","https://s.glbimg.com/es/sde/f/2017/02/20/ecf24f5e5541ccbee57dc2c72a5a06ba_FORMATO.jpeg",97993,34,284,"mei","Nulo",0,1,0,0,"Grêmio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"424","Raul Lô Gonçalves","raul","Raul","https://s.glbimg.com/es/sde/f/2018/09/27/cff54b0c5b12cb5f18cd3ca9292e3511_FORMATO.png",92496,34,267,"mei","Provável",0,7.72,0,4.23,"Vasco",6,42,8,11,58,1,NA,46,NA,58,2,NA,NA,NA,NA,NA,NA,NA
"425","Leonardo Barbosa Griggio","leo-griggio","Léo Griggio","",98106,34,282,"zag","Nulo",0,1,0,0,"Atlético-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"426","Dalberto Luan Belo","dalberto","Dalberto","https://s.glbimg.com/es/sde/f/2019/09/26/29cf2941e89066b6862d73494bf8de5f_FORMATO.png",97995,34,315,"ata","Nulo",-1.1,1.81,-0.21,0.51,"Chapecoense",1,7,3,1,1,NA,NA,6,NA,4,NA,NA,NA,NA,NA,NA,NA,NA
"427","José Carlos Ferreira Júnior","juninho","Juninho","https://s.glbimg.com/es/sde/f/2019/07/08/6bee46606625768114c3a7c4f48ecde5_FORMATO.png",92182,34,265,"zag","Provável",1.7,6.24,-0.55,3.42,"Bahia",1,20,4,5,13,1,1,41,NA,20,NA,10,NA,NA,NA,NA,NA,NA
"428","Jaderson Flores dos Reis","jaderson","Jaderson","https://s.glbimg.com/es/sde/f/2019/03/30/832c92b15aa34fdde7be9738ca86c863_FORMATO.png",98224,34,293,"mei","Nulo",0,0.76,0,0,"Athlético-PR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"429","Erick Luis Conrado de Carvalho","erick","Erick","https://s.glbimg.com/es/sde/f/2019/04/01/9717a07ef27fdd10d8ac6c25914a376e_FORMATO.png",98022,34,293,"mei","Dúvida",1.4,1.69,0.23,1.31,"Athlético-PR",1,18,4,2,4,1,NA,15,NA,9,NA,NA,NA,NA,NA,NA,NA,NA
"430","Fernando Medeiros da Silva","fernando-medeiros","Fernando Medeiros","https://s.glbimg.com/es/sde/f/2019/02/27/d7d62e276bd5101031417c8ab4f7e691_FORMATO.png",92841,34,265,"mei","Nulo",0,2,0,0,"Bahia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"431","Alisson Pelegrini Safira","alisson-safira","Alisson Safira","https://s.glbimg.com/es/sde/f/2019/09/06/a600a839f4c3df38a3428362b9adccb7_FORMATO.png",93782,34,341,"ata","Nulo",-0.3,2.72,-0.1,0.3,"CSA",1,9,NA,NA,7,NA,1,4,NA,1,1,NA,NA,NA,NA,NA,NA,NA
"432","Renato Kayzer de Souza","renato-kayzer","Renato Kayzer","https://s.glbimg.com/es/sde/f/2019/07/23/32064f0a35c4c96bb12531c867d36125_FORMATO.png",92696,34,315,"ata","Nulo",4.2,2.64,0.46,1.46,"Chapecoense",NA,11,1,2,8,1,2,6,NA,4,1,NA,NA,NA,NA,NA,NA,NA
"433","Ronaldo da Silva Souza","ronaldo","Ronaldo","https://s.glbimg.com/es/sde/f/2019/07/19/83ab7827bcb96302e51df4217de3e45a_FORMATO.png",92981,34,265,"mei","Dúvida",4.3,4.85,0.96,2.68,"Bahia",4,22,NA,3,12,NA,1,26,NA,36,1,NA,NA,NA,NA,NA,NA,NA
"434","Deyverson Brum Silva Acosta","deyverson","Deyverson","https://s.glbimg.com/es/sde/f/2019/01/14/3437ba3702c7494eee6e3469ceacfe97_FORMATO.jpeg",92708,34,275,"ata","Nulo",0,9.93,0,3.63,"Palmeiras",3,23,12,21,52,3,21,31,NA,10,2,NA,NA,NA,NA,NA,NA,NA
"435","Max Alexandre dos Santos Silva","max","Max","https://s.glbimg.com/es/sde/f/2019/02/27/1742dc16d6ca6bb28a57dbd1123a9069_FORMATO.png",94982,34,265,"mei","Nulo",0,1,0,0,"Bahia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"436","Gabriel Batista de Souza","gabriel-batista","Gabriel Batista","https://s.glbimg.com/es/sde/f/2019/04/26/69ee9fb82966a6aed84c07e074991f1a_FORMATO.png",98333,34,262,"gol","Nulo",0,2.77,0,-2,"Flamengo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"437","Mateus da Silva Vital Assumpção","mateus-vital","Mateus Vital","https://s.glbimg.com/es/sde/f/2019/05/23/3173cd42fd63f03aecc0aa9d2b3fb706_FORMATO.png",93108,34,264,"mei","Nulo",0.2,7.19,-0.49,3.65,"Corinthians",1,12,10,18,54,2,1,25,NA,21,2,NA,NA,NA,NA,NA,NA,NA
"438","Thiago Nascimento dos Santos","thiago-santos","Thiago Santos","https://s.glbimg.com/es/sde/f/2019/05/08/d6ea24feb54f6ea2b6f7eb5c8ed0c4da_FORMATO.png",93151,34,315,"ata","Contundido",0,3,0,0,"Chapecoense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"439","Bruno Guimarães Rodriguez Moura","bruno-guimaraes","Bruno Guimarães","https://s.glbimg.com/es/sde/f/2019/03/30/eb38985677869fa7ca820f8ae7cfcfa1_FORMATO.png",98352,34,293,"mei","Contundido",5,12.31,0.16,3.86,"Athlético-PR",3,38,9,15,62,2,NA,81,NA,37,2,NA,NA,NA,NA,NA,1,NA
"440","Gabriel Farias de Lima","gabriel-lima","Gabriel Lima","https://s.glbimg.com/es/sde/f/2019/02/18/a93bba8cbc0b3d63a2713d51b3e80af1_FORMATO.png",98400,34,314,"ata","Nulo",0,2.34,0,0.6,"Avaí",NA,1,NA,2,3,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"441","Giovanni Silva Tiepo","tiepo","Tiepo","https://s.glbimg.com/es/sde/f/2019/08/27/6ad3ac86c589e97bbf69a329366dd9f5_FORMATO.png",98412,34,315,"gol","Nulo",0,12.62,0,3.38,"Chapecoense",2,NA,NA,NA,3,NA,NA,16,NA,NA,NA,5,NA,39,38,4,NA,NA
"442","Richard Darío Franco Escobar","richard-franco","Richard Franco","https://s.glbimg.com/es/sde/f/2019/09/17/0411bb5e23fcca573faf3fca461b6b89_FORMATO.png",99802,34,314,"mei","Provável",2.2,5.68,-0.28,2.98,"Avaí",3,45,8,20,32,1,1,69,NA,46,NA,NA,NA,NA,NA,NA,NA,NA
"443","Mauro Joel Carli","joel-carli","Joel Carli","https://s.glbimg.com/es/sde/f/2019/03/22/5b148a93fa4bc73fb9ad91009dde28c2_FORMATO.png",93414,34,263,"zag","Nulo",0,5.59,0,1.13,"Botafogo",9,22,1,4,17,NA,1,48,NA,16,NA,6,NA,NA,NA,NA,1,NA
"444","Ronei Gebing","ronei","Ronei","https://s.glbimg.com/es/sde/f/2017/04/25/fc5cc48d48a258ae6e11966c17fc3fbb_FORMATO.png",98419,34,315,"mei","Nulo",0,1,0,0,"Chapecoense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"445","Jobson Souza Santos","jobson","Jobson","https://s.glbimg.com/es/sde/f/2019/09/21/78ffca0f8c20a94cf8b5e9109bea47c6_FORMATO.png",93377,34,277,"mei","Nulo",0,3,0,0.73,"Santos",2,3,NA,NA,4,NA,NA,1,NA,4,NA,NA,NA,NA,NA,NA,NA,NA
"446","Victor Hugo Soares dos Santos","kanu","Kanu","https://s.glbimg.com/es/sde/f/2018/05/17/2db8b29bbc16d8473f93bd1f8a0351dc_FORMATO.png",98484,34,263,"zag","Nulo",0,0.89,0,0.33,"Botafogo",NA,2,NA,NA,1,NA,NA,5,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
"447","Lucas Veríssimo da Silva","lucas-verissimo","Lucas Veríssimo","https://s.glbimg.com/es/sde/f/2019/05/09/77ef73e05fe5f4a5bcbf11b7577516d4_FORMATO.png",93368,34,277,"zag","Provável",3.7,9.61,0.52,3.65,"Santos",7,58,4,11,20,1,1,66,NA,57,1,12,2,NA,NA,NA,2,1
"448","Michael Matias Fracaro","michael","Michael","https://s.glbimg.com/es/sde/f/2018/05/07/b00362ea5028e43dae1152d78fbf5ccc_FORMATO.png",93659,34,282,"gol","Contundido",0,1,0,0,"Atlético-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"449","Márcio Almeida de Oliveira","marcinho","Marcinho","https://s.glbimg.com/es/sde/f/2019/03/22/73ff5646586a9145ea6768297b10ac7d_FORMATO.png",93797,34,263,"lat","Contundido",0,7.3,0,3.32,"Botafogo",2,30,7,13,17,1,1,59,NA,18,4,5,NA,NA,NA,NA,1,NA
"450","Vinícius Teodoro Barreta Melo","vinicius","Vinícius","https://s.glbimg.com/es/sde/f/2019/09/03/e3bed2dbab15d146e8145cdf5110dfe5_FORMATO.png",98496,34,283,"gol","Nulo",0,1,0,0,"Cruzeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"451","Lucas Bessa dos Santos Costa","lucas-bessa","Lucas Bessa","https://s.glbimg.com/es/sde/f/2018/01/23/64c94d10451db5a343e890e0255f7c97_FORMATO.jpeg",98494,34,285,"mei","Nulo",0,1,0,0,"Internacional",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"452","Daniel Sampaio Simões","daniel","Daniel","https://s.glbimg.com/es/sde/f/2019/09/16/ee28ebd8f6c3887a9baa980792dd7d32_FORMATO.png",93791,34,266,"mei","Provável",2.6,4.9,0.21,1.95,"Fluminense",2,18,9,8,34,1,1,75,NA,21,3,NA,NA,NA,NA,NA,NA,NA
"453","Alan Cardoso de Andrade","alan-cardoso","Alan Cardoso","https://s.glbimg.com/es/sde/f/2019/03/28/5f3fd4c09cb41da699f94b30e6bd4600_FORMATO.png",93785,34,277,"lat","Nulo",0,3,0,0,"Santos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"454","Keiller da Silva Nunes","keiller","Keiller","https://s.glbimg.com/es/sde/f/2018/04/08/2b0ef7e6d3eca3c4d867a530c5f5993a_FORMATO.png",93834,34,285,"gol","Nulo",0,2,0,0,"Internacional",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"455","Matheus Fernandes de Brito Cabral","matheus-cabral","Matheus Cabral","https://s.glbimg.com/es/sde/f/2019/09/30/1782bda23b184b8baa5eac221a2b1bca_FORMATO.png",93795,34,354,"gol","Nulo",0,2,0,0,"Ceará",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"456","José Natanael da Cruz Oliveira","natan","Natan","https://s.glbimg.com/es/sde/f/2019/05/21/494b28e7553f92faf79555308745d150_FORMATO.png",98497,34,275,"mei","Nulo",0,2,0,0,"Palmeiras",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"457","Lucas Oliveira de França","lucas-franca","Lucas França","https://s.glbimg.com/es/sde/f/2018/05/18/e628010513e2e9e40d44eb43c1387f0e_FORMATO.png",93869,34,354,"gol","Nulo",0,2.36,0,4,"Ceará",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA
"458","Dyego Rocha Coelho","dyego-coelho","Dyego Coelho","https://s.glbimg.com/es/sde/f/2019/11/04/d9e5788306ab7739f6914563cc3b5ac2_FORMATO.png",98499,34,264,"tec","Provável",0.85,10.86,-0.99,3.61,"Corinthians",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"459","Kendy Tateishi Berbel","kendy","Kendy","https://s.glbimg.com/es/sde/f/2018/05/24/523e1089d0afe7b92de643fefef0ec55_FORMATO.png",98421,34,315,"mei","Nulo",0,2,0,0,"Chapecoense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"460","Caio Henrique Oliveira Silva","caio-henrique","Caio Henrique","https://s.glbimg.com/es/sde/f/2019/09/16/11e7f4a4c2db5d0748db2dd47bd5264d_FORMATO.png",98569,34,266,"mei","Provável",4.6,6.42,0.35,2.33,"Fluminense",1,36,3,6,23,1,7,65,NA,50,2,NA,NA,NA,NA,NA,NA,NA
"461","Lucas da Silva de Jesus","lucas-silva","Lucas Silva","https://s.glbimg.com/es/sde/f/2019/04/26/688eee515ba3a5aad11e8f9d0b719f66_FORMATO.png",98515,34,262,"ata","Nulo",0,1.48,0,0.44,"Flamengo",NA,3,1,1,5,NA,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"462","Cleiton Schwengber","cleiton","Cleiton","https://s.glbimg.com/es/sde/f/2018/05/07/8a0462ed1a379da917d8f4b4fa8cc04a_FORMATO.png",93882,34,282,"gol","Provável",0.7,3.13,-0.54,2.68,"Atlético-MG",1,NA,NA,NA,6,NA,NA,15,NA,NA,1,5,NA,23,23,1,NA,NA
"463","Marcos Antonio Candido Ferreira Júnior","marcos-junior","Marcos Júnior","https://s.glbimg.com/es/sde/f/2019/04/17/da657b0e54ff1131824ec12cb5ae13c2_FORMATO.png",93893,34,267,"mei","Provável",0,3,0,1.31,"Vasco",4,37,4,6,28,1,NA,51,NA,24,NA,NA,NA,NA,NA,NA,1,NA
"464","Andrey Ramos do Nascimento","andrey","Andrey","https://s.glbimg.com/es/sde/f/2018/09/27/8599b503c16e7576611774a756e2e106_FORMATO.png",93787,34,267,"mei","Nulo",0,5.89,0,2.73,"Vasco",1,13,3,5,9,1,NA,21,NA,20,NA,NA,NA,NA,NA,NA,1,NA
"465","John Victor Maciel Furtado","john-victor","John Victor","https://s.glbimg.com/es/sde/f/2018/05/23/c542b827e970e8c167f2a026360a0fa9_FORMATO.png",94044,34,277,"gol","Nulo",0,1,0,0,"Santos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"466","Pedro Victor Delmino da Silva","pedrinho","Pedrinho","https://s.glbimg.com/es/sde/f/2019/05/23/107e15af982bc755cfbd17f0349f4584_FORMATO.png",98706,34,264,"mei","Provável",4.7,11.99,0.32,5.17,"Corinthians",NA,13,18,19,39,5,2,69,NA,24,4,NA,NA,NA,NA,NA,NA,NA
"467","Matheus Fernandes Siqueira","matheus-fernandes","Matheus Fernandes","https://s.glbimg.com/es/sde/f/2019/01/14/6c44cb9987aece7b067a5e308a05a551_FORMATO.jpeg",94067,34,275,"mei","Nulo",0,3.1,0,0.98,"Palmeiras",1,7,1,NA,3,NA,NA,6,NA,7,NA,NA,NA,NA,NA,NA,NA,NA
"468","Lucas Ribamar Lopes dos Santos Bibiano","ribamar","Ribamar","https://s.glbimg.com/es/sde/f/2019/02/04/9b1da38d8e388aadbecc486fc796afa1_FORMATO.jpeg",94068,34,267,"ata","Nulo",0,2.26,0,1.9,"Vasco",NA,25,6,14,15,2,9,13,NA,3,NA,NA,NA,NA,NA,NA,1,NA
"469","Felipe dos Reis Pereira Vizeu do Carmo","felipe-vizeu","Felipe Vizeu","https://s.glbimg.com/es/sde/f/2019/06/05/2daf01a9e1c0abfaadf9c988b8805f10_FORMATO.png",94138,34,284,"ata","Nulo",0,2.06,0,0.6,"Grêmio",NA,9,NA,4,3,1,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"470","José Marcos Costa Martins","marquinhos","Marquinhos","https://s.glbimg.com/es/sde/f/2019/09/03/c5155b30c6acc6a38a5a757dbc17f60c_FORMATO.png",98765,34,282,"mei","Provável",1.6,1.55,-0.49,2.76,"Atlético-MG",NA,9,2,5,8,1,NA,12,NA,3,2,NA,NA,NA,NA,NA,NA,NA
"471","Mariano Vázquez","mariano-vazquez","Mariano Vázquez","https://s.glbimg.com/es/sde/f/2019/07/03/8893116eb5db26f6e34e68d817fe606d_FORMATO.png",98760,34,356,"mei","Nulo",0,3.43,0,1.9,"Fortaleza",1,11,2,NA,12,NA,NA,5,NA,8,NA,NA,NA,NA,NA,NA,NA,NA
"472","Jean Pyerre Casagrande Silveira Correa","jean-pyerre","Jean Pyerre","https://s.glbimg.com/es/sde/f/2019/07/09/c0831db56540c4e253fdd6affa63d176_FORMATO.png",98832,34,284,"mei","Nulo",0,10.48,0,5.61,"Grêmio",NA,10,4,7,11,3,NA,23,NA,12,2,NA,NA,NA,NA,NA,NA,NA
"473","Lucas Camilo Hernández Perdomo","lucas-hernandez","Lucas Hernández","https://s.glbimg.com/es/sde/f/2019/06/05/2e1901899d630ed1bfcc833d35f44ff0_FORMATO.png",98822,34,282,"lat","Nulo",0,1.97,0,-0.62,"Atlético-MG",2,10,1,1,6,NA,NA,10,NA,3,NA,NA,NA,NA,NA,NA,NA,NA
"474","William Oliveira dos Santos","william-oliveira","William Oliveira","https://s.glbimg.com/es/sde/f/2019/03/28/a3452277d99839a5fd7add732b5aa132_FORMATO.png",94297,34,354,"mei","Nulo",0,2.59,0,1.45,"Ceará",5,15,2,5,15,NA,1,8,NA,16,NA,NA,NA,NA,NA,NA,NA,NA
"475","Diego Fabián Torres","diego-torres","Diego Torres","https://s.glbimg.com/es/sde/f/2019/03/28/a16774fba850b0c0dafc5cb1c27fbb4f_FORMATO.png",98794,34,315,"mei","Nulo",0,4.03,0,2.25,"Chapecoense",NA,3,2,9,5,1,NA,15,NA,7,NA,NA,NA,NA,NA,NA,NA,NA
"476","Alessandro Vinícius Gonçalves da Silva","alessandro-vinicius","Alessandro Vinícius","https://s.glbimg.com/es/sde/f/2019/03/30/ffa3db77225e133627999054dd742e50_FORMATO.png",94495,34,282,"mei","Nulo",0,1,0,0,"Atlético-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"477","Diego Cristiano Evaristo","diego-pituca","Diego Pituca","https://s.glbimg.com/es/sde/f/2019/03/28/c72bd8dd63cb920ddd6ebd16f7324c0e_FORMATO.png",94156,34,277,"mei","Nulo",8.8,4.64,1.46,1.46,"Santos",7,60,11,15,30,2,NA,72,NA,32,NA,NA,NA,NA,NA,NA,2,NA
"478","Guilherme Natan de Lima","lima","Lima","https://s.glbimg.com/es/sde/f/2016/04/27/059a0e58f2adc09337048722ca4f5ae4_FORMATO.png",94288,34,315,"mei","Nulo",0,1,0,0,"Chapecoense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"479","Raphael Cavalcante Veiga","raphael-veiga","Raphael Veiga","https://s.glbimg.com/es/sde/f/2019/01/14/e85d3259b80c8d878e2b07eae90749ee_FORMATO.jpeg",94509,34,275,"mei","Nulo",0,6.48,0,2.25,"Palmeiras",NA,10,4,9,7,1,NA,9,NA,6,NA,NA,NA,NA,NA,NA,NA,NA
"480","Cláudio Vitor Morais de Lima Cruz","claudio-vitor","Cláudio Vitor","https://s.glbimg.com/es/sde/f/2019/02/18/798d0ead220702bf3c3f671330c609e5_FORMATO.png",98888,34,314,"gol","Nulo",0,1,0,0,"Avaí",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"481","Emilton Pedroso Domingues","jarro-pedroso","Jarro Pedroso","https://s.glbimg.com/es/sde/f/2019/09/06/d13134593bbf5d035b2573bfa6a42d13_FORMATO.png",94542,34,341,"ata","Nulo",0,1.21,0,-0.38,"CSA",1,3,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"482","João Paulo Ferreira Lourenço","lourenco","Lourenço","https://s.glbimg.com/es/sde/f/2019/03/26/a10ea3714ffa4fb0caf1a1a80ffd5255_FORMATO.png",99032,34,314,"ata","Provável",2.8,4.92,-0.31,2.44,"Avaí",2,23,13,12,32,NA,4,55,NA,22,3,NA,NA,NA,NA,NA,1,NA
