"","atletas.nome","atletas.slug","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.clube.id.full.name","A","CV","FC","FD","FF","FS","I","PE","RB","CA","G","SG","FT","DD","GS","PP","DP","GC"
"416","Daniel Guedes da Silva","daniel-guedes","Daniel Guedes ","https://s.glbimg.com/es/sde/f/2019/03/27/36a8f752725a4c7a0f94522417d6cc98_FORMATO.png",88225,31,290,"lat","Suspenso",0,5.6,0,2.31,"Goiás",NA,NA,23,1,2,7,2,35,22,2,NA,4,NA,NA,NA,NA,NA,NA
"417","Willian Klaus","klaus","Klaus","https://s.glbimg.com/es/sde/f/2019/09/12/2328c5e0200e041d82285e028a362d33_FORMATO.png",90846,31,285,"zag","Nulo",0,3.11,0,1.23,"Internacional",NA,NA,9,1,NA,3,NA,21,5,1,NA,3,NA,NA,NA,NA,NA,NA
"418","José Marcos Alves Luis","ze-marcos","Zé Marcos","https://s.glbimg.com/es/sde/f/2019/09/15/c12ad68fb8f09f9fb0fa4be55d3cf4c2_FORMATO.png",90943,31,314,"zag","Nulo",-0.5,0.78,0.01,-0.3,"Avaí",NA,NA,3,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"419","Lucas Fernandes da Silva","lucas-fernandes","Lucas Fernandes","https://s.glbimg.com/es/sde/f/2018/08/23/9551a9d9ca9245ef1e854e865d0e50bd_FORMATO.png",94931,31,276,"mei","Nulo",0,2,0,0,"São Paulo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"420","Fabrício Bruno Soares de Faria","fabricio-bruno","Fabrício Bruno","https://s.glbimg.com/es/sde/f/2019/02/04/d5a1e093c0e8dfd5ead943946e093661_FORMATO.png",90768,31,283,"zag","Dúvida",5.8,5.96,0.2,3.33,"Cruzeiro",NA,NA,3,1,3,11,NA,20,12,3,NA,8,NA,NA,NA,NA,NA,NA
"421","Leonardo Moreira Morais","leo","Léo","https://s.glbimg.com/es/sde/f/2019/08/23/69269a509e22002208076d8511c9258a_FORMATO.png",69177,31,314,"lat","Suspenso",-4.6,4.35,-1.3,2.43,"Avaí",2,2,29,NA,8,21,NA,25,21,5,NA,4,NA,NA,NA,NA,NA,NA
"422","Marlon Adriano Prezotti","marlon","Marlon","https://s.glbimg.com/es/sde/f/2019/03/22/165ca899b89d297dde03eeab3ad9dee7_FORMATO.png",88427,31,356,"mei","Suspenso",2.9,3.41,0.03,0.69,"Fortaleza",NA,NA,15,1,1,12,1,9,14,3,NA,NA,NA,NA,NA,NA,NA,NA
"423","Jonatan David Gomez Ospina","jonatan-gomez","Jonatan Gomez","https://s.glbimg.com/es/sde/f/2019/06/05/9f3a5b8b8f548ddf62d596532896c337_FORMATO.png",94857,31,341,"mei","Provável",0,6.37,0,4.73,"CSA",3,NA,27,14,16,61,1,56,18,5,5,NA,1,NA,NA,NA,NA,NA
"424","Luis Antônio da Rocha Júnior","juninho-capixaba","Juninho Capixaba","https://s.glbimg.com/es/sde/f/2018/07/25/49d7d2f3cc1d0ef8b78666c591c1128d_FORMATO.png",94968,31,284,"lat","Provável",0,7.24,0,3.47,"Grêmio",1,NA,27,2,2,33,3,35,24,7,NA,6,NA,NA,NA,NA,NA,NA
"425","Raphael Cavalcante Veiga","raphael-veiga","Raphael Veiga","https://s.glbimg.com/es/sde/f/2019/01/14/e85d3259b80c8d878e2b07eae90749ee_FORMATO.jpeg",94509,31,275,"mei","Nulo",-0.1,6.48,-0.25,2.25,"Palmeiras",NA,NA,10,4,9,7,NA,9,6,NA,1,NA,NA,NA,NA,NA,NA,NA
"426","Jean Paulo Fernandes Filho","jean","Jean","https://s.glbimg.com/es/sde/f/2019/04/01/0ed07c98bf47b8fa29fdb379eabb0c31_FORMATO.png",90933,31,276,"gol","Nulo",0,3.32,0,-2,"São Paulo",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"427","Carlos Eduardo Ferreira de Souza","carlos-eduardo","Carlos Eduardo","https://s.glbimg.com/es/sde/f/2019/01/14/065996f5e53a936d45d1b737405dfb27_FORMATO.jpeg",90917,31,275,"ata","Nulo",0,2.82,0,-0.18,"Palmeiras",NA,NA,5,1,1,8,2,3,1,2,NA,NA,NA,NA,NA,NA,NA,NA
"428","Emilton Pedroso Domingues","jarro-pedroso","Jarro Pedroso","https://s.glbimg.com/es/sde/f/2019/09/06/d13134593bbf5d035b2573bfa6a42d13_FORMATO.png",94542,31,341,"ata","Nulo",0,1.21,0,-0.38,"CSA",NA,NA,3,NA,NA,4,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"429","José Joaquim de Carvalho","zeca","Zeca","https://s.glbimg.com/es/sde/f/2019/09/06/dbf34ebaef4e5810e0d84de12e286859_FORMATO.png",94976,31,290,"ata","Nulo",0,1,0,0,"Goiás",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"430","Rodolfo Vicente Gamarra Varela","gamarra","Gamarra","https://s.glbimg.com/es/sde/f/2019/07/08/d5b3fba549a4fd01075274610e2c1fe0_FORMATO.png",69288,31,341,"ata","Nulo",0,5.34,0,0.2,"CSA",NA,NA,2,NA,1,NA,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"431","Marco Antônio Rosa Furtado Júnior","marco-antonio","Marco Antônio","https://s.glbimg.com/es/sde/f/2019/03/29/bb54c58fde4944da79ee5a0a033c3477_FORMATO.png",94975,31,265,"mei","Nulo",10.5,4.45,1.99,3.8,"Bahia",1,NA,3,2,2,12,1,9,3,NA,1,NA,NA,NA,NA,NA,NA,NA
"432","Geovane Santana Souza","geovane-itinga","Geovane Itinga","https://s.glbimg.com/es/sde/f/2019/03/29/88378f9e43f39383c268b83aebcdfa20_FORMATO.png",94980,31,265,"ata","Nulo",0,2,0,0,"Bahia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"433","Flávio Medeiros da Silva","flavio","Flávio","https://s.glbimg.com/es/sde/f/2019/03/29/b6aab56d50cf29e0e2a267d04614f4a1_FORMATO.png",91102,31,265,"mei","Provável",-0.8,3.26,-0.53,2.11,"Bahia",NA,NA,44,2,8,19,1,30,44,2,NA,NA,NA,NA,NA,NA,NA,NA
"434","Maycon Vinícius Ferreira da Cruz","nikao","Nikão","https://s.glbimg.com/es/sde/f/2019/03/30/e389d21dd5909e815633dfb6c0fffca7_FORMATO.png",69705,31,293,"mei","Provável",4.4,15.54,-0.02,4.55,"Athlético-PR",2,NA,12,18,17,15,3,26,9,2,4,NA,1,NA,NA,NA,NA,NA
"435","Victor Ferraz Macedo","victor-ferraz","Victor Ferraz","https://s.glbimg.com/es/sde/f/2018/05/23/229fbb519d2bbf0c8b2c2b77992e15ed_FORMATO.png",70046,31,277,"lat","Nulo",0,10.52,0,4.25,"Santos",1,NA,10,5,5,12,1,52,27,3,NA,11,NA,NA,NA,NA,NA,NA
"436","Alan Santos da Silva","alan-santos","Alan Santos","https://s.glbimg.com/es/sde/f/2019/03/22/1276ddf39afc2fbbc816f01fd6d4afb2_FORMATO.png",70132,31,263,"mei","Nulo",0,2.8,0,0.47,"Botafogo",NA,NA,5,NA,1,3,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"437","Romulo Borges Monteiro","romulo","Romulo","https://s.glbimg.com/es/sde/f/2019/03/30/b06f6bb3a42e7565fe15d4abdbbbe956_FORMATO.png",70009,31,284,"mei","Dúvida",-0.5,4.41,-1.12,1.9,"Grêmio",NA,NA,23,2,4,11,NA,18,15,3,2,NA,NA,NA,NA,NA,NA,NA
"438","Max Alexandre dos Santos Silva","max","Max","https://s.glbimg.com/es/sde/f/2019/02/27/1742dc16d6ca6bb28a57dbd1123a9069_FORMATO.png",94982,31,265,"mei","Nulo",0,1,0,0,"Bahia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"439","Eduardo Colcenti Antunes","eduardo-sasha","Eduardo Sasha","https://s.glbimg.com/es/sde/f/2018/05/23/a1e5220c82575c4f297c1173ec07d58a_FORMATO.png",70360,31,277,"ata","Provável",16.1,19.84,0.89,5.97,"Santos",3,NA,17,14,20,27,7,51,30,1,12,NA,2,NA,NA,NA,NA,NA
"440","Jefferson Junio Antonio da Silva","jefferson","Jefferson","https://s.glbimg.com/es/sde/f/2019/08/16/99966209d47d25a71d37b4e2176290ee_FORMATO.png",95220,31,290,"lat","Provável",-2.5,10.66,-0.97,4.07,"Goiás",2,NA,25,3,7,28,1,60,46,5,1,9,NA,NA,NA,NA,NA,NA
"441","Fellipe Ramos Ignez Bastos","fellipe-bastos","Fellipe Bastos","https://s.glbimg.com/es/sde/f/2019/03/26/c1b84ba942df91f5064aabec2e10f1de_FORMATO.png",70116,31,267,"mei","Nulo",4.9,4.91,0.87,2.91,"Vasco",NA,NA,10,3,12,6,NA,11,16,4,1,NA,NA,NA,NA,NA,NA,NA
"442","Felipe Matheus Filgueira de Araújo","felipinho","Felipinho","https://s.glbimg.com/es/sde/f/2019/03/29/b815b1cd06738228903c58b06df8651f_FORMATO.png",94981,31,265,"mei","Nulo",0,2,0,0,"Bahia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"443","Marllon Gonçalves Jerônimo Borges","marllon","Marllon","https://s.glbimg.com/es/sde/f/2019/09/12/25b06b2bbcc0a18b06542144db3ebc75_FORMATO.png",70666,31,264,"zag","Nulo",0,4.68,0,3.53,"Corinthians",NA,NA,2,NA,2,8,NA,5,3,1,NA,1,NA,NA,NA,NA,NA,NA
"444","Joao Robin Rojas Mendoza","joao-rojas","Joao Rojas","https://s.glbimg.com/es/sde/f/2018/08/22/4263f96a54ea57b00b989a04f50f6ec3_FORMATO.png",70784,31,276,"ata","Contundido",0,7,0,0,"São Paulo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"445","Sidney Aparecido Ramos da Silva","sidao","Sidão","https://s.glbimg.com/es/sde/f/2019/05/18/e5e9391eacbbef7a8d684162729df4d4_FORMATO.png",70222,31,267,"gol","Nulo",0,3.74,0,1.03,"Vasco",NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,8,8,NA,NA,NA
"446","Wescley Gomes dos Santos","wescley","Wescley","https://s.glbimg.com/es/sde/f/2019/03/28/0323fda54c2149f1f78b04bb3c9dcb1f_FORMATO.png",70925,31,354,"mei","Nulo",0,3.14,0,0.18,"Ceará",NA,NA,9,2,NA,6,3,14,6,1,NA,NA,NA,NA,NA,NA,NA,NA
"447","Fernando José Marques Maciel","fernandinho","Fernandinho","https://s.glbimg.com/es/sde/f/2019/03/29/062ea204ed60f2b4c3bdbcb2c506b6c1_FORMATO.png",91130,31,265,"ata","Nulo",0,2,0,0,"Bahia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"448","Jorge Sampaoli","jorge-sampaoli","Jorge Sampaoli","https://s.glbimg.com/es/sde/f/2019/04/02/cbfe46eed15abdc67d75bd4170d5e6a1_FORMATO.png",70800,31,277,"tec","Provável",3.85,13.07,-0.17,4.54,"Santos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"449","Diogo Barbosa Mendanha","diogo-barbosa","Diogo Barbosa","https://s.glbimg.com/es/sde/f/2019/07/17/7b62744c1b953b4b9efd8b0e0fb8d099_FORMATO.png",70916,31,275,"lat","Provável",0,13.96,0,5.46,"Palmeiras",1,NA,32,3,4,19,1,28,55,2,NA,9,NA,NA,NA,NA,NA,NA
"450","Bruno Henrique Corsini","bruno-henrique","Bruno Henrique","https://s.glbimg.com/es/sde/f/2019/10/15/60ddd8a6a2f680e46493c59c99af16c4_FORMATO.png",70944,31,275,"mei","Provável",0,11.78,0,3.53,"Palmeiras",1,NA,40,5,15,22,NA,51,31,2,5,NA,NA,NA,NA,NA,NA,NA
"451","Augusto César dos Santos Moreira","augusto","Augusto","https://s.glbimg.com/es/sde/f/2019/03/28/a943ff6068ab0a2af942a381c74055b4_FORMATO.png",71042,31,315,"mei","Nulo",1.3,4.2,-0.54,2.3,"Chapecoense",2,NA,27,9,4,15,3,20,13,NA,NA,NA,NA,NA,NA,NA,NA,NA
"452","Bryan Jafet Ruíz González","bryan-ruiz","Bryan Ruíz","https://s.glbimg.com/es/sde/f/2018/07/11/ef076ba265a7f7e961749ab3e573933e_FORMATO.png",71019,31,277,"mei","Nulo",0,4,0,0,"Santos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"453","Leonardo Cittadini","leo-cittadini","Léo Cittadini","https://s.glbimg.com/es/sde/f/2019/03/30/475167cdad7e826c64f4a0a999f8aef9_FORMATO.png",70986,31,293,"mei","Contundido",1.5,7.69,-1.37,5.55,"Athlético-PR",1,NA,16,15,9,26,NA,19,32,2,4,NA,NA,NA,NA,NA,NA,NA
"454","Caio Alan Tem Catem Gonçalves","caio","Caio","https://s.glbimg.com/es/sde/f/2018/03/01/87be2dd051653cd0a7a8ee5d52f910c8_FORMATO.png",99460,31,293,"gol","Nulo",0,1.25,0,1.6,"Athlético-PR",NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,1,NA,3,4,NA,NA,NA
"455","Gustavo Blanco Petersen Macedo","gustavo-blanco","Gustavo Blanco","https://s.glbimg.com/es/sde/f/2018/05/07/6ac39bf60c88040543dee78fc133c427_FORMATO.png",91191,31,282,"mei","Contundido",0,9,0,0,"Atlético-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"456","Jackson de Souza","jackson","Jackson","https://s.glbimg.com/es/sde/f/2019/08/22/e9f15056631f4d5c0c2046b0e623bdc2_FORMATO.png",70934,31,356,"zag","Provável",0,3.63,0,1.08,"Fortaleza",NA,NA,9,1,2,11,1,21,6,2,NA,2,NA,NA,NA,NA,NA,NA
"457","Everaldo Silva do Nascimento","everaldo","Everaldo ","https://s.glbimg.com/es/sde/f/2019/05/23/6fff5abfbfbd6b07376f8891759f2538_FORMATO.png",91151,31,264,"ata","Nulo",0,3.91,0,2.62,"Corinthians",1,NA,15,2,8,15,3,7,8,2,1,NA,NA,NA,NA,NA,NA,NA
"458","Leonardo da Silva Vieira","leo","Leo","https://s.glbimg.com/es/sde/f/2018/03/01/5f4bc547ea7572a6909432c0c03d529b_FORMATO.png",71043,31,293,"gol","Nulo",0,2.12,0,0.98,"Athlético-PR",NA,NA,NA,NA,NA,1,NA,2,NA,1,NA,NA,NA,7,7,NA,NA,NA
"459","Antônio Josenildo Rodrigues de Oliveira","rodriguez","Rodriguez","https://s.glbimg.com/es/sde/f/2018/08/09/e6b3f5b4c7922f94ca18791b3af1f390_FORMATO.png",91251,31,284,"zag","Nulo",0,4.45,0,5.5,"Grêmio",1,NA,2,NA,1,1,2,11,15,NA,NA,3,NA,NA,NA,NA,NA,NA
"460","Felipe de Oliveira Silva","felipe-baxola","Felipe Baxola","https://s.glbimg.com/es/sde/f/2019/03/28/24e6b367451f8861ad0b1a99cfd02895_FORMATO.png",71113,31,354,"mei","Provável",-0.2,3.84,-0.23,1.24,"Ceará",2,NA,12,7,6,4,NA,30,10,2,NA,NA,NA,NA,NA,NA,NA,NA
"461","Leandro Barcia Montero","leandro-barcia","Leandro Barcia","https://s.glbimg.com/es/sde/f/2019/03/26/eb34e430eaaff21dcd5c4c680505c910_FORMATO.png",91242,31,290,"ata","Provável",-2.6,7.73,-0.37,2.58,"Goiás",1,NA,49,10,17,30,4,35,23,8,5,NA,1,NA,NA,NA,NA,NA
"462","Vinícius Goes Barbosa de Souza","vinicius","Vinícius","https://s.glbimg.com/es/sde/f/2019/03/29/188d8189b08f034c67505831cfe67554_FORMATO.png",71162,31,282,"mei","Nulo",0,4.99,0,3.04,"Atlético-MG",2,1,10,12,13,19,1,60,14,2,2,NA,2,NA,NA,NA,NA,NA
"463","Roberto Heuchayer Santos de Araújo","roberto","Roberto","https://s.glbimg.com/es/sde/f/2018/08/29/ee96b4652f7fe6a58750ecd5d477ee2f_FORMATO.png",71116,31,315,"lat","Provável",1.7,4.02,-0.13,3.07,"Chapecoense",1,NA,15,4,10,20,1,17,10,2,NA,1,NA,NA,NA,NA,NA,NA
"464","Lucas Estella Perri","lucas-perri","Lucas Perri","https://s.glbimg.com/es/sde/f/2018/05/26/5818d20df4c7c3248d9dc04c6864aa03_FORMATO.png",91260,31,276,"gol","Nulo",0,2,0,0,"São Paulo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"465","Jorge Fernando Pinheiro de Jesus","jorge-jesus","Jorge Jesus","https://s.glbimg.com/es/sde/f/2019/07/09/26c25e5a9a9db587106dd377725a743a_FORMATO.png",71224,31,262,"tec","Provável",5.06,15.4,0.28,5.59,"Flamengo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"466","Fernando Miguel Kaufmann","fernando-miguel","Fernando Miguel","https://s.glbimg.com/es/sde/f/2018/09/27/d6ac644102159cd04f0ad131ac4bfb10_FORMATO.png",71571,31,267,"gol","Provável",2,7.97,-1.72,4.02,"Vasco",NA,NA,NA,NA,NA,2,NA,8,NA,1,NA,8,NA,32,22,NA,NA,NA
"467","Ronielson da Silva Barbosa","rony","Rony","https://s.glbimg.com/es/sde/f/2019/03/30/e3a2125216bf497937a96f974e95aacd_FORMATO.png",91607,31,293,"ata","Provável",3.9,13.63,0.68,5.54,"Athlético-PR",5,NA,49,21,35,48,10,47,22,5,6,NA,1,NA,NA,NA,NA,NA
"468","Leonardo Felipe Valencia Rossel","leonardo-valencia","Leonardo Valencia","https://s.glbimg.com/es/sde/f/2019/03/22/92598d9c96fb60c7bb5e624f97b32f21_FORMATO.png",91508,31,263,"mei","Provável",4.2,4.38,0.76,1.58,"Botafogo",1,NA,6,4,11,7,1,26,8,2,1,NA,NA,NA,NA,NA,NA,NA
"469","Luis Oscar González","lucho-gonzalez","Lucho González","https://s.glbimg.com/es/sde/f/2019/03/30/53d81b4d0fe0473120e74c998cbcd3bc_FORMATO.png",71479,31,293,"mei","Dúvida",0,4.34,0,0.54,"Athlético-PR",NA,NA,16,2,6,3,NA,19,4,1,1,NA,NA,NA,NA,NA,NA,NA
"470","Fábio Pizarro Sanches","fabio-sanches","Fábio Sanches","https://s.glbimg.com/es/sde/f/2019/08/16/b5f403743092134524778b2bc6953aca_FORMATO.png",71604,31,290,"zag","Provável",0,4.43,0,3.34,"Goiás",NA,NA,11,2,4,16,NA,19,15,3,1,6,NA,NA,NA,NA,NA,NA
"471","Robert Abel Arboleda Escobar","arboleda","Arboleda","https://s.glbimg.com/es/sde/f/2019/04/01/8b22d106ccba1278e3e4a6b89e76eab0_FORMATO.png",91573,31,276,"zag","Provável",1.7,7.22,-0.52,3.26,"São Paulo",1,NA,24,5,6,20,1,38,21,5,1,8,NA,NA,NA,NA,NA,NA
"472","Marcílio Florêncio Mota Filho","nino","Nino","https://s.glbimg.com/es/sde/f/2019/09/16/32a99ea5b65d641f4552626c5369e377_FORMATO.png",91708,31,266,"zag","Provável",5.9,5.36,0.34,3.23,"Fluminense",1,NA,24,2,8,17,NA,24,39,7,1,7,NA,NA,NA,NA,NA,NA
"473","Freddy Alejandro Guarín Vásquez","guarin","Guarín","https://s.glbimg.com/es/sde/f/2019/09/27/2711e527895fb7ccdf64fbd1167a6a6d_FORMATO.png",71233,31,267,"mei","Dúvida",2.5,8.09,0.14,3.28,"Vasco",NA,NA,4,1,6,5,NA,11,7,1,1,NA,NA,NA,NA,NA,NA,NA
"474","Giovanny Bariani Marques","giovanny","Giovanny ","https://s.glbimg.com/es/sde/f/2019/03/26/0622726518f8a75c36ac5bb8486510c4_FORMATO.png",92085,31,290,"ata","Nulo",0,1.24,0,-1.6,"Goiás",NA,NA,2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"475","Weverton Pereira da Silva","weverton","Weverton","https://s.glbimg.com/es/sde/f/2019/10/03/58aa0eddfe8c9c684344f4231a233ddf_FORMATO.png",71631,31,275,"gol","Provável",0,15.76,0,4.46,"Palmeiras",NA,NA,1,NA,NA,3,NA,5,NA,2,NA,8,NA,29,18,NA,1,NA
"476","Luiz Antonio Ferreira Rodrigues","felipe","Felipe","https://s.glbimg.com/es/sde/f/2019/03/22/4ef6aa2bd0c3f910bdb023b63225bec1_FORMATO.png",91733,31,356,"mei","Provável",5.6,7.1,1.27,2.62,"Fortaleza",1,NA,45,5,4,25,NA,76,69,11,NA,NA,NA,NA,NA,NA,NA,NA
"477","Caíque França Godoy","caique-franca","Caíque França","https://s.glbimg.com/es/sde/f/2019/05/23/2fe6e1e07de6a69ffa395b217210bff4_FORMATO.png",91808,31,264,"gol","Nulo",0,2.32,0,0,"Corinthians",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"478","Matheus Alves da Silva Cardoso","matheus-alves","Matheus Alves","https://s.glbimg.com/es/sde/f/2019/03/26/de03c48f1b1b556b4876bcb937977dfa_FORMATO.png",91712,31,290,"gol","Nulo",0,1,0,0,"Goiás",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"479","David de Duarte Macedo","david-duarte","David Duarte","https://s.glbimg.com/es/sde/f/2019/03/26/cfafe9f57bd3c0e32edd4416b3449331_FORMATO.png",91772,31,290,"zag","Contundido",0,8.03,0,2.92,"Goiás",NA,NA,2,NA,3,3,NA,10,7,NA,NA,2,NA,NA,NA,NA,NA,NA
"480","Ramón Martínez López","ramon-martinez","Ramón Martínez","https://s.glbimg.com/es/sde/f/2019/06/14/f452299e051661e5307fd72b085fcdcc_FORMATO.png",92155,31,282,"mei","Nulo",0,4.73,0,1.78,"Atlético-MG",NA,NA,5,NA,1,4,1,6,11,1,NA,NA,NA,NA,NA,NA,NA,NA
"481","Deyverson Brum Silva Acosta","deyverson","Deyverson","https://s.glbimg.com/es/sde/f/2019/01/14/3437ba3702c7494eee6e3469ceacfe97_FORMATO.jpeg",92708,31,275,"ata","Dúvida",-1,9.37,-0.32,3.59,"Palmeiras",2,NA,22,10,19,48,21,29,8,3,3,NA,NA,NA,NA,NA,NA,NA
"482","Kevin Peterson dos Santos Silva","kevin","Kevin ","https://s.glbimg.com/es/sde/f/2019/03/26/c942f5741d6801ac46caaa38525ff433_FORMATO.png",91888,31,290,"lat","Nulo",0,5.05,0,0.68,"Goiás",NA,NA,1,NA,1,2,NA,13,5,2,NA,1,NA,NA,NA,NA,NA,NA
"483","Andre Luis da Costa Alfredo","andre-luis","André Luís","https://s.glbimg.com/es/sde/f/2019/06/14/e5185b4b8ca27b490315869d17077e90_FORMATO.png",92146,31,356,"ata","Provável",0,4.97,0,2.06,"Fortaleza",NA,NA,14,6,6,45,4,25,4,4,2,NA,3,NA,NA,NA,NA,NA
"484","Mateus da Silva Vital Assumpção","mateus-vital","Mateus Vital","https://s.glbimg.com/es/sde/f/2019/05/23/3173cd42fd63f03aecc0aa9d2b3fb706_FORMATO.png",93108,31,264,"mei","Provável",-0.8,7.17,-1.52,3.97,"Corinthians",2,NA,12,10,17,51,1,24,20,1,2,NA,NA,NA,NA,NA,NA,NA
"485","José Carlos Ferreira Júnior","juninho","Juninho","https://s.glbimg.com/es/sde/f/2019/07/08/6bee46606625768114c3a7c4f48ecde5_FORMATO.png",92182,31,265,"zag","Provável",1.4,6.2,0.37,3.45,"Bahia",NA,NA,19,4,4,12,1,39,16,1,1,10,NA,NA,NA,NA,NA,NA
"486","Renato Kayzer de Souza","renato-kayzer","Renato Kayzer","https://s.glbimg.com/es/sde/f/2019/07/23/32064f0a35c4c96bb12531c867d36125_FORMATO.png",92696,31,315,"ata","Nulo",0,2.18,0,1.21,"Chapecoense",NA,NA,10,1,2,8,2,5,4,NA,1,NA,NA,NA,NA,NA,NA,NA
"487","Ezequiel Santos da Silva","ezequiel","Ezequiel","https://s.glbimg.com/es/sde/f/2019/09/06/d7bd468008cd43653ec137d681d70f3e_FORMATO.png",99915,31,283,"ata","Nulo",3.2,4.42,0.45,1.77,"Cruzeiro",NA,NA,3,1,1,7,NA,6,4,NA,NA,NA,2,NA,NA,NA,NA,NA
"488","Raul Lô Gonçalves","raul","Raul","https://s.glbimg.com/es/sde/f/2018/09/27/cff54b0c5b12cb5f18cd3ca9292e3511_FORMATO.png",92496,31,267,"mei","Dúvida",1.7,7.94,-0.03,4.23,"Vasco",2,NA,39,8,11,56,NA,41,55,5,NA,NA,NA,NA,NA,NA,NA,NA
"489","Fernando Medeiros da Silva","fernando-medeiros","Fernando Medeiros","https://s.glbimg.com/es/sde/f/2019/02/27/d7d62e276bd5101031417c8ab4f7e691_FORMATO.png",92841,31,265,"mei","Nulo",0,2,0,0,"Bahia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"490","Ronaldo da Silva Souza","ronaldo","Ronaldo","https://s.glbimg.com/es/sde/f/2019/07/19/83ab7827bcb96302e51df4217de3e45a_FORMATO.png",92981,31,265,"mei","Nulo",0,4.39,0,2.9,"Bahia",1,NA,18,NA,3,10,NA,21,31,3,NA,NA,NA,NA,NA,NA,NA,NA
"491","Erick Luis Conrado de Carvalho","erick","Erick","https://s.glbimg.com/es/sde/f/2019/04/01/9717a07ef27fdd10d8ac6c25914a376e_FORMATO.png",98022,31,293,"mei","Dúvida",0,2.98,0,1.56,"Athlético-PR",NA,NA,15,4,1,3,NA,12,7,1,1,NA,NA,NA,NA,NA,NA,NA
"492","Jhonata Varela da Silva","varela","Varela","https://s.glbimg.com/es/sde/f/2017/02/20/ecf24f5e5541ccbee57dc2c72a5a06ba_FORMATO.jpeg",97993,31,284,"mei","Nulo",0,1,0,0,"Grêmio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"493","Jaderson Flores dos Reis","jaderson","Jaderson","https://s.glbimg.com/es/sde/f/2019/03/30/832c92b15aa34fdde7be9738ca86c863_FORMATO.png",98224,31,293,"mei","Nulo",0,0.76,0,0,"Athlético-PR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"494","Mauro Joel Carli","joel-carli","Joel Carli","https://s.glbimg.com/es/sde/f/2019/03/22/5b148a93fa4bc73fb9ad91009dde28c2_FORMATO.png",93414,31,263,"zag","Provável",-1,5.45,-0.22,1.01,"Botafogo",NA,NA,22,1,3,16,1,45,15,8,NA,5,1,NA,NA,NA,NA,NA
"495","Jefferson Gabriel Nascimento Brito","fessin","Fessin","https://s.glbimg.com/es/sde/f/2019/03/26/d280c476822d11a21bba9408da199dba_FORMATO.png",97994,31,264,"mei","Nulo",0,2,0,0,"Corinthians",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"496","Thiago Nascimento dos Santos","thiago-santos","Thiago Santos","https://s.glbimg.com/es/sde/f/2019/05/08/d6ea24feb54f6ea2b6f7eb5c8ed0c4da_FORMATO.png",93151,31,315,"ata","Contundido",0,3,0,0,"Chapecoense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
