"","atletas.nome","atletas.slug","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.clube.id.full.name","CA","FC","FD","FS","G","PE","RB","SG","CV","FF","FT","DD","DP","GS","A","I","GC","PP"
"398","Lucas Cavalcante Silva Afonso","lucao","Lucão","https://s.glbimg.com/es/sde/f/2019/11/06/4aeb102713cc91a349cf2650a02427f7_FORMATO.png",84554,33,290,"zag","Nulo",0,1.85,0,1.2,"Goiás",NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"399","Yuri Antonio Costa da Silva","yuri","Yuri","https://s.glbimg.com/es/sde/f/2019/04/22/afe400fc89b6142fd695e234cd15be57_FORMATO.png",88125,33,263,"mei","Provável",0,3.02,0,1.46,"Botafogo",3,20,2,15,NA,5,16,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA
"400","Nicolás Federico López Alonso","nico-lopez","Nico López","https://s.glbimg.com/es/sde/f/2018/04/08/5bb6e14f65a15709391b32e0e4332d8c_FORMATO.png",84709,33,285,"ata","Nulo",0.2,12.75,-0.33,2.4,"Internacional",6,26,15,15,1,43,21,NA,NA,20,2,NA,NA,NA,3,13,NA,NA
"401","Luan Peres Petroni","luan-peres","Luan Peres ","https://s.glbimg.com/es/sde/f/2019/09/16/6a774b65d32e1e3586030adb069316e3_FORMATO.png",84847,33,277,"zag","Nulo",0,4.21,0,2.42,"Santos",2,7,NA,3,NA,12,5,3,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
"402","Daniel Guedes da Silva","daniel-guedes","Daniel Guedes ","https://s.glbimg.com/es/sde/f/2019/03/27/36a8f752725a4c7a0f94522417d6cc98_FORMATO.png",88225,33,290,"lat","Suspenso",0,5.6,0,2.31,"Goiás",2,23,1,7,NA,35,22,4,NA,2,NA,NA,NA,NA,NA,2,NA,NA
"403","Gabriel Dias de Oliveira","gabriel-dias","Gabriel Dias","https://s.glbimg.com/es/sde/f/2019/03/22/4d0e23087bc533d8757c980cbd598eee_FORMATO.png",88368,33,356,"mei","Nulo",0,4.41,0,2.1,"Fortaleza",6,30,4,32,2,21,33,NA,1,4,NA,NA,NA,NA,NA,1,NA,NA
"404","Julian Yoiti Suzuki Bicudo","julian","Julian","https://s.glbimg.com/es/sde/f/2019/02/08/db8844a962ff549d6afcfd7bdbaa321c_FORMATO.png",104333,33,314,"mei","Nulo",0,2,0,0,"Avaí",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"405","João Vitor de Oliveira","joao-vitor","João Vitor","https://s.glbimg.com/es/sde/f/2019/03/26/bbbed8c4d42ead7dff816c8262ba62cf_FORMATO.png",104329,33,314,"gol","Nulo",0,1,0,0,"Avaí",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"406","Lucas Vinícius Dias Costa","lucas-dias","Lucas Dias","https://s.glbimg.com/es/sde/f/2019/04/27/493ca5a8ac35c34ea0b93396ea486c56_FORMATO.png",104356,33,341,"zag","Nulo",0,2,0,0,"CSA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"407","Gustavo Coutinho Silva Lopes","gustavo-coutinho","Gustavo Coutinho","https://s.glbimg.com/es/sde/f/2019/03/22/219513fd22c061ae4c06d8ae536f7b6f_FORMATO.png",104362,33,356,"ata","Nulo",0,1,0,0,"Fortaleza",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"408","Robert Abel Arboleda Escobar","arboleda","Arboleda","https://s.glbimg.com/es/sde/f/2019/04/01/8b22d106ccba1278e3e4a6b89e76eab0_FORMATO.png",91573,33,276,"zag","Provável",-0.6,6.82,-0.65,3.08,"São Paulo",5,28,5,21,1,43,24,8,NA,7,NA,NA,NA,NA,1,1,NA,NA
"409","Gabriel Alves da Cunha Borges","gabriel","Gabriel",NA,104404,33,282,"mei","Nulo",0,1,0,0,"Atlético-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"410","Vinicius Rodolfo de Souza Oliveira","vinicius-tanque","Vinícius Tanque","https://s.glbimg.com/es/sde/f/2017/04/18/d77f484c8720a893fbf5031c19fd6349_FORMATO.png",88651,33,263,"ata","Nulo",0,1,0,-0.43,"Botafogo",NA,9,NA,5,NA,3,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA
"411","Jean Carlos de Souza Irmer","jean","Jean","https://s.glbimg.com/es/sde/f/2019/03/22/8384f77b74efecba7c81cb62ba4392f6_FORMATO.png",89150,33,263,"mei","Nulo",0,3.2,0,0.16,"Botafogo",1,1,NA,1,NA,1,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
"412","Vitor Mendes Alves","vitor-mendes","Vitor Mendes","https://s.glbimg.com/es/sde/f/2019/09/17/da9c2af9f1290a49d994c23c6513107f_FORMATO.png",104401,33,282,"zag","Nulo",0,1,0,0,"Atlético-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"413","Marlon Adriano Prezotti","marlon","Marlon","https://s.glbimg.com/es/sde/f/2019/03/22/165ca899b89d297dde03eeab3ad9dee7_FORMATO.png",88427,33,356,"mei","Nulo",0,3.41,0,0.69,"Fortaleza",3,15,1,12,NA,9,14,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA
"414","Bruno Sávio da Silva","bruno-savio","Bruno Sávio","https://s.glbimg.com/es/sde/f/2019/07/18/3c124f6b21b643f148772b78affd6772_FORMATO.png",89101,33,314,"ata","Contundido",0,1.34,0,0.68,"Avaí",1,3,1,1,NA,8,4,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
"415","Leandro Carvalho da Silva","leandro-carvalho","Leandro Carvalho","https://s.glbimg.com/es/sde/f/2019/05/30/7d4922940f5a9f9151b4ed1421f520e9_FORMATO.png",88669,33,354,"ata","Nulo",0,9.77,0,3.07,"Ceará",5,14,12,30,3,43,18,NA,NA,14,NA,NA,NA,NA,2,2,NA,NA
"416","Iago Justen Maidana Martins","iago-maidana","Iago Maidana","https://s.glbimg.com/es/sde/f/2018/05/07/211b2cfc9413080da0e36bac586628df_FORMATO.png",89226,33,282,"zag","Provável",0,3.9,0,3.35,"Atlético-MG",2,5,NA,2,1,9,6,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA
"417","Igor Alves dos Reis","igor-reis","Igor Reis",NA,104408,33,282,"mei","Nulo",0,1,0,0,"Atlético-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"418","Gerson Santos da Silva","gerson","Gerson","https://s.glbimg.com/es/sde/f/2019/07/12/fb77632343b3c3c741779b90b58cb74b_FORMATO.png",89256,33,262,"mei","Nulo",0,9.59,0,3.86,"Flamengo",2,48,6,66,2,44,31,NA,NA,9,2,NA,NA,NA,2,NA,NA,NA
"419","Abner Felipe Souza de Almeida","abner-felipe","Abner Felipe","https://s.glbimg.com/es/sde/f/2019/04/01/18e6ddda5e7dd97a6c3c7e7a4ee0011d_FORMATO.png",84860,33,293,"lat","Dúvida",0,4.81,0,6.43,"Athlético-PR",NA,6,NA,5,NA,9,5,1,NA,NA,NA,NA,NA,NA,2,NA,NA,NA
"420","Talison Ruan da Silva","talison","Talison","",104415,33,282,"lat","Nulo",0,1,0,0,"Atlético-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"421","Alex da Silva","alex-silva","Alex Silva","https://s.glbimg.com/es/sde/f/2019/02/18/2ffd333de72b16a616330241a2857925_FORMATO.png",84861,33,314,"lat","Contundido",0,4.35,0,1.7,"Avaí",1,2,1,3,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"422","Abner Vinícius da Silva Santos","abner-vinicius","Abner Vinícius","https://s.glbimg.com/es/sde/f/2019/07/19/34bb8790920b50acac56204efb61d6b5_FORMATO.png",104513,33,293,"lat","Dúvida",0,5.07,0,2.06,"Athlético-PR",NA,4,NA,1,NA,9,3,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"423","João Pedro Maturano dos Santos","joao-pedro","João Pedro ","https://s.glbimg.com/es/sde/f/2019/10/18/73deb0c1bbd3895ebf7543cb6f35158a_FORMATO.png",89273,33,265,"lat","Dúvida",1.5,4.53,-0.29,2.17,"Bahia",2,11,2,7,NA,9,7,2,NA,4,NA,NA,NA,NA,NA,NA,NA,NA
"424","Tailson Pinto Gonçalves","tailson","Tailson","https://s.glbimg.com/es/sde/f/2019/10/04/51016f3c2ffa52aa0fd9c55311f7c8e6_FORMATO.png",104578,33,277,"ata","Nulo",1.3,1.35,0.23,1.5,"Santos",NA,16,5,11,1,17,3,NA,NA,7,NA,NA,NA,NA,NA,3,NA,NA
"425","Sandry Roberto Santos Goes","sandry","Sandry","https://s.glbimg.com/es/sde/f/2019/10/04/5665b8caac8b49b620f545b1d5f55aa1_FORMATO.png",104580,33,277,"mei","Nulo",0,1,0,0,"Santos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"426","Rick Jhonatan Lima Morais","rick","Rick","https://s.glbimg.com/es/sde/f/2019/05/07/16dd4157b1d7457f46c1c3f0e15cfc70_FORMATO.png",104459,33,354,"ata","Nulo",0,1.82,0,0.82,"Ceará",NA,2,NA,1,NA,5,3,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"427","Gabriel Farias de Lima","gabriel-lima","Gabriel Lima","https://s.glbimg.com/es/sde/f/2019/02/18/a93bba8cbc0b3d63a2713d51b3e80af1_FORMATO.png",98400,33,314,"ata","Nulo",0,2.34,0,0.6,"Avaí",NA,1,NA,3,NA,1,NA,NA,NA,2,NA,NA,NA,NA,NA,1,NA,NA
"428","Wanderson de Jesus Martins","caju","Caju","https://s.glbimg.com/es/sde/f/2018/05/23/d542d3f59d1525cd33fbcc9032b3f111_FORMATO.png",89342,33,277,"lat","Nulo",0,3,0,0,"Santos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"429","Douglas Moreira Fagundes","dodi","Dodi","https://s.glbimg.com/es/sde/f/2019/09/16/470eb61e2a5cfe5b1cbe1bb955a0d0af_FORMATO.png",89883,33,266,"mei","Nulo",0,2.2,-0.24,0.54,"Fluminense",1,NA,NA,1,NA,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"430","Igor Rabello da Costa","igor-rabello","Igor Rabello","https://s.glbimg.com/es/sde/f/2019/05/28/31576151f911825460540e32249a6735_FORMATO.png",89493,33,282,"zag","Suspenso",0.2,8.4,-0.97,2.1,"Atlético-MG",3,31,2,19,NA,29,33,6,1,7,NA,NA,NA,NA,NA,1,NA,NA
"431","Saulo Ferreira Silva Nascimento","saulo","Saulo","https://s.glbimg.com/es/sde/f/2018/05/17/2e661ef69600f0353d4bc7ce467624df_FORMATO.png",89492,33,263,"gol","Nulo",0,3,0,0,"Botafogo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"432","Darlan Pereira Mendes","darlan","Darlan","https://s.glbimg.com/es/sde/f/2019/06/16/7fd2d1907ddaceb40f1dacde40a11fa3_FORMATO.png",104593,33,284,"mei","Nulo",0,1.99,0,1.67,"Grêmio",NA,11,1,2,NA,13,11,NA,NA,3,NA,NA,NA,NA,1,NA,NA,NA
"433","Caíque de Jesus da Silva","caique","Caíque","https://s.glbimg.com/es/sde/f/2019/03/29/3a73b6353572e78678dbadc5d6e657c2_FORMATO.png",104591,33,265,"ata","Nulo",0,2,0,0,"Bahia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"434","Hélio Júnior Rossi Francino","helio-junior","Hélio Júnior",NA,104622,33,282,"lat","Nulo",0,1,0,0,"Atlético-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"435","Bruno de Jesus Pacheco","bruno-pacheco","Bruno Pacheco","https://s.glbimg.com/es/sde/f/2018/05/24/bcba131b890d61329d3dd3d53d25182e_FORMATO.png",90061,33,315,"lat","Provável",10.9,14.45,1.53,4.03,"Chapecoense",4,47,2,65,NA,67,56,6,1,4,NA,NA,NA,NA,5,NA,NA,NA
"436","Douglas do Espírito Santo Torres","douglas-borel","Douglas Borel","https://s.glbimg.com/es/sde/f/2019/03/29/191f49008e0f92039b6e04b7283da22b_FORMATO.png",104634,33,265,"lat","Nulo",0,1,0,0,"Bahia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"437","Yago da Silva Rocha","yago-rocha","Yago Rocha","https://s.glbimg.com/es/sde/f/2019/09/24/7e48547a37afdf9a28ba9dcfa09bec0a_FORMATO.png",90118,33,290,"lat","Provável",2,2.25,0.18,1.92,"Goiás",1,17,NA,15,NA,22,13,5,1,2,NA,NA,NA,NA,NA,1,NA,NA
"438","Weverton Guilherme da Silva Souza","weverton","Weverton","https://s.glbimg.com/es/sde/f/2019/05/30/48a83901711e5cb65605aad4d0a20615_FORMATO.png",104625,33,283,"lat","Nulo",0,2.61,0,3.25,"Cruzeiro",NA,1,NA,3,NA,11,3,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"439","Warley Leandro da Silva","warley","Warley","https://s.glbimg.com/es/sde/f/2019/09/06/814406b15c0df677f37a5ebd9ed7f3d4_FORMATO.png",104646,33,341,"lat","Nulo",-1.5,1.41,-0.58,0.63,"CSA",2,7,1,22,NA,12,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
"440","Lucas Silva Alves","lucas-alves","Lucas Alves","https://s.glbimg.com/es/sde/f/2019/03/28/1ae8c43705f6dfd96f9cdfe68b4b8485_FORMATO.png",104651,33,263,"gol","Nulo",0,1,0,0,"Botafogo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"441","Pedro Rocha Neves","pedro-rocha","Pedro Rocha","https://s.glbimg.com/es/sde/f/2019/08/10/ee42a8e4d56c93201de03d1c37091827_FORMATO.png",90302,33,283,"ata","Suspenso",0.4,9.39,-0.06,2.66,"Cruzeiro",3,15,11,26,2,49,14,NA,NA,9,NA,NA,NA,NA,2,3,NA,NA
"442","Bruno Henrique Pinto","bruno-henrique","Bruno Henrique","https://s.glbimg.com/es/sde/f/2019/04/26/195ab3662b5fad11e635fd74d6a2f401_FORMATO.png",90285,33,262,"ata","Nulo",0,21.72,0,7.47,"Flamengo",8,52,23,68,16,48,24,NA,NA,34,3,NA,NA,NA,4,9,NA,1
"443","David Correa da Fonseca","david","David","https://s.glbimg.com/es/sde/f/2018/05/18/9c8442508cec9bf9dc9f0af8f306e11b_FORMATO.png",90309,33,283,"ata","Provável",-0.4,4.45,-0.27,1.22,"Cruzeiro",3,43,16,25,NA,43,15,NA,NA,20,1,NA,NA,NA,2,12,NA,NA
"444","Lucas Barros da Cunha","lucas-barros","Lucas Barros","https://s.glbimg.com/es/sde/f/2019/03/28/be4f63d854fc719f9e9072cf24e0d7f3_FORMATO.png",104650,33,263,"lat","Nulo",0.7,0.98,0.11,0.64,"Botafogo",1,9,NA,3,NA,6,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"445","Gerson José Laurentino Júnior","gerson-junior","Gerson Júnior","https://s.glbimg.com/es/sde/f/2019/03/23/78b41c44bdc88eb897869188f13f3715_FORMATO.png",104824,33,341,"ata","Nulo",0,0.75,0,0,"CSA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"446","Heitor Rodrigues da Fonseca","heitor","Heitor","https://s.glbimg.com/es/sde/f/2019/03/29/72b7f78855a5ecee46897bb061452400_FORMATO.png",104649,33,285,"lat","Provável",2.2,2.37,-0.11,2.79,"Internacional",5,18,4,28,NA,46,18,4,NA,5,NA,NA,NA,NA,1,NA,NA,NA
"447","Tiago Rodrigues dos Reis","tiago-reis","Tiago Reis","https://s.glbimg.com/es/sde/f/2019/08/16/9104ad20d057e39846d6451e44b0e5b8_FORMATO.jpeg",104678,33,267,"ata","Nulo",0,3.6,0,1.43,"Vasco",1,15,1,4,1,4,2,NA,NA,4,1,NA,NA,NA,1,1,NA,NA
"448","Vinícius Lopes da Silva","vinicius","Vinícius","https://s.glbimg.com/es/sde/f/2019/03/27/5ed5059957839ba01890f61649b417e8_FORMATO.png",104660,33,290,"ata","Nulo",0.8,0.85,0.08,-0.4,"Goiás",1,4,NA,1,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"449","José Ricardo Mannarino","ze-ricardo","Zé Ricardo","https://s.glbimg.com/es/sde/f/2019/11/06/cebc7d887f6d8e0d2ae8868e6265bf23_FORMATO.png",95780,33,285,"tec","Provável",4.08,6.99,0.07,2.61,"Internacional",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"450","Moisés Roberto Barbosa","moises","Moisés","https://s.glbimg.com/es/sde/f/2019/02/27/931ddb4d808eb623c3d496fb36bea54e_FORMATO.png",90444,33,265,"lat","Provável",-0.1,12.66,-0.03,4.7,"Bahia",4,48,4,11,NA,43,60,10,1,10,NA,NA,NA,NA,2,2,NA,NA
"451","Wagner Leonardo Calvelo de Souza","wagner-leonardo","Wagner Leonardo","https://s.glbimg.com/es/sde/f/2019/03/28/fafba6bc079831779d2a86df19ebb06e_FORMATO.png",104994,33,277,"zag","Nulo",0,1,0,0,"Santos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"452","Luis Henrique Tomaz de Lima","luis-henrique","Luis Henrique ",NA,105049,33,263,"ata","Nulo",0,1,0,0,"Botafogo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"453","Yuri Oliveira Lima","yuri-lima","Yuri Lima","https://s.glbimg.com/es/sde/f/2019/08/06/16f2189da0bf99090e0ae2773d4076eb_FORMATO.png",90569,33,266,"mei","Provável",2.7,2.25,0.15,0.45,"Fluminense",8,29,1,13,NA,28,25,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA
"454","Igo Gabriel Santos Pereira","igo","Igo","https://s.glbimg.com/es/sde/f/2019/03/23/7e728851fa1878378a93b877a8fb1a5c_FORMATO.png",104991,33,341,"gol","Nulo",0,1,0,0,"CSA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"455","Leonardo de Souza Sena","leo-sena","Léo Sena","https://s.glbimg.com/es/sde/f/2019/03/26/dbb9320b8d6aae993c9a2f2f65c761ee_FORMATO.png",90572,33,290,"mei","Provável",0.4,8.43,-0.29,4.57,"Goiás",6,33,1,111,NA,69,74,NA,1,7,NA,NA,NA,NA,1,NA,NA,NA
"456","Reinier Jesus Carvalho","reinier","Reinier","https://s.glbimg.com/es/sde/f/2019/08/03/7e4d46ef01698d1e735b0ea1b228e4dc_FORMATO.png",105068,33,262,"mei","Nulo",5.2,4.45,-0.41,4.89,"Flamengo",1,10,2,5,4,15,8,NA,NA,8,NA,NA,NA,NA,2,NA,NA,NA
"457","Bruno Henrique Marques Torres","bruninho","Bruninho","https://s.glbimg.com/es/sde/f/2019/03/01/996ce41379d22585409ba24981f56d01_FORMATO.png",105111,33,277,"ata","Nulo",0,2,0,0,"Santos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"458","Luiz Fernando Moraes dos Santos","luiz-fernando","Luiz Fernando ","https://s.glbimg.com/es/sde/f/2018/05/17/555bb7e98091372b0b633a3623d5b40d_FORMATO.png",90715,33,263,"mei","Provável",1.4,4,0.84,1.16,"Botafogo",4,32,5,36,1,40,19,NA,1,15,1,NA,NA,NA,NA,4,NA,NA
"459","Alberto Valentim do Carmo Neto","alberto-valentim","Alberto Valentim","https://s.glbimg.com/es/sde/f/2019/10/14/d89852bf9d390ea20a02fb63d0894b27_FORMATO.png",84863,33,263,"tec","Provável",2.15,6.89,-0.17,2.91,"Botafogo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"460","Henrique Silva Milagres","henrique","Henrique","https://s.glbimg.com/es/sde/f/2018/09/27/b3280046d476aa241a694771fbe1b0cc_FORMATO.png",84893,33,267,"lat","Contundido",0,4.83,0,2.88,"Vasco",5,20,1,26,NA,18,17,6,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
"461","Fabrício Bruno Soares de Faria","fabricio-bruno","Fabrício Bruno","https://s.glbimg.com/es/sde/f/2019/02/04/d5a1e093c0e8dfd5ead943946e093661_FORMATO.png",90768,33,283,"zag","Provável",5.9,6.18,-0.04,3.65,"Cruzeiro",3,3,1,11,NA,22,14,10,NA,3,NA,NA,NA,NA,NA,NA,NA,NA
"462","Elosman Euller Silva Cavalcanti","euller","Euller ","https://s.glbimg.com/es/sde/f/2019/08/26/56ef8a5cc4081f9d61e3ae98f42f3795_FORMATO.png",84890,33,341,"lat","Provável",2.7,3.79,-0.67,1.8,"CSA",1,9,5,8,NA,14,9,NA,NA,8,1,NA,NA,NA,NA,1,NA,NA
"463","Willian Klaus","klaus","Klaus","https://s.glbimg.com/es/sde/f/2019/09/12/2328c5e0200e041d82285e028a362d33_FORMATO.png",90846,33,285,"zag","Nulo",0,3.11,0,1.23,"Internacional",1,9,1,3,NA,21,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"464","Elias Martello Curzel","elias","Elias","https://s.glbimg.com/es/sde/f/2019/08/27/71c266576a9e933563a3edce07354030_FORMATO.png",90843,33,315,"gol","Nulo",0,2,0,0,"Chapecoense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"465","Marcos Felipe de Freitas Monteiro","marcos-felipe","Marcos Felipe ","https://s.glbimg.com/es/sde/f/2018/05/18/72317ca5c12be51354f8792ab39b37d8_FORMATO.png",85004,33,266,"gol","Provável",-4.3,0.81,-1.19,-4.3,"Fluminense",1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"466","Jean Paulo Fernandes Filho","jean","Jean","https://s.glbimg.com/es/sde/f/2019/04/01/0ed07c98bf47b8fa29fdb379eabb0c31_FORMATO.png",90933,33,276,"gol","Nulo",0,3.32,0,-2,"São Paulo",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"467","Flávio Medeiros da Silva","flavio","Flávio","https://s.glbimg.com/es/sde/f/2019/03/29/b6aab56d50cf29e0e2a267d04614f4a1_FORMATO.png",91102,33,265,"mei","Suspenso",-2.4,2.97,-0.89,1.95,"Bahia",3,48,2,21,NA,34,47,NA,NA,8,NA,NA,NA,NA,NA,1,NA,NA
"468","José Marcos Alves Luis","ze-marcos","Zé Marcos","https://s.glbimg.com/es/sde/f/2019/09/15/c12ad68fb8f09f9fb0fa4be55d3cf4c2_FORMATO.png",90943,33,314,"zag","Nulo",0,0.78,0,-0.3,"Avaí",NA,3,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"469","Carlos Eduardo Ferreira de Souza","carlos-eduardo","Carlos Eduardo","https://s.glbimg.com/es/sde/f/2019/01/14/065996f5e53a936d45d1b737405dfb27_FORMATO.jpeg",90917,33,275,"ata","Nulo",0,2.79,0,-0.15,"Palmeiras",2,5,1,8,NA,3,1,NA,NA,1,NA,NA,NA,NA,NA,2,NA,NA
"470","Uilson Pedruzzi de Oliveira","uilson","Uilson","https://s.glbimg.com/es/sde/f/2018/05/07/9c69736d87e93ac80d7f38013cb1c1e7_FORMATO.png",85418,33,282,"gol","Contundido",0,3,0,0,"Atlético-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"471","Fernando José Marques Maciel","fernandinho","Fernandinho","https://s.glbimg.com/es/sde/f/2019/03/29/062ea204ed60f2b4c3bdbcb2c506b6c1_FORMATO.png",91130,33,265,"ata","Nulo",0,2,0,0,"Bahia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"472","João Paulo Silva Martins","joao-paulo","João Paulo","https://s.glbimg.com/es/sde/f/2019/03/28/55b6bd3285315d25077f61ea5d4a7fc9_FORMATO.png",85425,33,277,"gol","Nulo",0,2,0,0,"Santos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"473","Wanderson Ferreira de Oliveira","valdivia","Valdívia","https://s.glbimg.com/es/sde/f/2019/06/20/61242f36895eb1ce85680054317fbbf4_FORMATO.png",85423,33,267,"mei","Nulo",0,3.86,0,1.45,"Vasco",NA,10,3,10,NA,14,5,NA,NA,5,NA,NA,NA,NA,1,NA,NA,NA
"474","Gustavo Blanco Petersen Macedo","gustavo-blanco","Gustavo Blanco","https://s.glbimg.com/es/sde/f/2018/05/07/6ac39bf60c88040543dee78fc133c427_FORMATO.png",91191,33,282,"mei","Contundido",0,9,0,0,"Atlético-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"475","Everaldo Silva do Nascimento","everaldo","Everaldo ","https://s.glbimg.com/es/sde/f/2019/05/23/6fff5abfbfbd6b07376f8891759f2538_FORMATO.png",91151,33,264,"ata","Nulo",0,3.91,0,2.62,"Corinthians",2,15,2,15,1,7,8,NA,NA,8,NA,NA,NA,NA,1,3,NA,NA
"476","Igor Fernandes da Silva Araújo","igor-fernandes","Igor Fernandes","https://s.glbimg.com/es/sde/f/2019/02/18/8ab8d39b2dc545324288925073d88bfd_FORMATO.png",82635,33,314,"lat","Provável",0,4.55,-0.18,2.9,"Avaí",5,29,4,20,NA,51,36,8,NA,6,NA,NA,NA,NA,NA,3,NA,NA
"477","Eduardo Gabriel Aquino Cossa","pepe","Pepê","https://s.glbimg.com/es/sde/f/2018/07/31/21dbd08feda4a4caf00ffc5fe75ec14b_FORMATO.png",91201,33,284,"ata","Nulo",2.8,6.11,0.03,3.32,"Grêmio",1,16,8,24,6,37,14,NA,NA,17,NA,NA,NA,NA,2,7,NA,NA
"478","Orlando Enrique Berrío Meléndez","berrio","Berrío ","https://s.glbimg.com/es/sde/f/2019/04/26/91363f5a07b1bf1bd53bc95cb9436ae9_FORMATO.png",85300,33,262,"ata","Nulo",0,5.06,0,1.17,"Flamengo",1,15,1,4,1,16,8,NA,1,6,NA,NA,NA,NA,2,NA,NA,NA
"479","Leandro Barcia Montero","leandro-barcia","Leandro Barcia","https://s.glbimg.com/es/sde/f/2019/03/26/eb34e430eaaff21dcd5c4c680505c910_FORMATO.png",91242,33,290,"ata","Dúvida",3.1,8.61,-0.01,2.61,"Goiás",8,51,12,35,5,37,24,NA,NA,19,1,NA,NA,NA,1,5,NA,NA
"480","Ronielson da Silva Barbosa","rony","Rony","https://s.glbimg.com/es/sde/f/2019/03/30/e3a2125216bf497937a96f974e95aacd_FORMATO.png",91607,33,293,"ata","Provável",7.6,14.16,1.27,5.38,"Athlético-PR",5,55,22,53,6,51,24,NA,NA,36,1,NA,NA,NA,6,13,NA,NA
