"","atletas.nome","atletas.slug","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.clube.id.full.name","CA","FC","FS","PE","RB","SG","DD","GS","FD","FF","G","FT","A","I","DP","PP","CV","GC"
"415","Bruno Edgar Silva Almeida","bruno-ramires","Bruno Ramires","https://s.glbimg.com/es/sde/f/2019/03/23/10a59cd060887aaea6d902edd828545f_FORMATO.png",89924,11,341,"mei","Nulo",0,3.81,0,1.3,"CSA",1,4,1,3,5,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"416","Victor Wesley dos Santos da Silva","victor-paraiba","Victor Paraíba","https://s.glbimg.com/es/sde/f/2019/03/23/8322008084e66ad377dc12a0eea40cff_FORMATO.png",102457,11,341,"ata","Nulo",0.3,1.63,0.08,1.12,"CSA",NA,1,5,7,4,NA,NA,NA,1,3,NA,NA,NA,1,NA,NA,NA,NA
"417","Marlon Rodrigues Xavier","marlon","Marlon","https://s.glbimg.com/es/sde/f/2018/05/18/957dc9c05196688e737761b957122b5e_FORMATO.png",91706,11,266,"lat","Nulo",0,4,0,0,"Fluminense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"418","Rony Fernandes da Silva","rony","Rony","https://s.glbimg.com/es/sde/f/2019/06/20/cf0dbe27f075457db8f6dabc6fb405d3_FORMATO.png",101040,11,276,"zag","Nulo",0,2,0,0,"São Paulo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"419","Johnatan Lucas da Silva Vital","vital","Vital","https://s.glbimg.com/es/sde/f/2019/03/23/fb790a1d32b257ad9a64d7752826981f_FORMATO.png",102452,11,341,"zag","Nulo",0,1,0,0,"CSA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"420","Rafael Chagas Machado","rafinha","Rafinha","https://s.glbimg.com/es/sde/f/2019/03/23/6fa441d642d426cca217c6d7c843a2c0_FORMATO.png",83681,11,341,"lat","Provável",3.7,3.92,0.41,2.95,"CSA",NA,2,3,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"421","Igo Gabriel Santos Pereira","igo","Igo","https://s.glbimg.com/es/sde/f/2019/03/23/7e728851fa1878378a93b877a8fb1a5c_FORMATO.png",104991,11,341,"gol","Nulo",0,1,0,0,"CSA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"422","Gerson Guimarães Ferreira Júnior","gerson","Gerson","https://s.glbimg.com/es/sde/f/2019/03/23/6a9c243299be70830e878c88cccbdd1d_FORMATO.png",104089,11,341,"zag","Nulo",0,5.4,0,2.48,"CSA",1,5,1,10,9,3,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"423","Gerson José Laurentino Júnior","gerson-junior","Gerson Júnior","https://s.glbimg.com/es/sde/f/2019/03/23/78b41c44bdc88eb897869188f13f3715_FORMATO.png",104824,11,341,"ata","Nulo",0,0.75,0,0,"CSA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"424","Everton Augusto de Barros Ribeiro","everton-ribeiro","Everton Ribeiro","https://s.glbimg.com/es/sde/f/2019/04/23/cfa31f72beaf2822c06932837b119ffa_FORMATO.png",51772,11,262,"mei","Contundido",0,12.26,0,3.85,"Flamengo",1,7,16,35,14,NA,NA,NA,4,3,NA,NA,3,1,NA,NA,NA,NA
"425","Luiz Rhodolfo Dini Gaioto","rhodolfo","Rhodolfo","https://s.glbimg.com/es/sde/f/2019/04/26/51d02738aaf54038d8131123fd325008_FORMATO.png",42501,11,262,"zag","Nulo",0,4.63,0,-1,"Flamengo",NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"426","Diego Ribas da Cunha","diego","Diego","https://s.glbimg.com/es/sde/f/2019/04/26/03ca6e190e55bbddf134cff00a44c25c_FORMATO.png",38909,11,262,"mei","Provável",2.2,5.52,-0.41,1.53,"Flamengo",5,10,16,25,9,NA,NA,NA,6,7,NA,2,NA,NA,NA,1,NA,NA
"427","Rodrigo Caio Roquette Russo","rodrigo-caio","Rodrigo Caio","https://s.glbimg.com/es/sde/f/2019/04/26/ed48caa8134e11a7c39b6c0d1b2146a7_FORMATO.png",73800,11,262,"zag","Provável",-2,8.11,-0.8,4.08,"Flamengo",2,10,6,12,9,3,NA,NA,2,10,1,NA,NA,1,NA,NA,NA,NA
"428","Rodinei Marcelo de Almeida","rodinei","Rodinei","https://s.glbimg.com/es/sde/f/2019/04/26/cfed24bcffd157785687c5223fdb1106_FORMATO.png",73992,11,262,"lat","Provável",-0.9,2.75,-0.24,0.8,"Flamengo",2,6,2,5,5,1,NA,NA,NA,1,NA,NA,NA,2,NA,NA,NA,NA
"429","Marcos Rogério Ricci Lopes","para","Pará","https://s.glbimg.com/es/sde/f/2019/04/26/4967faf795743de6fc05492896bb97fb_FORMATO.png",62086,11,262,"lat","Nulo",0,5.42,0,2.43,"Flamengo",3,6,5,8,9,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"430","Mateus Gonçalves Martins","mateus-goncalves","Mateus Gonçalves","https://s.glbimg.com/es/sde/f/2019/04/30/fa847e00f13ad27310e18e3ed9e229f5_FORMATO.jpeg",103076,11,354,"ata","Provável",7.9,3.81,1.56,1.78,"Ceará",NA,1,3,8,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA
"431","Victor Vinícius Coelho dos Santos","vitinho","Vitinho","https://s.glbimg.com/es/sde/f/2019/04/26/36d518358679018a8859dd349da9e91c_FORMATO.png",78435,11,262,"ata","Contundido",2.5,9.17,0.26,4.2,"Flamengo",NA,10,9,15,6,NA,NA,NA,6,8,2,NA,NA,NA,NA,NA,NA,NA
"432","César Bernardo Dutra","cesar","César","https://s.glbimg.com/es/sde/f/2019/04/26/c90b6f282ed66e95550b8b12c749706c_FORMATO.png",78086,11,262,"gol","Nulo",0,6.1,0,4.62,"Flamengo",NA,NA,1,NA,NA,1,7,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"433","Willian Souza Arão da Silva","willian-arao","Willian Arão","https://s.glbimg.com/es/sde/f/2019/04/26/24196e5c70d2a4de33babf207cf06539_FORMATO.png",78478,11,262,"mei","Provável",3.1,13.13,0.66,4.51,"Flamengo",1,14,5,19,22,NA,NA,NA,2,3,NA,NA,3,NA,NA,NA,NA,NA
"434","Fernando Uribe Hincapié","uribe","Uribe","https://s.glbimg.com/es/sde/f/2019/05/30/b108b602d840b36b81509e4c29870b37_FORMATO.png",78415,11,277,"ata","Dúvida",0.4,4.88,-0.08,0.23,"Santos",NA,3,NA,3,1,NA,NA,NA,1,2,NA,NA,NA,2,NA,NA,NA,NA
"435","Giorgian Daniel de Arrascaeta Benedetti","arrascaeta","Arrascaeta","https://s.glbimg.com/es/sde/f/2019/04/26/85b7c7626785a66de96ac6b9008f4299_FORMATO.png",87863,11,262,"mei","Contundido",0,19.33,0,12.62,"Flamengo",NA,5,11,19,6,NA,NA,NA,2,3,4,NA,4,NA,NA,NA,NA,NA
"436","Rafael Santos de Sousa","rafael","Rafael","https://s.glbimg.com/es/sde/f/2019/04/26/64d0a13b8e06be6354ab0abfb3a8b449_FORMATO.png",97902,11,262,"zag","Nulo",0,0.73,0,-1.2,"Flamengo",1,1,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"437","Orlando Enrique Berrío Meléndez","berrio","Berrío ","https://s.glbimg.com/es/sde/f/2019/04/26/91363f5a07b1bf1bd53bc95cb9436ae9_FORMATO.png",85300,11,262,"ata","Suspenso",-6.1,4.59,-1.45,1.25,"Flamengo",NA,8,3,8,6,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,1,NA
"438","Miguel Ángel Trauco Saavedra","trauco","Trauco","https://s.glbimg.com/es/sde/f/2019/07/01/cf90eedab7d54130c02d7d1fffddd137_FORMATO.png",95738,11,262,"lat","Nulo",0,6.25,0,4.98,"Flamengo",1,4,NA,8,7,1,NA,NA,NA,1,NA,NA,2,NA,NA,NA,NA,NA
"439","Kleber Augusto Caetano Leite Filho","kleber","Kleber","https://s.glbimg.com/es/sde/f/2019/04/26/1059963db07b0f577d52843428be99d5_FORMATO.png",100126,11,262,"lat","Nulo",0,2,0,0,"Flamengo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"440","Ronaldo da Silva Souza","ronaldo","Ronaldo","https://s.glbimg.com/es/sde/f/2019/07/19/83ab7827bcb96302e51df4217de3e45a_FORMATO.png",92981,11,265,"mei","Nulo",0.7,3.9,-0.03,2.18,"Bahia",2,10,1,7,9,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA
"441","Matheus de Jesus Dantas","matheus-dantas","Matheus Dantas","https://s.glbimg.com/es/sde/f/2019/04/26/598e69e78ec9ae7d5fe95d527c68781b_FORMATO.png",101592,11,262,"zag","Nulo",0,1.25,0,-0.6,"Flamengo",NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"442","Robert Ayrton Piris da Motta","piris-da-motta","Piris da Motta","https://s.glbimg.com/es/sde/f/2019/04/26/28247a3afb9c8e95c1956b2bea9f5c5e_FORMATO.png",95802,11,262,"mei","Nulo",0,3.77,0,0.88,"Flamengo",1,4,5,5,5,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"443","Lucas da Silva de Jesus","lucas-silva","Lucas Silva","https://s.glbimg.com/es/sde/f/2019/04/26/688eee515ba3a5aad11e8f9d0b719f66_FORMATO.png",98515,11,262,"ata","Nulo",0,2,0,1.1,"Flamengo",NA,NA,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"444","Gabriel Batista de Souza","gabriel-batista","Gabriel Batista","https://s.glbimg.com/es/sde/f/2019/04/26/69ee9fb82966a6aed84c07e074991f1a_FORMATO.png",98333,11,262,"gol","Nulo",0,4,0,0,"Flamengo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"445","Matheus Soares Thuler","thuler","Thuler","https://s.glbimg.com/es/sde/f/2019/04/26/95196820b7c23e6db6715208a1fd4ea6_FORMATO.png",100125,11,262,"zag","Nulo",0,3.47,0,1.4,"Flamengo",1,2,3,3,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"446","Leonardo Campos Duarte da Silva","leo-duarte","Léo Duarte","https://s.glbimg.com/es/sde/f/2019/04/26/7cbaac69273796bf05072d8d0b7e6353_FORMATO.png",94214,11,262,"zag","Provável",4,4.28,0.5,2.78,"Flamengo",2,10,3,9,11,2,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA
"447","Lincoln Corrêa dos Santos","lincoln","Lincoln","https://s.glbimg.com/es/sde/f/2019/04/26/255d9bff72ac266df10afb5e3a477f23_FORMATO.png",100065,11,262,"ata","Nulo",0,3.72,-0.1,2.17,"Flamengo",1,3,8,5,1,NA,NA,NA,4,3,1,NA,NA,1,NA,NA,NA,NA
"448","Yago Rafael Valadares Darub","yago-darub","Yago Darub","https://s.glbimg.com/es/sde/f/2019/03/25/ae7074b588af8eb28be002bc63b40b09_FORMATO.png",102686,11,262,"gol","Nulo",0,1,0,0,"Flamengo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"449","Vitor Gabriel Claudino Rego Ferreira","vitor-gabriel","Vitor Gabriel","https://s.glbimg.com/es/sde/f/2019/04/26/1625dafb7038f8b8c6201f97b0f5730d_FORMATO.png",101596,11,262,"ata","Nulo",0,2,0,0,"Flamengo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"450","Vinícius de Souza Costa","vinicius","Vinícius","https://s.glbimg.com/es/sde/f/2019/03/26/a514a8787d2c34f1210e22825eabfc2c_FORMATO.png",105199,11,262,"mei","Nulo",0,2,0,0,"Flamengo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"451","Hugo Moura Arruda da Silva","hugo-moura","Hugo Moura","https://s.glbimg.com/es/sde/f/2019/04/26/715d1c48df5b307209cb6157de7d8965_FORMATO.png",101594,11,262,"mei","Nulo",0,2.97,0,0.3,"Flamengo",1,1,NA,3,2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"452","Reinier Jesus Carvalho","reinier","Reinier","https://s.glbimg.com/es/sde/f/2019/06/26/30ae0df7c25f50d82fb254b31a9f9fca_FORMATO.png",105068,11,262,"mei","Nulo",0,3,0,0,"Flamengo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"453","Marcos Felipe de Freitas Monteiro","marcos-felipe","Marcos Felipe ","https://s.glbimg.com/es/sde/f/2018/05/18/72317ca5c12be51354f8792ab39b37d8_FORMATO.png",85004,11,266,"gol","Nulo",0,2,0,0,"Fluminense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"454","Agenor Detofol","agenor","Agenor","https://s.glbimg.com/es/sde/f/2019/04/28/250bbbb44b3bc7a9a330aa4be2da6f11_FORMATO.png",71724,11,266,"gol","Dúvida",2,3.05,-0.67,2.37,"Fluminense",NA,NA,3,1,NA,1,9,7,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
"455","Rodrigo Júnior Paula Silva","digao","Digão","https://s.glbimg.com/es/sde/f/2018/07/05/108a277374dbf9d6964a4440bd9ef43e_FORMATO.png",68886,11,266,"zag","Suspenso",-3.6,4.62,-1.13,-0.8,"Fluminense",NA,3,2,3,3,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,1,NA
"456","Rodolfo Alves de Melo","rodolfo","Rodolfo","https://s.glbimg.com/es/sde/f/2018/05/18/5f872890e2cb0764d6ab01fa87c80a2b_FORMATO.png",63082,11,266,"gol","Suspenso",0,2.22,0,-0.67,"Fluminense",NA,NA,1,5,NA,NA,7,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"457","Airton Ribeiro Santos","airton","Airton","https://s.glbimg.com/es/sde/f/2019/03/21/d608f479e030bba9eaacc9453619b564_FORMATO.png",61985,11,266,"mei","Nulo",3.7,3.04,1.47,-0.66,"Fluminense",2,6,9,6,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
"458","Ezequiel Jacinto de Biasi","ezequiel","Ezequiel ","https://s.glbimg.com/es/sde/f/2019/05/07/9db851eba6d52f43af59baaf6fc0aa8e_FORMATO.png",80318,11,265,"lat","Provável",1.1,3.47,0.28,1.57,"Bahia",1,7,2,6,1,2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"459","Luciano da Rocha Neves","luciano","Luciano","https://s.glbimg.com/es/sde/f/2018/07/05/1283cc320b56be7f4661388346c1aeba_FORMATO.png",80287,11,266,"ata","Nulo",0,6.83,0,4.33,"Fluminense",3,12,8,16,7,NA,NA,NA,6,7,2,NA,1,3,NA,1,NA,NA
"460","Pablo Dyego da Silva Rosa","pablo-dyego","Pablo Dyego","https://s.glbimg.com/es/sde/f/2018/09/20/013c4c3e1dffe0fb41e29461871427f3_FORMATO.png",86444,11,266,"ata","Nulo",0,2.17,0,0,"Fluminense",NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"461","Fernando Diniz Silva","fernando-diniz","Fernando Diniz","https://s.glbimg.com/es/sde/f/2019/03/31/d5e12d0aeac958061862829b9b8a6b61_FORMATO.png",72391,11,266,"tec","Provável",1.7,6.3,-0.31,2.63,"Fluminense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"462","Bruno César Pereira da Silva","bruno-silva","Bruno Silva","https://s.glbimg.com/es/sde/f/2019/03/21/555c62e4a3cee5e6cbe3931eb000ac6f_FORMATO.png",68698,11,266,"mei","Provável",-0.7,7.73,-1.85,3.82,"Fluminense",1,10,9,10,12,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA
"463","Matheus Ferraz Pereira","matheus-ferraz","Matheus Ferraz","https://s.glbimg.com/es/sde/f/2019/03/21/153f5cacc7a34ba4806328a24f5a1750_FORMATO.png",38632,11,266,"zag","Contundido",0,6.23,0,3.56,"Fluminense",1,7,2,6,11,NA,NA,NA,4,3,1,NA,NA,1,NA,NA,NA,NA
"464","Igor de Carvalho Julião","igor-juliao","Igor Julião","https://s.glbimg.com/es/sde/f/2018/10/10/c1027d589069c95376f433aa4ccfbe1a_FORMATO.png",81951,11,266,"lat","Nulo",0,3.22,0,1.55,"Fluminense",1,9,5,5,6,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"465","Everaldo Silva do Nascimento","everaldo","Everaldo ","https://s.glbimg.com/es/sde/f/2019/05/23/6fff5abfbfbd6b07376f8891759f2538_FORMATO.png",91151,11,264,"ata","Nulo",1.3,3.09,-0.25,1.3,"Corinthians",1,5,6,2,2,NA,NA,NA,NA,2,NA,NA,1,2,NA,NA,NA,NA
"466","Paulo Ricardo Ferreira","paulo-ricardo","Paulo Ricardo","https://s.glbimg.com/es/sde/f/2019/07/11/9fbdccae5a9a789cc905f7ed4051e2c3_FORMATO.png",88224,11,290,"zag","Nulo",0,2.22,0,-0.3,"Goiás",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"467","Iago Pereira Mendonça","iago-mendonca","Iago Mendonça","https://s.glbimg.com/es/sde/f/2019/03/26/0a85b74cc382e686bc790312c4cd7983_FORMATO.png",105278,11,290,"zag","Nulo",0,1,0,0,"Goiás",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"468","Douglas Moreira Fagundes","dodi","Dodi","https://s.glbimg.com/es/sde/f/2018/04/20/9dae8b824d6d7c1a316a903af9b3740e_FORMATO.png",89883,11,266,"mei","Nulo",0,3,0,0,"Fluminense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"469","Marcílio Florêncio Mota Filho","nino","Nino","https://s.glbimg.com/es/sde/f/2019/03/31/828e2021812c049027270d8bec818205_FORMATO.png",91708,11,266,"zag","Provável",-1.3,2.37,-1.33,1.88,"Fluminense",4,13,6,14,13,NA,NA,NA,1,1,1,NA,1,NA,NA,NA,NA,NA
"470","Daniel Sampaio Simões","daniel","Daniel","https://s.glbimg.com/es/sde/f/2019/03/21/a5343d1cb58ce6999a4b7c00ec34ac1f_FORMATO.png",93791,11,266,"mei","Provável",-0.1,4.17,-0.33,1.5,"Fluminense",2,6,19,30,6,NA,NA,NA,3,3,NA,NA,1,NA,NA,NA,NA,NA
"471","Pedro Guilherme Abreu dos Santos","pedro","Pedro","https://s.glbimg.com/es/sde/f/2018/09/20/c439d4a824c7f1fd8ec63ecd4e10983e_FORMATO.png",94583,11,266,"ata","Provável",10.1,13.08,0.4,7.21,"Fluminense",NA,5,4,4,3,NA,NA,NA,5,4,5,NA,NA,3,NA,NA,NA,NA
"472","Jony Alexander González Copete","yony-gonzalez","Yony González","https://s.glbimg.com/es/sde/f/2019/02/04/afa77024bd6f197dd7f02d24bb8ea775_FORMATO.png",97080,11,266,"ata","Nulo",0,11.05,0,4.66,"Fluminense",NA,7,13,10,6,NA,NA,NA,2,13,2,NA,NA,1,NA,NA,NA,NA
"473","Allan Rodrigues de Souza","allan","Allan","https://s.glbimg.com/es/sde/f/2019/03/31/cbe0d021382b1f6ac6db1fdd5f232dbc_FORMATO.png",96652,11,266,"mei","Provável",0,0.9,0,-0.45,"Fluminense",4,22,11,28,11,NA,NA,NA,3,4,NA,NA,NA,NA,NA,NA,1,NA
"474","Leonardo Rodrigues dos Santos","leo-santos","Léo Santos","https://s.glbimg.com/es/sde/f/2019/03/31/c0546b8f7369bd0b592729269c138b03_FORMATO.png",95820,11,266,"zag","Contundido",0,6,0,0,"Fluminense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"475","Wesley Frazan Bernardo","frazan","Frazan","https://s.glbimg.com/es/sde/f/2018/09/20/757d419d1040c909be357a50fb4f34b8_FORMATO.png",97528,11,266,"zag","Suspenso",-6,1.05,-1.33,-1.27,"Fluminense",1,4,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
"476","Marcos Vinícius Silva Rocha Calazans","marcos-calazans","Marcos Calazans","https://s.glbimg.com/es/sde/f/2019/05/23/afef447f016eefff05fad8b9101e4ecb_FORMATO.png",97452,11,276,"ata","Nulo",0,2.38,0,0.17,"São Paulo",1,6,2,4,3,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"477","Caio Vinicius da Conceição","caio","Caio","https://s.glbimg.com/es/sde/f/2018/09/20/f970b4dfcb039c351e6e0f6bd9a64edb_FORMATO.png",101601,11,266,"mei","Nulo",0,2,0,0,"Fluminense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"478","Caio Henrique Oliveira Silva","caio-henrique","Caio Henrique","https://s.glbimg.com/es/sde/f/2019/02/04/27862dc150d6c7607eebf4e9cc71e83c_FORMATO.png",98569,11,266,"mei","Provável",-0.4,5.33,-0.49,2.3,"Fluminense",NA,16,12,23,20,NA,NA,NA,2,3,NA,NA,NA,1,NA,NA,NA,NA
"479","Marcos Paulo Costa do Nascimento","marcos-paulo","Marcos Paulo","https://s.glbimg.com/es/sde/f/2019/04/28/6b67724f0df358a59b19d910a740b005_FORMATO.png",103645,11,266,"ata","Dúvida",0,3.77,0,3.82,"Fluminense",NA,1,4,4,4,NA,NA,NA,1,2,NA,NA,2,NA,NA,NA,NA,NA
"480","José Ricardo Araújo Fernandes","ze-ricardo","Zé Ricardo","https://s.glbimg.com/es/sde/f/2018/09/18/03e7abfdac596735f28f8c3784957b23_FORMATO.png",102911,11,266,"mei","Nulo",0,1,0,0,"Fluminense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"481","Matheus Mascarenhas dos Santos Raimundo","mascarenhas","Mascarenhas","https://s.glbimg.com/es/sde/f/2017/07/25/440c5676c1d5aade1bd6ddf33598e814_FORMATO.png",99721,11,266,"lat","Contundido",0,1.75,0,-2.3,"Fluminense",1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"482","Wellington Pereira do Nascimento","wellington-paulista","Wellington Paulista","https://s.glbimg.com/es/sde/f/2019/03/23/2138dee0c7885fcda59ec315f3f3c8bd_FORMATO.png",38279,11,356,"ata","Provável",-1.8,9.88,-2.99,5.04,"Fortaleza",2,18,8,6,3,NA,NA,NA,4,6,3,1,1,NA,NA,NA,NA,NA
"483","Marcelo Boeck","marcelo-boeck","Marcelo Boeck","https://s.glbimg.com/es/sde/f/2019/03/22/4b4e1c64603c84d346f4ba4ad46fb562_FORMATO.png",37788,11,356,"gol","Nulo",0,3.31,0,-2.3,"Fortaleza",1,NA,NA,2,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"484","Wanderley de Jesus Sousa","derley","Derley","https://s.glbimg.com/es/sde/f/2019/03/22/38fbbc852eaf7ac63811890c98f9ee2a_FORMATO.png",60791,11,356,"mei","Nulo",0,4.08,0,1.5,"Fortaleza",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"485","João Pedro Junqueira de Jesus","joao-pedro","João Pedro","https://s.glbimg.com/es/sde/f/2019/04/28/5584b0d256734e97b4adbf725c2ce137_FORMATO.png",104026,11,266,"ata","Dúvida",0.2,4.87,-0.47,4.57,"Fluminense",1,7,9,8,3,NA,NA,NA,7,5,3,NA,NA,2,NA,NA,NA,NA
"486","Santiago Ernesto Romero Fernández","romero","Romero","https://s.glbimg.com/es/sde/f/2019/03/22/6f3e87cd0ea7dd0de1f8463bf7e216a1_FORMATO.png",79109,11,356,"mei","Nulo",0,4,0,0,"Fortaleza",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"487","Jordi Almeida","jordi","Jordi","https://s.glbimg.com/es/sde/f/2019/04/27/086fa2e4939cd7153795f155d02f6f52_FORMATO.png",86776,11,341,"gol","Provável",1,9.53,-1.31,6.68,"CSA",2,1,3,5,NA,3,33,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"488","Carlos Emiliano Pereira","carlinhos","Carlinhos","https://s.glbimg.com/es/sde/f/2019/03/22/7da6584b8edbee8649acb25931c97e1e_FORMATO.png",63194,11,356,"lat","Provável",8.1,7.85,-0.1,4.61,"Fortaleza",2,14,8,22,23,1,NA,NA,2,6,1,NA,1,NA,NA,NA,NA,NA
"489","Roger de Carvalho","roger-carvalho","Roger Carvalho","https://s.glbimg.com/es/sde/f/2019/03/22/d7e594d8f0b678708a852f3ee9178e96_FORMATO.png",51415,11,356,"zag","Provável",-1,3.7,-0.81,0.81,"Fortaleza",NA,3,2,16,4,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"490","Éderson Alves Ribeiro Silva","ederson","Éderson","https://s.glbimg.com/es/sde/f/2019/03/22/24b700fe4f2c7138597131364bc2d2d4_FORMATO.png",73446,11,356,"ata","Contundido",0,6,0,0,"Fortaleza",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"491","Paulo Roberto da Silva","paulo-roberto","Paulo Roberto","https://s.glbimg.com/es/sde/f/2019/03/22/98a0ece4c6b60ee9652ec2c1e371f056_FORMATO.png",69047,11,356,"mei","Nulo",0,3.66,0,0.68,"Fortaleza",NA,5,7,7,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"492","Felipe Alves Raymundo","felipe-alves","Felipe Alves","https://s.glbimg.com/es/sde/f/2019/03/22/c0caa3f398373f554d289ace20f955ec_FORMATO.png",72372,11,356,"gol","Provável",10,10.08,-0.43,4.48,"Fortaleza",2,1,NA,9,NA,1,22,13,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"493","Osvaldo Lourenço Filho","osvaldo","Osvaldo","https://s.glbimg.com/es/sde/f/2019/03/22/cf67516d72742aa5e48694567a33d6b6_FORMATO.png",42222,11,356,"ata","Contundido",0,4.92,0,2.01,"Fortaleza",1,6,2,11,4,NA,NA,NA,3,1,1,NA,2,NA,NA,NA,1,NA
"494","Francisco Edson Moreira da Silva","edinho","Edinho","https://s.glbimg.com/es/sde/f/2019/03/22/b196faf58ff8f5c11884a98aae52bb13_FORMATO.png",80193,11,356,"mei","Provável",0,8.44,0,3.65,"Fortaleza",1,3,13,9,3,NA,NA,NA,4,6,1,NA,NA,1,NA,NA,NA,NA
"495","Guilherme de Jesus da Silva","tinga","Tinga","https://s.glbimg.com/es/sde/f/2019/03/22/fa74caf8029ce11e791edd0d7fc03025_FORMATO.png",82628,11,356,"lat","Provável",5.6,1.64,0.89,0.8,"Fortaleza",NA,5,2,16,3,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA
