"","atletas.nome","atletas.slug","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.clube.id.full.name","FC","FD","FF","FS","PE","RB","A","CA","FT","G","I","SG","GC","DD","GS","CV","PP","DP"
"418","Ronaldo de Oliveira Strada","ronaldo","Ronaldo","https://s.glbimg.com/es/sde/f/2018/03/21/841b5df0cdc6cf16eecd117560650d41_FORMATO.png",91101,35,"VIT","gol","Nulo",0,3.85,0,3.28,"Vitória",NA,NA,NA,4,11,NA,NA,1,NA,NA,NA,7,NA,30,28,NA,NA,NA
"419","Leonardo Felipe Valencia Rossel","leonardo-valencia","Leonardo Valencia","https://s.glbimg.com/es/sde/f/2018/05/17/fdfb5b9c1f58d363c8597c844f7302ba_FORMATO.png",91508,35,"BOT","mei","Provável",3.3,9.67,-0.34,4.66,"Botafogo",26,21,26,40,73,22,6,2,1,3,1,NA,NA,NA,NA,NA,NA,NA
"420","Evandro Lima de Oliveira Filho","evandro","Evandro","https://s.glbimg.com/es/sde/f/2018/05/24/cc89d0c16b42dd430daa29322584d1ac_FORMATO.png",91001,35,"SPO","lat","Nulo",0,3.12,0,4.45,"Sport",1,NA,1,1,3,3,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA
"421","Robert Abel Arboleda Escobar","arboleda","Arboleda","https://s.glbimg.com/es/sde/f/2018/08/21/55c29ae10f4820c62eed75c6e8d1392f_FORMATO.png",91573,35,"SAO","zag","Provável",14.8,11.4,2.14,4.13,"São Paulo",29,5,11,24,37,36,2,6,NA,NA,5,8,NA,NA,NA,NA,NA,NA
"422","Flávio Medeiros da Silva","flavio","Flávio","https://s.glbimg.com/es/sde/f/2018/05/01/3c063c1b3d589634d699c80695341bff_FORMATO.png",91102,35,"BAH","mei","Nulo",1.9,3.15,0.06,1.46,"Bahia",22,2,2,17,17,22,NA,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"423","Ronielson da Silva Barbosa","rony","Rony","https://s.glbimg.com/es/sde/f/2018/09/03/554ff3fc561a0061ae57afba756706f4_FORMATO.png",91607,35,"ATL","ata","Nulo",4.9,8.66,0.79,3.63,"Atlético-PR",10,8,3,12,7,10,NA,NA,NA,2,4,NA,NA,NA,NA,NA,NA,NA
"424","Paulo Ricardo Ferreira","paulo-ricardo","Paulo Ricardo","https://s.glbimg.com/es/sde/f/2018/08/07/40535dad7f23b1a420480a49910c5680_FORMATO.png",88224,35,"FLU","zag","Nulo",0,3.44,0,2.87,"Fluminense",4,1,1,1,6,5,NA,2,NA,NA,NA,3,NA,NA,NA,NA,NA,NA
"425","Daniel Guedes da Silva","daniel-guedes","Daniel Guedes ","https://s.glbimg.com/es/sde/f/2018/05/23/aa6709d5100218ac013a36959e8e6ce4_FORMATO.png",88225,35,"SAN","lat","Nulo",0,6,0,2.5,"Santos",8,NA,NA,3,15,8,NA,1,NA,NA,1,3,NA,NA,NA,NA,NA,NA
"426","Charles Luis Reiter","charles","Charles","https://s.glbimg.com/es/sde/f/2018/03/21/c6be1b00e5922e5a5cb8a8f78031dc24_FORMATO.png",84187,35,"PAR","zag","Nulo",0,4.94,0,2.73,"Paraná",6,1,NA,6,5,7,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"427","Diego Barbosa Tavares","diego-tavares","Diego Tavares","https://s.glbimg.com/es/sde/f/2018/08/31/b99149d02e70403afe5bf3e8306aefc1_FORMATO.jpeg",83869,35,"PAR","lat","Nulo",0,3.92,0,4.5,"Paraná",NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"428","Fernando José Marques Maciel","fernandinho","Fernandinho","https://s.glbimg.com/es/sde/f/2018/06/05/50d5be5e02ead78433958ab1d1389752_FORMATO.png",91130,35,"BAH","ata","Nulo",0,1.56,0,0.35,"Bahia",NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"429","Everaldo Silva do Nascimento","everaldo","Everaldo ","https://s.glbimg.com/es/sde/f/2018/07/20/e1ce97d162a9419406447d05322336f8_FORMATO.png",91151,35,"FLU","ata","Provável",2,5.54,0.24,4.06,"Fluminense",22,5,16,37,49,21,6,NA,1,1,6,NA,NA,NA,NA,NA,NA,NA
"430","Andrevaldo de Jesus Santos","valdo","Valdo","https://s.glbimg.com/es/sde/f/2018/05/25/cf9d979ab326b302465984bc2feb021f_FORMATO.png",84509,35,"CEA","zag","Nulo",0,6.63,0,3.18,"Ceará",5,NA,3,6,8,14,NA,NA,NA,1,NA,3,NA,NA,NA,NA,NA,NA
"431","Ángel Rodrigo Romero Villamayor","angel-romero","Ángel Romero","https://s.glbimg.com/es/sde/f/2018/05/18/8b6faacdc8e5b7ca9a1b28fe294eb028_FORMATO.png",88323,35,"COR","ata","Nulo",0,10.36,0,4.36,"Corinthians",26,7,13,81,74,28,3,8,1,6,4,NA,NA,NA,NA,1,NA,NA
"432","Jesiel Cardoso Miranda","jesiel","Jesiel","https://s.glbimg.com/es/sde/f/2018/10/10/412c785ccc5fdb367b6c19c1bb05a4bc_FORMATO.png",91156,35,"PAR","zag","Provável",-0.7,2.9,-1.22,1.49,"Paraná",11,1,3,5,27,16,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA
"433","Glauco Tadeu Chaves","glauco","Glauco","https://s.glbimg.com/es/sde/f/2018/05/07/1fe49ae80180a4b6e896021ef63976ff_FORMATO.png",84555,35,"AME","gol","Nulo",0,4,0,0,"América-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"434","Paulo Victor da Silva","paulinho","Paulinho","https://s.glbimg.com/es/sde/f/2018/08/03/c2091fb8bfdc8a7323f23bbc3f328093_FORMATO.png",91626,35,"BAH","lat","Provável",5.7,4.14,0.91,3.75,"Bahia",3,3,1,3,8,7,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA
"435","Rafael dos Santos da Silva","rafinha","Rafinha","https://s.glbimg.com/es/sde/f/2018/03/15/c4478d4a2dd3cddeff0ae2f6e49a1d61_FORMATO.png",91644,35,"CEA","mei","Nulo",0,3,0,0,"Ceará",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"436","Ayrton Lucas Dantas de Medeiros","ayrton-lucas","Ayrton Lucas","https://s.glbimg.com/es/sde/f/2018/09/20/3ef4148b227a1f9167ea89b5a002eee3_FORMATO.png",88393,35,"FLU","lat","Provável",9.6,12.34,0.94,5.56,"Fluminense",29,9,13,58,63,61,NA,4,NA,NA,2,10,1,NA,NA,NA,NA,NA
"437","Luís Carlos Rocha da Silva","pilar","Pilar","https://s.glbimg.com/es/sde/f/2018/07/19/0ba295598199da7f2a0b6f02d774acda_FORMATO.png",91649,35,"AME","ata","Nulo",0,2,0,0,"América-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"438","Lucas Daniel Romero","lucas-romero","Lucas Romero","https://s.glbimg.com/es/sde/f/2018/05/07/5afee43c79c6ee5a180385ef4550fd6c_FORMATO.png",84558,35,"CRU","mei","Nulo",0,6.42,0,3.46,"Cruzeiro",23,2,5,23,37,55,NA,4,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"439","Gustavo Blanco Petersen Macedo","gustavo-blanco","Gustavo Blanco","https://s.glbimg.com/es/sde/f/2018/05/07/6ac39bf60c88040543dee78fc133c427_FORMATO.png",91191,35,"ATL","mei","Contundido",0,19.53,0,8.86,"Atlético-MG",20,10,5,4,25,51,4,4,3,NA,1,NA,NA,NA,NA,NA,NA,NA
"440","Gabriel Dias de Oliveira","gabriel-dias","Gabriel Dias","https://s.glbimg.com/es/sde/f/2018/04/09/d543e86d4cdf1a286b62859a71407114_FORMATO.png",88368,35,"INT","mei","Contundido",0,3.79,0,1.75,"Internacional",8,NA,4,9,4,9,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"441","Marlon Rodrigues Xavier","marlon","Marlon","https://s.glbimg.com/es/sde/f/2018/05/18/957dc9c05196688e737761b957122b5e_FORMATO.png",91706,35,"FLU","lat","Nulo",0,3.58,0,1.09,"Fluminense",14,1,4,5,43,17,NA,5,NA,NA,1,2,NA,NA,NA,NA,NA,NA
"442","Adryelson Shawann Lima Silva","adryelson","Adryelson","https://s.glbimg.com/es/sde/f/2018/05/24/8993667474efcafb24e0734c9b403ebe_FORMATO.png",91664,35,"SPO","zag","Provável",1.6,3.13,-0.88,3.57,"Sport",4,NA,4,5,7,4,NA,1,NA,1,NA,3,NA,NA,NA,NA,NA,NA
"443"," João Pedro Heinen Silva","joao-pedro","João Pedro","https://s.glbimg.com/es/sde/f/2018/05/09/1be6fbe0e1aa54c749ed58a1213eff8b_FORMATO.png",91687,35,"BOT","mei","Nulo",0,1.38,0,-0.03,"Botafogo",5,1,NA,3,8,2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA
"444","Agustín Lionel Allione","allione","Allione","https://s.glbimg.com/es/sde/f/2018/03/21/3c614f3fa77de55748fa8ddfdef2eecc_FORMATO.png",84585,35,"BAH","mei","Nulo",1.1,3.79,0.18,1.5,"Bahia",7,2,2,5,8,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"445","Leandro Henrique do Nascimento","leandrinho","Leandrinho","https://s.glbimg.com/es/sde/f/2018/07/16/427506f9f329b3a83b0695351930c35f_FORMATO.png",91702,35,"ATL","ata","Nulo",0,2.29,0,1.03,"Atlético-MG",NA,1,1,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"446","Nicolás Federico López Alonso","nico-lopez","Nico López","https://s.glbimg.com/es/sde/f/2018/04/08/5bb6e14f65a15709391b32e0e4332d8c_FORMATO.png",84709,35,"INT","ata","Provável",3.6,15.55,0.08,5.36,"Internacional",34,25,19,43,66,31,5,5,3,9,12,NA,NA,NA,NA,NA,NA,NA
"447","Cícero Santos","cicero","Cícero","https://s.glbimg.com/es/sde/f/2018/05/18/8e50aae33b3efeecf55378dbf4117454_FORMATO.png",37688,35,"GRE","mei","Dúvida",13.7,7.45,2.31,2.7,"Grêmio",29,12,12,25,48,23,2,4,NA,2,1,NA,NA,NA,NA,NA,NA,NA
"448","Jonathan Cícero Moreira","jonathan","Jonathan","https://s.glbimg.com/es/sde/f/2018/03/01/fe3cd425e203e34aaf34a6ac98ffc4af_FORMATO.png",37662,35,"ATL","lat","Nulo",-5.2,7.87,-1.06,3.61,"Atlético-PR",19,NA,1,7,33,12,5,5,NA,1,NA,10,NA,NA,NA,NA,NA,NA
"449","Alberto Valentim do Carmo Neto","alberto-valentim","Alberto Valentim","https://s.glbimg.com/es/sde/f/2018/03/20/c6b54edc93e180bf641056650be46611_FORMATO.png",84863,35,"VAS","tec","Provável",1.71,9.33,-0.16,3.6,"Vasco",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"450","Fábio Deivson Lopes Maciel","fabio","Fábio","https://s.glbimg.com/es/sde/f/2018/05/18/d4072db4bdda7615aec2517449afe555_FORMATO.png",37656,35,"CRU","gol","Provável",3.7,11.1,-1.85,4.28,"Cruzeiro",NA,NA,NA,2,15,NA,NA,NA,NA,NA,NA,9,NA,39,23,NA,NA,1
"451","Rafael Martiniano de Miranda Moura","rafael-moura","Rafael Moura","https://s.glbimg.com/es/sde/f/2018/05/07/ef379a2301781917b402af5e2c4b363f_FORMATO.png",37655,35,"AME","ata","Provável",8.4,9.96,1.5,2.28,"América-MG",39,10,14,16,38,6,2,5,NA,7,11,NA,NA,NA,NA,1,NA,NA
"452","Pedro Gomes Bortoluzo","pedro-bortoluzo","Pedro Bortoluzo","https://s.glbimg.com/es/sde/f/2018/09/04/08e0c0a0414e51df482079c108b9d382_FORMATO.png",99041,35,"SAO","ata","Nulo",0,2,0,0,"São Paulo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"453","Francisco Wellington Barbosa de Lisboa","robinho","Robinho","https://s.glbimg.com/es/sde/f/2018/10/19/7251fe12da7e8873dfe0f441592b66e4_FORMATO.png",88395,35,"CEA","ata","Nulo",0,1.67,0,0.5,"Ceará",3,NA,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"454","Lucas Perdomo Duarte Santos","lucas","Lucas","https://s.glbimg.com/es/sde/f/2018/03/28/e8c799411d6ba80da004148110333f35_FORMATO.png",88412,35,"VAS","mei","Nulo",0,3,0,0,"Vasco",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"455","Edgardo Daniel Orzusa Cáceres","orzusa","Orzusa","https://s.glbimg.com/es/sde/f/2018/08/03/9fe6d520171ca66a71766e405c2f636a_FORMATO.png",99160,35,"CHA","mei","Nulo",0,2.78,0,0.35,"Chapecoense",1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"456","Linik Eduardo Santos","linik","Linik","https://s.glbimg.com/es/sde/f/2018/03/21/1b2fe22656db0d2209b8e7ef2717f9a7_FORMATO.png",99545,35,"VIT","mei","Nulo",0,1,0,0,"Vitória",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"457","Alexsander Jhonatta de Oliveira Andrade","alexsander","Alexsander","https://s.glbimg.com/es/sde/f/2018/05/08/0c6b57f472519b0ccc3970a86ae1b337_FORMATO.png",99411,35,"ATL","mei","Nulo",0,1,0,0,"Atlético-PR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"458","Felipe Souza Moreno Sampaio","felipe","Felipe","https://s.glbimg.com/es/sde/f/2018/01/21/2bee05842c9d96fbbae04d80edc9f2fb_FORMATO.png",99425,35,"FLU","ata","Nulo",0,1,0,0,"Fluminense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"459","Diego Terra Loureiro","diego","Diego","https://s.glbimg.com/es/sde/f/2018/07/31/1acd43a543bac1739692fcd99d2a0f5e_FORMATO.png",99430,35,"BOT","gol","Nulo",0,1.98,0,5,"Botafogo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"460","Gabriel Baralhas","baralhas","Baralhas","https://s.glbimg.com/es/sde/f/2018/07/16/28f39d74cf08d7877f7636c358641eb4_FORMATO.png",99440,35,"ATL","mei","Nulo",0,2,0,0,"Atlético-PR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"461","Daniel dos Santos Oliveira","daniel","Daniel ","https://s.glbimg.com/es/sde/f/2018/05/08/800b5bc243c8107741d0f9ce23c04bfc_FORMATO.png",99461,35,"ATL","zag","Nulo",0,1,0,0,"Atlético-PR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"462","Luiz Henrique Beserra dos Santos","luiz-henrique","Luiz Henrique","https://s.glbimg.com/es/sde/f/2018/09/04/8faa5c06d04fcf63cbbe6913818173e3_FORMATO.png",99627,35,"BAH","mei","Nulo",0,4,0,0,"Bahia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"463","Patrick William Sá de Oliveira","patrick","Patrick","https://s.glbimg.com/es/sde/f/2018/05/25/a1c5d2208ca42adb18c95300079de72e_FORMATO.png",99595,35,"CEA","zag","Nulo",0,1.12,0,-0.3,"Ceará",2,NA,NA,NA,2,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"464","Robson Azevedo da Silva","robinho","Robinho","https://s.glbimg.com/es/sde/f/2018/07/25/6b15b755bc411ce7d63c908bc84f2fae_FORMATO.png",99574,35,"AME","ata","Nulo",0,3.74,0,1.26,"América-MG",7,3,7,11,22,8,1,1,1,NA,2,NA,NA,NA,NA,NA,NA,NA
"465","Jean Carlos de Brito","jean","Jean","https://s.glbimg.com/es/sde/f/2018/07/05/bffb1664849744b4d0766f95b9bbff78_FORMATO.png",99584,35,"SPO","lat","Nulo",0,3,0,0,"Sport",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"466","Clayson Henrique da Silva Vieira","clayson","Clayson","https://s.glbimg.com/es/sde/f/2018/03/19/8d90e0a2771563f6cb02d576edbed6ed_FORMATO.png",83817,35,"COR","ata","Nulo",-0.3,8.31,-0.06,1.32,"Corinthians",16,6,4,18,31,14,1,3,NA,1,5,NA,NA,NA,NA,NA,NA,NA
"467","Bruno Cosendey Lobo Pinto","bruno-cosendey","Bruno Cosendey","https://s.glbimg.com/es/sde/f/2018/09/27/fa6ad7ea560f7cfd705eed2799c9c148_FORMATO.png",99615,35,"VAS","mei","Nulo",0,3.35,0,1.53,"Vasco",11,2,3,3,20,6,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"468","Ezequiel Gonzalo Esperon","esperon","Esperon","https://s.glbimg.com/es/sde/f/2017/06/07/dfce0445c3144c43e2d3f33bb0dd4131_FORMATO.jpeg",99628,35,"GRE","mei","Nulo",0,1,0,0,"Grêmio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"469","Brenner Souza da Silva","brenner","Brenner","https://s.glbimg.com/es/sde/f/2018/08/21/993c919329907447bdfe72defc7eced9_FORMATO.png",99789,35,"SAO","ata","Nulo",1.4,2.49,-1.44,3.06,"São Paulo",2,1,3,4,6,4,NA,NA,NA,1,3,NA,NA,NA,NA,NA,NA,NA
"470","José Francisco dos Santos Júnior","junior-brumado","Júnior Brumado","https://s.glbimg.com/es/sde/f/2018/03/21/bd18849356245d84cf422f076a8f1cdf_FORMATO.png",99894,35,"BAH","ata","Nulo",0,3.18,0,1.13,"Bahia",17,2,10,9,8,5,NA,3,1,1,6,NA,NA,NA,NA,NA,NA,NA
"471","Ricardo Queiroz de Alencastro Graça","ricardo","Ricardo","https://s.glbimg.com/es/sde/f/2018/09/27/8b63cdcb68dc035fb9be678fc9c4b4e7_FORMATO.png",99881,35,"VAS","zag","Nulo",0,3.67,0,1.58,"Vasco",13,1,NA,8,14,15,NA,6,NA,NA,2,3,NA,NA,NA,NA,NA,NA
"472","Yimmi Javier Chará Zamora","chara","Chará","https://s.glbimg.com/es/sde/f/2018/06/12/141a8b4188cba969d63627e1e52b336e_FORMATO.png",99891,35,"ATL","ata","Provável",11.5,11.31,1.33,3.75,"Atlético-MG",17,5,6,41,40,21,5,1,NA,1,4,NA,NA,NA,NA,NA,NA,NA
"473","Leonardo da Silva Simas","leonardo-simas","Leonardo Simas","https://s.glbimg.com/es/sde/f/2018/05/08/9f9fa35de662c141a4b23af95f99f022_FORMATO.png",99832,35,"ATL","lat","Nulo",0,1,0,0,"Atlético-PR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"474","Jadson Ailton Oliveira Da Silva Vale","jadson","Jadson","https://s.glbimg.com/es/sde/f/2017/06/07/2e7afba6e715b27222707a3f207ad556_FORMATO.jpeg",99629,35,"GRE","ata","Nulo",0,1,0,0,"Grêmio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"475","Khevin Rodrigo Fraga","khevin","Khevin","https://s.glbimg.com/es/sde/f/2018/05/24/aa909d621dc61944afb0d68fa14e38af_FORMATO.png",99921,35,"CHA","mei","Nulo",0,2,0,0,"Chapecoense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"476","Ezequiel Santos da Silva","ezequiel","Ezequiel","https://s.glbimg.com/es/sde/f/2018/05/17/f4995e8da11ffe996033b0ebf06c4a13_FORMATO.png",99915,35,"BOT","ata","Nulo",0,4.56,0,1.96,"Botafogo",3,1,3,8,3,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"477","Jhonny Lucas Flora Barboza ","jhonny-lucas","Jhonny Lucas","https://s.glbimg.com/es/sde/f/2018/03/21/1891e9e504ce289621d56cf6db5ba93d_FORMATO.png",99994,35,"PAR","mei","Nulo",0,3.87,0,0.95,"Paraná",47,4,7,15,33,26,NA,7,NA,1,1,NA,NA,NA,NA,NA,NA,NA
"478","Lucas da Silva Ribeiro Campos","lucas-campos","Lucas Campos","https://s.glbimg.com/es/sde/f/2018/05/17/9790a9eb14c2629004e401eb258e2505_FORMATO.png",99903,35,"BOT","ata","Nulo",0,1,0,0,"Botafogo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"479","Lincoln Corrêa dos Santos","lincoln","Lincoln","https://s.glbimg.com/es/sde/f/2018/05/04/26a67180b8114a860a9e6f9c54cdebd4_FORMATO.png",100065,35,"FLA","ata","Nulo",0,1.98,0,0.86,"Flamengo",7,3,3,3,4,4,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA
"480","Matheus Soares Thuler","thuler","Thuler","https://s.glbimg.com/es/sde/f/2018/05/04/092bb0f0452c36118decf2dba0e806a4_FORMATO.png",100125,35,"FLA","zag","Nulo",0,4.34,0,6.06,"Flamengo",6,NA,2,2,9,13,NA,1,NA,1,NA,4,NA,NA,NA,NA,NA,NA
"481","Igor Silveira Gomes","igor-gomes","Igor Gomes","https://s.glbimg.com/es/sde/f/2018/08/22/151d1a25f1a557fbf4d66544c4d67e2a_FORMATO.png",100084,35,"SAO","mei","Contundido",0,1,0,0,"São Paulo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"482","Kleber Augusto Caetano Leite Filho","kleber","Kleber","https://s.glbimg.com/es/sde/f/2018/05/04/3c7fcc093b6dd915834a1c3c3231e0c0_FORMATO.png",100126,35,"FLA","lat","Nulo",0,2,0,0,"Flamengo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"483","Pablo Carneiro Freitas","pablo-maldini","Pablo Maldini",NA,100127,35,"FLA","lat","Nulo",0,1,0,0,"Flamengo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"484","Vander Tavares Silva","vander","Vander",NA,100159,35,"CRU","mei","Nulo",0,1,0,0,"Cruzeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"485","Lucas Soares de Almeida","lucas-soares","Lucas Soares",NA,100158,35,"CRU","lat","Nulo",0,1,0,0,"Cruzeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"486","Weverton Almeida Silva","weverton-almeida","Weverton Almeida","https://s.glbimg.com/es/sde/f/2018/05/08/4c72622d78b8cfdc737c1eb48ea75370_FORMATO.png",100459,35,"ATL","zag","Nulo",0,1,0,0,"Atlético-PR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"487","Pedro Henrique de Oliveira Correia","pedrao","Pedrão","https://s.glbimg.com/es/sde/f/2017/09/14/f98ef7fba472b456f28c1888c9e392e5_FORMATO.jpeg",100322,35,"PAL","zag","Nulo",0,2,0,0,"Palmeiras",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"488","Paulo Henrique Pereira da Silva","paulinho","Paulinho","https://s.glbimg.com/es/sde/f/2018/05/26/755b69cb731efaf835f0b845f7693bbf_FORMATO.png",100333,35,"SAO","ata","Nulo",0,1.29,0,2.5,"São Paulo",NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"489","Matheus Matias Ferreira","matheus-matias","Matheus Matias","https://s.glbimg.com/es/sde/f/2018/03/20/eb73de7fb8328542fb0438fdd1809c4b_FORMATO.png",100430,35,"COR","ata","Nulo",0,2.66,0,0,"Corinthians",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"490","Yuri Alberto Monteiro da Silva","yuri-alberto","Yuri Alberto","https://s.glbimg.com/es/sde/f/2018/05/23/c12302cb409beb75eb67f045028f774e_FORMATO.png",100652,35,"SAN","ata","Nulo",0,2.25,0,1.06,"Santos",2,5,3,3,NA,1,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA
"491","Rodrygo Silva de Goes","rodrygo","Rodrygo","https://s.glbimg.com/es/sde/f/2018/05/23/a4027e39ad5dea6e62cfafe8425bd637_FORMATO.png",100651,35,"SAN","ata","Provável",0.5,11.26,-0.17,3.81,"Santos",30,16,12,60,62,15,3,1,2,6,1,NA,NA,NA,NA,NA,NA,NA
"492","Filipe Gonçalves dos Santos","filipe","Filipe","https://s.glbimg.com/es/sde/f/2018/03/19/27a5b03e54471091e2daf78e203363ef_FORMATO.png",100712,35,"COR","gol","Nulo",0,1,0,0,"Corinthians",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"493","Diogo Augusto Pereira Neto","diogo","Diogo","https://s.glbimg.com/es/sde/f/2018/01/21/14cbdb450d8081db2cd35451de9e77ef_FORMATO.png",100683,35,"FLU","lat","Nulo",0,1,0,0,"Fluminense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"494","Matheus Henrique de Souza","matheus-henrique","Matheus Henrique","https://s.glbimg.com/es/sde/f/2018/09/25/46030666e126811406fd6e8bdccc980e_FORMATO.png",100742,35,"GRE","mei","Nulo",0,1.76,0,2.57,"Grêmio",8,NA,3,6,14,11,NA,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
"495","Matheus Gabriel Guedes Caetano","matheus-guedes","Matheus Guedes","https://s.glbimg.com/es/sde/f/2017/11/21/beea04b2739626d19d9a6c24da40762e_FORMATO.png",100746,35,"SAN","zag","Nulo",0,2,0,0,"Santos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"496","Guilherme Alecsander Guedes","guilherme-guedes","Guilherme Guedes",NA,100741,35,"GRE","lat","Nulo",0,0.95,0,1,"Grêmio",1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"497","Guilherme Bissoli Campos ","bissoli","Bissoli","https://s.glbimg.com/es/sde/f/2018/08/21/22011257c0776df772761efd89a801d2_FORMATO.png",100762,35,"SAO","ata","Nulo",0,2,0,0,"São Paulo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"498","Igor Matheus Liziero Pereira ","liziero","Liziero","https://s.glbimg.com/es/sde/f/2018/08/22/5074326c849aa0f7702b74cfcf2be30f_FORMATO.png",100761,35,"SAO","lat","Nulo",0,6.2,0,3.68,"São Paulo",25,NA,6,25,27,33,1,4,NA,1,1,9,NA,NA,NA,NA,NA,NA
"499","Gabriel Davi Gomes Sara","gabriel","Gabriel","https://s.glbimg.com/es/sde/f/2018/08/21/de4ebb4930052513099aefe26a7f4caa_FORMATO.png",100763,35,"SAO","mei","Nulo",0,1,0,0,"São Paulo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
