"","atletas.nome","atletas.slug","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.clube.id.full.name","A","FC","FD","FF","FS","FT","G","PE","RB","DD","DP","GS","SG","CA","CV","I","GC","PP"
"407","Leandro Vilela Sales Teixeira","leandro-vilela","Leandro Vilela","https://s.glbimg.com/es/sde/f/2018/03/21/9a68c6d8db51f7e6b517b1b536fcfece_FORMATO.png",88687,27,"PAR","mei","Provável",0.4,4.36,-0.64,2.05,"Paraná",1,45,2,11,26,NA,NA,49,44,NA,NA,NA,NA,6,1,NA,NA,NA
"408","Gabriel Costa França","gabriel","Gabriel","https://s.glbimg.com/es/sde/f/2018/05/07/de5cc9b6be749402b257946886dea075_FORMATO.png",87393,27,"ATL","zag","Provável",0,6.06,0,2.25,"Atlético-MG",NA,15,2,2,18,1,NA,13,19,NA,NA,NA,2,1,NA,NA,1,NA
"409","Igor Rabello da Costa","igor-rabello","Igor Rabello","https://s.glbimg.com/es/sde/f/2018/05/17/abf9ba69358d2452db077b1bf905fa24_FORMATO.png",89493,27,"BOT","zag","Provável",3.1,10.78,0.42,3.23,"Botafogo",NA,20,2,10,23,1,2,51,36,NA,NA,NA,6,4,NA,5,1,NA
"410","Márcio Almeida de Oliveira","marcinho","Marcinho","https://s.glbimg.com/es/sde/f/2018/05/17/a5a817c4c548c86f0aeef4c62c0c06b4_FORMATO.png",93797,27,"BOT","lat","Provável",0,7.21,-0.31,3.5,"Botafogo",4,23,7,11,10,NA,1,68,32,NA,NA,NA,5,5,NA,2,NA,NA
"411","Leonardo Gomes da Conceição Silva","leonardo","Leonardo","https://s.glbimg.com/es/sde/f/2018/05/21/15d96549307788253f2aba10bff0c973_FORMATO.png",86973,27,"GRE","lat","Provável",7,4.96,0.1,6.53,"Grêmio",1,11,2,2,7,NA,NA,19,21,NA,NA,NA,6,2,NA,NA,NA,NA
"412","Vitor Frezarin Bueno","vitor-bueno","Vitor Bueno","https://s.glbimg.com/es/sde/f/2018/05/23/f9fa972a30d4ba7d25cf62103a74f72c_FORMATO.png",87552,27,"SAN","mei","Nulo",0,4.46,0,0.4,"Santos",NA,3,NA,2,2,NA,NA,7,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"413","Luan Polli Gomes","luan-polli","Luan Polli ","https://s.glbimg.com/es/sde/f/2018/08/10/1306038e63aa5d939fba83b224eb91e1_FORMATO.png",88916,27,"SPO","gol","Nulo",0,2,0,0,"Sport",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"414","Nickson Gabriel Reis Silva","nickson","Nickson","https://s.glbimg.com/es/sde/f/2018/03/21/adcd09b9b136e70edcb95ab81951f55b_FORMATO.png",89676,27,"VIT","mei","Contundido",0,1.57,0,0.97,"Vitória",NA,NA,NA,NA,1,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"415","César Marcelo Meli","marcelo-meli","Marcelo Meli","https://s.glbimg.com/es/sde/f/2018/07/07/79d706cf00a68b31bd17a8ddd07eeb1d_FORMATO.png",89838,27,"VIT","mei","Provável",3.4,4.17,0.76,-0.03,"Vitória",NA,14,2,2,9,NA,NA,11,5,NA,NA,NA,NA,3,NA,NA,NA,NA
"416","José Rodrigo Andrade Ramos","rodrigo-andrade","Rodrigo Andrade","https://s.glbimg.com/es/sde/f/2018/03/21/baa60af023a4a5978254d14457ae5de5_FORMATO.png",89646,27,"VIT","mei","Provável",0.6,0.87,0.09,0.23,"Vitória",NA,23,4,3,9,NA,NA,38,18,NA,NA,NA,NA,6,NA,NA,NA,NA
"417","Juliano Silva Almeida","juliano","Juliano","https://s.glbimg.com/es/sde/f/2018/09/21/5bd2b1fee0796f7b54fa8e4f82276631_FORMATO.png",87696,27,"SAN","mei","Nulo",0,2,0,0,"Santos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"418","Messias Rodrigues da Silva Júnior","messias","Messias","https://s.glbimg.com/es/sde/f/2018/05/07/983eb7f70f612711ba14e031cb3cfefe_FORMATO.png",87402,27,"AME","zag","Provável",7.5,9.42,1.19,2.81,"América-MG",NA,24,2,3,12,NA,1,43,28,NA,NA,NA,9,4,NA,NA,NA,NA
"419","Leandro Alves de Carvalho","leandrinho","Leandrinho","https://s.glbimg.com/es/sde/f/2018/05/17/c707585981fdbf1f96e400538881eded_FORMATO.png",89885,27,"BOT","mei","Nulo",0,3,0,0,"Botafogo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"420","Marlos Moreno Durán","marlos","Marlos","https://s.glbimg.com/es/sde/f/2018/05/04/71ca6ff6a0b867666327cb4eaa2cf01a_FORMATO.png",89827,27,"FLA","ata","Nulo",1.7,4.17,0.32,1.73,"Flamengo",1,11,6,7,19,NA,NA,9,12,NA,NA,NA,NA,2,NA,4,NA,NA
"421","Antônio Francisco Moura Neto","neto-moura","Neto Moura","https://s.glbimg.com/es/sde/f/2018/05/24/af017e13e350ed632a40f953f3dd8d53_FORMATO.png",87742,27,"SPO","mei","Nulo",0,4.88,0,2.51,"Sport",NA,12,7,5,13,NA,NA,14,22,NA,NA,NA,NA,2,NA,NA,NA,NA
"422","Santiago Tréllez Vivero","trellez","Tréllez","https://s.glbimg.com/es/sde/f/2018/08/22/915c56c34a9df8f498cac86eb7ef2f2e_FORMATO.png",87679,27,"SAO","ata","Nulo",0,5.3,0,1.94,"São Paulo",NA,17,2,2,7,1,4,8,NA,NA,NA,NA,NA,1,NA,1,NA,NA
"423","Andrigo Oliveira de Araujo","andrigo","Andrigo","https://s.glbimg.com/es/sde/f/2018/04/09/eb909473a1499ceb91cd8c466f192cfd_FORMATO.png",89930,27,"SPO","mei","Nulo",-0.5,4.38,-0.02,1.62,"Sport",NA,10,6,5,9,NA,NA,24,11,NA,NA,NA,NA,NA,NA,1,NA,NA
"424","Thaciano Mickael da Silva","thaciano","Thaciano","https://s.glbimg.com/es/sde/f/2018/05/21/8805a9e1e4f2ee609adb3d2576d5ff0a_FORMATO.png",87470,27,"GRE","mei","Nulo",3.4,3.16,0.62,1.98,"Grêmio",NA,15,7,2,6,NA,1,9,16,NA,NA,NA,NA,3,NA,2,NA,NA
"425","Bruno de Jesus Pacheco","bruno-pacheco","Bruno Pacheco","https://s.glbimg.com/es/sde/f/2018/05/24/bcba131b890d61329d3dd3d53d25182e_FORMATO.png",90061,27,"CHA","lat","Provável",-0.6,6.08,-0.22,2.93,"Chapecoense",NA,29,NA,4,38,NA,NA,43,36,NA,NA,NA,4,5,NA,NA,NA,NA
"426","Júnior Nazareno Sornoza Moreira","sornoza","Sornoza","https://s.glbimg.com/es/sde/f/2018/05/18/a4885adc809e017894786b603d5a5d6b_FORMATO.png",87877,27,"FLU","mei","Provável",2.3,7.77,-0.73,2.19,"Fluminense",1,15,13,19,14,1,1,58,24,NA,NA,NA,NA,6,NA,NA,NA,NA
"427","Yago Felipe da Costa Rocha","yago","Yago","https://s.glbimg.com/es/sde/f/2018/03/21/54d2ff44a32a66affd7636aa9f2ae99f_FORMATO.png",87747,27,"VIT","mei","Provável",0.7,8.54,-1.07,2.46,"Vitória",1,21,6,16,43,NA,1,38,20,NA,NA,NA,NA,4,1,1,NA,NA
"428","Douglas Moreira Fagundes","dodi","Dodi","https://s.glbimg.com/es/sde/f/2018/04/20/9dae8b824d6d7c1a316a903af9b3740e_FORMATO.png",89883,27,"FLU","mei","Nulo",1,3.06,-0.27,1.91,"Fluminense",NA,15,2,4,9,NA,NA,9,22,NA,NA,NA,NA,4,NA,NA,NA,NA
"429","Giorgian Daniel de Arrascaeta Benedetti","arrascaeta","Arrascaeta","https://s.glbimg.com/es/sde/f/2018/07/01/4bacaa8c6112be8345d4e81006963e37_FORMATO.png",87863,27,"CRU","mei","Nulo",-0.9,15.79,-0.58,6.88,"Cruzeiro",5,15,12,14,31,1,3,38,24,NA,NA,NA,NA,3,NA,2,NA,NA
"430","Geremias Ribeiro Júnior","junior","Júnior","https://s.glbimg.com/es/sde/f/2018/03/21/5ee8b76a0676e5e5eba8d8aefac91636_FORMATO.png",87946,27,"VIT","ata","Nulo",0,2.55,0,1.5,"Vitória",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"431","Rodolfo José da Silva Bardella","rodolfo","Rodolfo ","https://s.glbimg.com/es/sde/f/2018/07/07/97e8214fa02bce9d631f1fa7e0c70734_FORMATO.png",90264,27,"PAR","ata","Nulo",0,4.9,0,1.78,"Paraná",NA,11,4,7,14,NA,1,16,3,NA,NA,NA,NA,1,NA,3,NA,NA
"432","Yuri Antonio Costa da Silva","yuri","Yuri","https://s.glbimg.com/es/sde/f/2017/04/18/8bac23f3df250a620bd6c580564b33ee_FORMATO.png",88125,27,"BOT","lat","Nulo",0,1.71,0,4.9,"Botafogo",NA,NA,NA,NA,1,NA,NA,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"433","Gustavo Henrique Furtado Scarpa","gustavo-scarpa","Gustavo Scarpa","https://s.glbimg.com/es/sde/f/2018/01/30/1c8d05bc4c0ddfd177c66ab26b1a5deb_FORMATO.jpeg",87999,27,"PAL","mei","Nulo",0,9.08,0,2.23,"Palmeiras",NA,5,2,8,8,NA,NA,18,7,NA,NA,NA,NA,1,NA,NA,NA,NA
"434","Lincoln Henrique Oliveira dos Santos","lincoln","Lincoln","https://s.glbimg.com/es/sde/f/2018/09/11/1392e2ab47f6dfd6c05fb4ef7252b611_FORMATO.png",90303,27,"AME","mei","Nulo",0,3.56,0,1.23,"América-MG",NA,NA,NA,NA,5,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"435","Moisés Roberto Barbosa","moises","Moisés","https://s.glbimg.com/es/sde/f/2018/03/20/54a51f5d3bd850ab8a76126ee75399ed_FORMATO.png",90444,27,"BOT","lat","Provável",0.4,7.39,-0.2,3.54,"Botafogo",NA,38,5,4,24,NA,NA,40,44,NA,NA,NA,4,2,1,NA,NA,NA
"436","Bruno Henrique Pinto","bruno-henrique","Bruno Henrique","https://s.glbimg.com/es/sde/f/2018/07/16/81051a7f9755f0cb82bad01aee38823b_FORMATO.png",90285,27,"SAN","ata","Provável",-0.1,8.71,-0.13,1.45,"Santos",1,30,4,14,28,1,1,27,12,NA,NA,NA,NA,4,NA,4,1,NA
"437","Yuri Oliveira Lima","yuri","Yuri","https://s.glbimg.com/es/sde/f/2018/05/23/856314c68a6f7eba3ca8d400d6ad5828_FORMATO.png",90569,27,"SAN","mei","Nulo",0,2.9,0,-1.85,"Santos",NA,5,NA,1,NA,NA,NA,5,1,NA,NA,NA,NA,1,NA,NA,NA,NA
"438","Daniel Guedes da Silva","daniel-guedes","Daniel Guedes ","https://s.glbimg.com/es/sde/f/2018/05/23/aa6709d5100218ac013a36959e8e6ce4_FORMATO.png",88225,27,"SAN","lat","Nulo",0,6.68,0,3.1,"Santos",NA,7,NA,NA,3,NA,NA,13,8,NA,NA,NA,3,1,NA,1,NA,NA
"439","Ramon Menezes Roma","ramon","Ramon","https://s.glbimg.com/es/sde/f/2018/03/21/64085a03b9eafec964b531667b296fe5_FORMATO.png",88087,27,"VIT","zag","Provável",2.8,4.64,0.41,2.82,"Vitória",NA,30,3,3,19,NA,1,31,22,NA,NA,NA,7,4,NA,NA,NA,NA
"440","Paulo Ricardo Ferreira","paulo-ricardo","Paulo Ricardo","https://s.glbimg.com/es/sde/f/2018/08/07/40535dad7f23b1a420480a49910c5680_FORMATO.png",88224,27,"FLU","zag","Nulo",0,4,0,0,"Fluminense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"441","Alex Sandro dos Santos Apolinario","alex","Alex","https://s.glbimg.com/es/sde/f/2018/05/08/b753c70507d39b4bd30ac8bc987d2fd6_FORMATO.png",90535,27,"ATL","mei","Nulo",0,1,0,0,"Atlético-PR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"442","Willian Klaus","klaus","Klaus","https://s.glbimg.com/es/sde/f/2018/04/09/213245ee05c1b0ca97f32c728f20bd6b_FORMATO.png",90846,27,"INT","zag","Provável",0,2.47,0,1.05,"Internacional",NA,1,NA,2,NA,NA,NA,8,4,NA,NA,NA,NA,NA,NA,1,NA,NA
"443","Luiz Fernando Moraes dos Santos","luiz-fernando","Luiz Fernando ","https://s.glbimg.com/es/sde/f/2018/05/17/555bb7e98091372b0b633a3623d5b40d_FORMATO.png",90715,27,"BOT","mei","Provável",1,4.26,-0.28,1.99,"Botafogo",1,21,9,15,32,1,1,32,17,NA,NA,NA,NA,5,NA,9,NA,NA
"444","Lucas Halter","lucas-halter","Lucas Halter","https://s.glbimg.com/es/sde/f/2018/05/08/19a612b27e812d8d3695c4af8c78ea9a_FORMATO.png",102253,27,"ATL","zag","Nulo",0,1,0,0,"Atlético-PR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"445","Elias Martello Curzel","elias","Elias","https://s.glbimg.com/es/sde/f/2018/05/18/914d44f55072f4eb554217f96488b7ae_FORMATO.png",90843,27,"VIT","gol","Nulo",0,3.21,0,0.98,"Vitória",NA,NA,NA,NA,3,NA,NA,2,NA,8,1,17,2,NA,NA,NA,NA,NA
"446","Fabrício Bruno Soares de Faria","fabricio-bruno","Fabrício Bruno","https://s.glbimg.com/es/sde/f/2018/05/24/b41364754f72c0d7c128f0767c8e8ca0_FORMATO.png",90768,27,"CHA","zag","Nulo",0,6,0,0,"Chapecoense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"447","Matheus Gonçalves Savio","matheus-savio","Matheus Savio","https://s.glbimg.com/es/sde/f/2018/07/28/3a3a8b95d0a4f15553e2ab71957c0c0c_FORMATO.png",91264,27,"FLA","mei","Nulo",0,4.27,0,2.26,"Flamengo",NA,4,2,3,1,NA,1,10,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"448","Bruno de Andrade Ritter","bruno-ritter","Bruno Ritter","https://s.glbimg.com/es/sde/f/2018/09/28/eca1fb25aae545d6aac0f53e03b5b0d8_FORMATO.jpeg",103490,27,"VAS","mei","Nulo",0,2,0,0,"Vasco",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"449","Raphael Schorr Utzig","raphael-alemao","Raphael Alemão","https://s.glbimg.com/es/sde/f/2018/04/24/e72a3c4a24b0c21be12ae1fc78ee1755_FORMATO.jpeg",91206,27,"PAR","ata","Nulo",0,3.18,0,1.48,"Paraná",NA,6,5,2,6,NA,NA,4,3,NA,NA,NA,NA,1,NA,NA,NA,NA
"450","Antônio Josenildo Rodrigues de Oliveira","tonhao","Tonhão","https://s.glbimg.com/es/sde/f/2018/08/09/e6b3f5b4c7922f94ca18791b3af1f390_FORMATO.png",91251,27,"GRE","zag","Nulo",0,2,0,0,"Grêmio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"451","Gabriel José Ferreira Mesquita","gabriel","Gabriel","https://s.glbimg.com/es/sde/f/2018/05/08/23ead8e9977bf4883159480316b71e35_FORMATO.png",102290,27,"ATL","gol","Nulo",0,1,0,0,"Atlético-PR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"452","Lucas Estella Perri","lucas-perri","Lucas Perri","https://s.glbimg.com/es/sde/f/2018/05/26/5818d20df4c7c3248d9dc04c6864aa03_FORMATO.png",91260,27,"SAO","gol","Nulo",0,1,0,0,"São Paulo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"453","Lucas Fernandes","lucas-fernandes","Lucas Fernandes","https://s.glbimg.com/es/sde/f/2018/05/01/99bb69dc32439752f0b3e496e9a523cc_FORMATO.png",90899,27,"VIT","ata","Provável",-2,5.23,-2.75,2.83,"Vitória",NA,14,5,6,43,3,2,31,13,NA,NA,NA,NA,2,NA,NA,NA,NA
"454","Rafael Elias da Silva","papagaio","Papagaio","https://s.glbimg.com/es/sde/f/2018/03/08/82641224cdb23ce7f862168d4a3374ad_FORMATO.png",102302,27,"PAL","ata","Nulo",0,1.23,0,-0.4,"Palmeiras",NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"455","Luan Silva dos Santos","luan","Luan","https://s.glbimg.com/es/sde/f/2018/04/13/062b30b6bd6dbb2d2494ef74b7fb3956_FORMATO.png",102295,27,"VIT","mei","Contundido",0,1.5,0,1.57,"Vitória",NA,4,NA,3,8,NA,NA,2,3,NA,NA,NA,NA,1,NA,NA,NA,NA
"456","Bruno da Silva Costa Leite","bruno-leite","Bruno Leite","https://s.glbimg.com/es/sde/f/2018/03/05/37cc69ce211fa6a6c3fb2fa03e905809_FORMATO.png",102301,27,"ATL","mei","Nulo",0,1,0,0,"Atlético-PR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"457","Ronaldo dos Santos Ramos Filho","ronaldo","Ronaldo","https://s.glbimg.com/es/sde/f/2018/05/07/85248a66a7554e40dbdd397512117052_FORMATO.png",102336,27,"AME","lat","Nulo",0,1,0,0,"América-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"458","Marcelo de Souza dos Santos Júnior","marcelo","Marcelo","https://s.glbimg.com/es/sde/f/2018/08/15/93e4df8ab578a97af7862e555af261e7_FORMATO.png",102342,27,"CRU","ata","Nulo",0,0.75,0,-0.07,"Cruzeiro",NA,4,NA,NA,NA,NA,NA,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"459","Carlos de Menezes Júnior","caca","Cacá","https://s.glbimg.com/es/sde/f/2018/05/18/9e847531623845ec5f88f060b157da00_FORMATO.png",102340,27,"CRU","zag","Nulo",0,1,0,0,"Cruzeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"460","Luis David da Conceição Martins","luis-david","Luis David",NA,102413,27,"CEA","ata","Nulo",0,1,0,0,"Ceará",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"461","Leonardo Xavier da Silva","leo-xavier","Léo Xavier","https://s.glbimg.com/es/sde/f/2018/04/13/0e1b28895cd742c8eeb558bbec613ed4_FORMATO.png",102553,27,"VIT","zag","Nulo",0,1,0,0,"Vitória",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"462","Kevin Kesley De Souza","kevin","Kevin","https://s.glbimg.com/es/sde/f/2018/06/05/0dfbab426db713cedfdf9597abbc9791_FORMATO.png",102594,27,"ATL","lat","Nulo",0,1,0,0,"Atlético-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"463","Mikael Filipe Viana","mikael","Mikael","https://s.glbimg.com/es/sde/f/2018/05/24/681f1987afa6a94cda5e9a9f643a0bc5_FORMATO.png",102299,27,"SPO","ata","Nulo",0,1,0,0,"Sport",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"464","Ángelo Giovanni Araos Llanos","araos","Araos","https://s.glbimg.com/es/sde/f/2018/08/08/02153cbcf3561df02154d9b68823fbbd_FORMATO.png",102352,27,"COR","mei","Nulo",7.4,6.3,1.71,1.34,"Corinthians",NA,14,2,2,6,NA,NA,18,13,NA,NA,NA,NA,1,NA,NA,NA,NA
"465","Hélio Hermito Zampier Neto","neto","Neto","https://s.glbimg.com/es/sde/f/2018/08/01/51a34fdddb000e59403320c7aa8b8db4_FORMATO.png",69008,27,"CHA","zag","Contundido",0,2,0,0,"Chapecoense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"466","Leandro Damião da Silva dos Santos","leandro-damiao","Leandro Damião","https://s.glbimg.com/es/sde/f/2018/04/08/c1c8646acc0c6d9b787e0bcd4ce2303c_FORMATO.png",68953,27,"INT","ata","Contundido",6.1,8.19,-0.67,3.2,"Internacional",1,24,13,17,17,NA,5,30,6,NA,NA,NA,NA,3,NA,6,NA,1
"467","Lucas Ribeiro De Oliveira","macula","Macula","https://s.glbimg.com/es/sde/f/2018/09/18/0816f9f507e897d0d000aab179631ecb_FORMATO.png",102384,27,"FLU","ata","Nulo",0,1,0,0,"Fluminense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"468","Jonathan Silva Vieira","jonathan","Jonathan",NA,102597,27,"BOT","lat","Nulo",0,2,0,0,"Botafogo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"469","Manoel Messias Silva Carvalho","manoel","Manoel","https://s.glbimg.com/es/sde/f/2018/05/07/6cf5cf190985e20f0a42a7408e164e10_FORMATO.png",69014,27,"CRU","zag","Nulo",-2.4,4.09,-0.72,2.69,"Cruzeiro",NA,10,NA,1,8,NA,1,12,5,NA,NA,NA,3,1,NA,1,NA,NA
"470","Marcelo Cirino da Silva","marcelo-cirino","Marcelo Cirino","https://s.glbimg.com/es/sde/f/2018/07/04/f7efbd8bc7d99caaa2afc7125162b6c9_FORMATO.png",69022,27,"ATL","ata","Provável",-1.2,5.52,-1.32,3.6,"Atlético-PR",NA,7,1,3,6,NA,2,15,6,NA,NA,NA,NA,1,NA,NA,NA,NA
"471","Fernando Augusto de Castro Ribeiro","fernando-castro","Fernando Castro","https://s.glbimg.com/es/sde/f/2018/05/08/0f86aca3ef3d3207a6f1fa03c4f08be7_FORMATO.png",102609,27,"BAH","gol","Nulo",0,0.77,0,-1.3,"Bahia",NA,NA,NA,NA,NA,NA,NA,2,NA,2,NA,4,NA,NA,NA,NA,NA,NA
"472","Deivid Willian da Silva","deivid","Deivid","https://s.glbimg.com/es/sde/f/2018/05/18/9314a887ee8d5d3501ea45d244b7f947_FORMATO.png",69018,27,"SPO","mei","Nulo",0,2.59,0,1.05,"Sport",NA,25,1,2,25,NA,NA,23,22,NA,NA,NA,NA,6,NA,NA,NA,NA
"473","Vladimir Orlando Cardoso de Araújo Filho","vladimir","Vladimir","https://s.glbimg.com/es/sde/f/2018/05/23/afd45cb890c4f9430cd273e7bdb9cb72_FORMATO.png",69040,27,"SAN","gol","Nulo",0,6,0,0,"Santos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"474","Thiago Beserra dos Santos","thiaguinho","Thiaguinho","https://s.glbimg.com/es/sde/f/2018/05/01/626ee3be32932606c827bac556a75b1e_FORMATO.png",102599,27,"COR","mei","Nulo",-0.3,2.22,-0.43,0.7,"Corinthians",NA,2,NA,NA,3,NA,NA,7,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"475","Aderbar Melo dos Santos Neto","santos","Santos","https://s.glbimg.com/es/sde/f/2018/05/08/cb128a5e04beb3653bf1847b06c72545_FORMATO.png",69012,27,"ATL","gol","Provável",4.5,10.47,-0.68,4.63,"Atlético-PR",NA,1,NA,NA,4,NA,NA,17,NA,39,NA,24,9,2,NA,NA,NA,NA
"476","Hélio Júnio Nunes de Castro","helinho","Helinho","https://s.glbimg.com/es/sde/f/2018/04/16/7c36ba35a3b7af0fc699eb1c1988c5d0_FORMATO.png",102598,27,"SAO","ata","Nulo",0,2,0,0,"São Paulo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"477","Paulo Roberto da Silva","paulo-roberto","Paulo Roberto","https://s.glbimg.com/es/sde/f/2018/03/20/24dcab97bac1e830cd13938c4beb81ea_FORMATO.png",69047,27,"COR","mei","Nulo",0,3.06,0,2.17,"Corinthians",NA,5,1,1,2,NA,NA,10,13,NA,NA,NA,NA,2,NA,NA,NA,NA
"478","Ricardo Bueno da Silva","ricardo-bueno","Ricardo Bueno","https://s.glbimg.com/es/sde/f/2018/08/27/324fdaf114a76011c149428db4428725_FORMATO.png",69141,27,"CEA","ata","Nulo",0,3.9,-1.1,0,"Ceará",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"479","Maycon Vinícius Ferreira da Cruz","nikao","Nikão","https://s.glbimg.com/es/sde/f/2018/05/08/2b72d6975f3708b1c3eaa34ea5acf723_FORMATO.png",69705,27,"ATL","mei","Dúvida",6.5,11.75,0.89,2.95,"Atlético-PR",3,24,19,18,34,3,1,57,18,NA,NA,NA,NA,4,1,6,NA,NA
"480","Pablo Felipe Teixeira","pablo","Pablo","https://s.glbimg.com/es/sde/f/2018/05/08/cf32acce95d925ec92b7e084202c7e06_FORMATO.png",69138,27,"ATL","ata","Provável",0,12.09,0,5.34,"Atlético-PR",2,51,13,20,19,1,9,23,31,NA,NA,NA,NA,4,NA,19,NA,NA
"481","Diego Washington Ferreira Lopes","diego","Diego",NA,102655,27,"VIT","gol","Nulo",0,1,0,0,"Vitória",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"482","Matheus Celestino Moresche Rodrigues","moresche","Moresche","https://s.glbimg.com/es/sde/f/2018/05/29/1062a53533bc3381effc250b52595038_FORMATO.png",102719,27,"VAS","mei","Nulo",0,0.74,0,-2.9,"Vasco",NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"483","Yago Rafael Valadares Darub","yago-darub","Yago Darub",NA,102686,27,"FLA","gol","Nulo",0,1,0,0,"Flamengo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"484","Carlos Gabriel Moreira de Oliviera","hulk","Hulk","https://s.glbimg.com/es/sde/f/2018/05/17/2551e15c845e9706b626ca2ab7a4f23f_FORMATO.png",102700,27,"ATL","lat","Nulo",0,3.6,0,2.73,"Atlético-MG",NA,3,NA,NA,1,NA,NA,6,4,NA,NA,NA,1,NA,NA,NA,NA,NA
"485","Leonardo Moreira Morais","leo","Léo","https://s.glbimg.com/es/sde/f/2018/03/20/32e84c4039d121a904d169b4a6a4ad1d_FORMATO.png",69177,27,"FLU","lat","Provável",6.7,4.82,0.82,3.24,"Fluminense",1,20,2,3,19,1,NA,29,22,NA,NA,NA,2,5,NA,2,NA,NA
"486","Leandro Henrique do Nascimento","leandrinho","Leandrinho","https://s.glbimg.com/es/sde/f/2018/07/16/427506f9f329b3a83b0695351930c35f_FORMATO.png",91702,27,"ATL","ata","Nulo",0,2.62,0,1.5,"Atlético-MG",NA,NA,NA,1,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"487","Danilo Fernandes Batista","danilo-fernandes","Danilo Fernandes","https://s.glbimg.com/es/sde/f/2018/04/08/c714e94cf7e83d9faed670b675e6ec25_FORMATO.png",69051,27,"INT","gol","Contundido",0,10,0,4.01,"Internacional",NA,NA,NA,NA,2,NA,NA,3,NA,14,NA,10,6,NA,NA,NA,NA,NA
