"","atletas.nome","atletas.slug","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.clube.id.full.name","CA","FC","FS","GC","I","PE","RB","SG","FF","FD","G","DD","GS","A","FT","CV","DP","PP"
"401","Sergio Antonio Soler de Oliveira Junior","serginho","Serginho","https://s.glbimg.com/es/sde/f/2018/05/07/91dac514dd0507957d36fa511bb7b5e7_FORMATO.png",88002,10,"AME","mei","Provável",1.9,17.74,-2.69,6.51,"América-MG",1,14,13,NA,1,25,10,NA,8,6,4,NA,NA,3,NA,NA,NA,NA
"402","Yuri Antonio Costa da Silva","yuri","Yuri","https://s.glbimg.com/es/sde/f/2017/04/18/8bac23f3df250a620bd6c580564b33ee_FORMATO.png",88125,10,"BOT","lat","Contundido",0,1,0,0,"Botafogo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"403","Felipe Rodrigues dos Santos","felipe-rodrigues","Felipe Rodrigues","https://s.glbimg.com/es/sde/f/2018/05/24/4fb8754c83afb27e6f74d9b141f3e877_FORMATO.png",87923,10,"SPO","lat","Nulo",0,2,0,0,"Sport",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"404","Geremias Ribeiro Júnior","junior","Júnior","https://s.glbimg.com/es/sde/f/2018/03/21/5ee8b76a0676e5e5eba8d8aefac91636_FORMATO.png",87946,10,"VIT","ata","Nulo",0,2.55,0,1.5,"Vitória",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"405","Eduardo Gabriel Aquino Cossa","pepe","Pepê","https://s.glbimg.com/es/sde/f/2017/06/07/bd6f96fc4d6fbe29bd108c344db1e415_FORMATO.jpeg",91201,10,"GRE","ata","Nulo",0.8,2.22,0.05,0.88,"Grêmio",1,4,4,NA,NA,4,4,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"406","Aderlan de Lima Silva","aderlan","Aderlan","https://s.glbimg.com/es/sde/f/2018/05/07/7d71b5fcfdd78c1cdddf4a15eff9200b_FORMATO.png",88423,10,"AME","lat","Provável",0,3.97,0,3.96,"América-MG",2,9,2,NA,NA,10,13,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA
"407","Éder Ferreira Graminho","eder","Éder ","https://s.glbimg.com/es/sde/f/2018/04/25/9c24eef6db7bc6f134fefb1a2342e6f6_FORMATO.png",91203,10,"ATL","zag","Nulo",0,3,0,0,"Atlético-PR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"408","Raphael Schorr Utzig","raphael-alemao","Raphael Alemão","https://s.glbimg.com/es/sde/f/2018/04/24/e72a3c4a24b0c21be12ae1fc78ee1755_FORMATO.jpeg",91206,10,"PAR","ata","Nulo",0,4.45,0,4.85,"Paraná",NA,1,2,NA,NA,3,3,NA,1,4,NA,NA,NA,NA,NA,NA,NA,NA
"409","Ayrton Lucas Dantas de Medeiros","ayrton-lucas","Ayrton Lucas","https://s.glbimg.com/es/sde/f/2018/01/24/d014e65ab8d78668e270fb0df555b349_FORMATO.png",88393,10,"FLU","lat","Contundido",0,10.43,0,5.7,"Fluminense",NA,5,15,NA,NA,5,9,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"410","Jesiel Cardoso Miranda","jesiel","Jesiel","https://s.glbimg.com/es/sde/f/2018/04/24/8cdc1a9445b0b0ebf72f53be7212ceb2_FORMATO.png",91156,10,"PAR","zag","Provável",4.7,4.24,0.49,2.11,"Paraná",2,6,2,NA,NA,9,11,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA
"411","Fabián Cornelio Balbuena González","balbuena","Balbuena","https://s.glbimg.com/es/sde/f/2018/03/19/8391694cbff5bcefdd87bc85cc615423_FORMATO.png",87887,10,"COR","zag","Nulo",1.5,16.36,0.01,6.11,"Corinthians",1,5,6,NA,NA,20,26,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"412","Lucas Perdomo Duarte Santos","lucas","Lucas","https://s.glbimg.com/es/sde/f/2018/03/28/e8c799411d6ba80da004148110333f35_FORMATO.png",88412,10,"VAS","mei","Nulo",0,3,0,0,"Vasco",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"413","Lucas Estella Perri","lucas-perri","Lucas Perri","https://s.glbimg.com/es/sde/f/2018/05/26/5818d20df4c7c3248d9dc04c6864aa03_FORMATO.png",91260,10,"SAO","gol","Nulo",0,1,0,0,"São Paulo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"414","Bruno Bispo dos Anjos","bruno-bispo","Bruno Bispo","https://s.glbimg.com/es/sde/f/2018/03/21/99884c41754fc82c033d202d4decfad3_FORMATO.png",91359,10,"VIT","zag","Nulo",0,5,0,0,"Vitória",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"415","Leandro Carvalho da Silva","leandro-carvalho","Leandro Carvalho","https://s.glbimg.com/es/sde/f/2018/05/17/9a0c78c491e9df3238a184a85312e3a4_FORMATO.png",88669,10,"BOT","ata","Nulo",0,5.86,0,5.5,"Botafogo",NA,NA,4,NA,NA,1,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"416","Bruno Jacinto da Silva","bruno-paulista","Bruno Paulista","https://s.glbimg.com/es/sde/f/2018/04/09/bf8fd16b5067244310ac33ce26ccdd03_FORMATO.png",88933,10,"VAS","mei","Nulo",0,4,0,0,"Vasco",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"417","Leandro Vilela Sales Teixeira","leandro-vilela","Leandro Vilela","https://s.glbimg.com/es/sde/f/2018/03/21/9a68c6d8db51f7e6b517b1b536fcfece_FORMATO.png",88687,10,"PAR","mei","Suspenso",2.8,4.22,0.33,1.94,"Paraná",3,13,9,NA,NA,16,16,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"418","Luiz Antonio de Souza Soares","luiz-antonio","Luiz Antonio ","https://s.glbimg.com/es/sde/f/2018/05/24/edf4dd094110043e058966b3cc9cc4c5_FORMATO.png",74060,10,"CHA","mei","Nulo",0,6.4,0,3.5,"Chapecoense",NA,1,1,NA,NA,1,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"419","Robert Abel Arboleda Escobar","arboleda","Arboleda","https://s.glbimg.com/es/sde/f/2018/05/26/623b0cc8357c9b8e5f3551ba40c06640_FORMATO.png",91573,10,"SAO","zag","Dúvida",0,9.63,0,3.67,"São Paulo",2,7,4,NA,1,7,13,1,4,2,NA,NA,NA,NA,NA,NA,NA,NA
"420","Colin Kazim-Richards","kazim","Kazim","https://s.glbimg.com/es/sde/f/2018/03/20/2b1aef192298682a8f7aafb1efaf4147_FORMATO.png",91519,10,"COR","ata","Nulo",0,3.14,0,0.7,"Corinthians",NA,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"421","Leonardo Felipe Valencia Rossel","leonardo-valencia","Leonardo Valencia","https://s.glbimg.com/es/sde/f/2018/05/17/fdfb5b9c1f58d363c8597c844f7302ba_FORMATO.png",91508,10,"BOT","mei","Provável",6.7,9.15,0.14,5.24,"Botafogo",NA,4,12,NA,NA,22,9,NA,8,3,1,NA,NA,2,1,NA,NA,NA
"422","Igor Aquino da Silva","igor","Igor","https://s.glbimg.com/es/sde/f/2018/03/21/95c075f33312c6b483847dc688deac80_FORMATO.png",91639,10,"PAR","lat","Provável",7.7,3.56,1.54,4.03,"Paraná",NA,3,1,NA,1,4,6,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"423","Gustavo Bonatto Barreto","barreto","Barreto","https://s.glbimg.com/es/sde/f/2018/01/23/a61c55a3c618825f6d837c79ffc0876c_FORMATO.jpeg",89224,10,"CHA","mei","Nulo",0,0.9,0,-3,"Chapecoense",1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"424","Gabriel Dias de Oliveira","gabriel-dias","Gabriel Dias","https://s.glbimg.com/es/sde/f/2018/04/09/d543e86d4cdf1a286b62859a71407114_FORMATO.png",88368,10,"INT","mei","Nulo",0,4.24,0,1.97,"Internacional",NA,5,6,NA,NA,3,5,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"425","Iago Justen Maidana Martins","iago-maidana","Iago Maidana","https://s.glbimg.com/es/sde/f/2018/05/07/211b2cfc9413080da0e36bac586628df_FORMATO.png",89226,10,"ATL","zag","Nulo",0,4,0,0,"Atlético-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"426","Rafael dos Santos da Silva","rafinha","Rafinha","https://s.glbimg.com/es/sde/f/2018/03/15/c4478d4a2dd3cddeff0ae2f6e49a1d61_FORMATO.png",91644,10,"CEA","mei","Nulo",0,3,0,0,"Ceará",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"427","Wesley Lopes Beltrame","wesley","Wesley","https://s.glbimg.com/es/sde/f/2018/05/07/afc0980fa52b7d52eb47247ece1a7ce6_FORMATO.png",50421,10,"AME","mei","Nulo",0,0.74,0,-1.8,"América-MG",1,5,3,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA
"428","Jean Carlos de Souza Irmer","jean","Jean","https://s.glbimg.com/es/sde/f/2018/04/14/41df144dd9a7bef47baff80aaa56b97c_FORMATO.png",89150,10,"BOT","mei","Provável",5.3,3.34,0.46,3.23,"Botafogo",1,5,7,NA,NA,6,5,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"429","José Élber Pimentel da Silva","elber","Élber","https://s.glbimg.com/es/sde/f/2018/03/21/1b00098477bad4e60d3bc520dc464ab7_FORMATO.png",74140,10,"BAH","mei","Provável",4.8,5.98,0.71,3.66,"Bahia",3,4,13,NA,NA,21,8,NA,NA,7,1,NA,NA,1,NA,NA,NA,NA
"430","Leonardo Rech Ortiz","leo-ortiz","Léo Ortiz","https://s.glbimg.com/es/sde/f/2018/03/23/0487d5333c622c87e5ad477567b7ee36_FORMATO.png",97867,10,"SPO","zag","Nulo",0,3.1,0,-1.5,"Sport",1,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"431","Henrique Adriano Buss","henrique","Henrique","https://s.glbimg.com/es/sde/f/2018/03/20/8fc5425796ec6ab741dfe1de895adb4b_FORMATO.png",50856,10,"COR","zag","Provável",0.7,9.08,-0.19,3.36,"Corinthians",NA,3,9,NA,NA,7,6,3,1,NA,1,NA,NA,NA,NA,NA,NA,NA
"432","Leonardo Peixoto Principe","leo-principe","Léo Principe","https://s.glbimg.com/es/sde/f/2018/03/20/7c27af8531a12b276733e980e1d3471f_FORMATO.png",94765,10,"COR","lat","Nulo",0,4,0,0,"Corinthians",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"433","Iago Amaral Borduchi","iago","Iago","https://s.glbimg.com/es/sde/f/2018/04/09/733606405d1966bcc1ea11b6d2790ec5_FORMATO.png",97868,10,"INT","lat","Provável",0,11.58,0,4.74,"Internacional",3,13,2,NA,1,28,19,5,3,2,NA,NA,NA,NA,NA,NA,NA,NA
"434","Edigar Junio Teixeira Lima ","edigar-junio","Edigar Junio","https://s.glbimg.com/es/sde/f/2018/03/21/9c46c9f1269d97acf20157efb70009cc_FORMATO.png",74271,10,"BAH","ata","Nulo",0,9.88,0,5.06,"Bahia",NA,7,7,NA,1,7,3,NA,1,3,2,NA,NA,NA,1,NA,NA,NA
"435","Ânderson Balbino Assis","balbino","Balbino","https://s.glbimg.com/es/sde/f/2016/04/30/aa305ef16d18275ce438c74c73d54e15_FORMATO.png",89227,10,"GRE","mei","Nulo",0,2,0,0,"Grêmio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"436","Matheus Aleksander dos Anjos","matheus-anjos","Matheus Anjos","https://s.glbimg.com/es/sde/f/2018/05/08/b8db1d628d3dde6c46d39a80dc7dc6be_FORMATO.png",97879,10,"ATL","mei","Nulo",0,2,0,0,"Atlético-PR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"437","Wanderson de Jesus Martins","caju","Caju","https://s.glbimg.com/es/sde/f/2018/05/23/d542d3f59d1525cd33fbcc9032b3f111_FORMATO.png",89342,10,"SAN","lat","Nulo",0,5,0,0,"Santos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"438","Danilo Aparecido da Silva","danilo-silva","Danilo Silva","https://s.glbimg.com/es/sde/f/2018/04/08/3e07ec8d4abb5fd768ddf7a9ef5adc41_FORMATO.png",50898,10,"INT","zag","Nulo",0,5,0,0,"Internacional",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"439","Ramon Menezes Roma","ramon","Ramon","https://s.glbimg.com/es/sde/f/2018/03/21/64085a03b9eafec964b531667b296fe5_FORMATO.png",88087,10,"VIT","zag","Provável",2.9,3.51,-0.65,2.07,"Vitória",2,12,4,NA,NA,6,7,1,2,1,1,NA,NA,NA,NA,NA,NA,NA
"440","Carlos Eugenio Júnior Tavares dos Santos","junior-tavares","Júnior Tavares","https://s.glbimg.com/es/sde/f/2018/05/26/053e7ea44ab11311b1126d57dd66c71d_FORMATO.png",89343,10,"SAO","lat","Nulo",0,7.58,0,5,"São Paulo",1,1,2,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"441","Pedro Ken Morimoto Moreira","pedro-ken","Pedro Ken","https://s.glbimg.com/es/sde/f/2018/05/25/feb7d051385e8a92e233d695206c74a6_FORMATO.png",50877,10,"CEA","mei","Suspenso",0,5,0,0,"Ceará",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"442","Rafael Pereira dos Santos","rafael-pereira","Rafael Pereira","https://s.glbimg.com/es/sde/f/2018/05/25/2546da38d53bd7b523df5946d73067e7_FORMATO.png",51194,10,"CEA","zag","Provável",2.9,4.89,-0.18,3.45,"Ceará",NA,2,5,NA,1,4,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"443","José Paolo Guerrero Gonzales","paolo-guerrero","Paolo Guerrero","https://s.glbimg.com/es/sde/f/2018/05/04/852acf0c7f6c125a0e08c2d187f7d3de_FORMATO.png",75295,10,"FLA","ata","Suspenso",0,13.78,0,8.05,"Flamengo",NA,2,4,NA,1,2,NA,NA,4,NA,1,NA,NA,1,NA,NA,NA,NA
"444","Luiz Diallison de Souza Alves","apodi","Apodi","https://s.glbimg.com/es/sde/f/2018/05/24/06dac14706ad2a9b76bba66ae1037d47_FORMATO.png",51042,10,"CHA","lat","Provável",2.2,6.82,-0.33,3.08,"Chapecoense",NA,19,10,NA,3,23,16,2,6,NA,NA,NA,NA,1,NA,NA,NA,NA
"445","Leandro Donizete Gonçalves da Silva","leandro-donizete","Leandro Donizete","https://s.glbimg.com/es/sde/f/2018/04/17/72dc1ab07472323776f6c1208bc24568_FORMATO.png",51318,10,"AME","mei","Provável",3.4,2.21,0.72,0.37,"América-MG",1,10,6,NA,NA,16,8,NA,2,2,NA,NA,NA,NA,NA,1,NA,NA
"446","Erick Martins Ferreira Carvalho","erick","Erick","https://s.glbimg.com/es/sde/f/2018/05/07/88672601deeb050de20d1c18b8a04c9e_FORMATO.png",97930,10,"AME","gol","Nulo",0,1,0,0,"América-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"447","Vitor Eduardo da Silva Matos","vitao","Vitão","https://s.glbimg.com/es/sde/f/2017/12/02/4d449cbc6b7323b7652ea2ab5c68e8aa_FORMATO.png",97900,10,"PAL","zag","Nulo",0,2,0,0,"Palmeiras",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"448","Saulo Ferreira Silva Nascimento","saulo","Saulo","https://s.glbimg.com/es/sde/f/2018/05/17/2e661ef69600f0353d4bc7ce467624df_FORMATO.png",89492,10,"BOT","gol","Nulo",0,1,0,0,"Botafogo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"449","Yago Fernando da Silva","yago","Yago","https://s.glbimg.com/es/sde/f/2018/03/20/13d6ab565918a4bad475a1569e05162d_FORMATO.png",77500,10,"BOT","zag","Contundido",4.5,4.96,0.06,4.75,"Botafogo",NA,1,1,NA,NA,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"450","Osmar Loss","osmar-loss","Osmar Loss","https://s.glbimg.com/es/sde/f/2018/05/23/01c6dae8fee10d4a5a525a2c245e55a7_FORMATO.png",77552,10,"COR","tec","Provável",3.18,10.99,0.09,3.56,"Corinthians",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"451","Rafael Santos de Sousa","rafael","Rafael","https://s.glbimg.com/es/sde/f/2017/04/24/db3ab616836bf6fcfa76a2dd7846986b_FORMATO.png",97902,10,"FLA","zag","Nulo",0,1,0,0,"Flamengo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"452","Walter Leandro Capeloza Artune","walter","Walter","https://s.glbimg.com/es/sde/f/2018/05/18/11b52002e2c6682af718f09f4c143886_FORMATO.png",51413,10,"COR","gol","Provável",1,6.68,-0.09,4.4,"Corinthians",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,9,5,NA,NA,NA,NA,NA
"453","Alejandro Abraham Guerra Morales","guerra","Guerra","https://s.glbimg.com/es/sde/f/2017/02/19/fa873321a36da270244cf230ac534a50_FORMATO.png",74213,10,"PAL","mei","Contundido",0,7.89,0,2.23,"Palmeiras",NA,5,1,NA,NA,7,2,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA
"454","Thiago Carleto Alves","thiago-carleto","Thiago Carleto","https://s.glbimg.com/es/sde/f/2018/03/01/c5b5d602b0e56ba728e728a7256ce180_FORMATO.png",51700,10,"ATL","lat","Provável",1.2,17.84,-1.5,8.33,"Atlético-PR",2,6,13,NA,1,31,13,4,7,12,2,NA,NA,3,1,NA,NA,NA
"455","João Victor da Vitória Fernandes","capixaba","Capixaba","https://s.glbimg.com/es/sde/f/2018/05/07/3e2588aa16d11bb43fbb65829d019a90_FORMATO.png",94894,10,"AME","ata","Nulo",0,1.86,0,-0.8,"América-MG",NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"456","William de Oliveira Pottker","william-pottker","William Pottker","https://s.glbimg.com/es/sde/f/2018/04/08/06ddb3ee2ae6d52b98811b532e854970_FORMATO.png",77809,10,"INT","ata","Provável",0,2.84,0,1,"Internacional",1,7,15,NA,5,17,6,NA,6,4,NA,NA,NA,NA,NA,1,NA,NA
"457","José Rodrigo Andrade Ramos","rodrigo-andrade","Rodrigo Andrade","https://s.glbimg.com/es/sde/f/2018/03/21/baa60af023a4a5978254d14457ae5de5_FORMATO.png",89646,10,"VIT","mei","Dúvida",0,0.75,0,-0.34,"Vitória",3,9,4,NA,NA,9,5,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA
"458","Nickson Gabriel Reis Silva","nickson","Nickson","https://s.glbimg.com/es/sde/f/2018/03/21/adcd09b9b136e70edcb95ab81951f55b_FORMATO.png",89676,10,"VIT","mei","Nulo",3.2,2.08,0.6,1.6,"Vitória",NA,NA,1,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"459","Igor Rabello da Costa","igor-rabello","Igor Rabello","https://s.glbimg.com/es/sde/f/2018/05/17/abf9ba69358d2452db077b1bf905fa24_FORMATO.png",89493,10,"BOT","zag","Provável",7.4,10.87,0.22,2.98,"Botafogo",1,7,8,1,2,20,13,1,2,1,2,NA,NA,NA,NA,NA,NA,NA
"460","Tiago dos Santos Alves","tiago-alves","Tiago Alves","https://s.glbimg.com/es/sde/f/2018/04/12/4ac64e59708b5d650a2eaa4d53c9c1db_FORMATO.png",51495,10,"CEA","zag","Provável",4.4,4.66,0.64,3.25,"Ceará",NA,2,2,NA,NA,5,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"461","Jonathan Copete Valencia","copete","Copete","https://s.glbimg.com/es/sde/f/2018/05/23/c1e09ae588439e79293d33881309f392_FORMATO.png",77959,10,"SAN","ata","Nulo",0,5.46,-0.31,0.4,"Santos",NA,2,1,NA,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"462","Felipe Guilherme Moreira Bernardo","felipinho","Felipinho","https://s.glbimg.com/es/sde/f/2018/06/05/c3642a3c616e9a283af3bfee7f2dee6b_FORMATO.png",97931,10,"AME","lat","Nulo",0,1,0,0,"América-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"463","Éverton Augusto de Barros Ribeiro","everton-ribeiro","Éverton Ribeiro","https://s.glbimg.com/es/sde/f/2018/05/04/295690667a6a82986c742697c508ce3d_FORMATO.png",51772,10,"FLA","mei","Provável",4.8,5.27,1.05,3.11,"Flamengo",1,12,18,NA,NA,26,7,NA,2,3,2,NA,NA,1,NA,1,NA,NA
"464","Madson Ferreira dos Santos","madson","Madson","https://s.glbimg.com/es/sde/f/2018/05/21/59123042289044af192df7b66ec997d5_FORMATO.png",78077,10,"GRE","lat","Nulo",0,6.98,0,4.25,"Grêmio",NA,1,4,NA,NA,6,3,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA
"465","Marcos Vinícius da Silva Santos","marcos-vinicius","Marcos Vinícius ","https://s.glbimg.com/es/sde/f/2018/05/17/5821104539e471cb543e8668646b2c01_FORMATO.png",97969,10,"CHA","lat","Nulo",0,2,0,0,"Chapecoense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"466","Douglas Moreira Fagundes","dodi","Dodi","https://s.glbimg.com/es/sde/f/2018/04/20/9dae8b824d6d7c1a316a903af9b3740e_FORMATO.png",89883,10,"FLU","mei","Nulo",0,2.96,0,1,"Fluminense",1,1,3,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"467","Marlos Moreno Durán","marlos","Marlos","https://s.glbimg.com/es/sde/f/2018/05/04/71ca6ff6a0b867666327cb4eaa2cf01a_FORMATO.png",89827,10,"FLA","ata","Nulo",2.9,3.91,0.52,0.82,"Flamengo",1,4,6,NA,3,2,4,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"468","Antonio Eduardo Pereira dos Santos","kanu","Kanu","https://s.glbimg.com/es/sde/f/2018/03/21/a2e4671774fb12a3492ed292aad6f617_FORMATO.png",51792,10,"VIT","zag","Provável",3.8,2.38,1.17,0.11,"Vitória",5,15,NA,NA,3,8,10,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"469","Adryelson Shawann Lima Silva","adryelson","Adryelson","https://s.glbimg.com/es/sde/f/2018/05/24/8993667474efcafb24e0734c9b403ebe_FORMATO.png",91664,10,"SPO","zag","Nulo",0,3,0,0,"Sport",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"470","Maílson Tenório dos Santos","mailson","Maílson","https://s.glbimg.com/es/sde/f/2018/05/24/d5727b385d03345fbbfcdc75ebcdbe7c_FORMATO.png",98034,10,"SPO","gol","Nulo",0,5.14,0,5.8,"Sport",NA,NA,NA,NA,NA,2,NA,1,NA,NA,NA,4,2,1,NA,NA,NA,NA
"471","Leandro Alves de Carvalho","leandrinho","Leandrinho","https://s.glbimg.com/es/sde/f/2018/05/17/c707585981fdbf1f96e400538881eded_FORMATO.png",89885,10,"BOT","mei","Nulo",0,3,0,0,"Botafogo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"472","Ralf de Souza Telles","ralf","Ralf","https://s.glbimg.com/es/sde/f/2018/03/20/8642b2d09ae09e94e978e70d01b2cb69_FORMATO.png",52190,10,"COR","mei","Contundido",0,8.96,0,3,"Corinthians",NA,1,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"473","Róger Krug Guedes","roger-guedes","Róger Guedes","https://s.glbimg.com/es/sde/f/2018/05/07/bb6dbd41ce03bd76bd06730bbedf0ec7_FORMATO.png",89898,10,"ATL","ata","Provável",11.5,16.33,-0.31,9.91,"Atlético-MG",1,11,33,NA,2,23,8,NA,10,10,6,NA,NA,3,1,NA,NA,NA
"474","Eugenio Esteban Mena Reveco","mena","Mena","https://s.glbimg.com/es/sde/f/2018/03/21/9fbac764cee8990a10c184a750c868cd_FORMATO.png",77967,10,"BAH","lat","Nulo",0,7.91,0,3.43,"Bahia",NA,NA,1,NA,NA,9,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"475","Andrigo Oliveira de Araujo","andrigo","Andrigo","https://s.glbimg.com/es/sde/f/2018/04/09/eb909473a1499ceb91cd8c466f192cfd_FORMATO.png",89930,10,"SPO","mei","Nulo",0,5.6,0,1.7,"Sport",NA,3,2,NA,1,8,3,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA
"476","Caio Felipe dos Santos Silva","caio","Caio","https://s.glbimg.com/es/sde/f/2017/02/14/a6f6b29df8097bacd2fc794872711c70_FORMATO.png",98035,10,"SPO","lat","Nulo",0,1,0,0,"Sport",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"477","Bruno de Jesus Pacheco","bruno-pacheco","Bruno Pacheco","https://s.glbimg.com/es/sde/f/2018/05/24/bcba131b890d61329d3dd3d53d25182e_FORMATO.png",90061,10,"CHA","lat","Provável",3.7,5.89,0.03,3.26,"Chapecoense",3,9,14,NA,NA,11,17,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"478","Pedro Roberto Silva Botelho","pedro-botelho","Pedro Botelho","https://s.glbimg.com/es/sde/f/2018/03/21/3c4dc7fc1ea46e31898d6cdb2b37d3c9_FORMATO.png",51779,10,"VIT","lat","Nulo",0,6.26,0,3.2,"Vitória",NA,3,NA,NA,NA,15,8,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA
"479","Jaílson Marques Siqueira","jailson","Jailson","https://s.glbimg.com/es/sde/f/2018/05/18/4e64b752d2f135b28900d7f530851452_FORMATO.png",90290,10,"GRE","mei","Dúvida",2.7,4.3,0.31,1.63,"Grêmio",1,6,5,NA,NA,9,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"480","Gilson Gomes do Nascimento","gilson","Gilson","https://s.glbimg.com/es/sde/f/2018/05/17/f2a32a69c374096c9983b50739da6361_FORMATO.png",52674,10,"BOT","lat","Nulo",0,8.2,0,4.22,"Botafogo",1,7,14,NA,NA,24,14,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA
