"","atletas.nome","atletas.slug","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.clube.id.full.name","DD","DP","FS","GS","PE","SG","A","FC","I","RB","CA","FD","FF","GC","G","CV","FT","PP"
"406","Lucas Santos da Silva","lucas-santos","Lucas Santos","https://s.glbimg.com/es/sde/f/2018/07/17/3d354bb2faab384ce4d8a8fd0bf1d81d_FORMATO.png",101718,34,"VAS","mei","Nulo",0,0.81,0,0.75,"Vasco",NA,NA,NA,NA,1,NA,NA,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA
"407","Gabriel Barbosa Avelino","gabriel-barbosa","Gabriel Barbosa","https://s.glbimg.com/es/sde/f/2018/07/13/66b3a5d8aeae0fca09f00f1ea7dc8a34_FORMATO.png",102902,34,"PAL","ata","Nulo",0,1,0,0,"Palmeiras",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"408","Marrony da Silva Liberato","marrony","Marrony","https://s.glbimg.com/es/sde/f/2018/09/27/e88201c8fd87512209d0c8292616dd3a_FORMATO.png",101717,34,"VAS","mei","Provável",0,2.59,0,2.32,"Vasco",NA,NA,7,NA,4,NA,NA,6,NA,7,1,1,2,NA,1,NA,NA,NA
"409","João Pedro Soares Borges","joao-pedro","João Pedro","https://s.glbimg.com/es/sde/f/2018/09/27/bdf3476e0782cb7e4f75819b1f8495cc_FORMATO.png",101721,34,"VAS","gol","Nulo",0,1,0,0,"Vasco",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"410","Marcelo Henrique de Sousa Cunha","marcelinho","Marcelinho","https://s.glbimg.com/es/sde/f/2018/01/24/f5e9ef1b825cb639cdb485ffd146192d_FORMATO.jpeg",101722,34,"GRE","ata","Nulo",0,4,0,0,"Grêmio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"411","Matheus Santos Soares","matheus-santos","Matheus Santos","https://s.glbimg.com/es/sde/f/2018/05/07/26a01d4da14cce602b2663c4afced5ed_FORMATO.png",101725,34,"AME","ata","Nulo",0,1,0,0,"América-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"412","Miullen Natha Felicio Carvalho","miullen","Miullen","https://s.glbimg.com/es/sde/f/2018/08/03/785f495d0f7587ff409ca0a211d97fb7_FORMATO.png",101759,34,"CHA","ata","Nulo",0,2,0,0,"Chapecoense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"413","Matheus dos Santos Miranda","miranda","Miranda","https://s.glbimg.com/es/sde/f/2018/09/27/0dec5ab486a566e8fbde05157bccb9cf_FORMATO.png",101720,34,"VAS","zag","Nulo",0,1.21,0,1.7,"Vasco",NA,NA,1,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"414","Natanael de Sousa Santos Júnior","junior-santos","Júnior Santos","https://s.glbimg.com/es/sde/f/2018/05/24/21b646566f07fc7201c839a9111aa7ff_FORMATO.png",101797,34,"CHA","ata","Nulo",0,0.88,0,0.65,"Chapecoense",NA,NA,2,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"415","Gonzalo Rodrigo Carneiro Méndez","carneiro","Carneiro","https://s.glbimg.com/es/sde/f/2018/08/22/eebdb32875b11066f569a79c485ec615_FORMATO.png",101796,34,"SAO","ata","Contundido",0,2.88,0,1.12,"São Paulo",NA,NA,6,NA,4,NA,NA,13,3,5,2,5,4,NA,1,NA,NA,NA
"416","Mayksilvan da Silva Ferreira","mayk","Mayk","https://s.glbimg.com/es/sde/f/2018/08/05/8faaa2f4f04e9cbf051f57aa66b849d5_FORMATO.png",101820,34,"BAH","lat","Nulo",0,2,0,0,"Bahia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"417","Carlos Augusto Zopalato Neves","carlos-augusto","Carlos Augusto","https://s.glbimg.com/es/sde/f/2018/03/19/d811d2472e0a8de265d64d5bb810d3ca_FORMATO.png",101803,34,"COR","lat","Nulo",0,1.93,0,5.64,"Corinthians",NA,NA,4,NA,7,2,NA,6,1,14,NA,NA,1,NA,NA,NA,NA,NA
"418","Guilherme Nunes da Silva","guilherme-nunes","Guilherme Nunes","https://s.glbimg.com/es/sde/f/2018/05/23/7e91393fb9d0c73f8ae12e9e96c38308_FORMATO.png",101912,34,"SAN","mei","Nulo",0,1,0,0,"Santos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"419","Brenner Alves Sabino","brenner","Brenner","https://s.glbimg.com/es/sde/f/2018/04/09/0c50419c1321d69b3d9b21dfd118cfb9_FORMATO.png",101857,34,"INT","ata","Contundido",0,0.77,0,-0.36,"Internacional",NA,NA,4,NA,NA,NA,NA,6,2,1,2,1,1,NA,NA,NA,NA,NA
"420","Flávio Henrique Alves Almeida Souza","flavio","Flávio","https://s.glbimg.com/es/sde/f/2018/03/21/d5a366c24b1dac3e1fdd263d9980e24a_FORMATO.png",101758,34,"VIT","ata","Nulo",0,2,0,0,"Vitória",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"421","Tiago Cunha Rodrigues Serra","tiago-cunha","Tiago Cunha",NA,101877,34,"CEA","ata","Nulo",0,1,0,0,"Ceará",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"422","Jonas Gabriel da Silva Nunes","toro","Toró",NA,101885,34,"SAO","ata","Nulo",0,3,0,0,"São Paulo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"423","Maurício Fontana Gomes","mauricio","Maurício",NA,102076,34,"CEA","mei","Nulo",0,1,0,0,"Ceará",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"424","Gabriel Calabres Nunes","gabriel-calabres","Gabriel Calabres","https://s.glbimg.com/es/sde/f/2018/05/23/ab2e89590be1e66768af1205a202b31c_FORMATO.png",101911,34,"SAN","mei","Nulo",0,3,0,0,"Santos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"425","Vitor Hugo Naum Dos Santos","vitor-naum","Vitor Naum","https://s.glbimg.com/es/sde/f/2018/03/05/d3c9c0c04b38faa803a27c54ea474192_FORMATO.png",101960,34,"ATL","ata","Nulo",0,1,0,0,"Atlético-PR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"426","Richard Alexandre Birkhuen Rodrigues","richard","Richard","https://s.glbimg.com/es/sde/f/2018/03/20/99b67cac835ffd9dc963e8e7a99a1425_FORMATO.png",102063,34,"INT","mei","Nulo",0,1,0,0,"Internacional",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"427","Rodrigo Porto Bezerra","rodrigo-carioca","Rodrigo Carioca","https://s.glbimg.com/es/sde/f/2018/09/21/c6708b5d476ab12b6bf31d612eb496eb_FORMATO.png",102107,34,"PAR","ata","Contundido",6.9,2.15,-0.04,7.45,"Paraná",NA,NA,6,NA,NA,NA,1,3,NA,4,NA,2,NA,NA,NA,NA,NA,NA
"428","Vitor Eudes de Souza Costa","vitor-eudes","Vitor Eudes","https://s.glbimg.com/es/sde/f/2018/05/18/d63cc937f9b900831524de387423232e_FORMATO.png",102137,34,"CRU","gol","Nulo",0,1,0,0,"Cruzeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"429","Lucas Halter","lucas-halter","Lucas Halter","https://s.glbimg.com/es/sde/f/2018/05/08/19a612b27e812d8d3695c4af8c78ea9a_FORMATO.png",102253,34,"ATL","zag","Nulo",0,1,0,0,"Atlético-PR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"430","Mikael Filipe Viana","mikael","Mikael","https://s.glbimg.com/es/sde/f/2018/05/24/681f1987afa6a94cda5e9a9f643a0bc5_FORMATO.png",102299,34,"SPO","ata","Nulo",0,1,0,0,"Sport",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"431","Gabriel José Ferreira Mesquita","gabriel","Gabriel","https://s.glbimg.com/es/sde/f/2018/05/08/23ead8e9977bf4883159480316b71e35_FORMATO.png",102290,34,"ATL","gol","Nulo",0,1,0,0,"Atlético-PR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"432","Luan Silva dos Santos","luan","Luan","https://s.glbimg.com/es/sde/f/2018/04/13/062b30b6bd6dbb2d2494ef74b7fb3956_FORMATO.png",102295,34,"VIT","mei","Contundido",0,1.5,0,1.57,"Vitória",NA,NA,8,NA,2,NA,NA,4,NA,3,1,NA,3,NA,NA,NA,NA,NA
"433","Ángelo Giovanni Araos Llanos","araos","Araos","https://s.glbimg.com/es/sde/f/2018/08/08/02153cbcf3561df02154d9b68823fbbd_FORMATO.png",102352,34,"COR","mei","Nulo",0,4.67,0,1.27,"Corinthians",NA,NA,14,NA,23,NA,1,22,NA,14,1,5,3,NA,NA,1,NA,NA
"434","Marcelo de Souza dos Santos Júnior","marcelo","Marcelo","https://s.glbimg.com/es/sde/f/2018/08/15/93e4df8ab578a97af7862e555af261e7_FORMATO.png",102342,34,"CRU","ata","Nulo",0,0.75,0,-0.07,"Cruzeiro",NA,NA,NA,NA,4,NA,NA,4,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
"435","Matheus Bezerra Lira","matheus-lira","Matheus Lira","https://s.glbimg.com/es/sde/f/2018/03/15/fb71264b7c77dff29719dcc9f6408bb5_FORMATO.png",102146,34,"CEA","mei","Nulo",0,1,0,0,"Ceará",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"436","Lucas Ribeiro De Oliveira","macula","Macula","https://s.glbimg.com/es/sde/f/2018/09/18/0816f9f507e897d0d000aab179631ecb_FORMATO.png",102384,34,"FLU","ata","Nulo",0,1,0,0,"Fluminense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"437","Luan Garcia Teixeira","luan","Luan","https://s.glbimg.com/es/sde/f/2017/04/23/21b43228acd34549ca343f42576f7632_FORMATO.png",80692,34,"PAL","zag","Suspenso",15.9,7.67,2.09,4.85,"Palmeiras",NA,NA,14,NA,29,10,NA,18,1,27,6,2,NA,NA,1,1,NA,NA
"438","Bruno da Silva Costa Leite","bruno-leite","Bruno Leite","https://s.glbimg.com/es/sde/f/2018/03/05/37cc69ce211fa6a6c3fb2fa03e905809_FORMATO.png",102301,34,"ATL","mei","Nulo",0,1,0,0,"Atlético-PR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"439","Luis David da Conceição Martins","luis-david","Luis David",NA,102413,34,"CEA","ata","Nulo",0,1,0,0,"Ceará",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"440","Carlos de Menezes Júnior","caca","Cacá","https://s.glbimg.com/es/sde/f/2018/05/18/9e847531623845ec5f88f060b157da00_FORMATO.png",102340,34,"CRU","zag","Nulo",0,1.15,0,2.2,"Cruzeiro",NA,NA,NA,NA,1,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
"441","Ronaldo dos Santos Ramos Filho","ronaldo","Ronaldo","https://s.glbimg.com/es/sde/f/2018/05/07/85248a66a7554e40dbdd397512117052_FORMATO.png",102336,34,"AME","lat","Nulo",0,1,0,0,"América-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"442","Jonathan Silva Vieira","jonathan","Jonathan",NA,102597,34,"BOT","lat","Nulo",0,2,0,0,"Botafogo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"443","Leonardo Xavier da Silva","leo-xavier","Léo Xavier","https://s.glbimg.com/es/sde/f/2018/04/13/0e1b28895cd742c8eeb558bbec613ed4_FORMATO.png",102553,34,"VIT","zag","Nulo",0,1,0,0,"Vitória",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"444","Hélio Júnio Nunes de Castro","helinho","Helinho","https://s.glbimg.com/es/sde/f/2018/11/05/59265b2cd2832615e32700bdbc4cc43a_FORMATO.jpeg",102598,34,"SAO","ata","Provável",3.5,3.32,-0.5,6.35,"São Paulo",NA,NA,1,NA,2,NA,NA,1,NA,3,NA,NA,1,NA,1,NA,NA,NA
"445","Thiago Beserra dos Santos","thiaguinho","Thiaguinho","https://s.glbimg.com/es/sde/f/2018/05/01/626ee3be32932606c827bac556a75b1e_FORMATO.png",102599,34,"COR","mei","Provável",1.2,2.49,-0.17,1.5,"Corinthians",NA,NA,9,NA,9,NA,NA,9,NA,6,NA,1,NA,NA,NA,NA,NA,NA
"446","Rafael Elias da Silva","papagaio","Papagaio","https://s.glbimg.com/es/sde/f/2018/03/08/82641224cdb23ce7f862168d4a3374ad_FORMATO.png",102302,34,"PAL","ata","Nulo",0,1.23,0,-0.4,"Palmeiras",NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"447","Kevin Kesley De Souza","kevin","Kevin","https://s.glbimg.com/es/sde/f/2018/06/05/0dfbab426db713cedfdf9597abbc9791_FORMATO.png",102594,34,"ATL","lat","Nulo",0,1,0,0,"Atlético-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"448","Fernando Augusto de Castro Ribeiro","fernando-castro","Fernando Castro","https://s.glbimg.com/es/sde/f/2018/05/08/0f86aca3ef3d3207a6f1fa03c4f08be7_FORMATO.png",102609,34,"BAH","gol","Nulo",0,0.77,0,-1.3,"Bahia",2,NA,NA,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"449","Yago Rafael Valadares Darub","yago-darub","Yago Darub",NA,102686,34,"FLA","gol","Nulo",0,1,0,0,"Flamengo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"450","Jown Anderson Cardona Agudelo","cardona","Cardona","https://s.glbimg.com/es/sde/f/2018/07/03/d51a3a19a638632da422b8c043a3d8c7_FORMATO.png",102849,34,"CEA","mei","Nulo",0,3.1,0,1.8,"Ceará",NA,NA,4,NA,15,NA,NA,7,NA,10,2,2,2,NA,NA,NA,NA,NA
"451","Nicolás Omar Freire","nico-freire","Nico Freire","https://s.glbimg.com/es/sde/f/2018/07/20/90be1b2bb54dcc788164bc8c6ec83fdf_FORMATO.png",102889,34,"PAL","zag","Nulo",0,4,0,0,"Palmeiras",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"452"," Eduardo Feitoza Sampaio","dudu","Dudu","https://s.glbimg.com/es/sde/f/2018/09/27/4deb0c24f72bef63b84529f7a2c8aba3_FORMATO.png",102852,34,"VAS","mei","Nulo",0,2,0,0,"Vasco",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"453","Matheus Celestino Moresche Rodrigues","moresche","Moresche","https://s.glbimg.com/es/sde/f/2018/05/29/1062a53533bc3381effc250b52595038_FORMATO.png",102719,34,"VAS","mei","Nulo",0,0.74,0,-2.9,"Vasco",NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"454","Miguel David Terans Pérez  ","terans","Terans","https://s.glbimg.com/es/sde/f/2018/06/26/88598177badc1f54b4f2757234282710_FORMATO.png",102878,34,"ATL","mei","Dúvida",8.7,4.86,1.34,1.52,"Atlético-MG",NA,NA,10,NA,19,NA,1,19,NA,12,2,7,7,NA,NA,NA,NA,NA
"455","Rodrigo Fernandes Nóbrega","rodrigo-fernandes","Rodrigo Fernandes","https://s.glbimg.com/es/sde/f/2018/09/27/5ff6d5126f3366e505e6caa6897ccff3_FORMATO.png",102771,34,"VAS","mei","Nulo",0,1,0,0,"Vasco",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"456","Eronildo dos Santos Rocha","eron","Eron",NA,102850,34,"VIT","ata","Nulo",2.3,1.49,0.49,2.3,"Vitória",NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA
"457","Yann Del Pino Rolim","yann-rolim","Yann Rolim","https://s.glbimg.com/es/sde/f/2018/08/01/42e8f3434bff7d6238a0dca11f2239f8_FORMATO.png",102892,34,"CHA","mei","Contundido",0,2.95,0,1.98,"Chapecoense",NA,NA,7,NA,22,NA,1,4,NA,9,NA,3,6,NA,NA,NA,NA,NA
"458","Carlos Gabriel Moreira de Oliviera","hulk","Hulk","https://s.glbimg.com/es/sde/f/2018/05/17/2551e15c845e9706b626ca2ab7a4f23f_FORMATO.png",102700,34,"ATL","lat","Nulo",0,2.58,0,1.5,"Atlético-MG",NA,NA,1,NA,6,1,NA,5,NA,4,1,NA,1,NA,NA,NA,NA,NA
"459","Agustín Doffo","doffo","Doffo","https://s.glbimg.com/es/sde/f/2018/08/03/fe966a22dd530989a1344cf27838ad6d_FORMATO.png",102894,34,"CHA","mei","Provável",0.8,3.89,-0.72,4.48,"Chapecoense",NA,NA,37,NA,23,NA,NA,25,2,17,4,3,15,NA,3,NA,1,NA
"460","Mateus William Sabino Silva","sabino","Sabino","https://s.glbimg.com/es/sde/f/2018/07/19/a9beadabcf13c6fbb9e50629b154ed1d_FORMATO.png",102905,34,"AME","zag","Nulo",0,2,0,0,"América-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"461","Matheus Felipe Camargo Iacovelli","iacovelli","Iacovelli","https://s.glbimg.com/es/sde/f/2018/07/16/2fce91a60b69631682b1584fc429beab_FORMATO.png",102903,34,"PAR","ata","Nulo",0,2.48,0,0.85,"Paraná",NA,NA,2,NA,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"462","Goldeson Cassemiro Marques","goldeson","Goldeson","https://s.glbimg.com/es/sde/f/2018/07/26/2d0532464269e49f86e8f2f15154a447_FORMATO.png",102956,34,"AME","ata","Nulo",0,2,0,0,"América-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"463","César Nunes da Costa","cesar","César","https://s.glbimg.com/es/sde/f/2018/09/18/d2e64310e53678e2ab4f1d70a1a6bf88_FORMATO.png",102912,34,"FLU","lat","Nulo",0,1,0,0,"Fluminense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"464","José Ricardo Araújo Fernandes","ze-ricardo","Zé Ricardo","https://s.glbimg.com/es/sde/f/2018/09/18/03e7abfdac596735f28f8c3784957b23_FORMATO.png",102911,34,"FLU","mei","Nulo",0,1,0,0,"Fluminense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"465","João Burse","joao-burse","João Burse","https://s.glbimg.com/es/sde/f/2018/07/31/ef2edbb0684ecfeaa78816cca5c39601_FORMATO.png",103006,34,"VIT","tec","Provável",3.83,6.01,0.02,2.96,"Vitória",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"466","Mateus Rodrigues Dos Santos ","mateus","Mateus",NA,102957,34,"VIT","lat","Nulo",0,3.57,0,6.1,"Vitória",NA,NA,NA,NA,4,1,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA
"467","Patrick Bezerra do Nascimento","patrick","Patrick","https://s.glbimg.com/es/sde/f/2018/04/08/ecdf20e0263f65cb7a63bf0e68ebd3b6_FORMATO.png",83433,34,"INT","mei","Provável",4.2,17.11,0.61,5.9,"Internacional",NA,NA,43,NA,67,NA,3,55,NA,94,6,11,15,NA,5,NA,NA,NA
"468","Ruan Marvyn Vital Ferreira","ruan-marvyn","Ruan Marvyn",NA,102915,34,"ATL","zag","Nulo",0,2,0,0,"Atlético-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"469","Paulo Ricardo Fales","paulo-fales","Paulo Fales","https://s.glbimg.com/es/sde/f/2018/09/21/5d4b7dbbbe7fc4792115d2aa2174eaf0_FORMATO.png",102914,34,"PAR","zag","Nulo",0,2,0,0,"Paraná",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"470","Gabriel Nascimento Resende Brazão","gabriel-brazao","Gabriel Brazão","https://s.glbimg.com/es/sde/f/2018/08/07/473f43841ebfd167cb1c79dbbf7b1f67_FORMATO.png",103056,34,"CRU","gol","Nulo",0,3,0,0,"Cruzeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"471","Matias Antonini Lui","antonini","Antonini","https://s.glbimg.com/es/sde/f/2018/08/09/f41ecc80cc226664f24552cc555ae14b_FORMATO.png",103069,34,"GRE","zag","Nulo",0,3,0,0,"Grêmio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"472","Matheus Victor de Araujo Rocha","matheus-rocha","Matheus Rocha","https://s.glbimg.com/es/sde/f/2018/08/31/0de314d9127f9459f3ccdedc86faac1d_FORMATO.png",103077,34,"PAL","lat","Nulo",0,2,0,0,"Palmeiras",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"473","Lucas Ribeiro dos Santos","lucas-ribeiro","Lucas Ribeiro","https://s.glbimg.com/es/sde/f/2018/08/27/d1cbc6b2bedd39d69f383f2cfc0778b8_FORMATO.png",103088,34,"VIT","zag","Provável",8.2,5.24,0.79,3.22,"Vitória",NA,NA,7,NA,19,5,NA,15,NA,23,3,NA,NA,NA,NA,1,NA,NA
"474","Eric dos Santos Rodrigues","ramires","Ramires","https://s.glbimg.com/es/sde/f/2018/09/19/6be14b67c4a42f80fe1c004ff74e8bb8_FORMATO.png",103295,34,"BAH","mei","Provável",9.1,8.19,-0.68,5.38,"Bahia",NA,NA,17,NA,23,NA,3,9,1,18,2,6,8,NA,1,NA,1,NA
"475","Diego Washington Ferreira Lopes","diego","Diego",NA,102655,34,"VIT","gol","Nulo",0,1,0,0,"Vitória",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"476","Kaio Jorge Pinto Ramos","kaio","Kaio ",NA,103445,34,"SAN","ata","Nulo",0,1.38,0,-0.5,"Santos",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"477","Rodrigo dos Santos Freitas","rodrigo-freitas","Rodrigo Freitas","https://s.glbimg.com/es/sde/f/2018/09/04/d068cd3a6fee7e46073e4b8bccce8590_FORMATO.png",103261,34,"SAO","zag","Nulo",0,2,0,0,"São Paulo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"478","Kendy Renato Ikegami Leira","kendy","Kendy","https://s.glbimg.com/es/sde/f/2018/09/18/243b576d1c5afd8bbf4cc3672760fb70_FORMATO.png",103345,34,"CEA","mei","Nulo",0,2,0,0,"Ceará",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"479","Éderson José dos Santos Lourenço da Silva","ederson","Éderson","https://s.glbimg.com/es/sde/f/2018/09/25/2b532258f7e60e9ec20bb6d04c574566_FORMATO.png",103099,34,"CRU","mei","Nulo",0,1.26,0,-0.17,"Cruzeiro",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"480","Gabriel Pereira Minas","gabriel","Gabriel",NA,103311,34,"FLU","mei","Nulo",0,1,0,0,"Fluminense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"481","Mateus Gonçalves Martins","mateus-goncalves","Mateus Gonçalves","https://s.glbimg.com/es/sde/f/2018/08/15/4c3a02243f71277303220dda6d6448e8_FORMATO.png",103076,34,"SPO","ata","Provável",2.4,3.16,0.1,3.05,"Sport",NA,NA,4,NA,17,NA,NA,8,1,5,NA,3,NA,NA,3,NA,1,NA
"482","Kennidy Caetano de Andrade","kennidy","Kennidy","https://s.glbimg.com/es/sde/f/2018/09/21/f9ac8c85f7c1f21c34243bf3a144a43b_FORMATO.png",103444,34,"PAR","lat","Nulo",0,2,0,0,"Paraná",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"483","Antony Matheus do Santos","antony","Antony",NA,103455,34,"SAO","ata","Nulo",2.7,1.38,0.38,2.7,"São Paulo",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA
"484","Ignácio da Silva Oliveira","ignacio","Ignácio",NA,103523,34,"BAH","zag","Nulo",0,2.22,0,1.5,"Bahia",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"485","Andrey Nunes dos Santos","andrey","Andrey","https://s.glbimg.com/es/sde/f/2018/11/14/4db7bbab143cf41a118876deb0fee2e9_FORMATO.png",103559,34,"PAR","ata","Suspenso",-5,1.12,-2.62,1.6,"Paraná",NA,NA,6,NA,4,NA,1,16,NA,6,1,NA,1,NA,1,1,NA,NA
"486","Marcos Paulo Costa do Nascimento","marcos-paulo","Marcos Paulo",NA,103645,34,"FLU","ata","Nulo",0,2,0,0,"Fluminense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"487","Yuri Cesar Santos de Oliveira Silva","yuri","Yuri ",NA,103446,34,"FLA","mei","Nulo",0,2,0,0,"Flamengo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"488","Bruno de Andrade Ritter","bruno-ritter","Bruno Ritter","https://s.glbimg.com/es/sde/f/2018/10/18/af227220f3f74a7b8b1a83760f1731a3_FORMATO.png",103490,34,"VAS","mei","Nulo",0,1.96,0,1.15,"Vasco",NA,NA,1,NA,4,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
"489","Dênis De Oliveira Aguiar Junior ","denis","Dênis","https://s.glbimg.com/es/sde/f/2018/11/06/d7c525671eaac3c0317710548f1d3988_FORMATO.png",103662,34,"SAO","gol","Nulo",0,2,0,0,"São Paulo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
