"","atletas.nome","atletas.slug","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.clube.id.full.name","DD","DP","FS","GS","PE","SG","CA","FC","G","RB","FD","FF","FT","A","CV","I","GC","PP"
"401","Rosicley Pereira da Silva","rossi","Rossi","https://s.glbimg.com/es/sde/f/2018/03/21/ffe95cb4c3f0bed01a941972e52ec9ed_FORMATO.png",81798,24,"INT","ata","Suspenso",-2,3.59,-0.69,1.85,"Internacional",NA,NA,18,NA,15,NA,3,10,1,8,3,2,1,2,NA,NA,NA,1
"402","Lucas Cândido Silva","lucas-candido","Lucas Cândido","https://s.glbimg.com/es/sde/f/2018/05/07/19488c44e682165da72638af463246ff_FORMATO.png",84851,24,"ATL","mei","Nulo",0,2.61,0,1.24,"Atlético-MG",NA,NA,4,NA,NA,NA,NA,2,NA,6,1,NA,NA,NA,1,NA,NA,NA
"403","Raul Prata","raul-prata","Raul Prata","https://s.glbimg.com/es/sde/f/2018/05/24/c8acdd3d52f83d6831096e90f46b3d69_FORMATO.png",84855,24,"SPO","lat","Nulo",4,8.4,0.26,2.87,"Sport",NA,NA,15,NA,47,4,2,17,NA,25,2,2,NA,NA,1,NA,NA,NA
"404","Alberto Valentim do Carmo Neto","alberto-valentim","Alberto Valentim","https://s.glbimg.com/es/sde/f/2018/03/20/c6b54edc93e180bf641056650be46611_FORMATO.png",84863,24,"VAS","tec","Provável",0.99,8.89,-0.27,3.74,"Vasco",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"405","Erik Nascimento Lima","erik","Erik","https://s.glbimg.com/es/sde/f/2018/08/24/4c8b627f6b5b437c8410b1aa659b69ae_FORMATO.png",84848,24,"BOT","ata","Provável",3.7,2.32,-0.14,0.78,"Botafogo",NA,NA,16,NA,15,NA,1,10,NA,2,NA,5,NA,1,NA,3,NA,NA
"406","Henrique Silva Milagres","henrique","Henrique","https://s.glbimg.com/es/sde/f/2018/04/09/a2a38f9417ef984a6dc682daa29dbadd_FORMATO.png",84893,24,"VAS","lat","Nulo",0,5.83,0,2.17,"Vasco",NA,NA,28,NA,35,3,4,23,NA,21,2,3,NA,1,1,1,NA,NA
"407","Alisson Euler de Freitas Castro","alisson","Alisson","https://s.glbimg.com/es/sde/f/2018/05/18/eeeced6e37969b2b8161eb83c56d069e_FORMATO.png",81845,24,"GRE","mei","Provável",5.2,7.34,0.52,2.9,"Grêmio",NA,NA,22,NA,23,NA,NA,6,1,8,5,6,NA,NA,NA,NA,NA,NA
"408","Jeferson de Araújo de Carvalho","jeferson","Jeferson","https://s.glbimg.com/es/sde/f/2018/04/13/b82201ef35f9d51daf417ce9f8294859_FORMATO.png",84917,24,"VIT","lat","Provável",3.7,5.79,-0.96,2.94,"Vitória",NA,NA,15,NA,56,7,5,23,NA,32,1,2,NA,1,NA,2,NA,NA
"409","João Ricardo Riedi","joao-ricardo","João Ricardo","https://s.glbimg.com/es/sde/f/2018/05/07/ed2c39f18fe6fdbf2db79d29a7d46eae_FORMATO.png",81881,24,"AME","gol","Provável",0,6.9,0,5.34,"América-MG",26,1,1,16,13,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"410","Marcos Felipe de Freitas Monteiro","marcos-felipe","Marcos Felipe ","https://s.glbimg.com/es/sde/f/2018/05/18/72317ca5c12be51354f8792ab39b37d8_FORMATO.png",85004,24,"FLU","gol","Nulo",0,2,0,0,"Fluminense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"411","Carlos Alberto Carvalho da Silva Júnior","carlos","Carlos","https://s.glbimg.com/es/sde/f/2018/04/20/e4df417626fe465bd2a41d300e43856f_FORMATO.png",85027,24,"PAR","ata","Provável",-1,4.89,-0.8,1.75,"Paraná",NA,NA,23,NA,21,NA,5,17,1,16,6,14,NA,NA,NA,11,NA,NA
"412","Osman de Menezes Venâncio Junior","osman","Osman","https://s.glbimg.com/es/sde/f/2018/05/24/3d7f1fd9657bef546dec60dda0555868_FORMATO.png",81898,24,"CHA","ata","Nulo",0,3.25,0,1.91,"Chapecoense",NA,NA,6,NA,10,NA,1,6,1,5,2,3,NA,NA,NA,NA,NA,NA
"413","Orlando Enrique Berrío Meléndez","berrio","Berrío ","https://s.glbimg.com/es/sde/f/2018/05/04/1dca4f3eecabeea66a9817cd0722f76f_FORMATO.png",85300,24,"FLA","ata","Nulo",1.2,4.06,-0.94,1.2,"Flamengo",NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"414","Marcelo Machado dos Santos ","marcelo","Marcelo","https://s.glbimg.com/es/sde/f/2018/03/20/05f475c48e922f2e6d24615603f85935_FORMATO.png",85400,24,"BOT","mei","Nulo",0,3.28,0,2.13,"Botafogo",NA,NA,5,NA,2,NA,1,4,NA,6,NA,2,NA,NA,NA,NA,NA,NA
"415","Uilson Pedruzzi de Oliveira","uilson","Uilson","https://s.glbimg.com/es/sde/f/2018/05/07/9c69736d87e93ac80d7f38013cb1c1e7_FORMATO.png",85418,24,"ATL","gol","Contundido",0,2,0,0,"Atlético-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"416","José Henrique da Silva Dourado","henrique-dourado","Henrique Dourado","https://s.glbimg.com/es/sde/f/2018/05/04/d9413dcc3e693b62854a22d1a1f58501_FORMATO.png",81905,24,"FLA","ata","Nulo",0,9.35,0,1.45,"Flamengo",NA,NA,26,NA,11,NA,5,26,4,3,2,9,NA,NA,1,6,NA,NA
"417","João Paulo Silva Martins","joao-paulo","João Paulo","https://s.glbimg.com/es/sde/f/2018/05/23/1ca235953ef1a22b3961956b96191dc1_FORMATO.png",85425,24,"SAN","gol","Nulo",0,2,0,0,"Santos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"418","Adilson dos Anjos Oliveira","juninho","Juninho","https://s.glbimg.com/es/sde/f/2018/05/07/a121caba22a2560ebe0698009aa2a45f_FORMATO.png",82381,24,"AME","mei","Provável",0,7.83,0,3.35,"América-MG",NA,NA,22,NA,55,NA,3,27,2,49,2,5,NA,NA,NA,1,NA,NA
"419","Alex Paulo Menezes Santana","alex-santana","Alex Santana","https://s.glbimg.com/es/sde/f/2018/03/21/0b541e5882ecfea594b9f526c908601d_FORMATO.png",85465,24,"PAR","mei","Provável",1.6,3.64,-0.43,2.61,"Paraná",NA,NA,21,NA,15,NA,5,12,1,14,6,16,NA,NA,NA,NA,NA,NA
"420","José Rafael Vivian","ze-rafael","Zé Rafael ","https://s.glbimg.com/es/sde/f/2018/05/12/09a8cb904cc431ca446de5378e6cde58_FORMATO.png",82455,24,"BAH","mei","Provável",4.7,18.54,-0.05,6.64,"Bahia",NA,NA,72,NA,53,NA,4,39,2,48,22,25,3,1,NA,3,NA,NA
"421","Thales Natanael Lira de Matos","thales","Thales ","https://s.glbimg.com/es/sde/f/2018/04/09/2db919a21f74604ec39c31b47a427a70_FORMATO.png",82626,24,"INT","zag","Contundido",0,4,0,0,"Internacional",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"422","Leonardo de Sousa Pereira","leo-ceara","Léo Ceará","https://s.glbimg.com/es/sde/f/2018/08/31/5097d6c26b52561e75d1062f0c17c757_FORMATO.png",85607,24,"VIT","ata","Provável",3.9,7.1,0.59,5.38,"Vitória",NA,NA,15,NA,4,NA,2,9,2,3,2,9,NA,NA,NA,2,NA,NA
"423","Hyoran Kaue Dalmoro","hyoran","Hyoran","https://s.glbimg.com/es/sde/f/2017/02/19/1ec83086a8ae2fe33a1e88113fff1ac1_FORMATO.png",85931,24,"PAL","mei","Provável",0.4,5.36,-1.97,3.77,"Palmeiras",NA,NA,18,NA,23,NA,3,25,2,9,8,12,1,6,NA,2,NA,NA
"424","Igor da Silva Amaral","igor-amaral","Igor Amaral","https://s.glbimg.com/es/sde/f/2018/08/03/617d3a1d03fc88e359293779c15c367a_FORMATO.png",86073,24,"AME","mei","Nulo",0,2,0,0,"América-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"425","Calyson Rubens Santiago Rosa","calyson","Calyson","https://s.glbimg.com/es/sde/f/2018/07/15/1f150f4d934c5bea8831eafc53efaf4e_FORMATO.png",82630,24,"CEA","mei","Provável",0.3,1.75,-0.19,0.78,"Ceará",NA,NA,9,NA,8,NA,2,7,NA,4,2,5,NA,NA,NA,NA,NA,NA
"426","Matheus Galdezani","matheus-galdezani","Matheus Galdezani","https://s.glbimg.com/es/sde/f/2018/05/17/2b140006a6546ccb3c5fbb067a9e8b93_FORMATO.png",82634,24,"ATL","mei","Dúvida",-1.2,2.84,0.04,1,"Atlético-MG",NA,NA,17,NA,33,NA,5,15,1,11,4,5,NA,1,1,1,NA,NA
"427","Marcelo Hermes","marcelo-hermes","Marcelo Hermes","https://s.glbimg.com/es/sde/f/2018/05/07/bedbd7a85b9260c4086c631ade9244cd_FORMATO.png",82639,24,"CRU","lat","Nulo",0,4.58,0,1.98,"Cruzeiro",NA,NA,8,NA,33,1,3,11,NA,18,NA,4,NA,NA,NA,NA,NA,NA
"428","Leonardo Pinheiro da Conceição","leo","Léo","https://s.glbimg.com/es/sde/f/2018/03/21/c6572fbc65cb9ee9ad6f2d3e068ccbd1_FORMATO.png",85626,24,"BAH","lat","Provável",3.8,9.48,0.19,3.46,"Bahia",NA,NA,18,NA,42,4,NA,25,NA,33,4,5,NA,1,NA,3,NA,NA
"429","Aylon Darwin Tavella","aylon","Aylon","https://s.glbimg.com/es/sde/f/2018/05/07/5a02ebebae94350f74b0622d02730891_FORMATO.png",85930,24,"AME","ata","Nulo",0,7.06,0,2.16,"América-MG",NA,NA,14,NA,12,NA,2,14,NA,7,5,9,1,1,NA,5,NA,NA
"430","Miguel Ángel Borja Hernández","borja","Borja","https://s.glbimg.com/es/sde/f/2017/04/23/4b0f5cd460ee874344bfbfd4e3eef9a6_FORMATO.png",86120,24,"PAL","ata","Nulo",0,10.47,0,3.84,"Palmeiras",NA,NA,7,NA,18,NA,3,15,2,9,3,15,NA,1,NA,8,NA,NA
"431","Agustín Doffo","doffo","Doffo","https://s.glbimg.com/es/sde/f/2018/08/03/fe966a22dd530989a1344cf27838ad6d_FORMATO.png",102894,24,"CHA","mei","Provável",0,2.59,0,2.97,"Chapecoense",NA,NA,9,NA,4,NA,2,7,1,3,1,3,NA,NA,NA,NA,NA,NA
"432","Vinícius Vasconcelos Araújo","vinicius-araujo","Vinícius Araújo","https://s.glbimg.com/es/sde/f/2018/08/03/df9e0588e011d2ed726a3dbabbce6f3d_FORMATO.png",82767,24,"VAS","ata","Contundido",0,3.75,0,-0.03,"Vasco",NA,NA,4,NA,4,NA,2,3,NA,2,NA,2,NA,NA,NA,NA,NA,NA
"433","Maurício Nogueira Barbieri","mauricio-barbieri","Maurício Barbieri","https://s.glbimg.com/es/sde/f/2018/05/04/7e25588c269efbad7eeebc8cacae8c11_FORMATO.png",82792,24,"FLA","tec","Provável",7.55,14.69,0.65,5.29,"Flamengo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"434","Deyverson Brum Silva Acosta","deyverson","Deyverson","https://s.glbimg.com/es/sde/f/2017/09/04/03b2e1a6f53171bc2a6aea4cea393821_FORMATO.jpeg",92708,24,"PAL","ata","Suspenso",7.4,4.53,-0.12,3.4,"Palmeiras",NA,NA,15,NA,16,NA,3,11,4,4,8,4,NA,2,NA,2,NA,NA
"435","Ruy Franco de Almeida Junior","ruy","Ruy","https://s.glbimg.com/es/sde/f/2018/03/17/e5c923c2884a22666c9fa588105d9986_FORMATO.png",82939,24,"AME","mei","Nulo",0,4.04,0,1.82,"América-MG",NA,NA,19,NA,43,NA,NA,3,1,3,4,4,1,1,NA,NA,NA,NA
"436","Victor Luis Chuab Zamblauskas","victor-luis","Victor Luis","https://s.glbimg.com/es/sde/f/2018/03/01/1bfd94d7a93e4d5f7f21981109f79c87_FORMATO.png",86410,24,"PAL","lat","Provável",11.9,9.55,1.33,5.06,"Palmeiras",NA,NA,13,NA,26,7,2,10,NA,19,4,4,NA,NA,NA,1,NA,NA
"437","Wanderson Santos Pereira","wanderson","Wanderson","https://s.glbimg.com/es/sde/f/2018/05/08/ebbd8503f27be0857e0c6fbad5884636_FORMATO.png",86143,24,"ATL","zag","Nulo",0,4.39,0,1.95,"Atlético-PR",NA,NA,1,NA,22,4,2,16,NA,11,NA,2,NA,NA,NA,1,NA,NA
"438","Richardson Fernandes dos Santos","richardson","Richardson","https://s.glbimg.com/es/sde/f/2018/05/25/c51f78e8b84b9bb14c67fc3bcd7d69af_FORMATO.png",86536,24,"CEA","mei","Provável",4.9,7.06,0.39,3.33,"Ceará",NA,NA,45,NA,28,NA,6,37,NA,39,3,4,NA,1,NA,1,NA,NA
"439","Bruno Gomes de Oliveira Conceição","bruno-gomes","Bruno Gomes","https://s.glbimg.com/es/sde/f/2018/07/10/f67ff2e9bd4eb7be0afc9c0c683d5e0f_FORMATO.png",86512,24,"VIT","ata","Nulo",0,3,0,0,"Vitória",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"440","Rafael Thyere Albuquerque Marques","rafael-thyere","Rafael Thyere","https://s.glbimg.com/es/sde/f/2018/05/24/918318ba9c18b6913e11cb5688852591_FORMATO.png",83048,24,"CHA","zag","Provável",4.2,4.73,0.75,2.74,"Chapecoense",NA,NA,10,NA,30,5,5,12,1,27,3,1,NA,NA,NA,1,NA,NA
"441","Aderlan de Lima Silva","aderlan","Aderlan","https://s.glbimg.com/es/sde/f/2018/05/07/7d71b5fcfdd78c1cdddf4a15eff9200b_FORMATO.png",88423,24,"AME","lat","Nulo",0,4.86,0,3.29,"América-MG",NA,NA,15,NA,41,4,7,19,NA,33,NA,4,NA,2,1,NA,NA,NA
"442","Everton Felipe de Oliveira Silva","everton-felipe","Everton Felipe","https://s.glbimg.com/es/sde/f/2018/08/21/4d64454f19345aa1913dc5a20c3bd0d2_FORMATO.png",86519,24,"SAO","mei","Nulo",0.8,4.89,-0.44,2.36,"São Paulo",NA,NA,13,NA,26,NA,NA,5,1,8,4,1,NA,NA,NA,1,NA,NA
"443","Gabriel Barbosa Almeida","gabriel","Gabriel","https://s.glbimg.com/es/sde/f/2018/05/23/867503e41e09367e5f12e0f5e8a10322_FORMATO.png",83257,24,"SAN","ata","Provável",15,16.19,2.65,6.14,"Santos",NA,NA,35,NA,58,NA,2,25,12,18,9,25,NA,1,NA,14,NA,NA
"444","Malcoon Silva","malcoon","Malcoon","https://s.glbimg.com/es/sde/f/2015/05/07/69c5d890c1338b62d5a46963c3c32ab1_FORMATO.jpeg",86615,24,"AME","lat","Nulo",0,2,0,0,"América-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"445","Everton Sousa Soares","everton","Everton","https://s.glbimg.com/es/sde/f/2018/05/18/997feae679bb584848d2ef5197f0b406_FORMATO.png",86757,24,"GRE","ata","Nulo",0,17.41,0,8.25,"Grêmio",NA,NA,27,NA,37,NA,4,19,7,23,14,21,3,3,NA,2,NA,NA
"446","Jean Roberto Souza da Silva","jean-roberto","Jean Roberto","https://s.glbimg.com/es/sde/f/2018/08/03/a07616383dec21597806430f34779a1d_FORMATO.png",83204,24,"CHA","mei","Nulo",0,2,0,0,"Chapecoense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"447","Richard Cândido Coelho","richard","Richard","https://s.glbimg.com/es/sde/f/2018/05/18/2e439bad8d914c893045a080a41aee13_FORMATO.png",86711,24,"FLU","mei","Provável",6,15.83,-0.44,4.64,"Fluminense",NA,NA,31,NA,44,NA,3,27,1,63,6,6,NA,1,NA,NA,NA,NA
"448","João Lucas Cardoso","joao-lucas","João Lucas","https://s.glbimg.com/es/sde/f/2018/06/08/cba36b9e183d6b8a55c6361787adf089_FORMATO.jpeg",86740,24,"CEA","lat","Contundido",0,4.47,0,3.06,"Ceará",NA,NA,4,NA,25,5,1,6,NA,6,2,6,NA,NA,NA,NA,NA,NA
"449","Lucas Macanhan Ferreira","lucas-macanhan","Lucas Macanhan","https://s.glbimg.com/es/sde/f/2016/05/13/222c790995cc7292f07b0dc4db7cc5f4_FORMATO.png",86760,24,"ATL","gol","Nulo",0,1,0,0,"Atlético-PR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"450","Patrick Bezerra do Nascimento","patrick","Patrick","https://s.glbimg.com/es/sde/f/2018/04/08/ecdf20e0263f65cb7a63bf0e68ebd3b6_FORMATO.png",83433,24,"INT","mei","Provável",7,17.73,0.45,6.69,"Internacional",NA,NA,29,NA,48,NA,4,39,4,72,9,11,NA,3,NA,NA,NA,NA
"451","Luan Guilherme de Jesus Vieira","luan","Luan","https://s.glbimg.com/es/sde/f/2018/05/21/c01a0fcc9657bf0df6cfde4356ece5bc_FORMATO.png",86759,24,"GRE","ata","Nulo",1.2,14.48,-0.89,4.6,"Grêmio",NA,NA,47,NA,59,NA,2,19,NA,18,10,20,2,5,NA,3,NA,2
"452","Matheus Rossetto","matheus-rossetto","Matheus Rossetto","https://s.glbimg.com/es/sde/f/2018/05/08/036cf29144ee81b7e52eaed8486c6718_FORMATO.png",86766,24,"ATL","mei","Nulo",0,8.14,-0.82,1.87,"Atlético-PR",NA,NA,4,NA,21,NA,1,10,1,15,NA,3,NA,NA,NA,2,NA,NA
"453","Bruno da Silva Barbosa","bruno-silva","Bruno Silva","https://s.glbimg.com/es/sde/f/2018/04/09/cf6596e8e8357c8c896b4037c70910b2_FORMATO.png",83626,24,"VAS","mei","Provável",0,0.82,0,-0.24,"Vasco",NA,NA,4,NA,18,NA,1,10,NA,5,NA,1,NA,NA,NA,NA,NA,NA
"454","Leonardo Pereira","leo-pereira","Léo Pereira","https://s.glbimg.com/es/sde/f/2018/03/01/8a057cef4a095e67d1314d0ff4bff05a_FORMATO.png",83528,24,"ATL","zag","Provável",1.6,3.18,0.72,2.78,"Atlético-PR",NA,NA,4,NA,33,5,1,5,NA,4,1,3,NA,NA,NA,NA,NA,NA
"455","Reginaldo Lopes de Jesus","reginaldo","Reginaldo ","https://s.glbimg.com/es/sde/f/2018/07/20/591136c613faa29b99fb60147d6e557c_FORMATO.png",86820,24,"ATL","lat","Nulo",0,3,0,0,"Atlético-PR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"456","Jordi Almeida","jordi","Jordi","https://s.glbimg.com/es/sde/f/2018/05/03/ed6a15c40c4b369e9b0852d3eca92739_FORMATO.png",86776,24,"VAS","gol","Nulo",0,2,0,0,"Vasco",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"457","Clayson Henrique da Silva Vieira","clayson","Clayson","https://s.glbimg.com/es/sde/f/2018/03/19/8d90e0a2771563f6cb02d576edbed6ed_FORMATO.png",83817,24,"COR","ata","Provável",-1.1,8.65,-0.69,1.99,"Corinthians",NA,NA,11,NA,18,NA,1,12,1,9,2,3,NA,1,NA,3,NA,NA
"458","Neilton Meira Mestzk","neilton","Neilton","https://s.glbimg.com/es/sde/f/2018/03/21/a77d395d25e1b65d85306670c5ae5c09_FORMATO.png",83772,24,"VIT","ata","Provável",0.6,11.43,-0.84,4.57,"Vitória",NA,NA,46,NA,74,NA,6,30,5,28,5,16,1,4,NA,3,NA,NA
"459","José Welison da Silva","jose-welison","José Welison","https://s.glbimg.com/es/sde/f/2018/07/11/1d923ab86aabd29245dae5fd1338d9bd_FORMATO.png",86859,24,"ATL","mei","Nulo",1.7,3.47,0.12,1.83,"Atlético-MG",NA,NA,13,NA,37,NA,4,30,NA,36,2,3,NA,NA,NA,NA,NA,NA
"460","Diego Barbosa Tavares","diego-tavares","Diego Tavares","https://s.glbimg.com/es/sde/f/2018/08/31/b99149d02e70403afe5bf3e8306aefc1_FORMATO.jpeg",83869,24,"PAR","lat","Nulo",0,3.92,0,4.5,"Paraná",NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA
"461","Luís Vinícius da Silva Matos","vinicius","Vinicius","https://s.glbimg.com/es/sde/f/2018/04/20/41282578700a83d0c3505f577dfbac5c_FORMATO.png",86861,24,"VIT","zag","Nulo",0,3,0,0,"Vitória",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"462","Raniel Santana de Vasconcelos","raniel","Raniel","https://s.glbimg.com/es/sde/f/2018/05/07/074f3b8960ae6ea7711fa17be1c27cac_FORMATO.png",86797,24,"CRU","ata","Provável",-2,6.11,-1.25,3,"Cruzeiro",NA,NA,35,NA,18,NA,1,35,3,14,9,13,NA,1,NA,5,NA,1
"463","Andrew Erik Feitosa","morato","Morato","https://s.glbimg.com/es/sde/f/2018/08/10/f20dbfb85cf291b37dab5689f90e2f2c_FORMATO.png",86227,24,"SPO","ata","Provável",0,1.97,0,1.3,"Sport",NA,NA,4,NA,3,NA,1,3,NA,3,3,NA,NA,NA,NA,1,NA,NA
"464","Nathan Gomes de Melo","nathan","Nathan",NA,86951,24,"VAS","ata","Nulo",0,2,0,0,"Vasco",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"465","David Rambo Becker","david","David","https://s.glbimg.com/es/sde/f/2018/05/15/306200d24584eb1c79eb0ea0c0fb6cf9_FORMATO.png",86928,24,"PAR","gol","Nulo",0,0.73,0,-3.2,"Paraná",1,NA,NA,6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"466","Pablo Dyego da Silva Rosa","pablo-dyego","Pablo Dyego","https://s.glbimg.com/es/sde/f/2018/01/21/438b2556ee9ffdf26099d9eb3ecbe28a_FORMATO.png",86444,24,"FLU","ata","Nulo",0,5.39,0,3.24,"Fluminense",NA,NA,12,NA,15,NA,NA,4,2,5,4,6,1,NA,NA,NA,NA,NA
"467","Luiz Otávio da Silva Santos","luiz-otavio","Luiz Otávio ","https://s.glbimg.com/es/sde/f/2018/05/24/e8b83c81c541dabe3a815f0473d550fa_FORMATO.png",86863,24,"CHA","zag","Nulo",0,4.05,0,1.37,"Chapecoense",NA,NA,NA,NA,4,1,1,3,NA,2,NA,1,NA,NA,NA,NA,NA,NA
"468","Yago Felipe da Costa Rocha","yago","Yago","https://s.glbimg.com/es/sde/f/2018/03/21/54d2ff44a32a66affd7636aa9f2ae99f_FORMATO.png",87747,24,"VIT","mei","Nulo",0,8.31,0,2.24,"Vitória",NA,NA,38,NA,33,NA,4,19,1,18,6,15,NA,NA,1,1,NA,NA
"469","Antônio Francisco Moura Neto","neto-moura","Neto Moura","https://s.glbimg.com/es/sde/f/2018/05/24/af017e13e350ed632a40f953f3dd8d53_FORMATO.png",87742,24,"SPO","mei","Provável",-2.3,3.86,-1.15,2.29,"Sport",NA,NA,10,NA,8,NA,2,12,NA,20,4,3,NA,NA,NA,NA,NA,NA
"470","Glauco Tadeu Chaves","glauco","Glauco","https://s.glbimg.com/es/sde/f/2018/05/07/1fe49ae80180a4b6e896021ef63976ff_FORMATO.png",84555,24,"AME","gol","Nulo",0,4,0,0,"América-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"471","Emerson Raymundo Santos","emerson-santos","Emerson Santos","https://s.glbimg.com/es/sde/f/2018/07/20/c87125fb04d89c8e72a797a7b0ceeddb_FORMATO.png",86972,24,"INT","zag","Nulo",0,4.05,0,8.4,"Internacional",NA,NA,2,NA,8,3,NA,2,NA,6,1,3,NA,NA,NA,NA,NA,NA
"472","Leonardo Gomes da Conceição Silva","leonardo","Leonardo","https://s.glbimg.com/es/sde/f/2018/05/21/15d96549307788253f2aba10bff0c973_FORMATO.png",86973,24,"GRE","lat","Provável",0,4.86,0,6.47,"Grêmio",NA,NA,7,NA,19,5,1,10,NA,18,2,2,NA,1,NA,NA,NA,NA
"473","Geremias Ribeiro Júnior","junior","Júnior","https://s.glbimg.com/es/sde/f/2018/03/21/5ee8b76a0676e5e5eba8d8aefac91636_FORMATO.png",87946,24,"VIT","ata","Nulo",0,2.55,0,1.5,"Vitória",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"474","Júnior Nazareno Sornoza Moreira","sornoza","Sornoza","https://s.glbimg.com/es/sde/f/2018/05/18/a4885adc809e017894786b603d5a5d6b_FORMATO.png",87877,24,"FLU","mei","Dúvida",0,6.98,0,2,"Fluminense",NA,NA,13,NA,52,NA,6,13,NA,23,12,16,1,1,NA,NA,NA,NA
"475","Giorgian Daniel de Arrascaeta Benedetti","arrascaeta","Arrascaeta","https://s.glbimg.com/es/sde/f/2018/07/01/4bacaa8c6112be8345d4e81006963e37_FORMATO.png",87863,24,"CRU","mei","Nulo",0,16.37,0,7.44,"Cruzeiro",NA,NA,31,NA,35,NA,3,15,3,24,12,14,1,5,NA,2,NA,NA
"476","Moisés Roberto Barbosa","moises","Moisés","https://s.glbimg.com/es/sde/f/2018/03/20/54a51f5d3bd850ab8a76126ee75399ed_FORMATO.png",90444,24,"BOT","lat","Provável",1.6,7.45,-0.14,3.77,"Botafogo",NA,NA,22,NA,31,3,2,32,NA,41,4,3,NA,NA,1,NA,NA,NA
"477","Andrevaldo de Jesus Santos","valdo","Valdo","https://s.glbimg.com/es/sde/f/2018/05/25/cf9d979ab326b302465984bc2feb021f_FORMATO.png",84509,24,"CEA","zag","Nulo",0,7.22,0,3.2,"Ceará",NA,NA,4,NA,5,3,NA,5,NA,11,NA,3,NA,NA,NA,NA,NA,NA
"478","Ramon Menezes Roma","ramon","Ramon","https://s.glbimg.com/es/sde/f/2018/03/21/64085a03b9eafec964b531667b296fe5_FORMATO.png",88087,24,"VIT","zag","Provável",3.7,4.72,-0.11,3.11,"Vitória",NA,NA,15,NA,24,7,4,28,1,20,2,3,NA,NA,NA,NA,NA,NA
"479","Matheus Vieira Campos Peixoto","matheus-peixoto","Matheus Peixoto","https://s.glbimg.com/es/sde/f/2018/09/05/25292011418c30eca2ce3979525cf970_FORMATO.png",87098,24,"SPO","ata","Nulo",0,4,0,0,"Sport",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"480","Gustavo Henrique Furtado Scarpa","gustavo-scarpa","Gustavo Scarpa","https://s.glbimg.com/es/sde/f/2018/01/30/1c8d05bc4c0ddfd177c66ab26b1a5deb_FORMATO.jpeg",87999,24,"PAL","mei","Contundido",0,9.08,0,2.23,"Palmeiras",NA,NA,8,NA,18,NA,1,5,NA,7,2,8,NA,NA,NA,NA,NA,NA
"481","Paulo Ricardo Ferreira","paulo-ricardo","Paulo Ricardo","https://s.glbimg.com/es/sde/f/2018/08/07/40535dad7f23b1a420480a49910c5680_FORMATO.png",88224,24,"FLU","zag","Nulo",0,4,0,0,"Fluminense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
