"","atletas.nome","atletas.slug","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","atletas.clube.id.full.name","A","CA","DS","FC","FD","FF","FS","FT","G","GC","I","PI","SG","DD","DP","GS","CV","PP"
"406","Rick Jhonatan Lima Morais","rick","Rick","https://s.glbimg.com/es/sde/f/2020/08/31/66182e36104ff865242a7b388c3a2d6b_FORMATO.png",104459,23,354,"ata","Nulo",0,1.16,0,0.48,4,"354",NA,NA,2,5,NA,NA,6,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA
"407","Maílson Tenório dos Santos","mailson","Maílson","https://s.glbimg.com/es/sde/f/2018/05/24/d5727b385d03345fbbfcdc75ebcdbe7c_FORMATO.png",98034,23,292,"gol","Nulo",0,0.98,0,-0.4,7,"292",NA,1,1,1,NA,NA,1,NA,NA,NA,NA,58,NA,6,NA,10,NA,NA
"408","Jean Pyerre Casagrande Silveira Correa","jean-pyerre","Jean Pyerre","https://s.glbimg.com/es/sde/f/2019/07/09/c0831db56540c4e253fdd6affa63d176_FORMATO.png",98832,23,284,"mei","Nulo",0,11.49,0,4.65,8,"284",1,NA,10,5,3,14,7,1,1,NA,NA,46,NA,NA,NA,NA,NA,NA
"409","João Victor da Silva Marcelino","joao-victor","João Victor","https://s.glbimg.com/es/sde/f/2020/07/11/4c4dadeaea30878f0a87ab9fd6ae8d27_FORMATO.png",104250,23,373,"zag","Suspenso",0,3.59,0,2.41,15,"373",1,6,29,17,1,1,13,NA,NA,NA,NA,58,4,NA,NA,NA,NA,NA
"410","Mariano Vázquez","mariano-vazquez","Mariano Vázquez","https://s.glbimg.com/es/sde/f/2019/07/03/8893116eb5db26f6e34e68d817fe606d_FORMATO.png",98760,23,356,"mei","Nulo",0,1.12,0,-0.17,8,"356",NA,1,1,4,NA,NA,4,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA
"411","Diego Churín Puyo","churin","Churín","https://s.glbimg.com/es/sde/f/2020/10/26/a511db6b41f5552de55575d62a217d3c_FORMATO.png",98289,23,284,"ata","Nulo",0,9.13,0,4.35,4,"284",1,NA,3,6,NA,1,3,1,1,NA,1,4,NA,NA,NA,NA,NA,NA
"412","Gabriel Batista de Souza","gabriel-batista","Gabriel Batista","https://s.glbimg.com/es/sde/f/2020/07/21/a0fe36e0e71a7d48c344eb5e7668b6f7_FORMATO.png",98333,23,262,"gol","Nulo",0,1.56,0,-0.9,3,"Flamengo",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,12,NA,2,NA,5,NA,NA
"413","Dalberto Luan Belo","dalberto","Dalberto","https://s.glbimg.com/es/sde/f/2020/11/20/22165cdbf4a8d2ab347cd89ef88552b4_FORMATO.png",97995,23,292,"ata","Nulo",0,3,0,0,0,"292",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"414","Tailson Pinto Gonçalves","tailson","Tailson","https://s.glbimg.com/es/sde/f/2020/02/28/6a3d988146a39cccc9f2572d2d1235f8_FORMATO.png",104578,23,277,"ata","Nulo",0,1.98,0,0.54,9,"Santos",NA,NA,5,6,1,NA,6,NA,NA,NA,NA,14,NA,NA,NA,NA,NA,NA
"415","Luis Phelipe de Souza Figueiredo","luis-phelipe","Luis Phelipe","https://s.glbimg.com/es/sde/f/2020/08/28/603f9c40a4384779d4bf795d27336987_FORMATO.png",104500,23,280,"ata","Nulo",0,5.07,0,2.12,11,"280",1,1,9,5,1,NA,12,NA,1,NA,NA,14,NA,NA,NA,NA,NA,NA
"416","Luiz Henrique Augustin ","luiz-henrique","Luiz Henrique","https://s.glbimg.com/es/sde/f/2020/03/03/1a216904bc60228576fbef1f7a6fece2_FORMATO.png",104526,23,294,"mei","Nulo",0,1.52,0,0.84,7,"Coritiba",NA,NA,7,4,NA,1,3,NA,NA,NA,NA,14,NA,NA,NA,NA,NA,NA
"417","Tomás Esteban Cuello","cuello","Cuello","https://s.glbimg.com/es/sde/f/2020/07/28/1eeacbdffc5dd751f52728c41e6c3146_FORMATO.png",98909,23,280,"mei","Nulo",-2.5,1.38,-0.41,1.23,7,"280",NA,2,8,5,2,3,3,1,NA,NA,NA,22,NA,NA,NA,NA,NA,NA
"418","Darlan Pereira Mendes","darlan","Darlan","https://s.glbimg.com/es/sde/f/2020/07/19/86f5908425375d7aa9007181ae00f69c_FORMATO.png",104593,23,284,"mei","Nulo",0,4.18,0,2.13,12,"284",NA,2,27,14,NA,3,5,NA,1,NA,NA,34,NA,NA,NA,NA,NA,NA
"419","Henrique Vermudt","henrique-vermudt","Henrique Vermudt","https://s.glbimg.com/es/sde/f/2020/03/03/935e5497d5d03ac1eefea34e909731cf_FORMATO.png",104504,23,294,"mei","Nulo",0,1.75,0,0.73,3,"Coritiba",NA,NA,3,NA,NA,NA,1,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,NA
"420","Victor Hugo Soares dos Santos","kanu","Kanu","https://s.glbimg.com/es/sde/f/2018/05/17/2db8b29bbc16d8473f93bd1f8a0351dc_FORMATO.png",98484,23,263,"zag","Nulo",0,5.11,0,2.79,20,"263",1,2,33,16,2,4,20,NA,NA,NA,NA,57,4,NA,NA,NA,NA,NA
"421","Pedro Raul Garay da Silva","pedro-raul","Pedro Raul","https://s.glbimg.com/es/sde/f/2020/03/01/a9eff7e76be6852105bc805128846d3a_FORMATO.png",98225,23,263,"ata","Nulo",0,6,0,2.31,14,"263",1,1,5,20,7,12,16,NA,2,NA,2,67,NA,NA,NA,NA,NA,NA
"422","Matías Nicolás Viña Susperreguy","vina","Viña","https://s.glbimg.com/es/sde/f/2020/02/28/444cc845fe792b0fdd234c579e4c31de_FORMATO.png",98974,23,275,"lat","Provável",14.9,10.45,1.67,5.73,13,"275",2,3,47,13,2,5,20,NA,NA,NA,2,103,5,NA,NA,NA,NA,NA
"423","José Marcos Costa Martins","marquinhos","Marquinhos","https://s.glbimg.com/es/sde/f/2020/08/31/f80b931ac45bd42717faafcefa816c42_FORMATO.png",98765,23,282,"ata","Nulo",0,3.86,0,1.4,11,"282",1,NA,12,13,1,4,5,1,NA,NA,3,35,NA,NA,NA,NA,NA,NA
"424","Saulo Rodrigues da Silva","saulo-mineiro","Saulo Mineiro","https://s.glbimg.com/es/sde/f/2020/09/24/6ceba057ce17022449326aff9d66b9c0_FORMATO.png",98274,23,354,"ata","Nulo",8.5,3.98,1.16,3.77,3,"354",NA,NA,3,7,NA,1,1,1,1,NA,NA,5,NA,NA,NA,NA,NA,NA
"425","Brenner Souza da Silva","brenner","Brenner","https://s.glbimg.com/es/sde/f/2020/07/23/08b2259246ad0fdc037dd11a4549d219_FORMATO.png",99789,23,276,"ata","Provável",3.8,6.46,0.03,5.3,15,"276",1,3,7,12,9,13,25,1,6,NA,5,26,NA,NA,NA,NA,NA,NA
"426","Francisco Alves da Silva Melo","chico","Chico","https://s.glbimg.com/es/sde/f/2020/02/27/091e13c92c44ecc1214f5f2ecd1f2b5d_FORMATO.png",99253,23,292,"zag","Provável",0.1,2.44,-0.92,2.84,10,"292",NA,1,15,6,NA,1,2,NA,NA,NA,NA,34,4,NA,NA,NA,NA,NA
"427","Sandry Roberto Santos Goes","sandry","Sandry","https://s.glbimg.com/es/sde/f/2020/03/09/8bf582cd91832a1415dc460fd233c490_FORMATO.png",104580,23,277,"mei","Nulo",3.5,1.91,0.75,-0.03,6,"Santos",NA,4,11,9,NA,NA,4,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA
"428","Fabrício Oliveira de Souza","fabricio","Fabrício","https://s.glbimg.com/es/sde/f/2020/08/07/f8b289d5475ed46673e065e097cf09f6_FORMATO.png",104588,23,265,"gol","Nulo",0,1,0,0,0,"265",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"429","Ricardo Queiroz de Alencastro Graça","ricardo","Ricardo","https://s.glbimg.com/es/sde/f/2020/08/17/1f0c50b2e3b9d5732c27d1fe873c62b8_FORMATO.png",99881,23,267,"zag","Provável",0.8,6.75,-0.31,2.7,13,"267",NA,2,20,10,1,4,7,NA,NA,NA,NA,38,4,NA,NA,NA,NA,NA
"430","Pedro Henrique Naressi Machado","pedro-naressi","Pedro Naressi","https://s.glbimg.com/es/sde/f/2020/09/14/46ddb181165c7727e2b17d88bb13428e_FORMATO.png",98529,23,354,"mei","Nulo",8.7,2.2,1.42,1.04,5,"354",NA,3,9,12,NA,NA,5,NA,1,NA,NA,23,NA,NA,NA,NA,NA,NA
"431","Leonardo Natel Vieira","leo-natel","Léo Natel","https://s.glbimg.com/es/sde/f/2020/07/21/75fe8f637b732326ab10856c62020124_FORMATO.png",98952,23,264,"ata","Nulo",0,3.93,0,1.82,15,"264",1,1,14,23,3,7,10,NA,2,NA,4,63,NA,NA,NA,NA,NA,NA
"432","Michael Richard Delgado de Oliveira","michael","Michael","https://s.glbimg.com/es/sde/f/2020/07/21/eaff0a8cfed9390deb3cf2761132080d_FORMATO.png",99392,23,262,"ata","Nulo",0,5.21,0,1.08,13,"Flamengo",1,1,7,13,3,9,7,NA,NA,NA,NA,38,NA,NA,NA,NA,NA,NA
"433","Douglas do Espírito Santo Torres","douglas-borel","Douglas Borel","https://s.glbimg.com/es/sde/f/2020/02/28/b712535c02755e644522c63bcfa813af_FORMATO.png",104634,23,265,"lat","Nulo",0,1,0,0,0,"265",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"434","Lucas Braga Ribeiro","lucas-braga","Lucas Braga","https://s.glbimg.com/es/sde/f/2020/08/20/647949d36ebae12053e632bfe95815d5_FORMATO.png",99119,23,277,"ata","Dúvida",10.9,4.36,1.4,1.72,17,"Santos",1,3,20,25,4,3,27,NA,1,NA,2,48,NA,NA,NA,NA,NA,NA
"435","Weverton Guilherme da Silva Souza","weverton","Weverton","https://s.glbimg.com/es/sde/f/2020/07/28/98ed816e6bc98070a63fcc74d25eca77_FORMATO.png",104625,23,280,"lat","Nulo",0,0.99,0,0.16,5,"280",NA,NA,2,1,NA,1,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,NA
"436","Alesandro dos Santos Pereira","ale-santos","Alê Santos","https://s.glbimg.com/es/sde/f/2020/02/27/5751271b660f08e0407f7ee70d3e829f_FORMATO.png",99256,23,292,"mei","Contundido",0,2,0,0,0,"292",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"437","Patrick Machado Ferreira ","patrick","Patrick","https://s.glbimg.com/es/sde/f/2020/07/19/c14a26423f60b6ea3fad21b28855d481_FORMATO.png",99918,23,284,"mei","Nulo",0,2.74,0,-0.5,1,"284",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"438","Warley Leandro da Silva","warley","Warley","https://s.glbimg.com/es/sde/f/2020/03/01/d0a8e4730428e0cc54246ec2cbc1d50f_FORMATO.png",104646,23,263,"ata","Nulo",0,3.51,0,1.5,5,"263",NA,1,1,5,1,1,3,NA,1,NA,NA,5,NA,NA,NA,NA,NA,NA
"439","Lucas da Silva Ribeiro Campos","lucas-campos","Lucas Campos","https://s.glbimg.com/es/sde/f/2019/08/23/de2cbd55d0f687fecdd4b8346fddf148_FORMATO.png",99903,23,263,"ata","Nulo",0,2,0,0,0,"263",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"440","Federico Matías Javier Zaracho","zaracho","Zaracho","https://s.glbimg.com/es/sde/f/2020/10/19/41b058a9a8c68dc92fe626989ecf6a3e_FORMATO.png",100079,23,282,"mei","Nulo",0,9.49,0,2.48,5,"282",NA,NA,5,5,1,1,2,NA,1,NA,NA,11,NA,NA,NA,NA,NA,NA
"441","Gabriel Davi Gomes Sara","gabriel-sara","Gabriel Sara","https://s.glbimg.com/es/sde/f/2020/11/05/d6c6115b5a030607c5a349c3c7265105_FORMATO.png",100763,23,276,"mei","Provável",-1.3,3.79,-1.34,2.85,18,"276",1,5,20,18,4,14,20,NA,4,NA,4,108,NA,NA,NA,NA,NA,NA
"442","Igor Silveira Gomes","igor-gomes","Igor Gomes","https://s.glbimg.com/es/sde/f/2019/04/01/7a6c90034396325f6cc570ef06e1040c_FORMATO.png",100084,23,276,"mei","Provável",3.3,3.98,0.81,1.34,19,"276",1,2,14,24,6,6,21,NA,1,NA,1,78,NA,NA,NA,NA,NA,NA
"443","Matheus Soares Thuler","thuler","Thuler","https://s.glbimg.com/es/sde/f/2020/07/21/c1d622890e9831d7d8ea5d180ec25470_FORMATO.png",100125,23,262,"zag","Nulo",0,2.2,0,-0.28,4,"Flamengo",NA,1,2,3,NA,NA,3,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA
"444","Lucas Esteves de Souza","esteves","Esteves","https://s.glbimg.com/es/sde/f/2019/07/08/cd984c932e6f6d7e51df1e0963c5513e_FORMATO.jpeg",100846,23,275,"lat","Nulo",0,1.4,0,-0.57,3,"275",NA,1,3,4,NA,NA,2,NA,NA,NA,NA,17,NA,NA,NA,NA,NA,NA
"445","Diego Terra Loureiro","diego-loureiro","Diego Loureiro","https://s.glbimg.com/es/sde/f/2020/03/01/4aa545bef3f6f79e2004bcd20b92e8e7_FORMATO.png",99430,23,263,"gol","Nulo",0,1,0,0,0,"263",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"446","Lincoln Corrêa dos Santos","lincoln","Lincoln","https://s.glbimg.com/es/sde/f/2020/07/21/89095e06a56aa2963d7afa7929bcbd02_FORMATO.png",100065,23,262,"ata","Nulo",0,3.78,0,1.88,12,"Flamengo",1,1,4,2,8,NA,1,NA,1,NA,NA,15,NA,NA,NA,NA,NA,NA
"447","Luan Cândido de Almeida","luan-candido","Luan Cândido","https://s.glbimg.com/es/sde/f/2020/07/28/6e72b464ec47e25ee0d33c043677901a_FORMATO.png",100848,23,280,"lat","Provável",3.1,1.64,0.31,0.53,4,"280",NA,2,6,8,NA,1,1,NA,NA,NA,NA,22,1,NA,NA,NA,NA,NA
"448","Fernando Peixoto Costanza","fernando","Fernando","https://s.glbimg.com/es/sde/f/2019/03/28/0e1597e7f7c233c1663c9739a327843b_FORMATO.png",99550,23,263,"lat","Nulo",0,3.2,0,3.15,2,"263",NA,1,4,1,NA,NA,1,NA,NA,NA,NA,7,1,NA,NA,NA,NA,NA
"449","Caio Alan Tem Catem Gonçalves","caio","Caio","https://s.glbimg.com/es/sde/f/2018/03/01/87be2dd051653cd0a7a8ee5d52f910c8_FORMATO.png",99460,23,293,"gol","Nulo",0,1,0,0,0,"293",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"450","César Ignacio Pinares Tamayo","pinares","Pinares","https://s.glbimg.com/es/sde/f/2020/11/09/b3356c651dec1138df6cbc163f286172_FORMATO.png",100107,23,284,"mei","Nulo",0,5.56,0,0.2,1,"284",NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA
"451","Brenno Oliveira Fraga Costa","brenno","Brenno","https://s.glbimg.com/es/sde/f/2020/07/19/1748daa635dc775b9136f10307a95ab1_FORMATO.png",100830,23,284,"gol","Nulo",0,1,0,0,0,"284",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"452","Gabriel Baralhas dos Santos","baralhas","Baralhas","https://s.glbimg.com/es/sde/f/2020/10/20/d1b6cda28d3190a8ba17446d082ac2ab_FORMATO.png",99440,23,373,"mei","Nulo",0,4.6,0,4.9,1,"373",NA,NA,5,1,NA,1,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA
"453","Paulo Henrique Pereira da Silva","paulinho-boia","Paulinho Bóia","https://s.glbimg.com/es/sde/f/2020/07/21/b835e53eaf060e493f1fdd092c0174c6_FORMATO.png",100333,23,276,"ata","Nulo",0,4.79,0,3.1,9,"276",NA,NA,11,8,4,6,18,2,NA,NA,3,22,NA,NA,NA,NA,NA,NA
"454","Lucas Araújo de Oliveira","lucas-araujo","Lucas Araújo","https://s.glbimg.com/es/sde/f/2020/07/19/42424bcbcec84f88078917af7eaa872f_FORMATO.png",100844,23,284,"mei","Nulo",0,1,0,0,0,"284",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"455","Ruan Tressoldi Netto","ruan","Ruan","https://s.glbimg.com/es/sde/f/2019/12/06/d2a238e1b58db291139f1714859cad33_FORMATO.png",100842,23,284,"zag","Nulo",0,0.77,0,0,2,"284",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"456","Aldemir dos Santos Ferreira","ferreira","Ferreira","https://s.glbimg.com/es/sde/f/2020/07/19/5e28328bd5d542110444e7c5562c21fe_FORMATO.png",101290,23,284,"ata","Nulo",0,4.78,0,3.5,7,"284",NA,NA,5,7,2,4,5,NA,2,NA,NA,11,NA,NA,NA,NA,NA,NA
"457","Yuri Alberto Monteiro da Silva","yuri-alberto","Yuri Alberto","https://s.glbimg.com/es/sde/f/2020/08/11/60b97b20e537fed275de66e23aafd5d9_FORMATO.png",100652,23,285,"ata","Nulo",2.8,2.68,0.46,2.01,9,"285",NA,1,2,10,5,2,4,NA,2,NA,2,15,NA,NA,NA,NA,NA,NA
"458","Aníbal Gabriel Vega da Silva","anibal","Aníbal","https://s.glbimg.com/es/sde/f/2020/11/13/5d86a6b2ee058b154f671d3ef3a2f161_FORMATO.png",100847,23,275,"ata","Nulo",0,1,0,0,0,"275",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"459","Matheus Henrique de Souza","matheus-henrique","Matheus Henrique","https://s.glbimg.com/es/sde/f/2020/07/19/2e4d9048adfe4f9650ef110a2758b57e_FORMATO.png",100742,23,284,"mei","Nulo",0,6.06,0,1.2,16,"284",NA,4,27,21,1,3,39,NA,NA,NA,NA,75,NA,NA,NA,NA,1,NA
"460","Wanderson Felippe Cardoso dos Santos","felippe-cardoso","Felippe Cardoso","https://s.glbimg.com/es/sde/f/2020/08/11/65b773ef79fcc1056f7ae14cd0e7be82_FORMATO.png",100963,23,266,"ata","Nulo",0.5,2.33,-0.08,0.79,14,"266",NA,1,5,16,5,4,10,NA,1,NA,7,27,NA,NA,NA,NA,NA,NA
"461","Lucas Henrique Ferreira Venuto","lucas-venuto","Lucas Venuto","https://s.glbimg.com/es/sde/f/2020/08/11/4d0626b467649cadfbf95578a06887cf_FORMATO.png",100290,23,292,"ata","Nulo",0,1.89,0,0.89,7,"292",NA,NA,2,3,NA,NA,10,1,NA,NA,NA,23,NA,NA,NA,NA,NA,NA
"462","Ygor de Oliveira Ferreira","ygor-catatau","Ygor Catatau","https://s.glbimg.com/es/sde/f/2020/08/17/fd7a0d6eccfebe7256b429fbca413830_FORMATO.png",100977,23,267,"ata","Nulo",0.4,2.39,0.01,1.64,10,"267",1,1,5,6,NA,3,8,NA,1,NA,1,25,NA,NA,NA,NA,NA,NA
"463","Gustavo Nonato Santana","nonato","Nonato","https://s.glbimg.com/es/sde/f/2020/02/27/4fc30df934657cce0aecf53ef7dc9a8b_FORMATO.png",100987,23,285,"mei","Suspenso",0,4.19,0,3.78,6,"285",NA,3,20,11,1,1,12,NA,1,NA,NA,18,NA,NA,NA,NA,NA,NA
"464","Helerson Mateus do Nascimento","helerson","Helerson","https://s.glbimg.com/es/sde/f/2019/03/22/4f209e6f74df9776da75f4a35ed2b28f_FORMATO.png",101073,23,263,"zag","Nulo",0,1,0,0,0,"263",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"465","Cláudio Rodrigues Gomes","guga","Guga","https://s.glbimg.com/es/sde/f/2020/08/31/ff263cf2e43da8d3c2b3b688ae237c0c_FORMATO.png",101319,23,282,"lat","Nulo",0,13.11,0,4.89,18,"282",1,1,45,19,2,6,21,1,1,NA,NA,143,7,NA,NA,NA,NA,NA
"466","Arthur Henrique Bittencourt","arthur","Arthur","https://s.glbimg.com/es/sde/f/2019/01/25/5f0f0047f511d254fd9d18a7ef986daa_FORMATO.png",101173,23,294,"gol","Nulo",0,1,0,0,0,"Coritiba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"467","Francisco Vítor Silva Costa","victor-jacare","Victor Jacaré","https://s.glbimg.com/es/sde/f/2020/08/25/682aea868615c09c3571352b835cc394_FORMATO.png",101201,23,354,"ata","Nulo",0,5.69,0,1.7,6,"354",NA,2,NA,8,2,6,10,NA,1,NA,1,15,NA,NA,NA,NA,NA,NA
"468","Ronald dos Santos Lopes","ronald","Ronald","https://s.glbimg.com/es/sde/f/2020/08/11/efc2759a4d0d9b526fb58356150c1655_FORMATO.png",100969,23,356,"mei","Nulo",0,3.03,0,1.91,14,"356",1,1,22,14,2,NA,17,NA,NA,NA,NA,22,NA,NA,NA,NA,NA,NA
"469","Guilherme Alecsander Guedes","guilherme-guedes","Guilherme Guedes","https://s.glbimg.com/es/sde/f/2020/07/19/3e492b4747eacc5d7e87267e97310fad_FORMATO.png",100741,23,284,"lat","Nulo",0,3,0,0,0,"284",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"470","Heitor Rodrigues da Fonseca","heitor","Heitor","https://s.glbimg.com/es/sde/f/2020/02/27/46ea70366228afe849358bbedd6c18e1_FORMATO.png",104649,23,285,"lat","Dúvida",7.9,5.65,1.4,4.95,8,"285",4,3,23,11,2,1,11,NA,NA,NA,NA,56,2,NA,NA,NA,1,NA
"471","Lucas Santos da Silva","lucas-santos","Lucas Santos","https://s.glbimg.com/es/sde/f/2020/08/17/9d1cc15782d0788c4ccb7f3cd9a12641_FORMATO.png",101718,23,267,"mei","Nulo",0,0.99,0,-1,3,"267",NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA
"472","Gustavo Adolfo Torres Grueso","gustavo-torres","Gustavo Torres","https://s.glbimg.com/es/sde/f/2020/11/27/ace62345e6a036076f14fdccadcaf5c0_FORMATO.png",101413,23,267,"ata","Provável",0.8,4.98,-1.06,2.65,4,"267",1,NA,4,5,2,3,3,NA,NA,NA,1,17,NA,NA,NA,NA,NA,NA
"473","Vinícius Lopes da Silva","vinicius","Vinícius","https://s.glbimg.com/es/sde/f/2020/09/24/f3ee6a9a8f1a2edeccd5d3f9d5cc70cd_FORMATO.png",104660,23,290,"ata","Contundido",0,5,0,4.53,14,"290",2,2,18,23,9,8,29,NA,3,NA,NA,48,NA,NA,NA,NA,NA,NA
"474","Igor Matheus Liziero Pereira ","liziero","Liziero","https://s.glbimg.com/es/sde/f/2019/04/01/8423e58431d29d7700ba477367f59b3f_FORMATO.png",100761,23,276,"mei","Contundido",0,4.4,0,1.02,5,"276",NA,1,9,7,2,2,4,NA,NA,NA,NA,44,NA,NA,NA,NA,NA,NA
"475","Guilherme Bissoli Campos","bissoli","Bissoli","https://s.glbimg.com/es/sde/f/2020/03/03/9afb408f4d0f07b2b83a6b6e179b3766_FORMATO.png",100762,23,293,"ata","Dúvida",-1.3,1.89,-0.31,0.56,7,"293",NA,NA,1,5,2,1,2,1,NA,NA,2,8,NA,NA,NA,NA,NA,NA
"476","Martín Nicolás Sarrafiore","sarrafiore","Sarrafiore","https://s.glbimg.com/es/sde/f/2020/09/17/8f1169f09495acbeed3fec9bcfc07aa0_FORMATO.png",101315,23,294,"mei","Nulo",0,2.34,0,1.23,6,"Coritiba",NA,1,5,4,1,6,5,NA,NA,NA,NA,21,NA,NA,NA,NA,NA,NA
"477","Ramon Ramos Lima","ramon","Ramon","https://s.glbimg.com/es/sde/f/2020/08/07/2658781d40904058494d16404f6c6608_FORMATO.png",101597,23,262,"lat","Nulo",0,1.25,0,-0.1,3,"Flamengo",NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA
"478","Lucas Barros da Cunha","lucas-barros","Lucas Barros","https://s.glbimg.com/es/sde/f/2019/03/28/be4f63d854fc719f9e9072cf24e0d7f3_FORMATO.png",104650,23,263,"lat","Nulo",0,2,0,0,0,"263",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"479","Chrigor Flores Moraes","chrigor","Chrigor","https://s.glbimg.com/es/sde/f/2020/08/28/123262c1e7129d7e89de9867393d1cc5_FORMATO.png",101398,23,280,"ata","Nulo",0,1.58,0,0.3,3,"280",NA,NA,2,3,NA,NA,2,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA
"480","Felipe Jonatan Rocha Andrade","felipe-jonatan","Felipe Jonatan","https://s.glbimg.com/es/sde/f/2020/03/09/0b840af999aed1a7ec1a7a35dee46abc_FORMATO.png",101708,23,277,"lat","Provável",-0.9,11.08,-1.44,4.46,21,"Santos",1,5,69,26,3,11,24,NA,2,NA,NA,175,4,NA,NA,NA,NA,NA
"481","Isaque Elias Brito","isaque","Isaque","https://s.glbimg.com/es/sde/f/2020/07/19/ab7cfc831a0762107f21b7bd866d6bf1_FORMATO.png",101483,23,284,"ata","Nulo",0,5.37,0,2.48,19,"284",1,NA,11,12,8,15,11,NA,2,NA,2,50,NA,NA,NA,NA,NA,NA
"482","Alex de Oliveira Nascimento","alex","Alex","https://s.glbimg.com/es/sde/f/2020/08/25/c7ba1be6aa6517cfd10dbc6c36264da4_FORMATO.png",101600,23,277,"zag","Nulo",0,2.26,0,2.18,6,"Santos",NA,1,5,2,NA,NA,6,NA,NA,NA,NA,19,2,NA,NA,NA,NA,NA
"483","Wagner Leonardo Calvelo de Souza","wagner-leonardo","Wagner Leonardo","https://s.glbimg.com/es/sde/f/2020/08/31/fb5f96034ec98cf83f561f397865ca64_FORMATO.png",104994,23,277,"zag","Nulo",0.9,2.24,-0.99,2.63,8,"Santos",NA,NA,15,1,1,NA,4,NA,NA,NA,NA,16,1,NA,NA,NA,NA,NA
"484","Ulisses Wilson Jeronymo Rocha ","ulisses","Ulisses","https://s.glbimg.com/es/sde/f/2020/08/17/0e567592573809f02b9880554b15c431_FORMATO.png",101647,23,267,"zag","Nulo",0,2,0,0,0,"267",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"485","Cauê Vinicius dos Santos","caue","Cauê","https://s.glbimg.com/es/sde/f/2020/09/15/07d411e831c63fa81f7f5ce687416942_FORMATO.png",104664,23,264,"ata","Nulo",0,1,0,0,0,"264",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"486","Thonny Anderson da Silva Carvalho","thonny-anderson","Thonny Anderson","https://s.glbimg.com/es/sde/f/2020/07/28/50ffd2282fd3da3693e850891d65327e_FORMATO.png",101484,23,280,"mei","Nulo",0,3.81,0,-1.58,5,"280",NA,NA,3,3,NA,NA,1,NA,NA,NA,NA,9,NA,NA,NA,NA,1,1
"487","Marrony da Silva Liberato","marrony","Marrony","https://s.glbimg.com/es/sde/f/2020/08/31/0b8fc0d9df187526916b27cd3ddd43a6_FORMATO.png",101717,23,282,"ata","Nulo",0,9.8,0,2.95,19,"282",1,1,10,18,8,6,9,1,4,NA,NA,17,NA,NA,NA,NA,NA,NA
