"","atletas.nome","atletas.slug","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","atletas.clube.id.full.name","CA","DS","FC","FF","FS","G","PI","CV","FD","SG","FT","I","A","DD","DP","GS","GC","PP"
"376","Matheus Barcelos da Silva","matheus-babi","Matheus Babi","https://s.glbimg.com/es/sde/f/2020/07/20/bb2284f13a5e04e59749617f6cfd07bd_FORMATO.png",94444,16,263,"ata","Provável",8.4,9.05,1.45,4.32,14,"263",4,21,37,8,39,4,64,NA,5,NA,2,5,1,NA,NA,NA,NA,NA
"377","José Sabino Chagas Monteiro","sabino","Sabino","https://s.glbimg.com/es/sde/f/2020/03/03/c40f55b88cf1db157380eee4013c9828_FORMATO.png",104075,16,294,"zag","Provável",-1.3,7.14,-1.34,3.66,16,"Coritiba",1,22,7,3,13,3,84,NA,NA,4,1,1,NA,NA,NA,NA,1,NA
"378","Carlos Eduardo Santos Oliveira","eduardo","Eduardo","https://s.glbimg.com/es/sde/f/2020/03/02/a44ce5150145201cb2e17e412ff95656_FORMATO.png",50645,16,354,"lat","Suspenso",0,1.94,0,-0.02,6,"354",1,8,6,NA,4,NA,46,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA
"379","Ronaldo da Silva Souza","ronaldo","Ronaldo","https://s.glbimg.com/es/sde/f/2020/07/20/dc33647201f8156e6ccfacd8ecd1cf1d_FORMATO.png",92981,16,265,"mei","Nulo",0,3.22,0,1.7,9,"265",3,22,18,2,9,NA,28,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"380","Henrique Silva Milagres","henrique","Henrique","https://s.glbimg.com/es/sde/f/2020/08/17/1f4446d8a1673e5fb3824c5f1d07c2bc_FORMATO.png",84893,16,267,"lat","Provável",0,6.51,0,2.17,12,"267",4,30,22,NA,12,NA,73,NA,2,3,NA,2,NA,NA,NA,NA,NA,NA
"381","Martín Nicolás Benítez","benitez","Benítez","https://s.glbimg.com/es/sde/f/2020/08/17/0ff90a1cc63361f256c888951d107118_FORMATO.png",93550,16,267,"mei","Provável",0,10.03,0,4.72,10,"267",3,33,10,6,26,1,100,NA,4,NA,NA,1,1,NA,NA,NA,NA,NA
"382","Eduardo Schroeder Brock","eduardo-brock","Eduardo Brock","https://s.glbimg.com/es/sde/f/2020/08/31/edc31727f12d73f44cc5aa5c7e609151_FORMATO.png",78654,16,354,"zag","Provável",0,4.09,0,7.65,2,"354",NA,3,NA,1,NA,1,15,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"383","Daniel Sampaio Simões","daniel","Daniel","https://s.glbimg.com/es/sde/f/2020/02/28/a0c1c9f69e5607f8a09bca2e4d7b6bc8_FORMATO.png",93791,16,265,"mei","Provável",0,3.26,0,1.3,11,"265",2,8,11,4,17,1,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"384","Ricardo Dias Acosta","ricardinho","Ricardinho","https://s.glbimg.com/es/sde/f/2020/08/31/b0d32bee7d7194947d1c22e221afed3f_FORMATO.png",78577,16,354,"mei","Provável",0,2.85,0,0.39,8,"354",1,8,4,NA,NA,NA,46,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA
"385","Andrey Ramos do Nascimento","andrey","Andrey","https://s.glbimg.com/es/sde/f/2020/08/17/bfaf7651c9572b3c95e4d731dadc3958_FORMATO.png",93787,16,267,"mei","Provável",0,6.1,0,3.09,9,"267",3,32,24,2,21,NA,45,1,1,NA,NA,NA,2,NA,NA,NA,NA,NA
"386","Luis Antônio da Rocha Júnior","juninho-capixaba","Juninho Capixaba","https://s.glbimg.com/es/sde/f/2020/02/28/d95ca5159ff4c4c6749ff6b844ceadb0_FORMATO.png",94968,16,265,"lat","Provável",0,7.9,0,3.44,10,"265",1,30,13,2,11,NA,111,NA,2,2,NA,1,1,NA,NA,NA,NA,NA
"387","Richard de Oliveira da Costa","richard","Richard","https://s.glbimg.com/es/sde/f/2020/08/31/b4171a404ece6ec54f9a350c1f02f874_FORMATO.png",78851,16,354,"gol","Nulo",0,4,0,0,0,"354",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"388","Gregore de Magalhães da Silva","gregore","Gregore","https://s.glbimg.com/es/sde/f/2020/07/23/d4779b1c4479f06f665d796b9eb346b7_FORMATO.png",95464,16,265,"mei","Provável",0,6.23,0,1.11,10,"265",5,30,29,4,8,NA,40,1,2,NA,NA,NA,1,NA,NA,NA,NA,NA
"389","Marco Antônio Rosa Furtado Júnior","marco-antonio","Marco Antônio","https://s.glbimg.com/es/sde/f/2020/07/23/9d019c35887c5b459155b29b81d6af85_FORMATO.png",94975,16,265,"mei","Nulo",0,3.17,0,2.28,8,"265",1,4,4,2,9,1,21,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA
"390","Guilherme de Aguiar Camacho","camacho","Camacho","https://s.glbimg.com/es/sde/f/2020/07/21/5b52e9c77ce07e75ed44e8584e771d63_FORMATO.png",68770,16,264,"mei","Dúvida",0.3,2.67,-0.31,0.23,7,"264",1,8,9,NA,1,NA,16,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"391","Marcos Antônio Cândido Ferreira Júnior","marcos-junior","Marcos Júnior","https://s.glbimg.com/es/sde/f/2020/08/17/36ea552764f49b731d549f23f44aee4d_FORMATO.png",93893,16,267,"mei","Provável",0,3.95,0,2.9,8,"267",NA,16,6,2,12,NA,24,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"392","Tiago Pagnussat","tiago","Tiago ","https://s.glbimg.com/es/sde/f/2020/03/02/65eb6383d1eef941a4b0e88084a8b4f4_FORMATO.png",79042,16,354,"zag","Provável",0,5.91,0,2.74,9,"354",2,19,8,1,8,NA,51,NA,NA,3,NA,2,NA,NA,NA,NA,NA,NA
"393","Alesson dos Santos Batista","alesson","Alesson","https://s.glbimg.com/es/sde/f/2020/02/28/a6c39298924cbf2f7ac0256ed7a67a55_FORMATO.png",97321,16,265,"mei","Nulo",0,1.41,0,0.9,4,"265",NA,1,2,1,4,NA,4,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"394","Ricardo Queiroz de Alencastro Graça","ricardo","Ricardo","https://s.glbimg.com/es/sde/f/2020/08/17/1f0c50b2e3b9d5732c27d1fe873c62b8_FORMATO.png",99881,16,267,"zag","Nulo",0,7.13,0,3.15,8,"267",1,11,5,3,4,NA,19,NA,1,3,NA,NA,NA,NA,NA,NA,NA,NA
"395","Nathan Otávio Ribeiro","nathan-ribeiro","Nathan Ribeiro","https://s.glbimg.com/es/sde/f/2020/03/03/96fb7ded5758b12433b954935496405f_FORMATO.png",102607,16,294,"zag","Contundido",0,3,0,0,0,"Coritiba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"396","Fábio Gonçalves","fabinho","Fabinho","https://s.glbimg.com/es/sde/f/2020/08/31/481f6c89bdb858088d28d492b1b0c868_FORMATO.png",80393,16,354,"mei","Provável",0,4.6,0,2.2,11,"354",2,28,6,1,8,NA,28,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"397","Mauro Boselli","boselli","Boselli","https://s.glbimg.com/es/sde/f/2020/07/21/bfd90faeec9d1f1103e6bcc353b87e20_FORMATO.png",69161,16,264,"ata","Dúvida",0.3,5.46,-0.24,0.25,6,"264",NA,NA,NA,2,1,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"398","Talles Magno Bacelar Martins","talles-magno","Talles Magno","https://s.glbimg.com/es/sde/f/2020/08/17/5cefaba2b457f1c014cbe06ba3b59b3f_FORMATO.png",105786,16,267,"ata","Provável",0,11.54,0,4.5,13,"267",2,23,13,8,38,2,60,1,4,NA,1,4,2,NA,NA,NA,NA,NA
"399","Vinícius dos Santos de Oliveira Paiva","vinicius","Vinícius","https://s.glbimg.com/es/sde/f/2020/08/17/d3799f09f18b7bfe22f6442f4e7b0bd4_FORMATO.png",105998,16,267,"ata","Nulo",0,2.84,0,0.9,6,"267",1,NA,3,NA,5,1,18,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA
"400","José Marcos Costa Martins","marquinhos","Marquinhos","https://s.glbimg.com/es/sde/f/2020/08/31/f80b931ac45bd42717faafcefa816c42_FORMATO.png",98765,16,282,"ata","Nulo",0,4.12,0,1.63,9,"282",NA,11,12,3,5,NA,29,NA,1,NA,1,3,1,NA,NA,NA,NA,NA
"401","Fernando Pereira do Nascimento","fernando-sobral","Fernando Sobral","https://s.glbimg.com/es/sde/f/2020/08/31/e0f18a0e8a5144558982a72313a13ef5_FORMATO.png",84428,16,354,"mei","Provável",0,14.37,0,5.69,14,"354",2,46,25,12,32,1,85,NA,8,NA,1,5,3,NA,NA,NA,NA,NA
"402","Jefferson Gabriel Nascimento Brito","fessin","Fessin","https://s.glbimg.com/es/sde/f/2020/02/28/8a051de64c7323a88c66ee473c630560_FORMATO.png",97994,16,265,"mei","Nulo",0,1.67,0,1.23,4,"265",NA,2,2,NA,1,NA,2,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"403","Leandro Carvalho da Silva","leandro-carvalho","Leandro Carvalho","https://s.glbimg.com/es/sde/f/2020/08/31/d355aa18dec4d39dab3b5a38969dcf00_FORMATO.png",88669,16,354,"ata","Provável",0,5.43,0,1.97,11,"354",2,17,9,7,19,NA,50,1,3,NA,NA,1,1,NA,NA,NA,NA,NA
"404","Fernando José Pacheco Rivas","fernando-pacheco","Fernando Pacheco","https://s.glbimg.com/es/sde/f/2020/08/11/0f3de4bf496db9970fd66f13146a40a4_FORMATO.png",98740,16,266,"ata","Contundido",0,2.6,-0.83,0.6,11,"266",1,7,8,2,9,NA,27,NA,1,NA,1,4,NA,NA,NA,NA,NA,NA
"405","Tiago Rodrigues dos Reis","tiago-reis","Tiago Reis","https://s.glbimg.com/es/sde/f/2020/08/17/56fc3022ea629539acd59c11ddc86063_FORMATO.png",104678,16,267,"ata","Nulo",0,3,0,0,0,"267",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"406","Guilherme da Trindade Dubas","guilherme-biro","Guilherme Biro","https://s.glbimg.com/es/sde/f/2020/03/03/894792f4de57714ecebf346073081a01_FORMATO.png",107555,16,294,"ata","Nulo",0,1.29,0,-0.55,2,"Coritiba",NA,1,3,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"407","Matheus Bonifácio Saldanha Marinho","saldanha","Saldanha","https://s.glbimg.com/es/sde/f/2020/07/16/61b9f7b4e75ec5b35b48d42b3b848e54_FORMATO.png",107088,16,265,"ata","Nulo",0,1.93,0,0.95,11,"265",1,2,5,6,4,1,15,NA,1,NA,NA,3,NA,NA,NA,NA,NA,NA
"408","Bruno de Jesus Pacheco","bruno-pacheco","Bruno Pacheco","https://s.glbimg.com/es/sde/f/2020/03/02/bb3a75a802b180cef8ecf48d9cc025fa_FORMATO.png",90061,16,354,"lat","Provável",0,8.49,0,4.16,12,"354",NA,30,18,1,15,NA,93,1,NA,5,NA,NA,2,NA,NA,NA,NA,NA
"409","Gabriel Fortes Chaves","gabriel-pec","Gabriel Pec","https://s.glbimg.com/es/sde/f/2020/08/17/5af9923a34a978a056a214d243306c33_FORMATO.png",106199,16,267,"mei","Nulo",0,2.42,0,0.76,5,"267",2,5,6,3,7,NA,13,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"410","Frederico Chaves Guedes","fred","Fred","https://s.glbimg.com/es/sde/f/2020/08/11/1546fc5edcfb41d2e8f79f6eca1f6899_FORMATO.png",38162,16,266,"ata","Provável",0,3.15,0,1.79,9,"266",2,1,9,1,14,2,21,NA,2,NA,NA,1,NA,NA,NA,NA,NA,NA
"411","Salomon Armand Magloire Kalou","kalou","Kalou","https://s.glbimg.com/es/sde/f/2020/07/16/451a2fa76b49b01f7f7f2b384b1c4a58_FORMATO.png",69524,16,263,"ata","Dúvida",-0.2,7.05,-0.33,1.77,10,"263",NA,6,13,5,9,1,45,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA
"412","Matheus Ferraz Pereira","matheus-ferraz","Matheus Ferraz","https://s.glbimg.com/es/sde/f/2020/08/11/16fac49e8d3bba144b424d3a32ca55ad_FORMATO.png",38632,16,266,"zag","Nulo",0,5.46,0,5.15,2,"266",NA,NA,2,NA,1,NA,4,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA
"413","Marcelo de Araújo Pitaluga Filho","marcelo-pitaluga","Marcelo Pitaluga ","https://s.glbimg.com/es/sde/f/2020/08/31/3c7ecdf87a233a597f39b95d57c610db_FORMATO.png",101478,16,266,"gol","Nulo",0,2,0,0,0,"266",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"414","Wanderson Felippe Cardoso dos Santos","felippe-cardoso","Felippe Cardoso","https://s.glbimg.com/es/sde/f/2020/08/11/65b773ef79fcc1056f7ae14cd0e7be82_FORMATO.png",100963,16,266,"ata","Nulo",-3,1.74,-0.51,0.35,8,"266",1,2,13,2,6,1,18,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA
"415","Luiz Henrique Araújo Silva","luiz-henrique","Luiz Henrique","https://s.glbimg.com/es/sde/f/2020/03/06/809a25003f6761d3bf3ea7e524986c59_FORMATO.png",101595,16,356,"mei","Nulo",0,1.66,0,0.5,1,"356",NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"416","Diego Cavalieri","diego-cavalieri","Diego Cavalieri","https://s.glbimg.com/es/sde/f/2019/03/22/660661f23332e4ee9ccda585ec5cec21_FORMATO.png",38431,16,263,"gol","Dúvida",-6.8,4.14,-1.56,0.77,7,"263",1,NA,1,NA,NA,NA,51,NA,NA,NA,NA,NA,NA,7,1,11,NA,NA
"417","Rodrigo Gomes dos Santos","rodrigao","Rodrigão","https://s.glbimg.com/es/sde/f/2020/03/02/2b9219cf2dd42545e6b9924980aa8718_FORMATO.png",90651,16,354,"ata","Nulo",0,6,0,0,0,"354",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"418","Thiago Ferreira Lopes","thiago-lopes","Thiago Lopes","https://s.glbimg.com/es/sde/f/2020/03/03/b788fe92546ae0ee21f6330f4aa7ad45_FORMATO.png",92225,16,294,"mei","Nulo",0,2.4,0,1,2,"Coritiba",NA,2,2,2,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"419","Luan Vinícius da Silva Santos ","luan","Luan","https://s.glbimg.com/es/sde/f/2019/04/01/d66903d72e2d84e1b6c05a8579691862_FORMATO.png",102909,16,276,"mei","Provável",0,4.32,0,1.6,7,"276",1,14,4,1,2,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"420","Jonatan David Gomez Ospina","jonatan-gomez","Jonatan Gomez","https://s.glbimg.com/es/sde/f/2020/03/09/bfe14638328381a0498413759e610ed4_FORMATO.png",94857,16,292,"mei","Nulo",-0.2,9.64,0.09,1.62,13,"292",1,5,9,11,15,1,36,NA,2,NA,NA,1,NA,NA,NA,NA,NA,NA
"421","Egídio de Araújo Pereira Júnior","egidio","Egídio","https://s.glbimg.com/es/sde/f/2020/08/11/672d352606042414d4d148952612fe89_FORMATO.png",42145,16,266,"lat","Dúvida",-0.7,9.3,-0.92,4.22,11,"266",NA,43,14,1,6,NA,143,NA,5,1,NA,NA,2,NA,NA,NA,NA,NA
"422","João Alves de Assis Silva","jo","Jô","https://s.glbimg.com/es/sde/f/2020/07/21/71eb3b59df93d002977cbc1dcaa52025_FORMATO.png",38138,16,264,"ata","Dúvida",-0.4,10.67,-0.25,2.51,13,"264",NA,NA,9,5,13,3,49,NA,5,NA,1,5,1,NA,NA,NA,NA,1
"423","Diogo José Gonçalves da Silva","diogo-silva","Diogo Silva","https://s.glbimg.com/es/sde/f/2020/08/31/33ea3d05a9df2f933210bccd17b4083b_FORMATO.png",71882,16,354,"gol","Nulo",0,4,0,0,0,"354",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"424","Clayson Henrique da Silva Vieira","clayson","Clayson","https://s.glbimg.com/es/sde/f/2020/02/28/d56707307468fee6760b2d5954c925f9_FORMATO.png",83817,16,265,"ata","Provável",0,5.48,0,2.47,10,"265",1,6,10,5,13,2,63,NA,5,NA,NA,3,1,NA,NA,NA,NA,1
"425","Wellissol Santos de Oliveira ","wellissol","Wellissol ","https://s.glbimg.com/es/sde/f/2020/03/03/30ce289f3d8f28f763b6b3ca32c3027a_FORMATO.png",94718,16,294,"ata","Nulo",0,1.1,0,-0.07,4,"Coritiba",2,3,5,NA,7,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"426","Fernando Miguel Kaufmann","fernando-miguel","Fernando Miguel","https://s.glbimg.com/es/sde/f/2020/08/17/6ea9f38df22592d8e7f2b5f53082c931_FORMATO.png",71571,16,267,"gol","Provável",0,6.98,0,1.63,14,"267",NA,NA,NA,NA,2,NA,91,NA,NA,4,NA,NA,NA,11,1,20,NA,NA
"427","Rodolfo Filemon de Oliveira da Silva","rodolfo-filemon","Rodolfo Filemon","https://s.glbimg.com/es/sde/f/2020/03/03/58a5f1fedb37779403b28bf802247d46_FORMATO.png",97925,16,294,"zag","Nulo",0,0.78,0,-0.07,11,"Coritiba",4,5,15,1,6,NA,52,1,1,3,NA,NA,NA,NA,NA,NA,NA,NA
"428","Wanderson Santos Pereira","wanderson","Wanderson","https://s.glbimg.com/es/sde/f/2020/07/23/dddef028f9e20a0ee451b41e0d30b74b_FORMATO.png",86143,16,265,"zag","Nulo",0,4,0,0,0,"265",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"429","Walter Leandro Capeloza Artune","walter","Walter","https://s.glbimg.com/es/sde/f/2020/07/21/d178a2c9aa56afb775c7a97c03fc4321_FORMATO.png",51413,16,264,"gol","Nulo",17.9,8.21,3.22,17.9,1,"264",2,NA,NA,NA,NA,NA,11,NA,NA,1,NA,NA,NA,4,NA,NA,NA,NA
"430","Samuel Xavier Brito","samuel-xavier","Samuel Xavier","https://s.glbimg.com/es/sde/f/2020/03/02/c130a3239b5a95d8a3a8b13ede4b4ad1_FORMATO.png",73384,16,354,"lat","Suspenso",0,5.42,0,2.69,12,"354",3,23,19,2,19,NA,120,1,1,4,NA,1,2,NA,NA,NA,NA,NA
"431","Glaybson Yago Souza Lisboa","yago-pikachu","Yago Pikachu","https://s.glbimg.com/es/sde/f/2020/08/17/563094d1d3dc45cf4923d8458d9eb999_FORMATO.png",80196,16,267,"lat","Provável",0,7.81,0,2.39,10,"267",1,13,14,3,18,NA,64,NA,2,2,1,1,NA,NA,NA,NA,NA,NA
"432","José Carlos Cracco Neto","zeca","Zeca","https://s.glbimg.com/es/sde/f/2020/02/28/63c70f39c75210a2afc1875bf96d34ec_FORMATO.png",87192,16,265,"lat","Nulo",0,4.83,0,1.1,5,"265",1,3,3,3,NA,NA,14,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"433","Luiz Otávio Anacleto Leandro","luiz-otavio","Luiz Otávio","https://s.glbimg.com/es/sde/f/2020/08/31/03f318322bad08093324500b97948211_FORMATO.png",72359,16,354,"zag","Suspenso",0,4.48,0,2.33,12,"354",6,18,16,1,2,1,41,NA,1,4,1,NA,NA,NA,NA,NA,NA,NA
"434","Geovane Henrique Pereira de Souza","geovane","Geovane","https://s.glbimg.com/es/sde/f/2020/03/02/1b21e0ae30ac2e4a34078bfbda81e2f1_FORMATO.png",96349,16,294,"lat","Nulo",0,3,0,0,0,"Coritiba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"435","Germán Ezequiel Cano","cano","Cano","https://s.glbimg.com/es/sde/f/2020/08/17/9596d26050cf4d5c6dfba8dbd7af4da9_FORMATO.png",79631,16,267,"ata","Provável",0,12.71,0,4.97,14,"267",NA,5,13,5,7,7,26,NA,9,NA,1,7,NA,NA,NA,NA,NA,NA
"436","João Pedro Maturano dos Santos","joao-pedro","João Pedro ","https://s.glbimg.com/es/sde/f/2020/07/23/fea20088b9a54c3a580480216fc65053_FORMATO.png",89273,16,265,"lat","Nulo",0,4.26,0,-0.8,1,"265",NA,1,2,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"437","Iago Pereira Mendonça","iago-mendonca","Iago Mendonça","https://s.glbimg.com/es/sde/f/2020/03/06/fbe3c389c73e71007b15dec8b347a229_FORMATO.png",105278,16,290,"zag","Nulo",0,1,0,0,0,"290",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"438","Osvaldo Lourenço Filho","osvaldo","Osvaldo","https://s.glbimg.com/es/sde/f/2019/03/22/cf67516d72742aa5e48694567a33d6b6_FORMATO.png",42222,16,356,"ata","Provável",0,6.42,0,2.71,15,"356",2,17,7,9,13,1,75,NA,4,NA,1,2,2,NA,NA,NA,NA,NA
"439","Rodrigo Júnior Paula Silva","digao","Digão","https://s.glbimg.com/es/sde/f/2020/08/11/81d3b25879cf4905a5152581b71402f8_FORMATO.png",68886,16,266,"zag","Provável",0.7,5.58,-1.18,4.49,8,"266",2,14,8,2,6,2,19,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA
"440","José Rogério de Oliveira Melo","rogerio","Rogério","https://s.glbimg.com/es/sde/f/2020/08/31/ef8bbe5f855514c0e2f7ff55805eed3e_FORMATO.png",73540,16,292,"ata","Nulo",0,4.02,0,1.48,5,"292",1,3,3,1,6,NA,9,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"441","Raul Lô Gonçalves","raul","Raul","https://s.glbimg.com/es/sde/f/2020/08/28/8c0a624b6d2595beaf51682261e51ccd_FORMATO.png",92496,16,280,"mei","Provável",5.2,8.2,0.12,5.46,8,"280",NA,35,15,2,22,1,51,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA
"442","Lucas Ribamar Lopes dos Santos Bibiano","ribamar","Ribamar","https://s.glbimg.com/es/sde/f/2020/08/17/cd4f9206b4c3308452f5560028e465e8_FORMATO.png",94068,16,267,"ata","Nulo",0,4.52,0,1.74,9,"267",1,2,5,1,2,2,10,NA,2,NA,NA,2,NA,NA,NA,NA,NA,NA
"443","Augusto Sérgio Ferreira","guto-ferreira","Guto Ferreira","https://s.glbimg.com/es/sde/f/2020/07/19/37fe3fab756c44fa3a64d440c3298942_FORMATO.png",37245,16,354,"tec","Provável",0,8.68,0,3.67,15,"354",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"444","David Braz de Oliveira Filho","david-braz","David Braz","https://s.glbimg.com/es/sde/f/2019/07/24/865c7c09e556e0fb58885e80a6591081_FORMATO.png",50317,16,284,"zag","Dúvida",0,7.7,0,3.32,12,"284",NA,24,10,5,4,1,54,1,2,3,NA,NA,NA,NA,NA,NA,NA,NA
"445","Caio Fernando de Oliveira","caio-paulista","Caio Paulista","https://s.glbimg.com/es/sde/f/2020/08/11/27269e07edef29d7ef1df8bb3900da5a_FORMATO.png",102318,16,266,"ata","Nulo",10.5,5.21,2.08,2.96,7,"266",NA,7,4,1,6,1,18,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA
"446","Wellington Alves da Silva","wellington-silva","Wellington Silva","https://s.glbimg.com/es/sde/f/2020/08/11/9e1c282e16e37d5fdb5fa7b81b2871cc_FORMATO.png",68895,16,266,"ata","Contundido",0,4.52,0,2.14,10,"266",3,7,6,3,19,1,22,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA
"447","Daniel Alberto Villalva Barrios","keko","Keko ","https://s.glbimg.com/es/sde/f/2020/08/26/b53fdb79b554fd3023712890b2802adc_FORMATO.jpeg",81683,16,290,"ata","Provável",0,2.3,0,1.55,8,"290",1,7,6,NA,6,NA,41,NA,NA,NA,1,3,2,NA,NA,NA,NA,NA
"448","Bergson Gustavo Silveira da Silva","bergson","Bergson","https://s.glbimg.com/es/sde/f/2020/10/16/a6f8687af7ab25654568d0b1f3d32841_FORMATO.png",68696,16,356,"ata","Nulo",0,2.1,0,0.84,5,"356",NA,2,3,1,4,NA,3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"449","Marcelo Boeck","marcelo-boeck","Marcelo Boeck","https://s.glbimg.com/es/sde/f/2019/03/22/4b4e1c64603c84d346f4ba4ad46fb562_FORMATO.png",37788,16,356,"gol","Nulo",0,4,0,0,0,"356",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"450","Elton Júnior Melo Ataíde","elton","Elton","https://s.glbimg.com/es/sde/f/2020/07/23/6bddafb802eca51fa3ab23c76e52a1b1_FORMATO.png",71719,16,265,"mei","Nulo",0,3.66,0,1.3,3,"265",NA,4,2,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"451","Henrique Almeida Caixeta Nascentes","henrique-almeida","Henrique Almeida","https://s.glbimg.com/es/sde/f/2020/08/26/e557abba11e4a7a58c8e280da1480703_FORMATO.jpeg",68773,16,290,"ata","Contundido",0,5,0,0,0,"290",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"452","Heron Crespo da Silva","heron","Heron","https://s.glbimg.com/es/sde/f/2020/08/26/4c288b07196f199d01bf56867451c668_FORMATO.jpeg",105339,16,290,"zag","Nulo",0,0.78,0,-0.47,6,"290",1,4,7,NA,2,NA,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"453","Willian Klaus","klaus","Klaus","https://s.glbimg.com/es/sde/f/2020/03/02/48f74d37e908c5f5cf68c0ccaf907aca_FORMATO.png",90846,16,354,"zag","Contundido",0,4.13,0,-0.3,1,"354",NA,NA,1,NA,1,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"454","Fellipe Ramos Ignez Bastos","fellipe-bastos","Fellipe Bastos","https://s.glbimg.com/es/sde/f/2020/08/17/3d3e902dd30a64a2547b7ab9c97128db_FORMATO.png",70116,16,267,"mei","Nulo",0,10.85,0,4.05,12,"267",2,24,22,5,5,4,54,NA,3,NA,1,NA,NA,NA,NA,NA,NA,NA
"455","Fábio Pizarro Sanches","fabio-sanches","Fábio Sanches","https://s.glbimg.com/es/sde/f/2020/08/26/5756a4bae1a6bb1e484099d7ea94222d_FORMATO.jpeg",71604,16,290,"zag","Provável",0,5.61,0,2.17,11,"290",1,19,7,3,9,NA,27,NA,1,2,NA,NA,NA,NA,NA,NA,1,NA
"456","Maicon Thiago Pereira de Souza","maicon","Maicon","https://s.glbimg.com/es/sde/f/2018/05/21/34502d57cb34fa46bd51d3bd901d38bb_FORMATO.png",38196,16,284,"mei","Provável",0.6,3.1,-0.19,0.24,7,"284",1,6,4,NA,2,NA,25,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"457","Marcos Paulo Costa do Nascimento","marcos-paulo","Marcos Paulo","https://s.glbimg.com/es/sde/f/2020/08/11/5b35d14db960f09dcadfc0f4d9b8d262_FORMATO.png",103645,16,266,"ata","Nulo",0,4.95,-0.38,1.04,12,"266",NA,9,3,4,1,NA,33,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA
