"","atletas.nome","atletas.slug","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","atletas.clube.id.full.name","A","CA","DS","FC","FS","PI","SG","FD","FF","FT","G","I","PP","DD","GS","GC","DP","CV"
"374","Juan Sebastián Quintero Fletcher","quintero","Quintero","https://s.glbimg.com/es/sde/f/2019/03/22/df21f8c767acbe98de2f1a88be61c8e8_FORMATO.png",96382,18,356,"zag","Provável",0,1.67,0,1.38,9,"356",NA,3,5,6,3,17,4,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,1
"375","Leandro Miguel Fernández","leandro-fernandez","Leandro Fernández","https://s.glbimg.com/es/sde/f/2020/09/04/82a78869a31f588ee0291f918d0ad936_FORMATO.png",93303,18,285,"ata","Nulo",0,7.37,0,2.83,3,"285",1,NA,NA,4,3,21,NA,3,5,NA,NA,3,NA,NA,NA,NA,NA,NA
"376","Bruno Nunes de Barros","bruno-tubarao","Bruno Tubarão","https://s.glbimg.com/es/sde/f/2020/07/28/463ff91ecdd216754f963fbe0244e831_FORMATO.png",93637,18,280,"mei","Dúvida",-0.1,3.7,-1.02,2.85,16,"280",1,2,29,14,8,75,NA,5,9,2,1,2,NA,NA,NA,NA,NA,NA
"377","Nathan Uilian Fogaça","nathan","Nathan ","https://s.glbimg.com/es/sde/f/2020/03/03/e6e59b655c3cc3a36d2dd52bda9b59d7_FORMATO.png",102667,18,294,"ata","Nulo",2,0.94,0.16,0.18,5,"Coritiba",NA,NA,1,4,2,10,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"378","Lucas da Cruz Oliveira","oliveira","Oliveira","https://s.glbimg.com/es/sde/f/2020/02/27/12b3b5d05927082246dce985879c54cb_FORMATO.png",94514,18,373,"zag","Nulo",0,2.87,0,2.35,7,"373",NA,1,5,8,5,30,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"379","Nathanael Ananias da Silva","nathan-silva","Nathan Silva","https://s.glbimg.com/es/sde/f/2020/03/03/b83d40e4104fc0cb62636da75ac2daaa_FORMATO.png",95794,18,294,"mei","Provável",1.9,2.54,0.4,1.11,7,"Coritiba",NA,4,10,15,8,19,NA,NA,4,NA,1,NA,NA,NA,NA,NA,NA,NA
"380","Damián Marcelo Musto","musto","Musto","https://s.glbimg.com/es/sde/f/2020/02/27/aa72a4508aad03611c623879b48a94c6_FORMATO.png",94838,18,285,"mei","Nulo",1.5,5.62,0.13,1.87,11,"285",NA,1,23,17,12,25,NA,NA,2,NA,1,NA,NA,NA,NA,NA,NA,1
"381","Wesley Pionteck Souza","wesley-pionteck","Wesley Pionteck","https://s.glbimg.com/es/sde/f/2020/08/07/70b200dbf6703aca6b5eee4008dbcad6_FORMATO.png",93376,18,280,"ata","Nulo",0,1.69,0,0.7,1,"280",NA,NA,1,1,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"382","Allan Rodrigues de Souza","allan","Allan","https://s.glbimg.com/es/sde/f/2020/08/31/5da528d4c6029f923a12da18ad0cf054_FORMATO.png",96652,18,282,"mei","Nulo",0,6.55,0,1.5,15,"282",NA,3,28,19,10,83,NA,2,10,1,NA,NA,NA,NA,NA,NA,NA,NA
"383","Wellissol Santos de Oliveira ","wellissol","Wellissol ","https://s.glbimg.com/es/sde/f/2020/03/03/30ce289f3d8f28f763b6b3ca32c3027a_FORMATO.png",94718,18,294,"ata","Nulo",0,1.1,0,-0.07,4,"Coritiba",NA,2,3,5,7,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"384","Bruno Amorim Lazaroni","bruno-lazaroni","Bruno Lazaroni","https://s.glbimg.com/es/sde/f/2020/10/01/f7eee1479a48b3dba9d84bf2a20a0d56_FORMATO.png",102887,18,263,"tec","Provável",0,9.06,0,3.22,5,"263",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"385","Vinicius Moreira de Lima","lima","Lima","https://s.glbimg.com/es/sde/f/2020/08/31/9ee2c327a2b00392ebb233a1d11a401a_FORMATO.png",96340,18,354,"mei","Nulo",0,4.35,-0.06,1.09,12,"354",NA,3,11,10,12,27,NA,2,NA,NA,1,1,NA,NA,NA,NA,NA,NA
"386","Eduardo Germán Coudet","eduardo-coudet","Eduardo Coudet","https://s.glbimg.com/es/sde/f/2020/07/19/4514b24c3a8147be213e4e8d4297a97c_FORMATO.png",94853,18,285,"tec","Provável",3.35,12.57,-0.45,4.07,18,"285",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"387","Maílton dos Santos de Sá","mailton","Maílton","https://s.glbimg.com/es/sde/f/2020/08/31/0c2bdf1145561ae501a551002dc8ca43_FORMATO.png",97898,18,282,"lat","Nulo",0,2.85,0,1.5,5,"282",NA,NA,2,1,2,17,1,2,1,NA,NA,3,NA,NA,NA,NA,NA,NA
"388","Daniel de Sousa Brito","daniel","Daniel","https://s.glbimg.com/es/sde/f/2020/02/27/222ec98ac489a4b1ce5063bdde3d208e_FORMATO.png",96468,18,285,"gol","Contundido",0,2,0,0,0,"285",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"389","Yan Medeiros Sasse","yan-sasse","Yan Sasse","https://s.glbimg.com/es/sde/f/2020/08/18/02007417e97ff029ccbe7f0234bfffff_FORMATO.png",96055,18,294,"mei","Provável",0.3,0.85,-0.27,-0.37,11,"Coritiba",NA,2,7,13,5,28,NA,1,5,NA,NA,1,NA,NA,NA,NA,NA,1
"390","Geovane Henrique Pereira de Souza","geovane","Geovane","https://s.glbimg.com/es/sde/f/2020/03/02/1b21e0ae30ac2e4a34078bfbda81e2f1_FORMATO.png",96349,18,294,"lat","Nulo",0,3,0,0,0,"Coritiba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"391","Luís Eduardo Marques dos Santos","dudu","Dudu","https://s.glbimg.com/es/sde/f/2020/02/27/94657541c8cae30d9fa105e9c6215055_FORMATO.png",97133,18,373,"lat","Provável",3,5.1,-0.46,3.1,16,"373",NA,1,42,14,18,134,4,2,5,NA,NA,1,NA,NA,NA,NA,NA,1
"392","Mariano Vázquez","mariano-vazquez","Mariano Vázquez","https://s.glbimg.com/es/sde/f/2019/07/03/8893116eb5db26f6e34e68d817fe606d_FORMATO.png",98760,18,356,"mei","Nulo",0,1.23,0,-0.38,6,"356",NA,1,1,4,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"393","Leonardo Rodrigues dos Santos","leo-santos","Léo Santos","https://s.glbimg.com/es/sde/f/2020/07/21/c10deb3a4469411c9e7ee2bee05fbeea_FORMATO.png",95820,18,264,"zag","Nulo",0,2,0,0,0,"264",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"394","Pablo Thiago Ferreira Thomaz","pablo-thomaz","Pablo Thomaz","https://s.glbimg.com/es/sde/f/2020/09/30/a7b22d74d41827304b8a71b4c57641d3_FORMATO.png",102797,18,294,"ata","Nulo",0,0.78,0,-0.1,2,"Coritiba",NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"395","Janderson Santos de Souza","janderson","Janderson","https://s.glbimg.com/es/sde/f/2020/08/25/c027250715c7203ea603c6335609af2d_FORMATO.png",97245,18,373,"ata","Provável",-2.4,4.81,-0.91,3.26,14,"373",3,1,19,14,18,87,NA,5,8,NA,1,NA,NA,NA,NA,NA,NA,NA
"396","Erick Luis Conrado de Carvalho","erick","Erick","https://s.glbimg.com/es/sde/f/2019/04/01/9717a07ef27fdd10d8ac6c25914a376e_FORMATO.png",98022,18,293,"mei","Provável",0.5,4.31,-0.35,2.44,10,"293",1,3,25,17,3,35,NA,5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA
"397","Laércio Soldá","laercio","Laércio","https://s.glbimg.com/es/sde/f/2020/10/13/cc2746f464476a7f9908dbc251d225ff_FORMATO.png",82564,18,277,"zag","Provável",2.3,2.69,0.53,0.82,4,"Santos",NA,NA,6,7,1,13,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"398","Anderson Silva da Paixão","anderson","Anderson","https://s.glbimg.com/es/sde/f/2019/09/25/83402cd7511dec123de5ec04e0677a53_FORMATO.png",102906,18,293,"gol","Nulo",0,2,0,0,0,"293",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"399","Arthur Gomes Lourenço","arthur-gomes","Arthur Gomes","https://s.glbimg.com/es/sde/f/2020/02/28/1180152071b3a94086ee66e070352aab_FORMATO.png",96966,18,277,"ata","Nulo",-2.8,3.13,-0.52,1.35,11,"Santos",NA,1,12,12,10,51,NA,5,3,NA,1,1,NA,NA,NA,NA,NA,1
"400","José Rafael Vivian","ze-rafael","Zé Rafael","https://s.glbimg.com/es/sde/f/2020/03/09/ada4c949fbe8a7d69336cf1ccd4ad0e9_FORMATO.png",82455,18,275,"mei","Provável",6.8,10.42,1.25,3.14,13,"275",1,4,23,23,31,45,NA,4,7,NA,2,NA,NA,NA,NA,NA,NA,1
"401","Matheus Bahia Santos","matheus-bahia","Matheus Bahia","https://s.glbimg.com/es/sde/f/2020/02/28/1a8f6f07fe040d69022f28f7575ba0a3_FORMATO.png",97899,18,265,"lat","Nulo",0,0.78,0,-2.8,1,"265",NA,1,1,3,1,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"402","José Marcos Costa Martins","marquinhos","Marquinhos","https://s.glbimg.com/es/sde/f/2020/08/31/f80b931ac45bd42717faafcefa816c42_FORMATO.png",98765,18,282,"ata","Dúvida",0,4.12,0,1.63,9,"282",1,NA,11,12,5,29,NA,1,3,1,NA,3,NA,NA,NA,NA,NA,NA
"403","Renzo Saravia","saravia","Saravia","https://s.glbimg.com/es/sde/f/2020/03/02/2adf4c12427d0fca9fe94f89118bd866_FORMATO.png",96725,18,285,"lat","Contundido",0,18.78,0,7.96,8,"285",1,1,37,12,15,56,5,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"404","Pedro Raul Garay da Silva","pedro-raul","Pedro Raul","https://s.glbimg.com/es/sde/f/2020/03/01/a9eff7e76be6852105bc805128846d3a_FORMATO.png",98225,18,263,"ata","Provável",0,6.28,0,2.76,11,"263",1,1,5,19,16,63,NA,6,10,NA,2,2,NA,NA,NA,NA,NA,NA
"405","Rogério Ceni","rogerio-ceni","Rogério Ceni","https://s.glbimg.com/es/sde/f/2019/09/27/75459ae60b5baaac5178846f60fbfbed_FORMATO.png",97341,18,356,"tec","Provável",0,8.23,0,3.37,16,"356",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"406","Jean Pyerre Casagrande Silveira Correa","jean-pyerre","Jean Pyerre","https://s.glbimg.com/es/sde/f/2019/07/09/c0831db56540c4e253fdd6affa63d176_FORMATO.png",98832,18,284,"mei","Nulo",0,11.18,0,3.9,5,"284",NA,NA,8,3,6,26,NA,2,9,1,NA,NA,NA,NA,NA,NA,NA,NA
"407","Matías Nicolás Viña Susperreguy","vina","Viña","https://s.glbimg.com/es/sde/f/2020/02/28/444cc845fe792b0fdd234c579e4c31de_FORMATO.png",98974,18,275,"lat","Provável",7.9,8.77,1.85,4.33,10,"275",1,2,35,11,12,83,2,2,4,NA,NA,1,NA,NA,NA,NA,NA,NA
"408","Jefferson Gabriel Nascimento Brito","fessin","Fessin","https://s.glbimg.com/es/sde/f/2020/02/28/8a051de64c7323a88c66ee473c630560_FORMATO.png",97994,18,265,"mei","Provável",0,2.16,0,1.6,5,"265",NA,NA,5,2,3,11,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"409","Rodolfo Filemon de Oliveira da Silva","rodolfo-filemon","Rodolfo Filemon","https://s.glbimg.com/es/sde/f/2020/03/03/58a5f1fedb37779403b28bf802247d46_FORMATO.png",97925,18,294,"zag","Nulo",0,0.78,0,-0.07,11,"Coritiba",NA,4,5,15,6,52,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1
"410","Jefferson David Savarino Quintero","savarino","Savarino","https://s.glbimg.com/es/sde/f/2020/08/31/864520e76c9a189815cf05a7f3f9a096_FORMATO.png",98672,18,282,"ata","Provável",4.1,6.39,-0.88,3.51,14,"282",2,1,5,11,12,95,NA,5,12,3,3,7,NA,NA,NA,NA,NA,NA
"411","Shaylon Kallyson Cardoso","shaylon","Shaylon","https://s.glbimg.com/es/sde/f/2020/10/09/595b0f8687c68ff0296dd3fc19261801_FORMATO.png",97520,18,290,"mei","Provável",1.1,2.73,0.02,1.83,4,"290",NA,NA,6,NA,4,19,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"412","Tomás Esteban Cuello","cuello","Cuello","https://s.glbimg.com/es/sde/f/2020/07/28/1eeacbdffc5dd751f52728c41e6c3146_FORMATO.png",98909,18,280,"mei","Nulo",0.5,1.77,-0.12,1.4,3,"280",NA,NA,2,1,3,12,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"413","Alesson dos Santos Batista","alesson","Alesson","https://s.glbimg.com/es/sde/f/2020/02/28/a6c39298924cbf2f7ac0256ed7a67a55_FORMATO.png",97321,18,265,"mei","Nulo",0,0.99,0,0.56,5,"265",NA,1,2,2,5,7,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"414","Maílson Tenório dos Santos","mailson","Maílson","https://s.glbimg.com/es/sde/f/2018/05/24/d5727b385d03345fbbfcdc75ebcdbe7c_FORMATO.png",98034,18,292,"gol","Nulo",0,1.89,0,0.27,6,"292",NA,1,1,1,1,54,NA,NA,NA,NA,NA,NA,NA,6,8,NA,NA,NA
"415","Saulo Rodrigues da Silva","saulo-mineiro","Saulo Mineiro","https://s.glbimg.com/es/sde/f/2020/09/24/6ceba057ce17022449326aff9d66b9c0_FORMATO.png",98274,18,354,"ata","Nulo",0.3,2.39,-0.61,0.3,1,"354",NA,NA,1,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"416","Wellington Daniel Bueno","bueno","Bueno","https://s.glbimg.com/es/sde/f/2020/08/31/3f5160eda219c10021204248fc78195d_FORMATO.png",97425,18,282,"zag","Nulo",0,6.88,0,2.65,4,"282",NA,NA,3,5,1,12,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"417","Guilherme de Jesus da Silva","tinga","Tinga","https://s.glbimg.com/es/sde/f/2019/03/22/fa74caf8029ce11e791edd0d7fc03025_FORMATO.png",82628,18,356,"lat","Provável",0,7.54,0,5.19,9,"356",2,1,19,5,5,103,5,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA
"418","Leonardo Natel Vieira","leo-natel","Léo Natel","https://s.glbimg.com/es/sde/f/2020/07/21/75fe8f637b732326ab10856c62020124_FORMATO.png",98952,18,264,"ata","Nulo",0,4.05,0,2.55,11,"264",1,1,11,18,8,51,NA,3,7,NA,2,2,NA,NA,NA,NA,NA,NA
"419","Henry Vaca Urquiza","henry-vaca","Henry Vaca","https://s.glbimg.com/es/sde/f/2020/09/05/b763cfbcafb68e3a1ca2a96aa7dc1f83_FORMATO.png",98992,18,373,"mei","Nulo",0,2.38,0,0.3,1,"373",NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"420","Rafael Forster","rafael-forster","Rafael Forster","https://s.glbimg.com/es/sde/f/2020/07/25/45f0a542e4a96e80e8787fdca06ccec8_FORMATO.png",82764,18,263,"zag","Provável",0,3.83,0,1.04,14,"263",NA,2,11,13,11,65,3,1,5,NA,NA,NA,NA,NA,NA,NA,NA,1
"421","Matheus Galdezani","matheus-galdezani","Matheus Galdezani","https://s.glbimg.com/es/sde/f/2020/01/21/31afad643d040fb649f8917fe595a255_FORMATO.png",82634,18,294,"mei","Provável",2,10.56,-0.59,4.4,14,"Coritiba",1,1,44,13,24,91,NA,6,10,1,NA,NA,NA,NA,NA,NA,NA,NA
"422","Gabriel Batista de Souza","gabriel-batista","Gabriel Batista","https://s.glbimg.com/es/sde/f/2020/07/21/a0fe36e0e71a7d48c344eb5e7668b6f7_FORMATO.png",98333,18,262,"gol","Nulo",0,1.56,0,-0.9,3,"Flamengo",NA,NA,NA,NA,1,12,NA,NA,NA,NA,NA,NA,NA,2,5,NA,NA,NA
"423","Elias Lira Nogueira Júnior ","elias-lira","Elias Lira","https://s.glbimg.com/es/sde/f/2020/07/20/8d3ed365f45f18bd46f6f1219bc5b1c5_FORMATO.png",99034,18,292,"lat","Nulo",0,1,0,0,0,"292",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"424","Victor Hugo Soares dos Santos","kanu","Kanu","https://s.glbimg.com/es/sde/f/2018/05/17/2db8b29bbc16d8473f93bd1f8a0351dc_FORMATO.png",98484,18,263,"zag","Provável",0,6.51,0,3.22,16,"263",1,1,27,11,15,49,4,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"425","Gustavo Henric da Silva","gustavo-mosquito","Gustavo Mosquito","https://s.glbimg.com/es/sde/f/2020/08/20/81a5c782b9fc85b4c16836aa362f34b8_FORMATO.png",97450,18,264,"ata","Nulo",0,2.83,0,1.67,11,"264",NA,NA,7,7,9,32,NA,2,4,NA,1,NA,NA,NA,NA,NA,NA,NA
"426","Brenner Souza da Silva","brenner","Brenner","https://s.glbimg.com/es/sde/f/2020/07/23/08b2259246ad0fdc037dd11a4549d219_FORMATO.png",99789,18,276,"ata","Provável",0,5.05,0,4.72,10,"276",1,2,4,10,9,18,NA,4,9,1,4,5,NA,NA,NA,NA,NA,NA
"427","Francisco Alves da Silva Melo","chico","Chico","https://s.glbimg.com/es/sde/f/2020/02/27/091e13c92c44ecc1214f5f2ecd1f2b5d_FORMATO.png",99253,18,292,"zag","Provável",10.1,3.6,1.56,2.51,7,"292",NA,1,12,4,2,22,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"428","Fernando José Pacheco Rivas","fernando-pacheco","Fernando Pacheco","https://s.glbimg.com/es/sde/f/2020/08/11/0f3de4bf496db9970fd66f13146a40a4_FORMATO.png",98740,18,266,"ata","Contundido",0,2.6,0,0.6,11,"266",NA,1,7,8,9,27,NA,1,2,1,NA,4,NA,NA,NA,NA,NA,NA
"429","Federico Matías Javier Zaracho","zaracho","Zaracho","https://s.glbimg.com/es/sde/f/2020/10/19/41b058a9a8c68dc92fe626989ecf6a3e_FORMATO.png",100079,18,282,"mei","Nulo",0.9,9.62,-2.38,0.9,1,"282",NA,NA,1,2,NA,3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"430","Michael Richard Delgado de Oliveira","michael","Michael","https://s.glbimg.com/es/sde/f/2020/07/21/eaff0a8cfed9390deb3cf2761132080d_FORMATO.png",99392,18,262,"ata","Nulo",-0.1,5.32,-0.11,1.41,9,"Flamengo",1,1,6,11,2,26,NA,3,9,NA,NA,NA,NA,NA,NA,NA,NA,NA
"431","Leonardo Silva Gomes","leo-gomes","Léo Gomes","https://s.glbimg.com/es/sde/f/2020/01/21/3e0e71a35bbe2b295b386c4161ad312c_FORMATO.png",101585,18,293,"mei","Nulo",0,1.29,0,4.45,2,"293",1,1,8,6,4,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"432","Lucas Braga Ribeiro","lucas-braga","Lucas Braga","https://s.glbimg.com/es/sde/f/2020/08/20/647949d36ebae12053e632bfe95815d5_FORMATO.png",99119,18,277,"ata","Provável",0.9,2.49,0.18,1.06,13,"Santos",1,3,16,22,17,38,NA,3,3,NA,NA,2,NA,NA,NA,NA,NA,NA
"433","Pedro Gabriel Pereira Lopes","pedrinho","Pedrinho","https://s.glbimg.com/es/sde/f/2019/09/30/6a55930690acaca09d4ef83e23d8e8fd_FORMATO.png",100103,18,293,"ata","Nulo",0,2.25,0,0.85,8,"293",NA,NA,2,6,5,13,NA,1,3,1,NA,NA,NA,NA,NA,NA,NA,NA
"434","Diego Terra Loureiro","diego-loureiro","Diego Loureiro","https://s.glbimg.com/es/sde/f/2020/03/01/4aa545bef3f6f79e2004bcd20b92e8e7_FORMATO.png",99430,18,263,"gol","Nulo",0,1,0,0,0,"263",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"435","Igor Silveira Gomes","igor-gomes","Igor Gomes","https://s.glbimg.com/es/sde/f/2019/04/01/7a6c90034396325f6cc570ef06e1040c_FORMATO.png",100084,18,276,"mei","Provável",0,3.04,0,0.83,14,"276",1,2,9,18,15,50,NA,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"436","Marcelo Rangel da Rosa","marcelo-rangel","Marcelo Rangel","https://s.glbimg.com/es/sde/f/2020/08/26/a5be04058297823632c7065f9ceea2ae_FORMATO.jpeg",82730,18,290,"gol","Nulo",0,0.77,0,-3.45,2,"290",NA,1,NA,NA,NA,29,NA,NA,NA,NA,NA,NA,NA,1,3,NA,NA,NA
"437","Gabriel Baralhas dos Santos","baralhas","Baralhas","https://s.glbimg.com/es/sde/f/2020/10/20/d1b6cda28d3190a8ba17446d082ac2ab_FORMATO.png",99440,18,373,"mei","Nulo",4.9,4.6,1.6,4.9,1,"373",NA,NA,5,1,NA,4,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"438","Wellington Soares da Silva","wellington-rato","Wellington Rato","https://s.glbimg.com/es/sde/f/2020/10/05/b190d450eb26fdf91906a41bc3070d11_FORMATO.png",82766,18,373,"mei","Nulo",0,1.8,0,0.5,1,"373",NA,NA,NA,NA,NA,3,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"439","Gilvan Souza Correa","gilvan","Gilvan","https://s.glbimg.com/es/sde/f/2020/02/27/73ad0548535f59edf7dd6d9d1224dc21_FORMATO.png",82773,18,373,"zag","Nulo",0,5.04,0,2.72,9,"373",NA,3,15,13,6,11,2,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA
"440","Pedro Henrique Naressi Machado","pedro-naressi","Pedro Naressi","https://s.glbimg.com/es/sde/f/2020/09/14/46ddb181165c7727e2b17d88bb13428e_FORMATO.png",98529,18,354,"mei","Provável",-3.6,0.77,-0.32,-1,2,"354",NA,2,4,5,3,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"441","Ricardo Queiroz de Alencastro Graça","ricardo","Ricardo","https://s.glbimg.com/es/sde/f/2020/08/17/1f0c50b2e3b9d5732c27d1fe873c62b8_FORMATO.png",99881,18,267,"zag","Nulo",0,7.13,0,3.15,8,"267",NA,1,11,5,4,19,3,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"442","Alesandro dos Santos Pereira","ale-santos","Alê Santos","https://s.glbimg.com/es/sde/f/2020/02/27/5751271b660f08e0407f7ee70d3e829f_FORMATO.png",99256,18,292,"mei","Contundido",0,2,0,0,0,"292",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"443","Pedro Henrique de Oliveira Correia","pedrao","Pedrão","https://s.glbimg.com/es/sde/f/2020/03/03/7a5d281294e2881a3be2bf6a652bf10c_FORMATO.png",100322,18,293,"zag","Nulo",0,3,0,0,0,"293",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"444","Matheus Soares Thuler","thuler","Thuler","https://s.glbimg.com/es/sde/f/2020/07/21/c1d622890e9831d7d8ea5d180ec25470_FORMATO.png",100125,18,262,"zag","Nulo",0,2.12,0,-0.6,3,"Flamengo",NA,1,1,1,1,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"445","Lucas Henrique Ferreira Venuto","lucas-venuto","Lucas Venuto","https://s.glbimg.com/es/sde/f/2020/08/11/4d0626b467649cadfbf95578a06887cf_FORMATO.png",100290,18,292,"ata","Nulo",0,2.16,0,1.07,6,"292",NA,NA,2,3,10,21,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"446","Yuri Alberto Monteiro da Silva","yuri-alberto","Yuri Alberto","https://s.glbimg.com/es/sde/f/2020/08/11/60b97b20e537fed275de66e23aafd5d9_FORMATO.png",100652,18,285,"ata","Nulo",0,1.94,0,1.77,4,"285",NA,1,NA,6,1,3,NA,3,1,NA,1,1,NA,NA,NA,NA,NA,NA
"447","Caio Alan Tem Catem Gonçalves","caio","Caio","https://s.glbimg.com/es/sde/f/2018/03/01/87be2dd051653cd0a7a8ee5d52f910c8_FORMATO.png",99460,18,293,"gol","Nulo",0,1,0,0,0,"293",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"448","Lucas da Silva Ribeiro Campos","lucas-campos","Lucas Campos","https://s.glbimg.com/es/sde/f/2019/08/23/de2cbd55d0f687fecdd4b8346fddf148_FORMATO.png",99903,18,263,"ata","Nulo",0,2,0,0,0,"263",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"449","Leonardo Rech Ortiz","leo-ortiz","Léo Ortiz","https://s.glbimg.com/es/sde/f/2020/07/28/090452058da707cf73facf6249235bfb_FORMATO.png",97867,18,280,"zag","Provável",6.5,8.72,0.25,3.18,18,"280",NA,2,35,14,8,63,3,1,4,NA,2,NA,NA,NA,NA,NA,NA,NA
"450","Hyuri Henrique de Oliveira Costa","hyuri","Hyuri","https://s.glbimg.com/es/sde/f/2020/07/11/ddbeaca2d0f0fdc1c5052cddcaafdd33_FORMATO.png",82758,18,373,"ata","Nulo",0,6.01,0,1.48,15,"373",NA,2,10,15,4,18,NA,3,8,NA,2,5,NA,NA,NA,NA,NA,NA
"451","Guilherme Alecsander Guedes","guilherme-guedes","Guilherme Guedes","https://s.glbimg.com/es/sde/f/2020/07/19/3e492b4747eacc5d7e87267e97310fad_FORMATO.png",100741,18,284,"lat","Nulo",0,3,0,0,0,"284",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"452","Paulo Henrique Pereira da Silva","paulinho-boia","Paulinho Bóia","https://s.glbimg.com/es/sde/f/2020/07/21/b835e53eaf060e493f1fdd092c0174c6_FORMATO.png",100333,18,276,"ata","Nulo",0,4.79,0,3.1,9,"276",NA,NA,11,8,18,22,NA,4,6,2,NA,3,NA,NA,NA,NA,NA,NA
"453","Patrick Machado Ferreira ","patrick","Patrick","https://s.glbimg.com/es/sde/f/2020/07/19/c14a26423f60b6ea3fad21b28855d481_FORMATO.png",99918,18,284,"mei","Nulo",0,2.74,0,-0.5,1,"284",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"454","Lucas Pereira Ribeiro de Souza","lucas-pereira","Lucas Pereira","https://s.glbimg.com/es/sde/f/2020/02/27/7accab459be3ca0353d8cfe1819fcd5c_FORMATO.png",100100,18,373,"gol","Nulo",0,2,0,0,0,"373",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"455","Wesley Frazan Bernardo","frazan","Frazan","https://s.glbimg.com/es/sde/f/2020/08/31/26157eb4d01c29438f7335acae2d0a72_FORMATO.png",97528,18,266,"zag","Nulo",0,3,0,0,0,"266",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
