"","atletas.nome","atletas.slug","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","atletas.clube.id.full.name","A","CA","DS","FC","FD","FF","FS","G","I","PI","DD","DP","GS","SG","CV","FT","GC","PP"
"386","Madson Ferreira dos Santos","madson","Madson","https://s.glbimg.com/es/sde/f/2020/02/28/797ea157d220381c5808fcaa35ab969f_FORMATO.png",78077,21,277,"lat","Nulo",0,6.11,0,3.92,15,"Santos",3,2,12,6,2,NA,12,4,2,105,NA,NA,NA,2,NA,NA,NA,NA
"387","Luiz Henrique Augustin ","luiz-henrique","Luiz Henrique","https://s.glbimg.com/es/sde/f/2020/03/03/1a216904bc60228576fbef1f7a6fece2_FORMATO.png",104526,21,294,"mei","Nulo",0,1.52,0,0.84,7,"Coritiba",NA,NA,7,4,NA,1,3,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA
"388","Marcos Guilherme de Almeida Santos Matos","marcos-guilherme","Marcos Guilherme ","https://s.glbimg.com/es/sde/f/2020/02/27/cface4b2faa10e1c22eb8e5dfb7971ad_FORMATO.png",83266,21,285,"mei","Provável",-1.5,2.63,-0.5,0.46,18,"285",NA,1,11,19,3,6,8,NA,5,40,NA,NA,NA,NA,NA,1,NA,NA
"389","Jean Mota Oliveira de Sousa","jean-mota","Jean Mota","https://s.glbimg.com/es/sde/f/2020/03/09/c51996a402c33b6efe07a6e733476941_FORMATO.png",78548,21,277,"mei","Nulo",0,3.4,0,1.69,15,"Santos",1,1,16,21,5,7,15,NA,NA,52,NA,NA,NA,NA,NA,1,NA,NA
"390","Luan Peres Petroni","luan-peres","Luan Peres ","https://s.glbimg.com/es/sde/f/2019/09/16/6a774b65d32e1e3586030adb069316e3_FORMATO.png",84847,21,277,"zag","Provável",7.6,6.89,0.72,2.12,20,"Santos",1,2,27,6,1,3,19,NA,NA,108,NA,NA,NA,4,1,NA,NA,NA
"391","Jobson Souza Santos","jobson","Jobson","https://s.glbimg.com/es/sde/f/2019/09/21/78ffca0f8c20a94cf8b5e9109bea47c6_FORMATO.png",93377,21,277,"mei","Nulo",0,3.87,0,1.86,15,"Santos",1,5,38,28,1,3,14,1,1,91,NA,NA,NA,NA,NA,NA,NA,NA
"392","João Paulo Silva Martins","joao-paulo","João Paulo","https://s.glbimg.com/es/sde/f/2019/03/28/55b6bd3285315d25077f61ea5d4a7fc9_FORMATO.png",85425,21,277,"gol","Nulo",0,7.19,0,3.71,18,"Santos",NA,2,NA,NA,NA,NA,2,NA,NA,112,27,NA,21,3,NA,NA,NA,NA
"393","Luiz Felipe do Nascimento dos Santos","luiz-felipe","Luiz Felipe","https://s.glbimg.com/es/sde/f/2020/03/09/981499da2df970e3aa062fabcbf2f745_FORMATO.png",79035,21,277,"zag","Provável",4.8,4.16,0.62,1.33,4,"Santos",NA,NA,2,3,NA,NA,2,NA,NA,12,NA,NA,NA,1,NA,NA,NA,NA
"394","John Victor Maciel Furtado","john-victor","John Victor","https://s.glbimg.com/es/sde/f/2020/03/09/7526bffb5ffcf8710f171fa2fbd3284a_FORMATO.png",94044,21,277,"gol","Provável",16.3,3.81,2.81,16.3,1,"Santos",NA,NA,NA,NA,NA,NA,1,NA,NA,12,3,NA,NA,1,NA,NA,NA,NA
"395","Guilherme da Silva Azevedo","guilherme-azevedo","Guilherme Azevedo","https://s.glbimg.com/es/sde/f/2020/07/19/756f7ee69aa8fccdfd44fbbf534a60a0_FORMATO.png",105837,21,284,"ata","Nulo",0,1.74,0,1.4,7,"284",NA,NA,4,2,2,2,8,NA,1,7,NA,NA,NA,NA,NA,NA,NA,NA
"396","Darlan Pereira Mendes","darlan","Darlan","https://s.glbimg.com/es/sde/f/2020/07/19/86f5908425375d7aa9007181ae00f69c_FORMATO.png",104593,21,284,"mei","Provável",5.1,5.29,-0.11,2.48,11,"284",NA,1,26,13,NA,3,5,1,NA,32,NA,NA,NA,NA,NA,NA,NA,NA
"397","Jonathan Copete Valencia","copete","Copete","https://s.glbimg.com/es/sde/f/2019/03/28/8b877a8c4ad54095a090c72a16cdb129_FORMATO.png",77959,21,277,"ata","Nulo",0,4,0,0,0,"Santos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"398","Bruno Gomes da Silva Clevelário","bruno-gomes","Bruno Gomes","https://s.glbimg.com/es/sde/f/2020/08/17/76089d8528afa499ba3467eaa5e1b180_FORMATO.png",106202,21,267,"mei","Nulo",0,2.66,0,0.57,10,"267",NA,2,18,15,1,2,20,NA,NA,36,NA,NA,NA,NA,2,NA,NA,NA
"399","Diego Cristiano Evaristo","diego-pituca","Diego Pituca","https://s.glbimg.com/es/sde/f/2020/03/09/54fa3d697fc129a0e755c94b10fedd38_FORMATO.png",94156,21,277,"mei","Nulo",0,7.82,0,2.37,20,"Santos",NA,2,50,23,4,5,28,NA,2,88,NA,NA,NA,NA,NA,NA,NA,NA
"400","Arthur Gomes Lourenço","arthur-gomes","Arthur Gomes","https://s.glbimg.com/es/sde/f/2020/02/28/1180152071b3a94086ee66e070352aab_FORMATO.png",96966,21,277,"ata","Nulo",0,3.41,0.06,1.08,13,"Santos",NA,1,12,15,6,3,10,1,1,56,NA,NA,NA,NA,1,NA,NA,NA
"401","Alison Lopes Ferreira","alison","Alison","https://s.glbimg.com/es/sde/f/2020/03/09/73ed5ab3cb9b56aecea70945f57d3adf_FORMATO.png",73974,21,277,"mei","Nulo",0,8.09,0,1.24,10,"Santos",1,2,27,16,NA,NA,14,NA,NA,46,NA,NA,NA,NA,2,NA,NA,NA
"402","Kaio Jorge Pinto Ramos","kaio-jorge","Kaio Jorge","https://s.glbimg.com/es/sde/f/2020/03/09/2863be83eb651b5fcae91f0fa484d0b1_FORMATO.png",103445,21,277,"ata","Provável",3.1,4.48,0.67,1.48,18,"Santos",NA,4,12,30,2,12,23,2,2,39,NA,NA,NA,NA,NA,1,NA,NA
"403","Vladimir Orlando Cardoso de Araújo Filho","vladimir","Vladimir","https://s.glbimg.com/es/sde/f/2020/02/28/4d9d7f15b47033ac09c8e32e9b963227_FORMATO.png",69040,21,277,"gol","Contundido",0,6.43,0,2.93,3,"Santos",NA,NA,NA,NA,NA,NA,NA,NA,NA,12,4,NA,3,NA,NA,NA,NA,NA
"404","Rodrigo Dourado Cunha","rodrigo-dourado","Rodrigo Dourado","https://s.glbimg.com/es/sde/f/2020/02/27/12e542636d28c0dc887fe6ae967dbe52_FORMATO.png",78865,21,285,"mei","Provável",0.4,4.43,0.29,-0.05,4,"285",NA,1,3,2,NA,NA,1,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA
"405","Raniel Santana de Vasconcelos","raniel","Raniel","https://s.glbimg.com/es/sde/f/2020/02/28/84228574413957408f18e14b94d2aa81_FORMATO.png",86797,21,277,"ata","Contundido",0,5.16,0,2.95,4,"Santos",NA,NA,8,7,2,2,11,NA,3,7,NA,NA,NA,NA,NA,NA,NA,NA
"406","Heitor Rodrigues da Fonseca","heitor","Heitor","https://s.glbimg.com/es/sde/f/2020/02/27/46ea70366228afe849358bbedd6c18e1_FORMATO.png",104649,21,285,"lat","Suspenso",0,4.25,0,4.53,7,"285",4,3,20,10,2,1,8,NA,NA,45,NA,NA,NA,1,1,NA,NA,NA
"407","Gabriel Boschilia","boschilia","Boschilia","https://s.glbimg.com/es/sde/f/2020/02/27/dbeea99042dc47fc247d3a724d62602b_FORMATO.png",86841,21,285,"mei","Contundido",0,8.45,0,3.81,13,"285",1,2,40,24,9,5,14,1,NA,92,NA,NA,NA,NA,NA,NA,NA,NA
"408","Natanael Batista Pimenta","natanael","Natanael","https://s.glbimg.com/es/sde/f/2020/09/12/e3f2361fc0584d13ce3b65e8673cf1e6_FORMATO.png",86264,21,373,"lat","Nulo",0,3.54,0.02,1.99,8,"373",NA,1,9,6,1,3,8,NA,1,52,NA,NA,NA,2,NA,NA,NA,NA
"409","Keiller da Silva Nunes","keiller","Keiller","https://s.glbimg.com/es/sde/f/2020/02/27/4d3e8df7f1ee40580d75e33e752dcff2_FORMATO.png",93834,21,285,"gol","Nulo",0,2,0,0,0,"285",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"410","Fernando Diniz Silva","fernando-diniz","Fernando Diniz","https://s.glbimg.com/es/sde/f/2019/10/03/6d8ae397f0417ad0faa735bc5f9c21d5_FORMATO.png",72391,21,276,"tec","Provável",3.58,9.57,-0.15,3.89,17,"276",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"411","Damián Marcelo Musto","musto","Musto","https://s.glbimg.com/es/sde/f/2020/02/27/aa72a4508aad03611c623879b48a94c6_FORMATO.png",94838,21,285,"mei","Nulo",0,4.89,0,1.51,12,"285",NA,2,23,18,NA,2,12,1,NA,25,NA,NA,NA,NA,1,NA,NA,NA
"412","Bruno Fabiano Alves","bruno-alves","Bruno Alves","https://s.glbimg.com/es/sde/f/2019/04/01/c8c4cd4fac733c4fba030044eefbd05a_FORMATO.png",73620,21,276,"zag","Provável",0.3,7.63,-0.41,2.62,11,"276",NA,1,11,15,NA,3,15,NA,NA,26,NA,NA,NA,4,NA,NA,NA,NA
"413","Renzo Saravia","saravia","Saravia","https://s.glbimg.com/es/sde/f/2020/03/02/2adf4c12427d0fca9fe94f89118bd866_FORMATO.png",96725,21,285,"lat","Contundido",0,18.78,0,7.96,8,"285",1,1,37,12,1,2,15,NA,NA,56,NA,NA,NA,5,NA,NA,NA,NA
"414","Marcos Luis Rocha Aquino","marcos-rocha","Marcos Rocha","https://s.glbimg.com/es/sde/f/2020/03/09/ebc79a97a8840c38c63b16446a1c84b5_FORMATO.png",63013,21,275,"lat","Provável",7.1,8.51,0.25,2.9,12,"275",NA,1,34,15,NA,1,11,NA,NA,111,NA,NA,NA,3,NA,NA,NA,NA
"415","Daniel de Sousa Brito","daniel","Daniel","https://s.glbimg.com/es/sde/f/2020/02/27/222ec98ac489a4b1ce5063bdde3d208e_FORMATO.png",96468,21,285,"gol","Contundido",0,2,0,0,0,"285",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"416","Juan Francisco Torres Belén","juanfran","Juanfran","https://s.glbimg.com/es/sde/f/2019/08/09/3bd5a8ba6743da05e2eefc2c5140722d_FORMATO.png",72620,21,276,"lat","Provável",0,7.16,0,3.27,7,"276",1,1,11,6,1,2,5,NA,NA,34,NA,NA,NA,2,NA,NA,NA,NA
"417","Tiago Luis Volpi","tiago-volpi","Tiago Volpi","https://s.glbimg.com/es/sde/f/2019/04/01/2738a4ae33bd55ff85ec0117ecf79063_FORMATO.png",72018,21,276,"gol","Provável",3.7,13.37,0.15,4.3,17,"276",1,1,1,NA,NA,NA,4,NA,NA,127,17,3,17,5,NA,NA,NA,NA
"418","Diogo Barbosa Mendanha","diogo-barbosa","Diogo Barbosa","https://s.glbimg.com/es/sde/f/2020/09/11/8c1bbc63952b2e050b6b5662f996e79d_FORMATO.png",70916,21,284,"lat","Provável",-0.2,7.64,-0.93,2.99,15,"284",1,1,34,11,1,6,15,NA,1,96,NA,NA,NA,2,NA,NA,NA,NA
"419","Gustavo Nonato Santana","nonato","Nonato","https://s.glbimg.com/es/sde/f/2020/02/27/4fc30df934657cce0aecf53ef7dc9a8b_FORMATO.png",100987,21,285,"mei","Nulo",0,6.63,0,4.96,5,"285",NA,2,19,6,1,NA,10,1,NA,14,NA,NA,NA,NA,NA,NA,NA,NA
"420","Martín Nicolás Sarrafiore","sarrafiore","Sarrafiore","https://s.glbimg.com/es/sde/f/2020/09/17/8f1169f09495acbeed3fec9bcfc07aa0_FORMATO.png",101315,21,294,"mei","Nulo",-0.3,2.34,-0.76,1.23,6,"Coritiba",NA,1,5,4,1,6,5,NA,NA,21,NA,NA,NA,NA,NA,NA,NA,NA
"421","Tailson Pinto Gonçalves","tailson","Tailson","https://s.glbimg.com/es/sde/f/2020/02/28/6a3d988146a39cccc9f2572d2d1235f8_FORMATO.png",104578,21,277,"ata","Nulo",-1,1.98,-0.22,0.54,9,"Santos",NA,NA,5,6,1,NA,6,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA
"422","Maílson Tenório dos Santos","mailson","Maílson","https://s.glbimg.com/es/sde/f/2018/05/24/d5727b385d03345fbbfcdc75ebcdbe7c_FORMATO.png",98034,21,292,"gol","Nulo",-4.4,0.98,-0.91,-0.4,7,"292",NA,1,1,1,NA,NA,1,NA,NA,58,6,NA,10,NA,NA,NA,NA,NA
"423","Sandry Roberto Santos Goes","sandry","Sandry","https://s.glbimg.com/es/sde/f/2020/03/09/8bf582cd91832a1415dc460fd233c490_FORMATO.png",104580,21,277,"mei","Nulo",0,1.47,0,-0.65,4,"Santos",NA,3,6,7,NA,NA,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"424","Alerrandro Barra Mansa Realino de Souza","alerrandro","Alerrandro","https://s.glbimg.com/es/sde/f/2020/07/28/e7ad33aff8b2ab2890e6f1e782d86362_FORMATO.png",101715,21,280,"ata","Contundido",0,11.12,0,5.76,12,"280",2,NA,6,7,5,9,14,5,4,35,NA,NA,NA,NA,NA,2,NA,1
"425","Pablo Felipe Teixeira","pablo","Pablo","https://s.glbimg.com/es/sde/f/2019/04/01/2183894813bb5543356e56f459ac6b03_FORMATO.png",69138,21,276,"ata","Nulo",0.2,7.17,-0.51,1.89,13,"276",1,1,6,21,4,17,13,1,8,28,NA,NA,NA,NA,NA,NA,NA,NA
"426","Jailson Marcelino dos Santos","jailson","Jailson","https://s.glbimg.com/es/sde/f/2020/03/09/511303024e5679ad2b3ae40dd0b19d1d_FORMATO.png",72290,21,275,"gol","Nulo",8.4,3.32,1.97,-0.4,4,"275",NA,1,NA,NA,NA,NA,NA,NA,NA,26,2,NA,5,1,NA,NA,NA,NA
"427","João Gabriel Martins Peglow","peglow","Peglow","https://s.glbimg.com/es/sde/f/2020/02/27/5c7fe67d54b296320092b526cff1e6bb_FORMATO.png",106821,21,285,"mei","Nulo",0,1.74,0,0.82,5,"285",1,NA,2,5,NA,1,1,NA,1,12,NA,NA,NA,NA,NA,NA,NA,NA
"428","Leonardo Rech Ortiz","leo-ortiz","Léo Ortiz","https://s.glbimg.com/es/sde/f/2020/07/28/090452058da707cf73facf6249235bfb_FORMATO.png",97867,21,280,"zag","Nulo",-1,7.62,-0.74,2.97,21,"280",NA,3,40,15,1,5,10,3,NA,85,NA,NA,NA,3,NA,NA,1,NA
"429","Walter Kannemann","kannemann","Kannemann","https://s.glbimg.com/es/sde/f/2018/05/21/7a4b8f949ed4d8b668d8c40a33e50edb_FORMATO.png",87342,21,284,"zag","Nulo",0,10.7,0,4.34,7,"284",NA,4,24,23,2,2,9,NA,NA,26,NA,NA,NA,4,NA,NA,NA,NA
"430","Bruno Roberto Pereira da Silva","bruninho","Bruninho","https://s.glbimg.com/es/sde/f/2020/07/19/a8a4dd85c718d51ded9273e2453ecfd5_FORMATO.png",101716,21,292,"mei","Nulo",0,3.76,0,1.55,9,"292",NA,1,7,4,3,3,3,NA,1,20,NA,NA,NA,NA,NA,2,NA,NA
"431","João Lucas Souza Cardoso","johnny","Johnny ","https://s.glbimg.com/es/sde/f/2020/02/27/fd6f78bc8647dd5e9fc9090d28654546_FORMATO.png",106002,21,285,"mei","Nulo",0,2.64,0,2.42,5,"285",NA,NA,11,1,1,1,3,NA,NA,19,NA,NA,NA,NA,NA,NA,NA,NA
"432","Ricardo Ryller Ribeiro Lino Silva","ricardo-ryller","Ricardo Ryller","https://s.glbimg.com/es/sde/f/2020/07/28/7d5cee8aae697360315651bbeec6ac0b_FORMATO.png",85856,21,280,"mei","Nulo",5.6,4.86,1.02,1.96,18,"280",1,8,48,52,3,10,22,1,NA,63,NA,NA,NA,NA,NA,NA,NA,NA
"433","Artur Victor Guimarães","artur","Artur","https://s.glbimg.com/es/sde/f/2020/07/28/e1784a425e398f05dd3d8f178a3ddaf6_FORMATO.png",95799,21,280,"ata","Nulo",1.9,11.7,-0.54,2.9,19,"280",2,1,20,15,11,21,41,NA,4,160,NA,NA,NA,NA,NA,2,NA,1
"434","João Igor Oliveira de Santana","joao-igor","João Igor","https://s.glbimg.com/es/sde/f/2020/02/27/e7e17a777e58973a249cd30a2e3df0f0_FORMATO.png",104217,21,292,"mei","Nulo",0,1.93,0,-0.37,3,"292",NA,NA,NA,3,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"435","Pedro Henrique Naressi Machado","pedro-naressi","Pedro Naressi","https://s.glbimg.com/es/sde/f/2020/09/14/46ddb181165c7727e2b17d88bb13428e_FORMATO.png",98529,21,354,"mei","Suspenso",-2.5,0.78,-0.12,-0.87,4,"354",NA,3,7,9,NA,NA,4,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA
"436","Francisco Hyun Sol Kim","chico","Chico","https://s.glbimg.com/es/sde/f/2020/08/04/13893a6365a1a9dc6fc1d57912718f8d_FORMATO.png",82407,21,373,"ata","Provável",7.1,5.49,0.6,2.94,18,"373",3,1,16,22,7,9,31,1,NA,102,NA,NA,NA,NA,NA,2,NA,NA
"437","Everton Felipe de Oliveira Silva","everton-felipe","Everton Felipe","https://s.glbimg.com/es/sde/f/2020/07/16/8e57cefa124fc249fc9e07be0e3dc8bc_FORMATO.png",86519,21,373,"mei","Nulo",0,3.02,0,1.01,12,"373",1,1,9,4,4,2,17,NA,NA,77,NA,NA,NA,NA,1,NA,NA,NA
"438","Júlio César de Souza Santos","julio-cesar","Júlio César","https://s.glbimg.com/es/sde/f/2020/07/28/d011e4a2fb177d4a8669f9d5c77ef25e_FORMATO.png",38133,21,280,"gol","Nulo",0,4.47,0,0.75,6,"280",NA,NA,NA,NA,NA,NA,NA,NA,NA,55,4,1,9,1,NA,NA,NA,NA
"439","Christian Kendji Wagatsuma Ferreira","kazu","Kazu","https://s.glbimg.com/es/sde/f/2020/03/02/b1d4de6073f4457edbe7fd9443a4622d_FORMATO.png",107137,21,294,"lat","Nulo",0,1,0,0,0,"Coritiba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"440","Jurani Francisco Ferreira","ratinho","Ratinho","https://s.glbimg.com/es/sde/f/2020/08/26/6e025e8dfe1cf4c483ce1c8f215ff1f3_FORMATO.jpeg",101841,21,290,"mei","Nulo",0,2.26,0,1.04,7,"290",NA,2,14,10,NA,2,4,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA
"441","Jean Pyerre Casagrande Silveira Correa","jean-pyerre","Jean Pyerre","https://s.glbimg.com/es/sde/f/2019/07/09/c0831db56540c4e253fdd6affa63d176_FORMATO.png",98832,21,284,"mei","Provável",14.9,13.38,2.51,4.98,7,"284",1,NA,8,4,3,12,7,1,NA,38,NA,NA,NA,NA,NA,1,NA,NA
"442","Ytalo José Oliveira dos Santos","ytalo","Ytalo","https://s.glbimg.com/es/sde/f/2020/07/28/f5f19ab0ce1b02fc515f8bd18a88a815_FORMATO.png",53148,21,280,"ata","Nulo",9.1,7.05,1.81,3.42,14,"280",3,NA,10,14,7,6,9,2,2,28,NA,NA,NA,NA,NA,NA,NA,NA
"443","Fabrício Bruno Soares de Faria","fabricio-bruno","Fabrício Bruno","https://s.glbimg.com/es/sde/f/2020/08/07/30c87e07fe73b6315d5dd92b27e9ea12_FORMATO.png",90768,21,280,"zag","Nulo",-0.1,0.86,-0.07,-0.34,5,"280",NA,1,8,5,NA,NA,2,NA,NA,12,NA,NA,NA,NA,1,NA,NA,NA
"444","Rafael Navarro Leal","rafael-navarro","Rafael Navarro","https://s.glbimg.com/es/sde/f/2020/07/20/893ac0fe6c55a42b91ef4744f6ca7d4b_FORMATO.png",105770,21,263,"ata","Nulo",0,2,0,0,0,"263",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"445","Cleiton Schwengber","cleiton","Cleiton","https://s.glbimg.com/es/sde/f/2020/08/11/56999db7c665007bbfe8c1e1b0e76f8d_FORMATO.png",93882,21,280,"gol","Nulo",1.4,0.8,0.01,-0.43,15,"280",NA,NA,NA,NA,NA,NA,2,NA,NA,114,8,NA,19,2,NA,NA,NA,NA
"446","Samuel Xavier Brito","samuel-xavier","Samuel Xavier","https://s.glbimg.com/es/sde/f/2020/03/02/c130a3239b5a95d8a3a8b13ede4b4ad1_FORMATO.png",73384,21,354,"lat","Provável",3.5,6.21,-0.56,3.08,14,"354",2,3,27,20,1,5,24,NA,1,145,NA,NA,NA,5,1,NA,NA,NA
"447","Ligger Moreira Malaquias","ligger","Ligger","https://s.glbimg.com/es/sde/f/2020/07/28/255a365d2d791e29f34e34db72b286f4_FORMATO.png",61141,21,280,"zag","Nulo",3.5,4.47,0.22,2.43,15,"280",1,NA,21,20,1,4,9,NA,NA,34,NA,NA,NA,3,NA,NA,NA,NA
"448","Andrew Erik Feitosa","morato","Morato","https://s.glbimg.com/es/sde/f/2020/07/28/45ddb78d5fe4e30bced22de0add70650_FORMATO.png",86227,21,280,"ata","Nulo",0,2.49,0,0.28,13,"280",NA,NA,6,9,3,7,8,NA,2,51,NA,NA,NA,NA,1,NA,NA,NA
"449","Alesandro dos Santos Pereira","ale-santos","Alê Santos","https://s.glbimg.com/es/sde/f/2020/02/27/5751271b660f08e0407f7ee70d3e829f_FORMATO.png",99256,21,292,"mei","Contundido",0,2,0,0,0,"292",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"450","Edimar Curitiba Fraga","edimar","Edimar","https://s.glbimg.com/es/sde/f/2020/07/28/add64224dcac666b23e193bb0505d8a5_FORMATO.png",62024,21,280,"lat","Nulo",0,3.72,0,1.54,17,"280",NA,4,31,26,2,13,10,NA,1,162,NA,NA,NA,3,NA,NA,NA,NA
"451","Victor Hugo Santana Carvalho","vitinho","Vitinho","https://s.glbimg.com/es/sde/f/2020/07/28/51d0ea8bb18b7deb239ab41038d9cf2a_FORMATO.png",95770,21,280,"mei","Contundido",0,3,0,0,0,"280",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"452","Alexandre de Almeida da Silva Júnior","juninho","Juninho","https://s.glbimg.com/es/sde/f/2020/03/13/7c86524fe7de88fe7eaf75ee5df21eb2_FORMATO.png",107677,21,267,"mei","Nulo",0,3.39,0,2.57,3,"267",1,NA,2,NA,NA,1,2,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA
"453","Robert Abel Arboleda Escobar","arboleda","Arboleda","https://s.glbimg.com/es/sde/f/2019/04/01/8b22d106ccba1278e3e4a6b89e76eab0_FORMATO.png",91573,21,276,"zag","Nulo",0,8.23,0,1.86,5,"276",NA,1,1,3,2,NA,1,NA,NA,11,NA,NA,NA,2,NA,NA,NA,NA
"454","Luis Manuel Orejuela García","orejuela","Orejuela","https://s.glbimg.com/es/sde/f/2020/07/19/2277b33232bf3b6a9c2e569271b9f87d_FORMATO.png",95352,21,284,"lat","Dúvida",0,10.28,0,5.08,15,"284",NA,1,45,22,3,6,21,1,1,152,NA,NA,NA,6,NA,1,NA,NA
"455","Riquelme Carvalho Araújo Viana","riquelme","Riquelme","https://s.glbimg.com/es/sde/f/2020/08/17/26653830802f187c2488014a12698d4a_FORMATO.png",105566,21,267,"lat","Nulo",0,1,0,0,0,"267",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"456","Leandro Henrique do Nascimento","leandrinho","Leandrinho","https://s.glbimg.com/es/sde/f/2020/08/21/0a104e26afc93ebbbf158e5bfc8a3400_FORMATO.png",91702,21,280,"ata","Contundido",0,2.25,0,0.9,6,"280",NA,NA,2,2,NA,3,6,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA
"457","Ramires Santos do Nascimento","ramires","Ramires","https://s.glbimg.com/es/sde/f/2019/07/15/f7e7e1bc3ae4b0d7928b527e2e567bc1_FORMATO.png",50293,21,275,"mei","Provável",0,4.28,-0.18,0.53,15,"275",NA,2,20,12,2,1,6,NA,NA,31,NA,NA,NA,NA,NA,NA,1,NA
"458","Nathanael Ananias da Silva","nathan-silva","Nathan Silva","https://s.glbimg.com/es/sde/f/2020/03/03/b83d40e4104fc0cb62636da75ac2daaa_FORMATO.png",95794,21,294,"mei","Nulo",0,1.76,0,0.63,8,"Coritiba",NA,5,12,20,NA,4,8,1,NA,21,NA,NA,NA,NA,NA,NA,NA,NA
"459","Wesley Pionteck Souza","wesley-pionteck","Wesley Pionteck","https://s.glbimg.com/es/sde/f/2020/08/07/70b200dbf6703aca6b5eee4008dbcad6_FORMATO.png",93376,21,280,"ata","Nulo",0,1.69,0,0.7,1,"280",NA,NA,1,1,NA,NA,1,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA
"460","Thiago Couto Wenceslau","thiago-couto","Thiago Couto","https://s.glbimg.com/es/sde/f/2017/05/25/dfcf4266572f7296e853252f68813195_FORMATO.png",97645,21,276,"gol","Nulo",0,1,0,0,0,"276",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"461","Lucas Ribeiro dos Santos","lucas-ribeiro","Lucas Ribeiro","https://s.glbimg.com/es/sde/f/2020/08/11/93a36fa67c35580ef4e99cac7a12dff1_FORMATO.png",103088,21,285,"zag","Nulo",0,4,0,0,0,"285",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"462","Douglas do Espírito Santo Torres","douglas-borel","Douglas Borel","https://s.glbimg.com/es/sde/f/2020/02/28/b712535c02755e644522c63bcfa813af_FORMATO.png",104634,21,265,"lat","Nulo",0,1,0,0,0,"265",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"463","Fagner Conserva Lemos","fagner","Fagner","https://s.glbimg.com/es/sde/f/2020/07/21/86994a3b5f98e1f43ef23a09d56aa65c_FORMATO.png",42500,21,264,"lat","Provável",1.1,10.34,0.02,2.8,14,"264",NA,2,39,20,3,4,13,1,1,167,NA,NA,NA,3,1,NA,NA,NA
"464","Diego Santos Monteiro","diego-monteiro","Diego Monteiro","https://s.glbimg.com/es/sde/f/2020/03/03/59ea3fcf6b8099184e3d7afece30e0e5_FORMATO.png",107136,21,294,"gol","Nulo",0,1,0,0,0,"Coritiba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"465","Igor Vinícius de Souza","igor-vinicius","Igor Vinícius","https://s.glbimg.com/es/sde/f/2019/04/01/882d97a0ed3a028f3c489768c79b7268_FORMATO.png",95466,21,276,"lat","Nulo",-1.5,5.06,-0.49,2.19,13,"276",2,4,19,29,4,6,10,NA,NA,76,NA,NA,NA,3,NA,NA,NA,NA
"466","Aderlan de Lima Silva","aderlan","Aderlan","https://s.glbimg.com/es/sde/f/2020/07/28/10421e422ea8a27f59d89f98423c8dab_FORMATO.png",88423,21,280,"lat","Nulo",4.4,9.09,0.3,2.4,19,"280",NA,2,58,42,2,7,19,NA,1,192,NA,NA,NA,3,NA,NA,NA,NA
"467","Ramon de Morais Motta ","ramon","Ramon","https://s.glbimg.com/es/sde/f/2020/08/17/c3880e0855085540096eb79ca1b203f2_FORMATO.png",68896,21,267,"lat","Contundido",0,7,0,0,0,"267",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
