"","atletas.nome","atletas.slug","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","atletas.clube.id.full.name","A","CA","CV","DS","FC","FD","FF","FS","I","PI","SG","G","DD","DP","GS","FT","GC","PP"
"410","Everton Felipe de Oliveira Silva","everton-felipe","Everton Felipe","https://s.glbimg.com/es/sde/f/2020/07/16/8e57cefa124fc249fc9e07be0e3dc8bc_FORMATO.png",86519,35,373,"mei","Nulo",0,2.95,0,0.76,13,"373",1,2,1,10,6,4,2,17,NA,79,NA,NA,NA,NA,NA,NA,NA,NA
"411","Ronaldo Henrique Ferreira da Silva","ronaldo-henrique","Ronaldo Henrique","https://s.glbimg.com/es/sde/f/2020/02/28/49ff6a8c8384889f57c57e2f5f29f69c_FORMATO.png",85149,35,292,"mei","Nulo",2.1,2.97,0.31,0.62,20,"292",NA,4,NA,24,24,NA,7,17,NA,57,NA,NA,NA,NA,NA,NA,NA,NA
"412","Fabrício Bruno Soares de Faria","fabricio-bruno","Fabrício Bruno","https://s.glbimg.com/es/sde/f/2020/08/07/30c87e07fe73b6315d5dd92b27e9ea12_FORMATO.png",90768,35,280,"zag","Nulo",0,1.03,0,1.1,10,"280",NA,2,1,18,11,NA,1,4,NA,33,NA,1,NA,NA,NA,NA,NA,NA
"413","Sander Henrique Bortolotto","sander","Sander","https://s.glbimg.com/es/sde/f/2020/02/27/a37c5329c7b02ddb15c081c9d02ebed3_FORMATO.png",86391,35,292,"lat","Nulo",-1.8,7.49,-0.49,2.3,22,"292",NA,4,1,49,21,2,3,40,1,144,3,NA,NA,NA,NA,NA,NA,NA
"414","Artur Victor Guimarães","artur","Artur","https://s.glbimg.com/es/sde/f/2020/07/28/e1784a425e398f05dd3d8f178a3ddaf6_FORMATO.png",95799,35,280,"ata","Provável",2.1,12.02,-0.27,3.62,30,"280",5,2,NA,36,20,19,36,58,6,264,NA,1,NA,NA,NA,2,NA,1
"415","Júlio César de Souza Santos","julio-cesar","Júlio César","https://s.glbimg.com/es/sde/f/2020/07/28/d011e4a2fb177d4a8669f9d5c77ef25e_FORMATO.png",38133,35,280,"gol","Nulo",0,4.47,0,0.75,6,"280",NA,NA,NA,NA,NA,NA,NA,NA,NA,55,1,NA,4,1,9,NA,NA,NA
"416","Luan Polli Gomes","luan-polli","Luan Polli ","https://s.glbimg.com/es/sde/f/2020/02/27/bd93895c12a44bedff2c8516452fc868_FORMATO.png",88916,35,292,"gol","Provável",-5.1,3.51,-1.21,1.16,26,"292",NA,4,NA,NA,1,NA,NA,3,NA,277,7,NA,25,NA,35,NA,NA,NA
"417","Alerrandro Barra Mansa Realino de Souza","alerrandro","Alerrandro","https://s.glbimg.com/es/sde/f/2020/07/28/e7ad33aff8b2ab2890e6f1e782d86362_FORMATO.png",101715,35,280,"ata","Nulo",0,9.76,0,4.34,16,"280",2,NA,NA,6,10,5,9,20,5,42,NA,5,NA,NA,NA,2,NA,1
"418","Ytalo José Oliveira dos Santos","ytalo","Ytalo","https://s.glbimg.com/es/sde/f/2020/07/28/f5f19ab0ce1b02fc515f8bd18a88a815_FORMATO.png",53148,35,280,"ata","Provável",11.1,8.16,0.18,3.77,27,"280",5,NA,NA,23,24,15,16,19,7,56,NA,4,NA,NA,NA,1,NA,NA
"419","Iago Justen Maidana Martins","iago-maidana","Iago Maidana","https://s.glbimg.com/es/sde/f/2020/07/19/41ce77506da0f68a1af80fc131b3ce50_FORMATO.png",89226,35,292,"zag","Provável",-0.7,6.12,-0.25,2.53,30,"292",1,7,NA,43,36,2,8,16,NA,184,6,4,NA,NA,NA,NA,NA,NA
"420","Ligger Moreira Malaquias","ligger","Ligger","https://s.glbimg.com/es/sde/f/2020/07/28/255a365d2d791e29f34e34db72b286f4_FORMATO.png",61141,35,280,"zag","Provável",0.3,4.28,-1.78,2.56,25,"280",1,3,NA,40,33,2,6,11,NA,62,7,NA,NA,NA,NA,NA,NA,NA
"421","Leonardo Javier Realpe Montaño","realpe","Realpe","https://s.glbimg.com/es/sde/f/2020/07/28/b2e83687d1e3ee5357f4fde25603a389_FORMATO.png",106299,35,280,"zag","Nulo",0,2.74,0,0.97,6,"280",NA,1,NA,9,1,NA,1,1,NA,20,NA,NA,NA,NA,NA,NA,NA,NA
"422","Walter Kannemann","kannemann","Kannemann","https://s.glbimg.com/es/sde/f/2018/05/21/7a4b8f949ed4d8b668d8c40a33e50edb_FORMATO.png",87342,35,284,"zag","Provável",0,9.05,0,3.03,13,"284",NA,5,1,32,27,3,3,19,NA,47,5,NA,NA,NA,NA,NA,NA,NA
"423","Pedro Henrique Naressi Machado","pedro-naressi","Pedro Naressi","https://s.glbimg.com/es/sde/f/2020/09/14/46ddb181165c7727e2b17d88bb13428e_FORMATO.png",98529,35,354,"mei","Nulo",0,1.33,0,1.38,11,"354",1,4,NA,15,15,NA,2,8,NA,29,NA,1,NA,NA,NA,NA,NA,NA
"424","Weverton Guilherme da Silva Souza","weverton","Weverton","https://s.glbimg.com/es/sde/f/2020/07/28/98ed816e6bc98070a63fcc74d25eca77_FORMATO.png",104625,35,280,"lat","Nulo",0,0.79,0,-0.16,9,"280",NA,NA,NA,4,5,NA,1,1,NA,42,NA,NA,NA,NA,NA,NA,NA,NA
"425","Uillian Correia Granemann","uillian-correia","Uillian Correia","https://s.glbimg.com/es/sde/f/2020/07/28/0e53aa2f143ac0e5e0db6e7dbe0fce14_FORMATO.png",72007,35,280,"mei","Nulo",0,2.21,0,-0.67,7,"280",NA,1,NA,1,8,NA,1,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA
"426","Adryelson Shawann Lima Silva","adryelson","Adryelson","https://s.glbimg.com/es/sde/f/2020/02/27/af95f24d59281d8062c7bb367417bce2_FORMATO.png",91664,35,292,"zag","Provável",3.9,4.08,0.78,1.39,31,"292",NA,6,NA,34,41,3,8,21,2,106,7,NA,NA,NA,NA,1,1,NA
"427","Leonardo Rech Ortiz","leo-ortiz","Léo Ortiz","https://s.glbimg.com/es/sde/f/2020/07/28/090452058da707cf73facf6249235bfb_FORMATO.png",97867,35,280,"zag","Provável",4.9,8.97,-0.68,3.38,33,"280",NA,5,NA,71,18,3,8,14,NA,148,7,3,NA,NA,NA,1,1,NA
"428","Leandro Barcia Montero","leandro-barcia","Leandro Barcia","https://s.glbimg.com/es/sde/f/2020/02/27/78521d3f41f6e49002ef62386b998bb7_FORMATO.png",91242,35,292,"ata","Contundido",0,7.56,0,2.94,16,"292",NA,2,NA,26,19,6,6,20,6,86,NA,3,NA,NA,NA,NA,NA,NA
"429","Alex Alves de Lima","alex-alves","Alex Alves","https://s.glbimg.com/es/sde/f/2020/07/28/c80f00efef87f9644b9d9da2529b614c_FORMATO.png",77861,35,280,"gol","Nulo",0,1,0,0,0,"280",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"430","Jean Pyerre Casagrande Silveira Correa","jean-pyerre","Jean Pyerre","https://s.glbimg.com/es/sde/f/2019/07/09/c0831db56540c4e253fdd6affa63d176_FORMATO.png",98832,35,284,"mei","Provável",15.3,13.27,1.19,4.87,15,"284",3,NA,NA,15,10,5,18,14,1,100,NA,4,NA,NA,NA,1,NA,1
"431","Tomás Esteban Cuello","cuello","Cuello","https://s.glbimg.com/es/sde/f/2020/07/28/1eeacbdffc5dd751f52728c41e6c3146_FORMATO.png",98909,35,280,"mei","Nulo",0,2.04,0,1.09,16,"280",NA,4,NA,16,19,8,8,11,NA,54,NA,NA,NA,NA,NA,1,NA,NA
"432","Victor Hugo Santana Carvalho","vitinho","Vitinho","https://s.glbimg.com/es/sde/f/2020/07/28/51d0ea8bb18b7deb239ab41038d9cf2a_FORMATO.png",95770,35,280,"mei","Nulo",0,2.31,0,0.4,2,"280",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"433","Ricardo Ryller Ribeiro Lino Silva","ricardo-ryller","Ricardo Ryller","https://s.glbimg.com/es/sde/f/2020/07/28/7d5cee8aae697360315651bbeec6ac0b_FORMATO.png",85856,35,280,"mei","Provável",0.7,4.26,-0.07,1.99,27,"280",1,9,NA,61,66,5,16,26,1,88,NA,2,NA,NA,NA,NA,NA,NA
"434","Maílson Tenório dos Santos","mailson","Maílson","https://s.glbimg.com/es/sde/f/2018/05/24/d5727b385d03345fbbfcdc75ebcdbe7c_FORMATO.png",98034,35,292,"gol","Nulo",0,0.98,0,-0.4,7,"292",NA,1,NA,1,1,NA,NA,1,NA,58,NA,NA,6,NA,10,NA,NA,NA
"435","Cleiton Schwengber","cleiton","Cleiton","https://s.glbimg.com/es/sde/f/2020/08/11/56999db7c665007bbfe8c1e1b0e76f8d_FORMATO.png",93882,35,280,"gol","Provável",13.4,3.18,1.14,0.58,28,"280",NA,NA,NA,2,1,NA,NA,4,NA,236,6,NA,17,NA,31,NA,NA,NA
"436","Rafael Navarro Leal","rafael-navarro","Rafael Navarro","https://s.glbimg.com/es/sde/f/2020/07/20/893ac0fe6c55a42b91ef4744f6ca7d4b_FORMATO.png",105770,35,263,"ata","Provável",13.6,3.89,2.42,6.5,2,"263",NA,NA,NA,1,3,3,1,3,NA,4,NA,1,NA,NA,NA,NA,NA,NA
"437","Natanael Moreira Milouski","natanael","Natanael","https://s.glbimg.com/es/sde/f/2020/03/03/2c9e5951bc7a8dfb8ed3c7f7759e59f6_FORMATO.png",107554,35,294,"lat","Provável",0,2.69,0,3.3,17,"Coritiba",NA,NA,1,35,24,1,3,18,1,70,5,1,NA,NA,NA,NA,NA,NA
"438","Fagner Conserva Lemos","fagner","Fagner","https://s.glbimg.com/es/sde/f/2020/07/21/86994a3b5f98e1f43ef23a09d56aa65c_FORMATO.png",42500,35,264,"lat","Provável",5.8,11.44,0.5,3.79,22,"264",1,2,1,62,26,8,6,18,2,272,7,1,NA,NA,NA,NA,NA,NA
"439","Luan Cândido de Almeida","luan-candido","Luan Cândido","https://s.glbimg.com/es/sde/f/2020/07/28/6e72b464ec47e25ee0d33c043677901a_FORMATO.png",100848,35,280,"lat","Provável",0.5,1.8,-0.57,2.4,8,"280",NA,3,NA,10,14,NA,3,3,NA,47,3,1,NA,NA,NA,NA,NA,NA
"440","Henrique Vermudt","henrique-vermudt","Henrique Vermudt","https://s.glbimg.com/es/sde/f/2020/03/03/935e5497d5d03ac1eefea34e909731cf_FORMATO.png",104504,35,294,"mei","Provável",0,1.45,0,0.5,7,"Coritiba",NA,NA,NA,6,2,NA,1,2,NA,33,NA,NA,NA,NA,NA,NA,NA,NA
"441","Marcos Vinícius Sousa Natividade","marquinhos","Marquinhos","https://s.glbimg.com/es/sde/f/2020/02/27/636794bd55317612f53a95fc4663618f_FORMATO.png",102292,35,292,"ata","Suspenso",2.8,6.85,0.47,2.91,29,"292",2,9,NA,43,38,3,10,92,NA,133,NA,3,NA,NA,NA,NA,NA,NA
"442","Bruno Nunes de Barros","bruno-tubarao","Bruno Tubarão","https://s.glbimg.com/es/sde/f/2020/07/28/463ff91ecdd216754f963fbe0244e831_FORMATO.png",93637,35,280,"mei","Nulo",0,3.52,-0.34,2.04,27,"280",1,3,NA,36,17,7,13,15,3,104,NA,1,NA,NA,NA,2,NA,NA
"443","Francisco Alves da Silva Melo","chico","Chico","https://s.glbimg.com/es/sde/f/2020/02/27/091e13c92c44ecc1214f5f2ecd1f2b5d_FORMATO.png",99253,35,292,"zag","Nulo",0,2.78,0,2.74,11,"292",NA,1,NA,18,6,NA,1,2,NA,47,4,NA,NA,NA,NA,NA,NA,NA
"444","Andrew Erik Feitosa","morato","Morato","https://s.glbimg.com/es/sde/f/2020/07/28/45ddb78d5fe4e30bced22de0add70650_FORMATO.png",86227,35,280,"ata","Nulo",0,2.39,0,0.32,17,"280",NA,1,1,10,18,5,10,11,2,71,NA,NA,NA,NA,NA,NA,NA,NA
"445","Matheus Bueno Batista","matheus-bueno","Matheus Bueno","https://s.glbimg.com/es/sde/f/2020/03/03/a159f5ccd62c81f4ada32db91977a6be_FORMATO.png",101832,35,294,"mei","Nulo",0,2.1,0,1.11,23,"Coritiba",NA,1,NA,27,16,3,3,17,NA,59,NA,NA,NA,NA,NA,NA,NA,NA
"446","Maxwell Lima Santos Silva","maxwell","Maxwell","https://s.glbimg.com/es/sde/f/2020/02/27/6dd964a64713673b192cdf5819becdb7_FORMATO.png",107092,35,292,"ata","Nulo",0,2.1,0,0.95,4,"292",NA,NA,NA,3,1,NA,1,2,NA,5,NA,NA,NA,NA,NA,NA,NA,NA
"447","Claudio Luiz Rodrigues Parisi Leonel","claudinho","Claudinho","https://s.glbimg.com/es/sde/f/2020/07/28/552853b4ec9d01e9cfe52d7863da96fd_FORMATO.png",92630,35,280,"ata","Provável",6.9,16.11,-1.11,7,31,"280",6,4,NA,45,26,23,32,51,5,294,NA,15,NA,NA,NA,NA,NA,1
"448","Matheus Purcelo Blecha de Moraes","matheus-moraes","Matheus Moraes","https://s.glbimg.com/es/sde/f/2020/08/03/a6f8905ccb70a6ebf11ac94c30c32c6a_FORMATO.png",109560,35,277,"mei","Nulo",0,1,0,0,0,"Santos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"449","Francisco Hyun Sol Kim","chico","Chico","https://s.glbimg.com/es/sde/f/2020/08/04/13893a6365a1a9dc6fc1d57912718f8d_FORMATO.png",82407,35,373,"ata","Provável",1.5,4.83,-0.33,2.61,29,"373",4,2,NA,29,35,13,14,51,1,175,NA,1,NA,NA,NA,2,NA,NA
"450","Miguel Silveira dos Santos","miguel","Miguel","https://s.glbimg.com/es/sde/f/2020/08/11/d3bc0d5856387f3aab09b5c23bc2f805_FORMATO.png",105612,35,266,"mei","Nulo",0,1.75,0,0.43,4,"266",NA,NA,NA,1,1,NA,1,2,NA,6,NA,NA,NA,NA,NA,NA,NA,NA
"451","Victor Luis Chuab Zamblauskas","victor-luis","Victor Luis","https://s.glbimg.com/es/sde/f/2020/07/21/63b1b5162d56c5b17d785e530bc0fd50_FORMATO.png",86410,35,263,"lat","Nulo",0,9.06,0,3.37,23,"263",1,1,1,60,19,6,4,22,NA,193,3,2,NA,NA,NA,NA,NA,1
"452","Mattheus Andrade Gama de Oliveira","mattheus","Mattheus","https://s.glbimg.com/es/sde/f/2020/09/30/38d8d1bd4dd6f381d7dcabac2692be19_FORMATO.png",79023,35,294,"mei","Provável",0,4.95,0,3.23,8,"Coritiba",NA,NA,NA,17,4,1,2,8,NA,40,NA,1,NA,NA,NA,NA,NA,NA
"453","Bruno Conceição Praxedes","praxedes","Praxedes","https://s.glbimg.com/es/sde/f/2020/07/20/521eb9012cf96bba8e8c3b08e79b3138_FORMATO.png",107744,35,285,"mei","Provável",-0.1,1.07,-0.05,1.1,19,"285",NA,4,NA,30,37,2,11,17,1,96,NA,1,NA,NA,NA,NA,NA,NA
"454","Leonardo Natel Vieira","leo-natel","Léo Natel","https://s.glbimg.com/es/sde/f/2020/07/21/75fe8f637b732326ab10856c62020124_FORMATO.png",98952,35,264,"ata","Provável",6.8,4.9,0.28,1.71,22,"264",1,3,NA,19,31,9,10,11,8,91,NA,3,NA,NA,NA,NA,NA,NA
"455","Elivelton Guedes Alves da Silva","elivelton","Elivelton ","https://s.glbimg.com/es/sde/f/2020/09/30/3afdcde41a6b5186c650158eb6ddb9d2_FORMATO.png",107515,35,263,"lat","Nulo",0,1,0,0,0,"263",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"456","Alan Steven Franco Palma","franco","Franco","https://s.glbimg.com/es/sde/f/2020/08/31/b9998b0398f68bde01652c40392cd3be_FORMATO.png",39656,35,282,"mei","Provável",-0.7,4.44,-0.61,1.74,24,"282",NA,1,NA,25,34,4,5,16,1,73,NA,3,NA,NA,NA,1,NA,NA
"457","Helber Ítalo dos Santos","italo","Ítalo","https://s.glbimg.com/es/sde/f/2020/08/03/e97b986421d4e4f78f7277bb663147fc_FORMATO.png",109395,35,292,"mei","Nulo",0,1,0,0,0,"292",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"458","Pablo Thiago Ferreira Thomaz","pablo-thomaz","Pablo Thomaz","https://s.glbimg.com/es/sde/f/2020/09/30/a7b22d74d41827304b8a71b4c57641d3_FORMATO.png",102797,35,294,"ata","Nulo",0,1.01,0,0.86,11,"Coritiba",NA,NA,NA,5,2,2,2,6,NA,15,NA,NA,NA,NA,NA,NA,NA,NA
"459","Pedro Henrique Nunes Silva","pedrao","Pedrão","https://s.glbimg.com/es/sde/f/2020/08/03/ab4d9a5eefa053f8078426da8a7517ee_FORMATO.png",107541,35,292,"zag","Nulo",0,1,0,0,0,"292",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"460","Sebastián Enrique Salazar Beltrán","salazar","Salazar","https://s.glbimg.com/es/sde/f/2020/10/01/d9e923eb01b5966eb5e072a26be58679_FORMATO.png",91415,35,290,"mei","Nulo",0,4,0,0,0,"290",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"461","Marcelo José de Lima Filho","marcelinho","Marcelinho","https://s.glbimg.com/es/sde/f/2020/11/17/c38f3a49ed42bc3774b07f733769277b_FORMATO.jpeg",107238,35,275,"ata","Nulo",0,1.36,0,2.7,1,"275",NA,NA,NA,1,1,NA,3,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
"462","Arnaldo Manoel de Almeida","arnaldo","Arnaldo","https://s.glbimg.com/es/sde/f/2020/10/01/9e64684a0ef33c9f748f305214999641_FORMATO.png",78497,35,373,"lat","Nulo",0,3.26,0,1.65,14,"373",NA,1,NA,7,3,NA,NA,6,1,30,4,NA,NA,NA,NA,NA,NA,NA
"463","Túlio Galindo Bandeira de Melo","tulio","Túlio","https://s.glbimg.com/es/sde/f/2020/08/03/7db9b8bf5d4227af9e3c54b92119537c_FORMATO.png",109566,35,292,"gol","Nulo",0,1,0,0,0,"292",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"464","Sávio Moreira de Oliveira","savio","Sávio","https://s.glbimg.com/es/sde/f/2020/09/02/d3593dad92d54a666c9472d1db672cf0_FORMATO.png",109463,35,282,"ata","Nulo",0,0.99,0,1,6,"282",NA,NA,NA,2,2,3,2,5,1,22,NA,NA,NA,NA,NA,NA,NA,NA
"465","Leandro Henrique do Nascimento","leandrinho","Leandrinho","https://s.glbimg.com/es/sde/f/2020/08/21/0a104e26afc93ebbbf158e5bfc8a3400_FORMATO.png",91702,35,280,"ata","Nulo",0,2.02,0,0.72,9,"280",NA,NA,NA,2,2,1,3,6,NA,11,NA,NA,NA,NA,NA,NA,NA,NA
"466","Wellington Soares da Silva","wellington-rato","Wellington Rato","https://s.glbimg.com/es/sde/f/2020/10/05/b190d450eb26fdf91906a41bc3070d11_FORMATO.png",82766,35,373,"mei","Provável",2.7,3.31,0.08,2.64,15,"373",2,2,NA,16,13,10,11,16,1,72,NA,NA,NA,NA,NA,1,NA,NA
"467","Yuri Alberto Monteiro da Silva","yuri-alberto","Yuri Alberto","https://s.glbimg.com/es/sde/f/2020/08/11/60b97b20e537fed275de66e23aafd5d9_FORMATO.png",100652,35,285,"ata","Provável",1.3,4.38,0.34,4.9,20,"285",1,3,NA,8,42,12,14,22,4,54,NA,10,NA,NA,NA,1,NA,NA
"468","Gabriel Santos Cordeiro Lacerda","gabriel-lacerda","Gabriel Lacerda","https://s.glbimg.com/es/sde/f/2020/07/21/3dc2061d37b1f85d9dd8d9dd72cb35de_FORMATO.png",108176,35,354,"zag","Nulo",0,3.37,0,3.01,8,"354",1,NA,NA,6,3,1,NA,3,NA,32,3,NA,NA,NA,NA,NA,NA,NA
"469","Matheus Martinelli Lima","martinelli","Martinelli","https://s.glbimg.com/es/sde/f/2020/09/18/d91238c5e040d15b0c5835c7ca195014_FORMATO.png",109573,35,266,"mei","Provável",4.1,2.11,0.5,3.55,9,"266",NA,2,NA,24,12,2,2,5,NA,46,NA,2,NA,NA,NA,NA,NA,NA
"470","Luiz Henrique André Rosa da Silva","luiz-henrique","Luiz Henrique","https://s.glbimg.com/es/sde/f/2020/08/11/4a5576c976d8d907bed2a36ae3e556bb_FORMATO.png",109282,35,266,"ata","Provável",5.2,3.8,-0.71,2.75,23,"266",2,1,NA,37,16,3,11,13,5,57,NA,2,NA,NA,NA,NA,NA,NA
"471","Gustavo Mantuan","gustavo-mantuan","Gustavo Mantuan","https://s.glbimg.com/es/sde/f/2020/10/06/5747ef4308b1b0b58fbf4534b72b3b56_FORMATO.png",110270,35,264,"mei","Contundido",0,2.9,0,1.7,3,"264",NA,NA,NA,4,4,1,1,4,NA,9,NA,NA,NA,NA,NA,NA,NA,NA
"472","Nathanael Ananias da Silva","nathan-silva","Nathan Silva","https://s.glbimg.com/es/sde/f/2020/03/03/b83d40e4104fc0cb62636da75ac2daaa_FORMATO.png",95794,35,294,"mei","Provável",0,1.37,0,0.41,16,"Coritiba",1,8,NA,27,38,NA,8,13,NA,62,NA,1,NA,NA,NA,NA,1,NA
"473","Mikael Filipe Viana","mikael","Mikael","https://s.glbimg.com/es/sde/f/2020/11/13/a73bd740adb93a9d3545c96e7c4d4c97_FORMATO.png",102299,35,292,"ata","Nulo",0,2.75,0,1.1,12,"292",NA,NA,NA,2,2,3,2,2,2,10,NA,1,NA,NA,NA,NA,NA,NA
"474","Denilson Rodrigues Roldão","denilson","Denilson","https://s.glbimg.com/es/sde/f/2020/10/04/0e3d68c778426e447bda7cfe1987508c_FORMATO.png",104025,35,266,"mei","Nulo",0,1,0,0,0,"266",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"475","Rodrigo Muniz Carvalho","rodrigo-muniz","Rodrigo Muniz","https://s.glbimg.com/es/sde/f/2020/11/20/9b79dad8501053b0a57fe5ff580c9d84_FORMATO.png",107112,35,262,"ata","Nulo",0,1.62,0,0.69,10,"Flamengo",NA,1,NA,1,8,1,1,8,3,6,NA,1,NA,NA,NA,NA,NA,NA
"476","Jadson Rodrigues da Silva","jadson","Jadson","https://s.glbimg.com/es/sde/f/2020/10/09/a19dcb4146524e5dd0aae98743c0b8f3_FORMATO.png",38315,35,293,"mei","Nulo",0.3,3.48,0.28,-0.43,6,"293",NA,NA,NA,NA,2,NA,NA,2,NA,26,NA,NA,NA,NA,NA,NA,NA,NA
"477","João Pedro Vilardi Pinto","pepe","Pepê","https://s.glbimg.com/es/sde/f/2020/07/21/b1d7d69831818e53e0bb8c53abe1a2d1_FORMATO.png",101573,35,262,"mei","Nulo",0.9,1.86,0,1.81,9,"Flamengo",NA,NA,NA,7,6,1,NA,2,NA,9,NA,1,NA,NA,NA,1,NA,NA
"478","Calebe Gonçalves Ferreira da Silva","calebe","Calebe","https://s.glbimg.com/es/sde/f/2020/08/25/d52bc0bfbe4b0ae783710e64423e37ed_FORMATO.png",109461,35,282,"mei","Nulo",-0.1,0.78,-0.01,0.22,6,"282",NA,NA,NA,1,6,NA,3,3,NA,6,NA,NA,NA,NA,NA,NA,NA,NA
"479","Márcio Rodrigues Araújo","marcio-araujo","Márcio Araújo","https://s.glbimg.com/es/sde/f/2020/11/13/4a17daa520fd623ffa34480bdabdead6_FORMATO.png",38311,35,292,"mei","Nulo",0,3.36,0,0.65,7,"292",NA,NA,NA,7,6,NA,NA,4,NA,15,NA,NA,NA,NA,NA,NA,NA,NA
"480","Francisco Rodrigo de Sousa Barbosa","diguinho","Diguinho","https://s.glbimg.com/es/sde/f/2019/03/26/4c13e130e2f3f94ed262901e2ed530c9_FORMATO.png",105282,35,356,"zag","Nulo",0,2,0,0,0,"356",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"481","Douglas Baggio de Oliveira Costa","douglas-baggio","Douglas Baggio","https://s.glbimg.com/es/sde/f/2020/08/18/1b11ac648b9f3aacd312e40873a191f0_FORMATO.png",88072,35,290,"ata","Nulo",0,3.97,0,2.07,21,"290",1,NA,NA,26,20,7,5,29,1,72,NA,NA,NA,NA,NA,1,NA,NA
"482","Laércio Soldá","laercio","Laércio","https://s.glbimg.com/es/sde/f/2020/10/13/cc2746f464476a7f9908dbc251d225ff_FORMATO.png",82564,35,277,"zag","Provável",6.3,3.6,0.66,1.8,12,"Santos",NA,1,NA,24,16,2,5,3,NA,53,1,NA,NA,NA,NA,NA,NA,NA
"483","Carlos Eugenio Júnior Tavares dos Santos","junior-tavares","Júnior Tavares","https://s.glbimg.com/es/sde/f/2020/11/13/367591fd75a306390b5722859941a1c2_FORMATO.png",89343,35,292,"lat","Provável",6.4,6,0.37,3.19,16,"292",1,NA,1,22,16,3,7,26,1,97,5,NA,NA,NA,NA,NA,NA,NA
"484","Isaque Elias Brito","isaque","Isaque","https://s.glbimg.com/es/sde/f/2020/07/19/ab7cfc831a0762107f21b7bd866d6bf1_FORMATO.png",101483,35,284,"ata","Nulo",9.8,6.49,1.55,2.73,21,"284",3,NA,NA,11,12,8,15,12,2,53,NA,2,NA,NA,NA,NA,NA,NA
"485","Ruan Tressoldi Netto","ruan","Ruan","https://s.glbimg.com/es/sde/f/2019/12/06/d2a238e1b58db291139f1714859cad33_FORMATO.png",100842,35,284,"zag","Nulo",0,0.83,0,0.43,3,"284",NA,NA,NA,1,2,1,NA,1,NA,4,NA,NA,NA,NA,NA,NA,NA,NA
"486","Marllon Gonçalves Jerônimo Borges","marllon","Marllon","https://s.glbimg.com/es/sde/f/2019/09/12/25b06b2bbcc0a18b06542144db3ebc75_FORMATO.png",70666,35,264,"zag","Nulo",0,5.53,0,3.02,8,"264",NA,NA,1,6,5,1,NA,1,NA,10,5,NA,NA,NA,NA,NA,NA,NA
"487","Lucca Borges Brito","lucca","Lucca","https://s.glbimg.com/es/sde/f/2020/10/13/4e771210e49b104092cac2a09476bbd1_FORMATO.png",61149,35,266,"ata","Provável",2.3,5.04,-0.32,2.71,13,"266",NA,NA,NA,17,15,3,5,17,2,54,NA,2,NA,NA,NA,NA,NA,NA
"488","Federico Matías Javier Zaracho","zaracho","Zaracho","https://s.glbimg.com/es/sde/f/2020/10/19/41b058a9a8c68dc92fe626989ecf6a3e_FORMATO.png",100079,35,282,"mei","Nulo",0,8.43,0,1.65,8,"282",NA,NA,NA,8,9,1,2,2,NA,21,NA,1,NA,NA,NA,NA,NA,NA
"489","Yan Medeiros Sasse","yan-sasse","Yan Sasse","https://s.glbimg.com/es/sde/f/2020/08/18/02007417e97ff029ccbe7f0234bfffff_FORMATO.png",96055,35,294,"mei","Provável",0,0.79,0,-0.05,18,"Coritiba",NA,3,1,14,18,1,5,8,1,36,NA,NA,NA,NA,NA,NA,NA,NA
"490","Ricardo Ribeiro de Lima","ricardinho","Ricardinho","https://s.glbimg.com/es/sde/f/2020/08/25/003e596752a82b34bc103220faa3125d_FORMATO.png",68832,35,292,"mei","Nulo",0,3.17,0,1.38,24,"292",NA,4,NA,32,21,6,2,34,2,51,NA,NA,NA,NA,NA,NA,NA,NA
"491","Lucas Henrique Mazetti","mazetti","Mazetti","https://s.glbimg.com/es/sde/f/2020/07/20/26ac5244263f4361626dec1a58304e3e_FORMATO.png",107741,35,285,"lat","Nulo",0,1,0,0,0,"285",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
