"","atletas.nome","atletas.slug","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","atletas.clube.id.full.name","CA","DS","FC","FD","FF","FS","PI","DD","GS","SG","A","G","CV","GC","DP","I","FT","PP"
"406","Victor Hugo Baptista Mafra","vitinho","Vitinho","https://s.glbimg.com/es/sde/f/2020/11/13/34baa7b12bdf6a2ef09299749bfeae30_FORMATO.png",109326,24,275,"mei","Nulo",0,1,0,0,0,"275",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"407","Pedro Raul Garay da Silva","pedro-raul","Pedro Raul","https://s.glbimg.com/es/sde/f/2020/03/01/a9eff7e76be6852105bc805128846d3a_FORMATO.png",98225,24,263,"ata","Provável",5.3,6.59,0.59,2.51,15,"263",1,6,22,9,15,19,77,NA,NA,NA,1,2,NA,NA,NA,2,NA,NA
"408","Ygor de Oliveira Ferreira","ygor-catatau","Ygor Catatau","https://s.glbimg.com/es/sde/f/2020/08/17/fd7a0d6eccfebe7256b429fbca413830_FORMATO.png",100977,24,267,"ata","Nulo",0,2.39,0,1.64,10,"267",1,5,6,NA,3,8,25,NA,NA,NA,1,1,NA,NA,NA,1,NA,NA
"409","Jean Carlos Quiñónez Preciado","quinonez","Quiñonez","https://s.glbimg.com/es/sde/f/2020/11/11/ca052c606a273c2ab77e153f2cc17ae5_FORMATO.png",109324,24,275,"mei","Nulo",0,1,0,0,0,"275",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"410","Diego Churín Puyo","churin","Churín","https://s.glbimg.com/es/sde/f/2020/10/26/a511db6b41f5552de55575d62a217d3c_FORMATO.png",98289,24,284,"ata","Provável",0.4,8.75,-0.38,3.56,5,"284",NA,4,6,NA,1,3,10,NA,NA,NA,1,1,NA,NA,NA,1,1,NA
"411","Diego Terra Loureiro","diego-loureiro","Diego Loureiro","https://s.glbimg.com/es/sde/f/2020/03/01/4aa545bef3f6f79e2004bcd20b92e8e7_FORMATO.png",99430,24,263,"gol","Nulo",0,1,0,0,0,"263",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"412","Victor Vinícius Coelho dos Santos","vitinho","Vitinho","https://s.glbimg.com/es/sde/f/2020/07/21/01b5e26f1af011bdac8d661b9dd04e59_FORMATO.png",78435,24,262,"ata","Nulo",-0.4,6.25,-1.96,2.64,17,"Flamengo",2,19,19,12,15,10,89,NA,NA,NA,2,1,NA,NA,NA,2,NA,NA
"413","Saulo Rodrigues da Silva","saulo-mineiro","Saulo Mineiro","https://s.glbimg.com/es/sde/f/2020/09/24/6ceba057ce17022449326aff9d66b9c0_FORMATO.png",98274,24,354,"ata","Nulo",10.6,4.9,0.92,5.48,4,"354",NA,4,8,NA,3,2,5,NA,NA,NA,NA,2,NA,NA,NA,NA,1,NA
"414","Yan Medeiros Sasse","yan-sasse","Yan Sasse","https://s.glbimg.com/es/sde/f/2020/08/18/02007417e97ff029ccbe7f0234bfffff_FORMATO.png",96055,24,294,"mei","Nulo",1.9,1.15,0.26,-0.1,14,"Coritiba",3,12,15,1,5,7,31,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA
"415","Arthur Gomes Lourenço","arthur-gomes","Arthur Gomes","https://s.glbimg.com/es/sde/f/2020/02/28/1180152071b3a94086ee66e070352aab_FORMATO.png",96966,24,277,"ata","Nulo",0,3.83,0,1.17,14,"Santos",1,12,16,8,3,12,61,NA,NA,NA,NA,1,1,NA,NA,1,NA,NA
"416","Ronald dos Santos Lopes","ronald","Ronald","https://s.glbimg.com/es/sde/f/2020/08/11/efc2759a4d0d9b526fb58356150c1655_FORMATO.png",100969,24,356,"mei","Nulo",0,3.03,0,1.91,14,"356",1,22,14,2,NA,17,22,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"417","Everaldo Silva do Nascimento","everaldo","Everaldo ","https://s.glbimg.com/es/sde/f/2020/07/21/0f49a5ab71c0b39969f9233907e200b9_FORMATO.png",91151,24,264,"ata","Nulo",0,4.2,0,3.08,5,"264",NA,3,5,2,5,4,15,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"418","Raul Gustavo Pereira Bicalho","raul-gustavo","Raul Gustavo","https://s.glbimg.com/es/sde/f/2020/09/07/6ef42a43a591123de1b0e724686af4fd_FORMATO.png",109389,24,264,"zag","Nulo",0,1,0,0,0,"264",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"419","Juan Sebastián Quintero Fletcher","quintero","Quintero","https://s.glbimg.com/es/sde/f/2019/03/22/df21f8c767acbe98de2f1a88be61c8e8_FORMATO.png",96382,24,356,"zag","Contundido",0,1.67,0,1.38,9,"356",3,5,6,NA,2,3,17,NA,NA,4,NA,NA,1,NA,NA,NA,NA,NA
"420","Ulisses Wilson Jeronymo Rocha ","ulisses","Ulisses","https://s.glbimg.com/es/sde/f/2020/08/17/0e567592573809f02b9880554b15c431_FORMATO.png",101647,24,267,"zag","Nulo",0,2,0,0,0,"267",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"421","Yago Felipe da Costa Rocha","yago-felipe","Yago Felipe","https://s.glbimg.com/es/sde/f/2020/08/11/547c3364c22efd6f4b6928ed120d64b9_FORMATO.png",87747,24,266,"mei","Contundido",0,3.81,0,2.04,16,"266",2,27,20,3,6,19,57,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA
"422","Igor Vinícius de Souza","igor-vinicius","Igor Vinícius","https://s.glbimg.com/es/sde/f/2019/04/01/882d97a0ed3a028f3c489768c79b7268_FORMATO.png",95466,24,276,"lat","Nulo",5.9,6.24,1.18,2.46,14,"276",4,20,29,4,6,10,77,NA,NA,4,2,NA,NA,NA,NA,NA,NA,NA
"423","Renê Rodrigues Martins","rene","Renê","https://s.glbimg.com/es/sde/f/2020/07/21/60d54826cbdcb1e92c0ae4057efbd02c_FORMATO.png",78445,24,262,"lat","Nulo",0,6.46,0,3.05,9,"Flamengo",1,19,9,NA,1,7,74,NA,NA,2,NA,1,NA,NA,NA,NA,NA,NA
"424","Moisés Roberto Barbosa","moises","Moisés","https://s.glbimg.com/es/sde/f/2020/02/27/a55f40e153a20702f2e4beccd472d30c_FORMATO.png",90444,24,285,"lat","Dúvida",0,10.51,0,3.39,14,"285",1,33,31,1,5,4,141,NA,NA,6,2,NA,NA,NA,NA,2,NA,NA
"425","Gabriel Batista de Souza","gabriel-batista","Gabriel Batista","https://s.glbimg.com/es/sde/f/2020/07/21/a0fe36e0e71a7d48c344eb5e7668b6f7_FORMATO.png",98333,24,262,"gol","Nulo",0,1.56,0,-0.9,3,"Flamengo",NA,NA,NA,NA,NA,1,12,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"426","Geovane Henrique Pereira de Souza","geovane","Geovane","https://s.glbimg.com/es/sde/f/2020/03/02/1b21e0ae30ac2e4a34078bfbda81e2f1_FORMATO.png",96349,24,294,"lat","Nulo",0,3,0,0,0,"Coritiba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"427","Giorgian Daniel de Arrascaeta Benedetti","arrascaeta","Arrascaeta","https://s.glbimg.com/es/sde/f/2020/07/21/6ad752ca6185d76358f944dab95130fd_FORMATO.png",87863,24,262,"mei","Provável",1.5,16.89,-2.28,6.34,12,"Flamengo",NA,20,11,8,10,13,124,NA,NA,NA,3,4,NA,NA,NA,NA,1,NA
"428","Allan Rodrigues de Souza","allan","Allan","https://s.glbimg.com/es/sde/f/2020/08/31/5da528d4c6029f923a12da18ad0cf054_FORMATO.png",96652,24,282,"mei","Provável",0.8,6.27,-0.15,1.55,19,"282",3,38,26,2,11,15,113,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
"429","Santiago Tréllez Vivero","trellez","Tréllez","https://s.glbimg.com/es/sde/f/2020/03/09/a26febfd7e5fd4366d0dbe0997ee0521_FORMATO.png",87679,24,276,"ata","Nulo",0,2.82,0,0.25,4,"276",NA,NA,NA,NA,1,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"430","Gustavo Nonato Santana","nonato","Nonato","https://s.glbimg.com/es/sde/f/2020/02/27/4fc30df934657cce0aecf53ef7dc9a8b_FORMATO.png",100987,24,285,"mei","Nulo",0,4.19,0,3.78,6,"285",3,20,11,1,1,12,18,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"431","Felipe Aguilar Mendoza","aguilar","Aguilar","https://s.glbimg.com/es/sde/f/2020/07/11/d7b3953a6bffe509daca41ab80ac36ae_FORMATO.png",95494,24,293,"zag","Nulo",0,5.9,0,1.85,7,"293",1,10,4,1,1,2,10,NA,NA,2,NA,NA,NA,1,NA,NA,NA,NA
"432","Antonio Javier Galeano Ferreira","galeano","Galeano","https://s.glbimg.com/es/sde/f/2020/11/24/baf8be08bf77da46ebb9a0b8eeda4277_FORMATO.png",108713,24,276,"ata","Nulo",0,1,0,0,0,"276",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"433","Cristiano da Silva Vidal","vidal","Vidal","https://s.glbimg.com/es/sde/f/2020/07/19/36c40558e9926c8e0a5f84347d08142e_FORMATO.png",95540,24,290,"lat","Nulo",0,1.43,0,-0.7,1,"290",NA,NA,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"434","Kelvyn Ramos da Fonseca","kelvyn","Kelvyn","https://s.glbimg.com/es/sde/f/2020/08/07/02c22a8c5d9e06f0f869d0ea30ebb496_FORMATO.png",102464,24,354,"lat","Nulo",5.4,2.25,0.9,2.34,8,"354",NA,2,5,NA,1,4,16,NA,NA,2,NA,1,NA,NA,NA,NA,NA,NA
"435","Pedro Henrique Naressi Machado","pedro-naressi","Pedro Naressi","https://s.glbimg.com/es/sde/f/2020/09/14/46ddb181165c7727e2b17d88bb13428e_FORMATO.png",98529,24,354,"mei","Nulo",7.6,2.33,0.13,2.13,6,"354",3,10,12,NA,2,5,23,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA
"436","Vitor Benedito Leque da Silva","vitor","Vitor","",108714,24,373,"ata","Nulo",0,1.26,0,1.7,1,"373",NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"437","Federico Barrandeguy Martino","barrandeguy","Barrandeguy","https://s.glbimg.com/es/sde/f/2020/03/01/04fe5f2fe33f10db51fc9d221a594ab8_FORMATO.png",91736,24,263,"lat","Nulo",0.4,3.22,-0.66,1.89,8,"263",2,13,4,NA,NA,6,49,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
"438","Odair Marciano de Oliveira Filho","odair","Odair","",108745,24,373,"zag","Nulo",0,2,0,0,0,"373",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"439","Caio Alan Tem Catem Gonçalves","caio","Caio","https://s.glbimg.com/es/sde/f/2018/03/01/87be2dd051653cd0a7a8ee5d52f910c8_FORMATO.png",99460,24,293,"gol","Nulo",0,1,0,0,0,"293",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"440","Helerson Mateus do Nascimento","helerson","Helerson","https://s.glbimg.com/es/sde/f/2019/03/22/4f209e6f74df9776da75f4a35ed2b28f_FORMATO.png",101073,24,263,"zag","Nulo",0,1,0,0,0,"263",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"441","Yuri Oliveira Lima","yuri-lima","Yuri Lima","https://s.glbimg.com/es/sde/f/2020/08/11/b2893fbcf5a6387a335f1fc33beb7f4d_FORMATO.png",90569,24,266,"mei","Nulo",0,2.19,0,1.14,10,"266",3,19,15,3,3,6,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"442","Fernando Peixoto Costanza","fernando","Fernando","https://s.glbimg.com/es/sde/f/2019/03/28/0e1597e7f7c233c1663c9739a327843b_FORMATO.png",99550,24,263,"lat","Nulo",0,3.2,0,3.15,2,"263",1,4,1,NA,NA,1,7,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"443","Renzo Saravia","saravia","Saravia","https://s.glbimg.com/es/sde/f/2020/03/02/2adf4c12427d0fca9fe94f89118bd866_FORMATO.png",96725,24,285,"lat","Contundido",0,18.78,0,7.96,8,"285",1,37,12,1,2,15,56,NA,NA,5,1,NA,NA,NA,NA,NA,NA,NA
"444","Brenner Souza da Silva","brenner","Brenner","https://s.glbimg.com/es/sde/f/2020/07/23/08b2259246ad0fdc037dd11a4549d219_FORMATO.png",99789,24,276,"ata","Provável",1,6.19,-0.27,5.03,16,"276",3,8,13,9,13,26,26,NA,NA,NA,1,6,NA,NA,NA,5,1,NA
"445","Jefferson David Savarino Quintero","savarino","Savarino","https://s.glbimg.com/es/sde/f/2020/08/31/864520e76c9a189815cf05a7f3f9a096_FORMATO.png",98672,24,282,"ata","Provável",0,6.52,0,3.68,17,"282",2,7,14,5,17,18,116,NA,NA,NA,4,3,NA,NA,NA,7,3,NA
"446","Victor Hugo Santana Carvalho","vitinho","Vitinho","https://s.glbimg.com/es/sde/f/2020/07/28/51d0ea8bb18b7deb239ab41038d9cf2a_FORMATO.png",95770,24,280,"mei","Contundido",0,2.29,0,0,1,"280",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"447","Matheus Nascimento de Paula","matheus-nascimento","Matheus Nascimento","https://s.glbimg.com/es/sde/f/2020/08/31/21f8af047c8476ce2fe45bfe2b91e4ea_FORMATO.png",109114,24,263,"ata","Nulo",0,0.77,0,-0.5,1,"263",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"448","Benjamín Kuscevic Jaramillo","kuscevic","Kuscevic","https://s.glbimg.com/es/sde/f/2020/11/05/474301b42de21f3723694c3a39533818_FORMATO.png",98619,24,275,"zag","Nulo",2,5.24,-0.76,2,1,"275",NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"449","Jean Pyerre Casagrande Silveira Correa","jean-pyerre","Jean Pyerre","https://s.glbimg.com/es/sde/f/2019/07/09/c0831db56540c4e253fdd6affa63d176_FORMATO.png",98832,24,284,"mei","Nulo",0,11.49,0,4.65,8,"284",NA,10,5,3,14,7,46,NA,NA,NA,1,1,NA,NA,NA,NA,1,NA
"450","Aldemir dos Santos Ferreira","ferreira","Ferreira","https://s.glbimg.com/es/sde/f/2020/07/19/5e28328bd5d542110444e7c5562c21fe_FORMATO.png",101290,24,284,"ata","Provável",5.1,5.34,0.56,3.7,8,"284",NA,6,7,4,6,6,15,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA
"451","João Vitor Cézar do Prado","joao-vitor","João Vitor","",109261,24,265,"mei","Nulo",0,1,0,0,0,"265",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"452","Gustavo Cascardo de Assis","cascardo","Cascardo","https://s.glbimg.com/es/sde/f/2020/09/25/8da2a9ebf1fe26a94626114c196697ed_FORMATO.png",90587,24,263,"lat","Nulo",0,2,0,0,0,"263",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"453","Ricardo Queiroz de Alencastro Graça","ricardo","Ricardo","https://s.glbimg.com/es/sde/f/2020/08/17/1f0c50b2e3b9d5732c27d1fe873c62b8_FORMATO.png",99881,24,267,"zag","Nulo",0.9,6.91,0.16,2.57,14,"267",2,21,10,1,4,7,39,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA
"454","Nathanael Ananias da Silva","nathan-silva","Nathan Silva","https://s.glbimg.com/es/sde/f/2020/03/03/b83d40e4104fc0cb62636da75ac2daaa_FORMATO.png",95794,24,294,"mei","Nulo",0,1.78,0,0.39,9,"Coritiba",5,13,24,NA,4,8,26,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"455","Francisco Vítor Silva Costa","victor-jacare","Victor Jacaré","https://s.glbimg.com/es/sde/f/2020/08/25/682aea868615c09c3571352b835cc394_FORMATO.png",101201,24,354,"ata","Nulo",0,5.69,0,1.7,6,"354",2,NA,8,2,6,10,15,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA
"456","Cláudio Rodrigues Gomes","guga","Guga","https://s.glbimg.com/es/sde/f/2020/08/31/ff263cf2e43da8d3c2b3b688ae237c0c_FORMATO.png",101319,24,282,"lat","Provável",0.2,12.91,-0.2,4.64,19,"282",1,45,20,2,6,24,151,NA,NA,7,1,1,NA,NA,NA,NA,1,NA
"457","Arthur Henrique Bittencourt","arthur","Arthur","https://s.glbimg.com/es/sde/f/2019/01/25/5f0f0047f511d254fd9d18a7ef986daa_FORMATO.png",101173,24,294,"gol","Nulo",0,1,0,0,0,"Coritiba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"458","Victor Hugo Soares dos Santos","kanu","Kanu","https://s.glbimg.com/es/sde/f/2018/05/17/2db8b29bbc16d8473f93bd1f8a0351dc_FORMATO.png",98484,24,263,"zag","Provável",0,5.11,0,2.79,20,"263",2,33,16,2,4,20,57,NA,NA,4,1,NA,NA,NA,NA,NA,NA,NA
"459","Luiz Fernando Moraes dos Santos","luiz-fernando","Luiz Fernando ","https://s.glbimg.com/es/sde/f/2020/09/14/ef0f723350847206c410a0cdec3e8afe_FORMATO.png",90715,24,284,"ata","Nulo",0,5.45,0,1.97,15,"284",1,8,15,5,6,13,58,NA,NA,NA,2,2,1,NA,NA,3,NA,NA
"460","José Sabino Chagas Monteiro","sabino","Sabino","https://s.glbimg.com/es/sde/f/2020/03/03/c40f55b88cf1db157380eee4013c9828_FORMATO.png",104075,24,294,"zag","Provável",7.2,8.86,1.65,3.88,22,"Coritiba",2,34,9,NA,5,18,120,NA,NA,6,NA,4,NA,1,NA,2,1,NA
"461","José Marcos Costa Martins","marquinhos","Marquinhos","https://s.glbimg.com/es/sde/f/2020/08/31/f80b931ac45bd42717faafcefa816c42_FORMATO.png",98765,24,282,"ata","Nulo",0,3.86,0,1.4,11,"282",NA,12,13,1,4,5,35,NA,NA,NA,1,NA,NA,NA,NA,3,1,NA
"462","Martín Nicolás Sarrafiore","sarrafiore","Sarrafiore","https://s.glbimg.com/es/sde/f/2020/09/17/8f1169f09495acbeed3fec9bcfc07aa0_FORMATO.png",101315,24,294,"mei","Nulo",0,2.34,0,1.23,6,"Coritiba",1,5,4,1,6,5,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"463","Antônio Josenildo Rodrigues de Oliveira","rodrigues","Rodrigues","https://s.glbimg.com/es/sde/f/2018/08/09/e6b3f5b4c7922f94ca18791b3af1f390_FORMATO.png",91251,24,284,"zag","Provável",0,3.03,0,1.61,9,"284",2,4,3,1,3,2,37,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA
"464","Fabrício Bruno Soares de Faria","fabricio-bruno","Fabrício Bruno","https://s.glbimg.com/es/sde/f/2020/08/07/30c87e07fe73b6315d5dd92b27e9ea12_FORMATO.png",90768,24,280,"zag","Nulo",0,0.86,0,-0.34,5,"280",1,8,5,NA,NA,2,12,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"465","Claudio Luiz Rodrigues Parisi Leonel","claudinho","Claudinho","https://s.glbimg.com/es/sde/f/2020/07/28/552853b4ec9d01e9cfe52d7863da96fd_FORMATO.png",92630,24,280,"ata","Provável",0.4,13.47,-0.37,5.21,20,"280",3,31,19,13,17,32,195,NA,NA,NA,1,8,NA,NA,NA,4,NA,1
"466","Mariano Vázquez","mariano-vazquez","Mariano Vázquez","https://s.glbimg.com/es/sde/f/2019/07/03/8893116eb5db26f6e34e68d817fe606d_FORMATO.png",98760,24,356,"mei","Nulo",0,1.12,0,-0.17,8,"356",1,1,4,NA,NA,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"467","Tomás Esteban Cuello","cuello","Cuello","https://s.glbimg.com/es/sde/f/2020/07/28/1eeacbdffc5dd751f52728c41e6c3146_FORMATO.png",98909,24,280,"mei","Nulo",1.3,2.02,0.64,1.24,8,"280",2,9,7,3,3,4,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
"468","João Pedro Vilardi Pinto","pepe","Pepê","https://s.glbimg.com/es/sde/f/2020/07/21/b1d7d69831818e53e0bb8c53abe1a2d1_FORMATO.png",101573,24,262,"mei","Nulo",0,1.53,0,-0.2,1,"Flamengo",NA,NA,1,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"469","Hélio Júnio Nunes de Castro","helinho","Helinho","https://s.glbimg.com/es/sde/f/2020/11/20/7c0d041c984aed2ad0bddb5980390af3_FORMATO.png",102598,24,280,"ata","Provável",0,3.2,0,1.14,5,"280",2,7,6,1,NA,2,15,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"470","Willian Klaus","klaus","Klaus","https://s.glbimg.com/es/sde/f/2020/03/02/48f74d37e908c5f5cf68c0ccaf907aca_FORMATO.png",90846,24,354,"zag","Nulo",0,3.27,0,1.4,4,"354",NA,1,1,NA,NA,2,9,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"471","Diego Henrique Costa Barbosa","diego","Diego","https://s.glbimg.com/es/sde/f/2020/08/31/f816dcd588832ba23a528a2a17f81b46_FORMATO.png",101728,24,276,"zag","Nulo",0,3.8,0,2.58,14,"276",2,27,29,3,4,14,62,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA
"472","Helber Ítalo dos Santos","italo","Ítalo","https://s.glbimg.com/es/sde/f/2020/08/03/e97b986421d4e4f78f7277bb663147fc_FORMATO.png",109395,24,292,"mei","Nulo",0,1,0,0,0,"292",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"473","Matheus Henrique Teixeira","matheus-teixeira","Matheus Teixeira","https://s.glbimg.com/es/sde/f/2020/02/28/0be52fce88dbd641cee3e966d4765bbb_FORMATO.png",102907,24,265,"gol","Nulo",0,1,0,0,0,"265",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"474","Jair Ventura","jair-ventura","Jair Ventura","https://s.glbimg.com/es/sde/f/2018/09/06/d1103130500ec84fd8e37f1a20c60e1a_FORMATO.png",92180,24,292,"tec","Provável",1.07,6.75,0.05,2.86,18,"292",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"475","João Pedro Sacramento da Silva","joao-pedro-silva","João Pedro Silva","https://s.glbimg.com/es/sde/f/2020/08/07/8e3a30b895c6926ff18476c75e799abc_FORMATO.png",109464,24,265,"ata","Nulo",0,1,0,0,0,"265",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"476","Caio Fernando de Oliveira","caio-paulista","Caio Paulista","https://s.glbimg.com/es/sde/f/2020/08/11/27269e07edef29d7ef1df8bb3900da5a_FORMATO.png",102318,24,266,"ata","Nulo",0,4.14,0,2.44,14,"266",1,13,8,2,4,12,41,NA,NA,NA,1,2,NA,NA,NA,3,NA,NA
"477","Daniel de Sousa Brito","daniel","Daniel","https://s.glbimg.com/es/sde/f/2020/02/27/222ec98ac489a4b1ce5063bdde3d208e_FORMATO.png",96468,24,285,"gol","Contundido",0,2,0,0,0,"285",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"478","Lucas Ribeiro dos Santos","lucas-ribeiro","Lucas Ribeiro","https://s.glbimg.com/es/sde/f/2020/08/11/93a36fa67c35580ef4e99cac7a12dff1_FORMATO.png",103088,24,285,"zag","Nulo",-2,2.78,-1.22,-2,1,"285",1,NA,1,NA,1,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"479","Kaio Jorge Pinto Ramos","kaio-jorge","Kaio Jorge","https://s.glbimg.com/es/sde/f/2020/03/09/2863be83eb651b5fcae91f0fa484d0b1_FORMATO.png",103445,24,277,"ata","Nulo",6.8,5.18,1.36,1.66,20,"Santos",4,13,31,2,12,26,44,NA,NA,NA,1,2,NA,NA,NA,2,1,NA
"480","Fernando José Pacheco Rivas","fernando-pacheco","Fernando Pacheco","https://s.glbimg.com/es/sde/f/2020/08/11/0f3de4bf496db9970fd66f13146a40a4_FORMATO.png",98740,24,266,"ata","Nulo",0,2.6,0,0.6,11,"266",1,7,8,1,2,9,27,NA,NA,NA,NA,NA,NA,NA,NA,4,1,NA
"481","Gabriel Davi Gomes Sara","gabriel-sara","Gabriel Sara","https://s.glbimg.com/es/sde/f/2020/11/05/d6c6115b5a030607c5a349c3c7265105_FORMATO.png",100763,24,276,"mei","Provável",3,4.61,0.82,2.86,19,"276",5,22,21,5,16,22,121,NA,NA,NA,1,4,NA,NA,NA,4,NA,NA
"482","João Fernando Monteiro Siqueira","joao-fernando","João Fernando","https://s.glbimg.com/es/sde/f/2020/09/01/7263507a2ac5cfecff6f8e555a1932dc_FORMATO.png",104079,24,262,"gol","Nulo",0,1,0,0,0,"Flamengo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"483","Mateus Eduardo Claus","mateus-claus","Mateus Claus","https://s.glbimg.com/es/sde/f/2020/07/20/20b5a80823c74d5c1a1dfcae3aca571b_FORMATO.png",90590,24,265,"gol","Nulo",0,3.77,0,7.9,2,"265",NA,NA,NA,NA,NA,NA,2,6,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"484","Lucas Estella Perri","lucas-perri","Lucas Perri","https://s.glbimg.com/es/sde/f/2020/09/01/c6c4761a2d57001c8a08954dca2c76c0_FORMATO.png",91260,24,276,"gol","Contundido",0,1.1,0,-2,0,"276",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"485","Yuri César Santos de Oliveira Silva","yuri-cesar","Yuri César ","https://s.glbimg.com/es/sde/f/2020/07/19/3e0a8928d8f127933f41b6677390cbaf_FORMATO.png",103446,24,356,"ata","Dúvida",0,4.41,0,2.06,18,"356",2,14,16,4,13,24,30,NA,NA,NA,1,1,NA,NA,NA,4,NA,NA
"486","Jaques Bonfim Nazaré Neto","jaques","Jaques","https://s.glbimg.com/es/sde/f/2019/03/29/0aa6fcfbdf775616d09fa583d45fecee_FORMATO.png",104128,24,265,"zag","Nulo",0,1,0,0,0,"265",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"487","Andrey Nascimento dos Santos","andrey-dos-santos","Andrey dos Santos","https://s.glbimg.com/es/sde/f/2020/08/07/7110e0dc72ef4aa7c5c69faef5d5a6a8_FORMATO.png",109591,24,267,"mei","Nulo",0,1,0,0,0,"267",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
