"","atletas.nome","atletas.slug","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","atletas.clube.id.full.name","CA","DD","FC","FD","FS","G","GS","PI","SG","DS","FF","DP","I","A","CV","FT","GC","PP"
"365","Madson Ferreira dos Santos","madson","Madson","https://s.glbimg.com/es/sde/f/2020/02/28/797ea157d220381c5808fcaa35ab969f_FORMATO.png",78077,12,277,"lat","Dúvida",9.5,6.45,1.31,4.37,7,"Santos",1,NA,2,1,4,2,NA,36,2,4,NA,NA,2,1,NA,NA,NA,NA
"366","Everson Felipe Marques Pires","everson","Everson","https://s.glbimg.com/es/sde/f/2020/09/10/782ebf600a14b7e47942a1fd4ed3bc5f_FORMATO.png",72294,12,282,"gol","Provável",6.3,9.63,0.66,2.83,3,"282",NA,4,NA,NA,NA,NA,5,25,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"367","Emerson Raymundo Santos","emerson-santos","Emerson Santos","https://s.glbimg.com/es/sde/f/2020/02/28/4d5c465a6fd405b025d4ca76e81d24a1_FORMATO.png",86972,12,275,"zag","Nulo",0,4,0,0,0,"275",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"368","Patrick de Paula Carreiro","patrick-de-paula","Patrick de Paula","https://s.glbimg.com/es/sde/f/2020/03/09/a9c14c249329965a83e2f3b2bda2642b_FORMATO.png",107172,12,275,"mei","Provável",0,5.55,0,3.84,8,"275",NA,NA,12,1,12,1,NA,39,NA,20,3,NA,NA,NA,NA,1,NA,NA
"369","Eduardo Colcenti Antunes","eduardo-sasha","Eduardo Sasha","https://s.glbimg.com/es/sde/f/2020/08/31/521385a7bf21af42afb472eabe1fbec0_FORMATO.png",70360,12,282,"ata","Provável",5.4,7.86,1,3.6,7,"282",NA,NA,8,5,10,1,NA,19,NA,5,2,NA,1,2,NA,NA,NA,1
"370","Matheus Henrique de Souza","matheus-henrique","Matheus Henrique","https://s.glbimg.com/es/sde/f/2020/07/19/2e4d9048adfe4f9650ef110a2758b57e_FORMATO.png",100742,12,284,"mei","Provável",1.8,6.03,0.25,0.09,8,"284",2,NA,12,NA,19,NA,NA,45,NA,10,1,NA,NA,NA,1,NA,NA,NA
"371","Gustavo Henrique Furtado Scarpa","gustavo-scarpa","Gustavo Scarpa","https://s.glbimg.com/es/sde/f/2019/10/03/47c21ed885c76c65fecede59c0ecf1e0_FORMATO.png",87999,12,275,"mei","Nulo",0,6.76,0,1.2,4,"275",1,NA,3,2,NA,NA,NA,9,NA,1,1,NA,NA,1,NA,NA,NA,NA
"372","Patrick Machado Ferreira ","patrick","Patrick","https://s.glbimg.com/es/sde/f/2020/07/19/c14a26423f60b6ea3fad21b28855d481_FORMATO.png",99918,12,284,"mei","Nulo",0,2.74,0,-0.5,1,"284",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"373","Thaciano Mickael da Silva","thaciano","Thaciano","https://s.glbimg.com/es/sde/f/2018/05/21/8805a9e1e4f2ee609adb3d2576d5ff0a_FORMATO.png",87470,12,284,"mei","Nulo",0,5.18,0,1.88,5,"284",1,NA,5,1,2,1,NA,7,NA,2,3,NA,NA,NA,NA,NA,NA,NA
"374","Ronielson da Silva Barbosa","rony","Rony","https://s.glbimg.com/es/sde/f/2020/02/28/084ca5caaf485fd3cbf303cda6bbd8bf_FORMATO.png",91607,12,275,"ata","Nulo",0,9.43,0,1.13,8,"275",1,NA,18,3,17,NA,NA,30,NA,10,3,NA,3,NA,NA,NA,NA,NA
"375","Kevin Martín Quevedo Mathey","quevedo","Quevedo","https://s.glbimg.com/es/sde/f/2020/08/26/54867caab3aa189c69f2374c4489689d_FORMATO.jpeg",102197,12,290,"ata","Nulo",0,0.85,0,0.4,1,"290",NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"376","Kaio Nunes Ferreira","kaio","Kaio","https://s.glbimg.com/es/sde/f/2020/08/26/defba11bfc1c0574154c40932f23aefd_FORMATO.jpeg",102563,12,290,"mei","Nulo",0,3,0,0,0,"290",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"377","Eduardo Gabriel Aquino Cossa","pepe","Pepê","https://s.glbimg.com/es/sde/f/2018/07/31/21dbd08feda4a4caf00ffc5fe75ec14b_FORMATO.png",91201,12,284,"ata","Provável",2.2,12.36,-1.5,6.34,7,"284",NA,NA,3,6,13,2,NA,31,NA,10,6,NA,1,1,NA,NA,NA,NA
"378","Raphael Cavalcante Veiga","raphael-veiga","Raphael Veiga","https://s.glbimg.com/es/sde/f/2019/01/14/e85d3259b80c8d878e2b07eae90749ee_FORMATO.jpeg",94509,12,275,"mei","Provável",0,8.85,0,5.18,4,"275",NA,NA,6,NA,6,2,NA,17,NA,4,3,NA,NA,NA,NA,NA,NA,NA
"379","Vanderlei Luxemburgo da Silva","vanderlei-luxemburgo","Vanderlei Luxemburgo","https://s.glbimg.com/es/sde/f/2020/07/16/6f52df78da4ceb768cd3573de68fcd6f_FORMATO.png",41327,12,275,"tec","Provável",0,10.58,0,3.46,10,"275",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"380","Fellipe Ramos Ignez Bastos","fellipe-bastos","Fellipe Bastos","https://s.glbimg.com/es/sde/f/2020/08/17/3d3e902dd30a64a2547b7ab9c97128db_FORMATO.png",70116,12,267,"mei","Nulo",0,10.47,0,4.39,10,"267",2,NA,21,3,4,4,NA,46,NA,20,3,NA,NA,NA,NA,1,NA,NA
"381","Wanderley Monteiro dos Santos Júnior","wanderley","Wanderley","https://s.glbimg.com/es/sde/f/2020/03/02/adc66f01748817e502445b3f068f8106_FORMATO.png",38449,12,294,"ata","Nulo",0,3.26,0,0.5,1,"Coritiba",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"382","Jean Mota Oliveira de Sousa","jean-mota","Jean Mota","https://s.glbimg.com/es/sde/f/2020/03/09/c51996a402c33b6efe07a6e733476941_FORMATO.png",78548,12,277,"mei","Dúvida",1.3,3.62,0.01,1.17,7,"Santos",NA,NA,7,NA,5,NA,NA,20,NA,8,4,NA,NA,NA,NA,NA,NA,NA
"383","Alison Lopes Ferreira","alison","Alison","https://s.glbimg.com/es/sde/f/2020/03/09/73ed5ab3cb9b56aecea70945f57d3adf_FORMATO.png",73974,12,277,"mei","Nulo",0,8.75,0,1.29,8,"Santos",2,NA,16,NA,14,NA,NA,37,NA,24,NA,NA,NA,1,2,NA,NA,NA
"384","Reinaldo Manoel da Silva","reinaldo","Reinaldo","https://s.glbimg.com/es/sde/f/2019/04/01/6d2d1a24cd6dbf9313e0b6efedc5c055_FORMATO.png",78850,12,276,"lat","Provável",1.8,12.92,-0.39,4.43,8,"276",2,NA,14,4,8,1,NA,98,2,22,3,NA,NA,1,NA,NA,NA,NA
"385","Thiago Neves Augusto","thiago-neves","Thiago Neves","https://s.glbimg.com/es/sde/f/2020/09/19/e5c460787ad23defe1b6fa4efa97c721_FORMATO.png",38277,12,292,"mei","Provável",0,3.66,0,0.1,5,"292",NA,NA,1,NA,NA,NA,NA,14,NA,NA,3,NA,NA,NA,NA,NA,NA,NA
"386","Luiz Rhodolfo Dini Gaioto","rhodolfo","Rhodolfo","https://s.glbimg.com/es/sde/f/2020/03/02/bc9582db51a292081109f930b9538e92_FORMATO.png",42501,12,294,"zag","Nulo",0,4.64,0,1.92,6,"Coritiba",NA,NA,2,NA,3,NA,NA,30,1,9,NA,NA,NA,NA,NA,NA,NA,NA
"387","Giovanni Augusto Oliveira Cardoso","giovanni-augusto","Giovanni Augusto","https://s.glbimg.com/es/sde/f/2020/03/02/d39e2efa4d8440e5313bc3b78a139e22_FORMATO.png",68938,12,294,"mei","Provável",2.8,5.18,-0.08,1.69,7,"Coritiba",NA,NA,3,NA,15,NA,NA,22,NA,8,NA,NA,NA,NA,NA,NA,NA,NA
"388","Marcos Antônio Almeida Silva","marcao-silva","Marcão Silva","https://s.glbimg.com/es/sde/f/2020/02/27/79ca1f19561511f316107b776b58d2e4_FORMATO.png",78856,12,292,"mei","Provável",0,4.42,0,1.32,5,"292",NA,NA,4,NA,6,NA,NA,4,NA,6,NA,NA,NA,NA,NA,NA,NA,NA
"389","Gabriel Santana Pinto","gabriel","Gabriel","https://s.glbimg.com/es/sde/f/2020/01/21/85aa563c123a60bd623ab6053d632f1d_FORMATO.png",73515,12,294,"mei","Provável",0.7,4.15,0.24,0.73,3,"Coritiba",NA,NA,1,NA,3,NA,NA,8,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
"390","Guilherme da Silva Azevedo","guilherme-azevedo","Guilherme Azevedo","https://s.glbimg.com/es/sde/f/2020/07/19/756f7ee69aa8fccdfd44fbbf534a60a0_FORMATO.png",105837,12,284,"ata","Nulo",2.6,1.5,0.21,1.32,5,"284",NA,NA,2,1,7,NA,NA,4,NA,3,1,NA,1,NA,NA,NA,NA,NA
"391","Fernando Uribe Hincapié","uribe","Uribe","https://s.glbimg.com/es/sde/f/2019/05/30/b108b602d840b36b81509e4c29870b37_FORMATO.png",78415,12,277,"ata","Nulo",0,3.33,0,0.6,1,"Santos",NA,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA
"392","Lucas Silva Borges","lucas-silva","Lucas Silva","https://s.glbimg.com/es/sde/f/2020/07/19/35677798312c58c5cc2c64f41b79a8dc_FORMATO.png",79701,12,284,"mei","Provável",0.8,4.97,-0.09,1.47,10,"284",2,NA,11,1,16,NA,NA,31,NA,15,4,NA,NA,NA,NA,NA,NA,NA
"393","Lucas Ribamar Lopes dos Santos Bibiano","ribamar","Ribamar","https://s.glbimg.com/es/sde/f/2020/08/17/cd4f9206b4c3308452f5560028e465e8_FORMATO.png",94068,12,267,"ata","Nulo",0,4.52,0.02,1.74,9,"267",1,NA,5,2,2,2,NA,10,NA,2,1,NA,2,NA,NA,NA,NA,NA
"394","Darlan Pereira Mendes","darlan","Darlan","https://s.glbimg.com/es/sde/f/2020/07/19/86f5908425375d7aa9007181ae00f69c_FORMATO.png",104593,12,284,"mei","Provável",0.6,4.8,0.08,2.42,7,"284",1,NA,7,NA,5,1,NA,17,NA,12,2,NA,NA,NA,NA,NA,NA,NA
"395","Antônio Josenildo Rodrigues de Oliveira","rodrigues","Rodrigues","https://s.glbimg.com/es/sde/f/2018/08/09/e6b3f5b4c7922f94ca18791b3af1f390_FORMATO.png",91251,12,284,"zag","Nulo",0,2.42,0,2.65,2,"284",NA,NA,NA,NA,NA,NA,NA,7,1,1,NA,NA,NA,NA,NA,NA,NA,NA
"396","Luan Peres Petroni","luan-peres","Luan Peres ","https://s.glbimg.com/es/sde/f/2019/09/16/6a774b65d32e1e3586030adb069316e3_FORMATO.png",84847,12,277,"zag","Provável",0.9,5.82,-0.84,2.26,11,"Santos",1,NA,2,NA,6,NA,NA,47,3,13,2,NA,NA,1,1,NA,NA,NA
"397","Rafael Ramos de Lima","rafael-lima","Rafael Lima","https://s.glbimg.com/es/sde/f/2020/03/02/7e3f655d162981305619e91d2d72d345_FORMATO.png",50361,12,294,"zag","Nulo",0,3,0,0,0,"Coritiba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"398","João Gabriel Martins Peglow","peglow","Peglow","https://s.glbimg.com/es/sde/f/2020/02/27/5c7fe67d54b296320092b526cff1e6bb_FORMATO.png",106821,12,285,"mei","Nulo",0,1.74,0,0.82,5,"285",NA,NA,5,NA,1,NA,NA,12,NA,2,1,NA,1,1,NA,NA,NA,NA
"399","João Lucas Souza Cardoso","johnny","Johnny ","https://s.glbimg.com/es/sde/f/2020/02/27/fd6f78bc8647dd5e9fc9090d28654546_FORMATO.png",106002,12,285,"mei","Contundido",0,2.48,0,2.35,4,"285",NA,NA,1,1,3,NA,NA,16,NA,8,1,NA,NA,NA,NA,NA,NA,NA
"400","Werley Ananias da Silva","werley","Werley","https://s.glbimg.com/es/sde/f/2020/08/17/4dfbba68c3645f7379490067e0ce092d_FORMATO.png",62974,12,267,"zag","Nulo",0,4,0,0,0,"267",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"401","Raul Lô Gonçalves","raul","Raul","https://s.glbimg.com/es/sde/f/2020/08/28/8c0a624b6d2595beaf51682261e51ccd_FORMATO.png",92496,12,280,"mei","Provável",5.8,7.93,0.38,6.98,4,"280",NA,NA,4,NA,5,1,NA,26,NA,22,NA,NA,NA,NA,NA,NA,NA,NA
"402","Renê dos Santos Júnior","rene-junior","Renê Júnior","https://s.glbimg.com/es/sde/f/2020/03/02/5908e5d1c3f4f989e8bc1b27ccb7c65d_FORMATO.png",73281,12,294,"mei","Nulo",0,1.6,0,-0.7,3,"Coritiba",NA,NA,5,NA,2,NA,NA,4,NA,4,1,NA,NA,NA,1,NA,NA,NA
"403","Augusto Sérgio Ferreira","guto-ferreira","Guto Ferreira","https://s.glbimg.com/es/sde/f/2020/07/19/37fe3fab756c44fa3a64d440c3298942_FORMATO.png",37245,12,354,"tec","Provável",4.43,8.85,0.41,3.77,12,"354",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"404","João Paulo Silva Martins","joao-paulo","João Paulo","https://s.glbimg.com/es/sde/f/2019/03/28/55b6bd3285315d25077f61ea5d4a7fc9_FORMATO.png",85425,12,277,"gol","Provável",-2.2,7.82,-1.1,5.87,10,"Santos",NA,17,NA,NA,2,NA,10,52,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"405","Jonathan Copete Valencia","copete","Copete","https://s.glbimg.com/es/sde/f/2019/03/28/8b877a8c4ad54095a090c72a16cdb129_FORMATO.png",77959,12,277,"ata","Nulo",0,4,0,0,0,"Santos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"406","Bruno César Zanaki","bruno-cesar","Bruno César","https://s.glbimg.com/es/sde/f/2020/08/17/679cc051b3529d05424bb6ea6e411411_FORMATO.png",52558,12,267,"mei","Nulo",0,3.51,0,0.73,7,"267",NA,NA,4,2,4,NA,NA,27,NA,3,3,NA,NA,NA,NA,NA,NA,NA
"407","Gabriel Davi Gomes Sara","gabriel-sara","Gabriel Sara","https://s.glbimg.com/es/sde/f/2020/03/09/322b799218aef5659e98620f3364e767_FORMATO.png",100763,12,276,"mei","Provável",-0.3,3,-2.79,2.08,10,"276",1,NA,10,2,7,2,NA,47,NA,9,4,NA,3,NA,NA,NA,NA,NA
"408","Raniel Santana de Vasconcelos","raniel","Raniel","https://s.glbimg.com/es/sde/f/2020/02/28/84228574413957408f18e14b94d2aa81_FORMATO.png",86797,12,277,"ata","Nulo",-0.2,5.16,-0.54,2.95,4,"Santos",NA,NA,7,2,11,NA,NA,7,NA,8,2,NA,3,NA,NA,NA,NA,NA
"409","Lucas Santos da Silva","lucas-santos","Lucas Santos","https://s.glbimg.com/es/sde/f/2020/08/17/9d1cc15782d0788c4ccb7f3cd9a12641_FORMATO.png",101718,12,267,"mei","Nulo",0,1.68,0,-0.1,2,"267",NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"410","Luiz Felipe do Nascimento dos Santos","luiz-felipe","Luiz Felipe","https://s.glbimg.com/es/sde/f/2020/03/09/981499da2df970e3aa062fabcbf2f745_FORMATO.png",79035,12,277,"zag","Contundido",0,4.39,0,-0.1,1,"Santos",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"411","Fredy Alejandro Guarín Vásquez","guarin","Guarín","https://s.glbimg.com/es/sde/f/2019/09/27/2711e527895fb7ccdf64fbd1167a6a6d_FORMATO.png",71233,12,267,"mei","Nulo",0,11,0,0,0,"267",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"412","Paulo César Autuori de Mello","paulo-autuori","Paulo Autuori","https://s.glbimg.com/es/sde/f/2020/07/19/6b2dbf503589c5cd94793b949e37ab80_FORMATO.png",36943,12,263,"tec","Provável",1.72,8.53,-0.37,3.36,11,"263",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"413","Rómulo Otero Vásquez","otero","Otero","https://s.glbimg.com/es/sde/f/2020/08/24/62b6f54e98abc98430c7cf8079b8f517_FORMATO.png",83004,12,264,"mei","Dúvida",0,12.07,0,4.48,5,"264",2,NA,6,7,13,NA,NA,32,NA,4,4,NA,1,1,NA,2,NA,NA
"414","Jair Rodrigues Júnior","jair","Jair","https://s.glbimg.com/es/sde/f/2020/08/31/4322e71a5ba13c6f911158707a657254_FORMATO.png",81091,12,282,"mei","Provável",0.5,7.31,0.12,3.2,10,"282",4,NA,26,NA,19,1,NA,29,NA,26,3,NA,NA,2,NA,NA,NA,NA
"415","Diego Cristiano Evaristo","diego-pituca","Diego Pituca","https://s.glbimg.com/es/sde/f/2020/03/09/54fa3d697fc129a0e755c94b10fedd38_FORMATO.png",94156,12,277,"mei","Provável",-0.9,7.28,-0.63,2.54,12,"Santos",1,NA,8,3,16,NA,NA,52,NA,29,2,NA,1,NA,NA,NA,NA,NA
"416","Jobson Souza Santos","jobson","Jobson","https://s.glbimg.com/es/sde/f/2019/09/21/78ffca0f8c20a94cf8b5e9109bea47c6_FORMATO.png",93377,12,277,"mei","Nulo",0,3.83,0,0.77,8,"Santos",2,NA,10,NA,7,NA,NA,44,NA,15,2,NA,1,NA,NA,NA,NA,NA
"417","Jorge Sampaoli","jorge-sampaoli","Jorge Sampaoli","https://s.glbimg.com/es/sde/f/2020/07/16/1940a0f1f7b292217e8c59a91c1a05cd_FORMATO.png",70800,12,282,"tec","Provável",5.19,14.27,0.37,4.83,11,"282",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"418","Fernando Diniz Silva","fernando-diniz","Fernando Diniz","https://s.glbimg.com/es/sde/f/2019/10/03/6d8ae397f0417ad0faa735bc5f9c21d5_FORMATO.png",72391,12,276,"tec","Provável",2.68,8.98,-0.24,3.53,10,"276",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"419","Réver Humberto Alves Araújo","rever","Réver","https://s.glbimg.com/es/sde/f/2020/08/31/3b64f778984d4cc9daab96fb66d28946_FORMATO.png",52253,12,282,"zag","Nulo",0,7.21,0,3.88,5,"282",NA,NA,3,NA,6,1,NA,29,1,7,1,NA,NA,NA,NA,NA,NA,NA
"420","Arthur Gomes Lourenço","arthur-gomes","Arthur Gomes","https://s.glbimg.com/es/sde/f/2020/02/28/1180152071b3a94086ee66e070352aab_FORMATO.png",96966,12,277,"ata","Provável",3.9,4.75,0.31,3.22,6,"Santos",NA,NA,5,5,10,1,NA,33,NA,5,2,NA,1,NA,NA,NA,NA,NA
"421","Kaio Jorge Pinto Ramos","kaio-jorge","Kaio Jorge","https://s.glbimg.com/es/sde/f/2020/03/09/2863be83eb651b5fcae91f0fa484d0b1_FORMATO.png",103445,12,277,"ata","Provável",4.6,4.58,0.55,1.46,10,"Santos",2,NA,15,1,11,NA,NA,11,NA,10,10,NA,1,NA,NA,1,NA,NA
"422","John Victor Maciel Furtado","john-victor","John Victor","https://s.glbimg.com/es/sde/f/2020/03/09/7526bffb5ffcf8710f171fa2fbd3284a_FORMATO.png",94044,12,277,"gol","Nulo",0,1,0,0,0,"Santos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"423","Victor Leandro Bagy","victor","Victor","https://s.glbimg.com/es/sde/f/2020/08/31/4c0c31d702542c33340f28f8df3afae2_FORMATO.png",52950,12,282,"gol","Nulo",0,6.11,0,-7.2,1,"282",NA,NA,NA,NA,NA,NA,3,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"424","Lucas Henrique Ferreira Venuto","lucas-venuto","Lucas Venuto","https://s.glbimg.com/es/sde/f/2020/08/11/4d0626b467649cadfbf95578a06887cf_FORMATO.png",100290,12,292,"ata","Nulo",0,2.16,0,1.07,6,"292",NA,NA,3,NA,10,NA,NA,21,NA,2,NA,NA,NA,NA,NA,1,NA,NA
"425","Hyoran Kaue Dalmoro","hyoran","Hyoran","https://s.glbimg.com/es/sde/f/2020/08/31/66d12c528d0604bbd7db88296edd50fc_FORMATO.png",85931,12,282,"mei","Nulo",-1,11.65,-0.61,4.08,10,"282",1,NA,14,6,12,2,NA,53,NA,12,8,NA,1,1,NA,1,NA,NA
"426","Rafael Pires Monteiro","rafael","Rafael","https://s.glbimg.com/es/sde/f/2020/08/31/70a9b022ffebe02680755240aa4440cc_FORMATO.png",68928,12,282,"gol","Nulo",0,7.81,0,2.36,8,"282",NA,5,1,NA,NA,NA,5,56,4,NA,NA,NA,NA,NA,1,NA,NA,NA
"427","Sandry Roberto Santos Goes","sandry","Sandry","https://s.glbimg.com/es/sde/f/2020/03/09/8bf582cd91832a1415dc460fd233c490_FORMATO.png",104580,12,277,"mei","Nulo",0,2,0,0,0,"Santos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"428","Tailson Pinto Gonçalves","tailson","Tailson","https://s.glbimg.com/es/sde/f/2020/02/28/6a3d988146a39cccc9f2572d2d1235f8_FORMATO.png",104578,12,277,"ata","Nulo",0,2.68,0,1.16,5,"Santos",NA,NA,2,1,3,NA,NA,9,NA,5,NA,NA,NA,NA,NA,NA,NA,NA
"429","Marcos da Silva França","keno","Keno","https://s.glbimg.com/es/sde/f/2020/08/31/1c7eb530ff0944a5fb26c266c76aac9c_FORMATO.png",86485,12,282,"ata","Provável",29.2,15.9,2.32,6.69,11,"282",1,NA,13,8,10,6,NA,82,NA,11,9,NA,9,1,NA,3,NA,NA
"430","Guilherme Antonio Arana Lopes","guilherme-arana","Guilherme Arana","https://s.glbimg.com/es/sde/f/2020/08/31/cf251bf07d0350a8081b6b0e7bfb7950_FORMATO.png",87228,12,282,"lat","Provável",-1.7,15.35,-0.23,4.22,11,"282",1,NA,14,6,5,NA,NA,111,4,20,9,NA,1,2,NA,NA,NA,NA
"431","Alexandre de Almeida da Silva Júnior","juninho","Juninho","https://s.glbimg.com/es/sde/f/2020/03/13/7c86524fe7de88fe7eaf75ee5df21eb2_FORMATO.png",107677,12,267,"mei","Dúvida",5.5,3.39,0.89,2.57,3,"267",NA,NA,NA,NA,2,NA,NA,11,NA,2,1,NA,NA,1,NA,NA,NA,NA
"432","Pedro Henrique de Oliveira Correia","pedrao","Pedrão","https://s.glbimg.com/es/sde/f/2020/03/03/7a5d281294e2881a3be2bf6a652bf10c_FORMATO.png",100322,12,293,"zag","Nulo",0,3,0,0,0,"293",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"433","Leandro Castan da Silva","leandro-castan","Leandro Castan","https://s.glbimg.com/es/sde/f/2020/08/17/49c8817c8d46dc60dc7ed4af79fa9953_FORMATO.png",38505,12,267,"zag","Provável",1.3,13.66,-0.81,4.69,7,"267",NA,NA,5,NA,9,NA,NA,22,3,18,NA,NA,NA,NA,NA,NA,NA,NA
"434","Juan Ramón Cazares Sevillano","cazares","Cazares","https://s.glbimg.com/es/sde/f/2020/09/26/b400496767c5b2364514614c6837b344_FORMATO.png",81682,12,264,"mei","Nulo",0,12,0,0,0,"264",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"435","Rodrigo Nestor Bertalia","rodrigo-nestor","Rodrigo Nestor","https://s.glbimg.com/es/sde/f/2019/12/07/0b3e5d02f629008714cf1410e53eb9b6_FORMATO.png",106822,12,276,"mei","Nulo",0,2,0,0,0,"276",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"436","Jonas Gabriel da Silva Nunes","toro","Toró","https://s.glbimg.com/es/sde/f/2019/04/01/537547b0687a098437442f6632e753bc_FORMATO.png",101885,12,276,"ata","Nulo",0,3.7,0,2.95,2,"276",NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA
"437","Matheus dos Santos Miranda","miranda","Miranda","https://s.glbimg.com/es/sde/f/2020/08/17/1cbd279a52f1e6ab977c059e6068442a_FORMATO.png",101720,12,267,"zag","Provável",0.7,3.5,-0.2,1.99,8,"267",1,NA,4,NA,8,NA,NA,41,2,10,NA,NA,NA,NA,NA,NA,NA,NA
"438","Alexandre Melo Ribeiro da Silva","alexandre-melo","Alexandre Melo","https://s.glbimg.com/es/sde/f/2020/08/17/816e4ba22b282f00dc85d55e8cc85662_FORMATO.png",106159,12,267,"lat","Nulo",0,2,0,0,0,"267",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"439","Bruno Gomes da Silva Clevelário","bruno-gomes","Bruno Gomes","https://s.glbimg.com/es/sde/f/2020/08/17/76089d8528afa499ba3467eaa5e1b180_FORMATO.png",106202,12,267,"mei","Nulo",0.4,3.16,-0.16,0.85,8,"267",2,NA,11,NA,15,NA,NA,28,NA,15,2,NA,NA,NA,1,NA,NA,NA
"440","José Gabriel dos Santos Silva","ze-gabriel","Zé Gabriel","https://s.glbimg.com/es/sde/f/2020/02/28/406d8a9fc74d962738e649a8e390169e_FORMATO.png",105902,12,285,"mei","Suspenso",-5.8,1.05,-1.59,0.38,9,"285",1,NA,11,NA,8,NA,NA,39,NA,15,1,NA,NA,NA,1,NA,NA,NA
"441","Patric Cabral Lalau","patric","Patric","https://s.glbimg.com/es/sde/f/2020/07/20/8da72cb158360ebe2e1e03b6c12b81dd_FORMATO.png",60969,12,292,"lat","Provável",0,9.52,0,3.91,11,"292",NA,NA,15,2,12,1,NA,101,1,23,6,NA,3,2,NA,1,NA,NA
"442","Ramon de Morais Motta ","ramon","Ramon","https://s.glbimg.com/es/sde/f/2020/08/17/c3880e0855085540096eb79ca1b203f2_FORMATO.png",68896,12,267,"lat","Contundido",0,7,0,0,0,"267",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"443","Tadeu Antônio Ferreira","tadeu","Tadeu","https://s.glbimg.com/es/sde/f/2020/08/26/cf01a937d465c1d2b6417bf927da94c7_FORMATO.jpeg",82453,12,290,"gol","Provável",3.1,7.61,-1.17,1.3,7,"290",NA,7,NA,1,1,NA,12,66,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"444","Marcelo Lomba do Nascimento","marcelo-lomba","Marcelo Lomba","https://s.glbimg.com/es/sde/f/2020/02/27/ff4cfd7c9d5ee3bf7c1f281c6a05c147_FORMATO.png",68872,12,285,"gol","Provável",11.2,11,2.73,1.16,12,"285",1,4,NA,NA,NA,NA,8,141,6,NA,NA,NA,NA,NA,NA,NA,NA,NA
"445","Gustavo Raúl Gómez Portillo","gustavo-gomez","Gustavo Gómez","https://s.glbimg.com/es/sde/f/2020/03/09/d8945e5024344014b96d64adab91f4da_FORMATO.png",71684,12,275,"zag","Provável",0,12.04,0,3.63,8,"275",1,NA,13,1,9,1,NA,23,2,11,2,NA,3,1,NA,NA,NA,NA
